Date,NewCases,TotalCases,Lockdown,Temperature,RH
30-01-2020,0,0,0,23,32
31-01-2020,0,0,0,23,31
01-02-2020,0,0,0,22,24
02-02-2020,0,0,0,22,27
03-02-2020,0,0,0,25,27
04-02-2020,0,0,0,23,29
05-02-2020,0,0,0,25,30
06-02-2020,0,0,0,24,29
07-02-2020,0,0,0,24,26
08-02-2020,0,0,0,22,26
09-02-2020,0,0,0,22,22
10-02-2020,0,0,0,24,23
11-02-2020,0,0,0,26,28
12-02-2020,0,0,0,28,29
13-02-2020,0,0,0,27,25
14-02-2020,0,0,0,28,25
15-02-2020,0,0,0,27,24
16-02-2020,0,0,0,30,22
17-02-2020,0,0,0,30,14
18-02-2020,0,0,0,31,13
19-02-2020,0,0,0,28,20
20-02-2020,0,0,0,27,28
21-02-2020,0,0,0,28,24
22-02-2020,0,0,0,29,20
23-02-2020,0,0,0,29,28
24-02-2020,0,0,0,27,26
25-02-2020,0,0,0,29,23
26-02-2020,0,0,0,30,19
27-02-2020,0,0,0,31,20
28-02-2020,0,0,0,29,22
29-02-2020,0,0,0,30,27
01-03-2020,0,0,0,31,30
02-03-2020,0,0,0,30,26
03-03-2020,0,0,0,28,26
04-03-2020,0,0,0,28,35
05-03-2020,0,0,0,27,47
06-03-2020,0,0,0,24,44
07-03-2020,0,0,0,28,28
08-03-2020,0,0,0,29,24
09-03-2020,0,0,0,27,25
10-03-2020,0,0,0,27,47
11-03-2020,2,2,0,26,44
12-03-2020,2,4,0,24,40
13-03-2020,0,4,0,26,30
14-03-2020,1,5,0,27,17
15-03-2020,0,5,0,27,17
16-03-2020,1,6,0,29,16
17-03-2020,1,7,0,32,16
18-03-2020,1,8,0,34,15
19-03-2020,1,9,0,33,16
20-03-2020,2,11,0,30,30
21-03-2020,8,19,0,28,46
22-03-2020,5,24,0,32,41
23-03-2020,11,35,0,31,30
24-03-2020,6,41,0,34,22
25-03-2020,7,48,1,33,27
26-03-2020,1,49,1,31,40
27-03-2020,2,51,1,28,42
28-03-2020,22,73,1,29,28
29-03-2020,5,78,1,33,19
30-03-2020,7,85,1,32,15
31-03-2020,83,168,1,31,20
01-04-2020,14,182,1,32,31
02-04-2020,54,236,1,36,22
03-04-2020,43,279,1,36,13
04-04-2020,99,378,1,37,13
05-04-2020,80,458,1,38,13
06-04-2020,68,526,1,35,15
07-04-2020,116,642,1,34,23
08-04-2020,72,714,1,32,29
09-04-2020,162,876,1,34,25
10-04-2020,132,1008,1,38,22
11-04-2020,138,1146,1,37,15
12-04-2020,152,1298,1,38,13
13-04-2020,242,1540,1,36,14
14-04-2020,216,1756,1,35,20
15-04-2020,140,1896,1,35,20
16-04-2020,177,2073,1,36,22
17-04-2020,12,2085,1,37,24
18-04-2020,183,2268,1,35,23
19-04-2020,456,2724,1,34,26
20-04-2020,308,3032,1,33,29
21-04-2020,419,3451,1,34,31
22-04-2020,232,3683,1,35,31
23-04-2020,522,4205,1,36,28
24-04-2020,242,4447,1,36,30
25-04-2020,602,5049,1,35,36
26-04-2020,178,5227,1,36,39
27-04-2020,197,5424,1,36,35
