Date,NewCases,TotalCases,Lockdown,Temperature,RH
14-Mar-20,7,7,0,22,36
15-Mar-20,0,7,0,22,29
16-Mar-20,0,7,0,24,25
17-Mar-20,1,8,0,24,29
18-Mar-20,2,10,0,23,21
19-Mar-20,4,14,0,21,27
20-Mar-20,6,20,0,22,40
21-Mar-20,7,27,0,19,63
22-Mar-20,0,27,0,21,58
23-Mar-20,3,30,0,23,52
24-Mar-20,0,30,0,25,44
25-Mar-20,5,35,1,24,37
26-Mar-20,1,36,1,27,34
27-Mar-20,4,40,1,25,38
28-Mar-20,9,49,1,24,49
29-Mar-20,23,72,1,22,57
30-Mar-20,25,97,1,23,60
31-Mar-20,23,120,1,25,47
01-Apr-20,32,152,1,26,37
02-Apr-20,141,293,1,25,38
03-Apr-20,93,386,1,23,53
04-Apr-20,59,445,1,18,70
05-Apr-20,58,503,1,19,64
06-Apr-20,22,525,1,25,48
07-Apr-20,51,576,1,24,41
08-Apr-20,93,669,1,24,32
09-Apr-20,51,720,1,23,52
10-Apr-20,183,903,1,24,46
11-Apr-20,166,1069,1,26,31
12-Apr-20,85,1154,1,23,50
13-Apr-20,356,1510,1,22,42
14-Apr-20,51,1561,1,24,44
15-Apr-20,17,1578,1,27,41
16-Apr-20,62,1640,1,27,37
17-Apr-20,67,1707,1,28,34
18-Apr-20,186,1893,1,28,31
19-Apr-20,110,2003,1,29,33
20-Apr-20,78,2081,1,28,34
21-Apr-20,75,2156,1,28,29
22-Apr-20,92,2248,1,28,35
23-Apr-20,128,2376,1,29,33
24-Apr-20,138,2514,1,27,32
25-Apr-20,111,2625,1,29,56
26-Apr-20,293,2918,1,33,31
27-Apr-20,190,3108,1,32,39
