Date,NewCases,TotalCases,Lockdown,Temperature,RH
30-01-2020,0,0,0,16,43
31-01-2020,0,0,0,18,37
01-02-2020,0,0,0,18,38
02-02-2020,0,0,0,18,36
03-02-2020,0,0,0,20,40
04-02-2020,0,0,0,21,44
05-02-2020,0,0,0,20,38
06-02-2020,0,0,0,21,38
07-02-2020,0,0,0,20,42
08-02-2020,0,0,0,17,42
09-02-2020,0,0,0,17,30
10-02-2020,0,0,0,20,33
11-02-2020,0,0,0,22,37
12-02-2020,0,0,0,23,36
13-02-2020,0,0,0,24,32
14-02-2020,0,0,0,25,27
15-02-2020,0,0,0,24,31
16-02-2020,0,0,0,26,22
17-02-2020,0,0,0,26,16
18-02-2020,0,0,0,27,14
19-02-2020,0,0,0,26,18
20-02-2020,0,0,0,27,27
21-02-2020,0,0,0,26,23
22-02-2020,0,0,0,24,24
23-02-2020,0,0,0,24,33
24-02-2020,0,0,0,22,34
25-02-2020,0,0,0,23,31
26-02-2020,0,0,0,25,24
27-02-2020,0,0,0,26,22
28-02-2020,0,0,0,28,23
29-02-2020,0,0,0,27,23
01-03-2020,0,0,0,26,28
02-03-2020,0,0,0,26,22
03-03-2020,0,0,0,26,27
04-03-2020,0,0,0,24,32
05-03-2020,0,0,0,24,32
06-03-2020,0,0,0,22,48
07-03-2020,0,0,0,23,38
08-03-2020,0,0,0,25,24
09-03-2020,0,0,0,24,30
10-03-2020,0,0,0,26,40
11-03-2020,0,0,0,23,47
12-03-2020,0,0,0,23,39
13-03-2020,0,0,0,23,23
14-03-2020,0,0,0,23,18
15-03-2020,0,0,0,24,20
16-03-2020,0,0,0,26,20
17-03-2020,0,0,0,28,21
18-03-2020,0,0,0,27,25
19-03-2020,0,0,0,29,28
20-03-2020,0,0,0,28,21
21-03-2020,0,0,0,26,28
22-03-2020,0,0,0,29,30
23-03-2020,0,0,0,29,27
24-03-2020,0,0,0,30,28
25-03-2020,4,4,1,28,33
26-03-2020,5,9,1,27,53
27-03-2020,5,14,1,27,57
28-03-2020,6,20,1,27,35
29-03-2020,0,20,1,28,24
30-03-2020,7,27,1,29,20
31-03-2020,18,45,1,30,16
01-04-2020,32,77,1,30,20
02-04-2020,2,79,1,30,17
03-04-2020,35,114,1,31,15
04-04-2020,14,128,1,31,13
05-04-2020,7,135,1,34,12
06-04-2020,16,151,1,32,13
07-04-2020,0,151,1,32,14
08-04-2020,22,173,1,30,18
09-04-2020,48,221,1,33,18
10-04-2020,14,235,1,32,15
11-04-2020,46,281,1,36,13
12-04-2020,30,311,1,34,13
13-04-2020,17,328,1,34,14
14-04-2020,83,411,1,34,16
15-04-2020,133,544,1,32,16
16-04-2020,163,707,1,33,17
17-04-2020,135,842,1,33,18
18-04-2020,48,890,1,31,22
19-04-2020,1,891,1,31,19
20-04-2020,7,898,1,30,20
21-04-2020,18,916,1,32,22
22-04-2020,8,924,1,32,21
23-04-2020,22,946,1,33,23
24-04-2020,84,1030,1,33,25
25-04-2020,56,1086,1,31,24
26-04-2020,91,1177,1,31,30
27-04-2020,31,1208,1,30,31
