Date,NewCases,TotalCases,Lockdown,Temperature,RH
30-01-2020,0,0,0,24,50
31-01-2020,0,0,0,25,50
01-02-2020,0,0,0,25,54
02-02-2020,0,0,0,27,60
03-02-2020,0,0,0,29,67
04-02-2020,0,0,0,26,60
05-02-2020,0,0,0,25,46
06-02-2020,0,0,0,25,48
07-02-2020,0,0,0,25,48
08-02-2020,0,0,0,26,51
09-02-2020,0,0,0,27,52
10-02-2020,0,0,0,27,59
11-02-2020,0,0,0,29,59
12-02-2020,0,0,0,30,63
13-02-2020,0,0,0,30,58
14-02-2020,0,0,0,29,52
15-02-2020,0,0,0,27,48
16-02-2020,0,0,0,28,50
17-02-2020,0,0,0,31,53
18-02-2020,0,0,0,31,53
19-02-2020,0,0,0,31,57
20-02-2020,0,0,0,29,61
21-02-2020,0,0,0,28,57
22-02-2020,0,0,0,28,45
23-02-2020,0,0,0,29,44
24-02-2020,0,0,0,30,47
25-02-2020,0,0,0,28,44
26-02-2020,0,0,0,30,43
27-02-2020,0,0,0,28,43
28-02-2020,0,0,0,30,45
29-02-2020,0,0,0,27,51
01-03-2020,0,0,0,28,54
02-03-2020,0,0,0,28,60
03-03-2020,0,0,0,29,65
04-03-2020,0,0,0,27,66
05-03-2020,0,0,0,27,69
06-03-2020,0,0,0,27,64
07-03-2020,0,0,0,25,59
08-03-2020,0,0,0,26,56
09-03-2020,0,0,0,27,61
10-03-2020,0,0,0,27,65
11-03-2020,2,2,0,27,59
12-03-2020,2,4,0,26,60
13-03-2020,0,4,0,26,53
14-03-2020,1,5,0,27,46
15-03-2020,0,5,0,28,41
16-03-2020,1,6,0,30,51
17-03-2020,1,7,0,31,51
18-03-2020,1,8,0,31,50
19-03-2020,1,9,0,30,56
20-03-2020,2,11,0,29,64
21-03-2020,8,19,0,29,66
22-03-2020,5,24,0,30,65
23-03-2020,11,35,0,32,61
24-03-2020,6,41,0,33,60
25-03-2020,7,48,1,33,63
26-03-2020,1,49,1,33,70
27-03-2020,2,51,1,31,63
28-03-2020,22,73,1,31,58
29-03-2020,5,78,1,30,52
30-03-2020,7,85,1,31,57
31-03-2020,83,168,1,31,57
01-04-2020,14,182,1,30,56
02-04-2020,54,236,1,31,55
03-04-2020,43,279,1,33,62
04-04-2020,99,378,1,33,62
05-04-2020,80,458,1,32,65
06-04-2020,68,526,1,34,70
07-04-2020,116,642,1,33,64
08-04-2020,72,714,1,32,63
09-04-2020,162,876,1,33,66
10-04-2020,132,1008,1,33,61
11-04-2020,138,1146,1,33,60
12-04-2020,152,1298,1,36,56
13-04-2020,242,1540,1,36,63
14-04-2020,216,1756,1,37,64
15-04-2020,140,1896,1,38,65
16-04-2020,177,2073,1,37,75
17-04-2020,12,2085,1,36,73
18-04-2020,183,2268,1,34,65
19-04-2020,456,2724,1,35,61
20-04-2020,308,3032,1,36,50
21-04-2020,419,3451,1,36,56
22-04-2020,232,3683,1,35,65
23-04-2020,522,4205,1,35,68
24-04-2020,242,4447,1,36,70
25-04-2020,602,5049,1,37,63
26-04-2020,358,5407,1,35,64
27-04-2020,371,5778,1,34,69
