date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
30-01-2020,26,19,0,11.2,6,6,33,10:45 AM,11:04 PM,7:14 AM,6:30 PM,12,24,24,23,20,0,50,0,1015,26,10,219,16
31-01-2020,26,19,0,11.2,6,6,37,11:19 AM,11:52 PM,7:13 AM,6:31 PM,13,25,25,23,18,0,50,0,1012,26,10,324,15
01-02-2020,27,18,0,11.2,6,6,49,11:54 AM,No moonset,7:13 AM,6:31 PM,15,25,25,23,18,1,54,0,1013,27,10,218,15
02-02-2020,29,21,0,11.2,7,7,57,12:30 PM,12:40 AM,7:13 AM,6:32 PM,19,27,27,26,11,1,60,0,1014,29,10,211,10
03-02-2020,28,26,0,11.2,7,7,64,1:10 PM,1:31 AM,7:13 AM,6:32 PM,20,29,29,27,9,2,67,0,1014,28,10,264,8
04-02-2020,28,18,0,11.2,7,7,72,1:54 PM,2:24 AM,7:12 AM,6:33 PM,17,26,26,25,17,1,60,0,1013,28,10,328,14
05-02-2020,26,19,0,11.2,6,6,79,2:43 PM,3:20 AM,7:12 AM,6:34 PM,12,25,25,24,22,4,46,0,1014,26,10,335,18
06-02-2020,28,19,0,11.2,7,7,87,3:39 PM,4:18 AM,7:12 AM,6:34 PM,13,25,25,24,18,0,48,0,1014,28,10,328,15
07-02-2020,25,18,0,11.2,6,6,95,4:38 PM,5:17 AM,7:11 AM,6:35 PM,12,25,25,23,19,0,48,0,1015,25,10,325,16
08-02-2020,28,22,0,11.2,7,7,100,5:42 PM,6:15 AM,7:11 AM,6:35 PM,14,26,26,25,22,1,51,0,1014,28,10,226,16
09-02-2020,29,23,0,11.3,7,7,100,6:47 PM,7:10 AM,7:10 AM,6:36 PM,15,27,27,25,24,5,52,0,1015,29,10,244,17
10-02-2020,29,22,0,11.3,7,7,83,7:52 PM,8:02 AM,7:10 AM,6:36 PM,18,27,27,26,22,13,59,0,1013,29,10,244,14
