Date,New Cases,Lockdown,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14
30-01-2020,0.0,0.0,16.0,17.0,18.0,18.0,18.0,17.0,14.0,14.0,17.0,17.0,14.0,16.0,16.0,15.0,15.0,58.0,58.0,59.0,59.0,53.0,44.0,47.0,57.0,57.0,58.0,57.0,65.0,77.0,83.0,92.0
31-01-2020,0.0,0.0,17.0,16.0,17.0,18.0,18.0,18.0,17.0,14.0,14.0,17.0,17.0,14.0,16.0,16.0,15.0,58.0,58.0,58.0,59.0,59.0,53.0,44.0,47.0,57.0,57.0,58.0,57.0,65.0,77.0,83.0
01-02-2020,0.0,0.0,16.0,17.0,16.0,17.0,18.0,18.0,18.0,17.0,14.0,14.0,17.0,17.0,14.0,16.0,16.0,55.0,58.0,58.0,58.0,59.0,59.0,53.0,44.0,47.0,57.0,57.0,58.0,57.0,65.0,77.0
02-02-2020,0.0,0.0,17.0,16.0,17.0,16.0,17.0,18.0,18.0,18.0,17.0,14.0,14.0,17.0,17.0,14.0,16.0,53.0,55.0,58.0,58.0,58.0,59.0,59.0,53.0,44.0,47.0,57.0,57.0,58.0,57.0,65.0
03-02-2020,0.0,0.0,18.0,17.0,16.0,17.0,16.0,17.0,18.0,18.0,18.0,17.0,14.0,14.0,17.0,17.0,14.0,48.0,53.0,55.0,58.0,58.0,58.0,59.0,59.0,53.0,44.0,47.0,57.0,57.0,58.0,57.0
04-02-2020,0.0,0.0,17.0,18.0,17.0,16.0,17.0,16.0,17.0,18.0,18.0,18.0,17.0,14.0,14.0,17.0,17.0,52.0,48.0,53.0,55.0,58.0,58.0,58.0,59.0,59.0,53.0,44.0,47.0,57.0,57.0,58.0
05-02-2020,0.0,0.0,16.0,17.0,18.0,17.0,16.0,17.0,16.0,17.0,18.0,18.0,18.0,17.0,14.0,14.0,17.0,54.0,52.0,48.0,53.0,55.0,58.0,58.0,58.0,59.0,59.0,53.0,44.0,47.0,57.0,57.0
06-02-2020,0.0,0.0,16.0,16.0,17.0,18.0,17.0,16.0,17.0,16.0,17.0,18.0,18.0,18.0,17.0,14.0,14.0,50.0,54.0,52.0,48.0,53.0,55.0,58.0,58.0,58.0,59.0,59.0,53.0,44.0,47.0,57.0
07-02-2020,0.0,0.0,16.0,16.0,16.0,17.0,18.0,17.0,16.0,17.0,16.0,17.0,18.0,18.0,18.0,17.0,14.0,50.0,50.0,54.0,52.0,48.0,53.0,55.0,58.0,58.0,58.0,59.0,59.0,53.0,44.0,47.0
08-02-2020,0.0,0.0,17.0,16.0,16.0,16.0,17.0,18.0,17.0,16.0,17.0,16.0,17.0,18.0,18.0,18.0,17.0,52.0,50.0,50.0,54.0,52.0,48.0,53.0,55.0,58.0,58.0,58.0,59.0,59.0,53.0,44.0
09-02-2020,0.0,0.0,19.0,17.0,16.0,16.0,16.0,17.0,18.0,17.0,16.0,17.0,16.0,17.0,18.0,18.0,18.0,53.0,52.0,50.0,50.0,54.0,52.0,48.0,53.0,55.0,58.0,58.0,58.0,59.0,59.0,53.0
10-02-2020,0.0,0.0,18.0,19.0,17.0,16.0,16.0,16.0,17.0,18.0,17.0,16.0,17.0,16.0,17.0,18.0,18.0,46.0,53.0,52.0,50.0,50.0,54.0,52.0,48.0,53.0,55.0,58.0,58.0,58.0,59.0,59.0
