Date,NewCases,Lockdown,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14
30-01-2020,0.0,0.0,26.0,27.0,27.0,27.0,28.0,27.0,27.0,25.0,24.0,25.0,25.0,25.0,23.0,23.0,22.0,53.0,43.0,46.0,41.0,41.0,43.0,44.0,50.0,62.0,59.0,62.0,67.0,72.0,65.0,63.0
31-01-2020,0.0,0.0,26.0,26.0,27.0,27.0,27.0,28.0,27.0,27.0,25.0,24.0,25.0,25.0,25.0,23.0,23.0,48.0,53.0,43.0,46.0,41.0,41.0,43.0,44.0,50.0,62.0,59.0,62.0,67.0,72.0,65.0
01-02-2020,0.0,0.0,25.0,26.0,26.0,27.0,27.0,27.0,28.0,27.0,27.0,25.0,24.0,25.0,25.0,25.0,23.0,56.0,48.0,53.0,43.0,46.0,41.0,41.0,43.0,44.0,50.0,62.0,59.0,62.0,67.0,72.0
02-02-2020,0.0,0.0,24.0,25.0,26.0,26.0,27.0,27.0,27.0,28.0,27.0,27.0,25.0,24.0,25.0,25.0,25.0,67.0,56.0,48.0,53.0,43.0,46.0,41.0,41.0,43.0,44.0,50.0,62.0,59.0,62.0,67.0
03-02-2020,0.0,0.0,25.0,24.0,25.0,26.0,26.0,27.0,27.0,27.0,28.0,27.0,27.0,25.0,24.0,25.0,25.0,59.0,67.0,56.0,48.0,53.0,43.0,46.0,41.0,41.0,43.0,44.0,50.0,62.0,59.0,62.0
04-02-2020,0.0,0.0,25.0,25.0,24.0,25.0,26.0,26.0,27.0,27.0,27.0,28.0,27.0,27.0,25.0,24.0,25.0,56.0,59.0,67.0,56.0,48.0,53.0,43.0,46.0,41.0,41.0,43.0,44.0,50.0,62.0,59.0
05-02-2020,0.0,0.0,25.0,25.0,25.0,24.0,25.0,26.0,26.0,27.0,27.0,27.0,28.0,27.0,27.0,25.0,24.0,52.0,56.0,59.0,67.0,56.0,48.0,53.0,43.0,46.0,41.0,41.0,43.0,44.0,50.0,62.0
06-02-2020,0.0,0.0,26.0,25.0,25.0,25.0,24.0,25.0,26.0,26.0,27.0,27.0,27.0,28.0,27.0,27.0,25.0,44.0,52.0,56.0,59.0,67.0,56.0,48.0,53.0,43.0,46.0,41.0,41.0,43.0,44.0,50.0
07-02-2020,0.0,0.0,26.0,26.0,25.0,25.0,25.0,24.0,25.0,26.0,26.0,27.0,27.0,27.0,28.0,27.0,27.0,51.0,44.0,52.0,56.0,59.0,67.0,56.0,48.0,53.0,43.0,46.0,41.0,41.0,43.0,44.0
08-02-2020,0.0,0.0,25.0,26.0,26.0,25.0,25.0,25.0,24.0,25.0,26.0,26.0,27.0,27.0,27.0,28.0,27.0,64.0,51.0,44.0,52.0,56.0,59.0,67.0,56.0,48.0,53.0,43.0,46.0,41.0,41.0,43.0
09-02-2020,0.0,0.0,23.0,25.0,26.0,26.0,25.0,25.0,25.0,24.0,25.0,26.0,26.0,27.0,27.0,27.0,28.0,73.0,64.0,51.0,44.0,52.0,56.0,59.0,67.0,56.0,48.0,53.0,43.0,46.0,41.0,41.0
10-02-2020,0.0,0.0,23.0,23.0,25.0,26.0,26.0,25.0,25.0,25.0,24.0,25.0,26.0,26.0,27.0,27.0,27.0,71.0,73.0,64.0,51.0,44.0,52.0,56.0,59.0,67.0,56.0,48.0,53.0,43.0,46.0,41.0
11-02-2020,0.0,0.0,24.0,23.0,23.0,25.0,26.0,26.0,25.0,25.0,25.0,24.0,25.0,26.0,26.0,27.0,27.0,71.0,71.0,73.0,64.0,51.0,44.0,52.0,56.0,59.0,67.0,56.0,48.0,53.0,43.0,46.0
12-02-2020,0.0,0.0,24.0,24.0,23.0,23.0,25.0,26.0,26.0,25.0,25.0,25.0,24.0,25.0,26.0,26.0,27.0,69.0,71.0,71.0,73.0,64.0,51.0,44.0,52.0,56.0,59.0,67.0,56.0,48.0,53.0,43.0
13-02-2020,0.0,0.0,26.0,24.0,24.0,23.0,23.0,25.0,26.0,26.0,25.0,25.0,25.0,24.0,25.0,26.0,26.0,42.0,69.0,71.0,71.0,73.0,64.0,51.0,44.0,52.0,56.0,59.0,67.0,56.0,48.0,53.0
14-02-2020,0.0,0.0,27.0,26.0,24.0,24.0,23.0,23.0,25.0,26.0,26.0,25.0,25.0,25.0,24.0,25.0,26.0,26.0,42.0,69.0,71.0,71.0,73.0,64.0,51.0,44.0,52.0,56.0,59.0,67.0,56.0,48.0
15-02-2020,0.0,0.0,30.0,27.0,26.0,24.0,24.0,23.0,23.0,25.0,26.0,26.0,25.0,25.0,25.0,24.0,25.0,29.0,26.0,42.0,69.0,71.0,71.0,73.0,64.0,51.0,44.0,52.0,56.0,59.0,67.0,56.0
16-02-2020,0.0,0.0,27.0,30.0,27.0,26.0,24.0,24.0,23.0,23.0,25.0,26.0,26.0,25.0,25.0,25.0,24.0,33.0,29.0,26.0,42.0,69.0,71.0,71.0,73.0,64.0,51.0,44.0,52.0,56.0,59.0,67.0
17-02-2020,0.0,0.0,27.0,27.0,30.0,27.0,26.0,24.0,24.0,23.0,23.0,25.0,26.0,26.0,25.0,25.0,25.0,37.0,33.0,29.0,26.0,42.0,69.0,71.0,71.0,73.0,64.0,51.0,44.0,52.0,56.0,59.0
18-02-2020,0.0,0.0,26.0,27.0,27.0,30.0,27.0,26.0,24.0,24.0,23.0,23.0,25.0,26.0,26.0,25.0,25.0,21.0,37.0,33.0,29.0,26.0,42.0,69.0,71.0,71.0,73.0,64.0,51.0,44.0,52.0,56.0
19-02-2020,0.0,0.0,27.0,26.0,27.0,27.0,30.0,27.0,26.0,24.0,24.0,23.0,23.0,25.0,26.0,26.0,25.0,36.0,21.0,37.0,33.0,29.0,26.0,42.0,69.0,71.0,71.0,73.0,64.0,51.0,44.0,52.0
