Date,TotalSamplesTested,DailySamples
13-03-2020,6500,6500
14-03-2020,,
15-03-2020,,
16-03-2020,,
17-03-2020,,
18-03-2020,13125,6625
19-03-2020,14175,1050
20-03-2020,15404,1229
21-03-2020,16911,1507
22-03-2020,18127,1216
23-03-2020,20707,2580
24-03-2020,22694,1987
25-03-2020,25144,2450
26-03-2020,25503,359
27-03-2020,27688,2185
28-03-2020,29324,1636
29-03-2020,30380,1056
30-03-2020,38442,8062
31-03-2020,42788,4346
01-04-2020,47951,5163
02-04-2020,55851,7900
03-04-2020,69245,13394
04-04-2020,79950,10705
05-04-2020,89534,9584
06-04-2020,101068,11534
07-04-2020,114015,12947
08-04-2020,127919,13904
09-04-2020,144910,16991
10-04-2020,161330,16420
11-04-2020,179374,18044
12-04-2020,195748,16374
13-04-2020,217554,21806
14-04-2020,244893,27339
15-04-2020,274599,29706
16-04-2020,302956,28357
17-04-2020,335123,32167
18-04-2020,372123,37000
19-04-2020,401586,29463
20-04-2020,435520,33934
21-04-2020,462621,27101
22-04-2020,500542,37921
23-04-2020,541789,41247
24-04-2020,579957,38168
25-04-2020,625309,45352
26-04-2020,665819,40510
27-04-2020,716733,50914
28-04-2020,770764,54031
