Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Decease,Lockdown
30-Jan,1,1,0,0,0,0,0
31-Jan,0,1,0,0,0,0,0
01-Feb,0,1,0,0,0,0,0
02-Feb,1,2,0,0,0,0,0
03-Feb,1,3,0,0,0,0,0
04-Feb,0,3,0,0,0,0,0
05-Feb,0,3,0,0,0,0,0
06-Feb,0,3,0,0,0,0,0
07-Feb,0,3,0,0,0,0,0
08-Feb,0,3,0,0,0,0,0
09-Feb,0,3,0,0,0,0,0
10-Feb,0,3,0,0,0,0,0
11-Feb,0,3,0,0,0,0,0
12-Feb,0,3,0,0,0,0,0
13-Feb,0,3,1,1,0,0,0
14-Feb,0,3,0,1,0,0,0
15-Feb,0,3,0,1,0,0,0
16-Feb,0,3,1,2,0,0,0
17-Feb,0,3,0,2,0,0,0
18-Feb,0,3,0,2,0,0,0
19-Feb,0,3,0,2,0,0,0
20-Feb,0,3,1,3,0,0,0
21-Feb,0,3,0,3,0,0,0
22-Feb,0,3,0,3,0,0,0
23-Feb,0,3,0,3,0,0,0
24-Feb,0,3,0,3,0,0,0
25-Feb,0,3,0,3,0,0,0
26-Feb,0,3,0,3,0,0,0
27-Feb,0,3,0,3,0,0,0
28-Feb,0,3,0,3,0,0,0
29-Feb,0,3,0,3,0,0,0
01-Mar,0,3,0,3,0,0,0
02-Mar,2,5,0,3,0,0,0
03-Mar,1,6,0,3,0,0,0
04-Mar,22,28,0,3,0,0,0
05-Mar,2,30,0,3,0,0,0
06-Mar,1,31,0,3,0,0,0
07-Mar,3,34,0,3,0,0,0
08-Mar,5,39,0,3,0,0,0
09-Mar,9,48,0,3,0,0,0
10-Mar,15,63,1,4,0,0,0
11-Mar,7,70,0,4,0,0,0
12-Mar,12,82,0,4,1,1,0
13-Mar,9,91,6,10,0,1,0
14-Mar,16,107,0,10,1,2,0
15-Mar,5,112,3,13,0,2,0
16-Mar,15,127,1,14,0,2,0
17-Mar,19,146,1,15,1,3,0
18-Mar,25,171,0,15,0,3,0
19-Mar,27,198,5,20,1,4,0
20-Mar,60,258,3,23,0,4,0
21-Mar,76,334,0,23,0,4,0
22-Mar,69,403,0,23,3,7,0
23-Mar,94,497,2,25,2,9,0
24-Mar,74,571,15,40,1,10,0
25-Mar,86,657,3,43,1,11,1
26-Mar,73,730,7,50,5,16,1
27-Mar,153,883,25,75,3,19,1
28-Mar,141,1024,10,85,5,24,1
29-Mar,115,1139,17,102,3,27,1
30-Mar,190,1329,35,137,16,43,1
31-Mar,306,1635,13,150,6,49,1
01-Apr,424,2059,19,169,7,56,1
02-Apr,486,2545,22,191,16,72,1
03-Apr,560,3105,39,230,14,86,1
04-Apr,579,3684,56,286,13,99,1
05-Apr,605,4289,43,329,22,121,1
06-Apr,489,4778,65,394,16,137,1
07-Apr,573,5351,75,469,26,163,1
08-Apr,565,5916,96,565,20,183,1
