Date,NewCases,Recovered,Deaths,Lockdown
14-Mar-20,1.0,0.0,0.0,0.0
15-Mar-20,0.0,0.0,0.0,0.0
16-Mar-20,0.0,1.0,0.0,0.0
17-Mar-20,0.0,0.0,0.0,0.0
18-Mar-20,1.0,0.0,0.0,0.0
19-Mar-20,1.0,0.0,0.0,0.0
20-Mar-20,0.0,0.0,0.0,0.0
21-Mar-20,3.0,0.0,0.0,0.0
22-Mar-20,3.0,0.0,0.0,0.0
23-Mar-20,3.0,0.0,0.0,0.0
24-Mar-20,6.0,0.0,1.0,0.0
25-Mar-20,8.0,0.0,0.0,1.0
26-Mar-20,3.0,0.0,0.0,1.0
27-Mar-20,9.0,1.0,0.0,1.0
28-Mar-20,4.0,0.0,0.0,1.0
29-Mar-20,8.0,0.0,0.0,1.0
30-Mar-20,17.0,2.0,0.0,1.0
31-Mar-20,57.0,2.0,0.0,1.0
01-Apr-20,110.0,0.0,0.0,1.0
02-Apr-20,75.0,0.0,0.0,1.0
03-Apr-20,102.0,0.0,0.0,1.0
04-Apr-20,74.0,2.0,2.0,1.0
05-Apr-20,86.0,0.0,2.0,1.0
06-Apr-20,50.0,5.0,1.0,1.0
07-Apr-20,69.0,6.0,1.0,1.0
08-Apr-20,48.0,2.0,1.0,1.0
09-Apr-20,96.0,6.0,0.0,1.0
10-Apr-20,77.0,17.0,1.0,1.0
11-Apr-20,58.0,0.0,1.0,1.0
12-Apr-20,106.0,6.0,1.0,1.0
