diagnosed_date,detected_state,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14,China,USA,Middle_East,Europe_Ex_Italy,Italy,South_East_Asia,newCases,Recovered,Deceased,Lockdown
01-04-2020,Bihar,32.0,31.0,30.0,29.0,30.0,31.0,30.0,30.0,30.0,28.0,28.0,28.0,28.0,27.0,27.0,17.0,18.0,17.0,21.0,29.0,22.0,21.0,27.0,31.0,39.0,38.0,28.0,26.0,29.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
07-04-2020,Bihar,32.0,31.0,31.0,31.0,32.0,33.0,32.0,31.0,30.0,29.0,30.0,31.0,30.0,30.0,30.0,13.0,15.0,10.0,10.0,14.0,18.0,17.0,18.0,17.0,21.0,29.0,22.0,21.0,27.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0
07-04-2020,Bihar,32.0,31.0,31.0,31.0,32.0,33.0,32.0,31.0,30.0,29.0,30.0,31.0,30.0,30.0,30.0,13.0,15.0,10.0,10.0,14.0,18.0,17.0,18.0,17.0,21.0,29.0,22.0,21.0,27.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0
04-04-2020,Bihar,30.0,30.0,31.0,31.0,29.0,29.0,29.0,31.0,30.0,29.0,29.0,29.0,27.0,27.0,27.0,10.0,14.0,19.0,17.0,18.0,16.0,21.0,28.0,21.0,22.0,29.0,33.0,42.0,39.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
31-03-2020,Bihar,31.0,30.0,29.0,29.0,31.0,29.0,29.0,28.0,28.0,27.0,27.0,27.0,27.0,26.0,26.0,19.0,18.0,23.0,32.0,24.0,24.0,26.0,29.0,33.0,38.0,30.0,25.0,28.0,30.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
01-04-2020,Bihar,31.0,31.0,30.0,29.0,29.0,31.0,29.0,29.0,28.0,28.0,27.0,27.0,27.0,27.0,26.0,18.0,19.0,18.0,23.0,32.0,24.0,24.0,26.0,29.0,33.0,38.0,30.0,25.0,28.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
02-04-2020,Bihar,33.0,31.0,31.0,30.0,29.0,29.0,31.0,29.0,29.0,28.0,28.0,27.0,27.0,27.0,27.0,17.0,18.0,19.0,18.0,23.0,32.0,24.0,24.0,26.0,29.0,33.0,38.0,30.0,25.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0
02-04-2020,Bihar,33.0,31.0,31.0,30.0,29.0,29.0,31.0,29.0,29.0,28.0,28.0,27.0,27.0,27.0,27.0,17.0,18.0,19.0,18.0,23.0,32.0,24.0,24.0,26.0,29.0,33.0,38.0,30.0,25.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0
03-04-2020,Bihar,29.0,33.0,31.0,31.0,30.0,29.0,29.0,31.0,29.0,29.0,28.0,28.0,27.0,27.0,27.0,16.0,17.0,18.0,19.0,18.0,23.0,32.0,24.0,24.0,26.0,29.0,33.0,38.0,30.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
31-03-2020,Bihar,29.0,30.0,28.0,29.0,30.0,28.0,29.0,28.0,26.0,27.0,27.0,27.0,26.0,25.0,24.0,18.0,17.0,22.0,29.0,25.0,25.0,32.0,38.0,46.0,45.0,39.0,34.0,34.0,34.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
02-04-2020,Bihar,32.0,30.0,29.0,30.0,28.0,29.0,30.0,28.0,29.0,28.0,26.0,27.0,27.0,27.0,26.0,19.0,16.0,18.0,17.0,22.0,29.0,25.0,25.0,32.0,38.0,46.0,45.0,39.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0
02-04-2020,Bihar,32.0,30.0,29.0,30.0,28.0,29.0,30.0,28.0,29.0,28.0,26.0,27.0,27.0,27.0,26.0,19.0,16.0,18.0,17.0,22.0,29.0,25.0,25.0,32.0,38.0,46.0,45.0,39.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0
28-03-2020,Bihar,30.0,31.0,30.0,30.0,30.0,28.0,28.0,28.0,28.0,27.0,27.0,26.0,26.0,25.0,21.0,29.0,22.0,22.0,27.0,30.0,37.0,37.0,27.0,25.0,29.0,31.0,34.0,35.0,55.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
22-03-2020,Bihar,28.0,27.0,28.0,27.0,27.0,26.0,26.0,25.0,20.0,27.0,29.0,27.0,27.0,24.0,26.0,39.0,28.0,26.0,29.0,32.0,34.0,34.0,55.0,83.0,49.0,41.0,34.0,32.0,40.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
26-03-2020,Bihar,32.0,30.0,29.0,28.0,28.0,27.0,28.0,27.0,27.0,26.0,26.0,25.0,20.0,27.0,29.0,22.0,27.0,32.0,40.0,39.0,28.0,26.0,29.0,32.0,34.0,34.0,55.0,83.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
26-03-2020,Bihar,32.0,30.0,29.0,28.0,28.0,27.0,28.0,27.0,27.0,26.0,26.0,25.0,20.0,27.0,29.0,22.0,27.0,32.0,40.0,39.0,28.0,26.0,29.0,32.0,34.0,34.0,55.0,83.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
29-03-2020,Bihar,29.0,30.0,31.0,32.0,30.0,29.0,28.0,28.0,27.0,28.0,27.0,27.0,26.0,26.0,25.0,20.0,28.0,22.0,22.0,27.0,32.0,40.0,39.0,28.0,26.0,29.0,32.0,34.0,34.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
29-03-2020,Bihar,29.0,30.0,31.0,32.0,30.0,29.0,28.0,28.0,27.0,28.0,27.0,27.0,26.0,26.0,25.0,20.0,28.0,22.0,22.0,27.0,32.0,40.0,39.0,28.0,26.0,29.0,32.0,34.0,34.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
29-03-2020,Bihar,29.0,30.0,31.0,32.0,30.0,29.0,28.0,28.0,27.0,28.0,27.0,27.0,26.0,26.0,25.0,20.0,28.0,22.0,22.0,27.0,32.0,40.0,39.0,28.0,26.0,29.0,32.0,34.0,34.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
29-03-2020,Bihar,29.0,30.0,31.0,32.0,30.0,29.0,28.0,28.0,27.0,28.0,27.0,27.0,26.0,26.0,25.0,20.0,28.0,22.0,22.0,27.0,32.0,40.0,39.0,28.0,26.0,29.0,32.0,34.0,34.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
27-03-2020,Bihar,28.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,28.0,28.0,27.0,27.0,28.0,28.0,27.0,66.0,64.0,66.0,66.0,66.0,68.0,68.0,68.0,74.0,80.0,78.0,82.0,73.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
01-04-2020,Bihar,30.0,29.0,29.0,29.0,30.0,28.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,28.0,28.0,61.0,69.0,74.0,70.0,67.0,66.0,64.0,66.0,66.0,66.0,68.0,68.0,68.0,74.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
08-04-2020,Bihar,33.0,32.0,31.0,31.0,30.0,30.0,33.0,32.0,31.0,29.0,29.0,30.0,31.0,30.0,30.0,15.0,14.0,15.0,11.0,12.0,15.0,17.0,18.0,19.0,18.0,23.0,31.0,24.0,23.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22-03-2020,Bihar,28.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,21.0,26.0,29.0,26.0,25.0,24.0,25.0,39.0,31.0,27.0,30.0,33.0,36.0,35.0,58.0,78.0,53.0,47.0,39.0,33.0,40.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
23-03-2020,Bihar,29.0,28.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,21.0,26.0,29.0,26.0,25.0,24.0,41.0,39.0,31.0,27.0,30.0,33.0,36.0,35.0,58.0,78.0,53.0,47.0,39.0,33.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25-03-2020,Bihar,31.0,30.0,29.0,28.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,21.0,26.0,29.0,26.0,28.0,31.0,41.0,39.0,31.0,27.0,30.0,33.0,36.0,35.0,58.0,78.0,53.0,47.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
26-03-2020,Bihar,32.0,31.0,30.0,29.0,28.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,21.0,26.0,29.0,21.0,28.0,31.0,41.0,39.0,31.0,27.0,30.0,33.0,36.0,35.0,58.0,78.0,53.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
28-03-2020,Bihar,30.0,31.0,32.0,31.0,30.0,29.0,28.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,21.0,29.0,23.0,21.0,28.0,31.0,41.0,39.0,31.0,27.0,30.0,33.0,36.0,35.0,58.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
02-04-2020,Bihar,-4.0,-7.0,5.0,4.0,2.0,3.0,3.0,-1.0,-4.0,-8.0,-12.0,-9.0,-4.0,-1.0,-1.0,65.0,58.0,78.0,65.0,86.0,90.0,87.0,77.0,64.0,79.0,60.0,54.0,75.0,79.0,79.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,1.0
27-03-2020,Bihar,31.0,29.0,29.0,29.0,27.0,27.0,27.0,27.0,27.0,26.0,25.0,25.0,25.0,23.0,26.0,25.0,23.0,30.0,36.0,45.0,41.0,35.0,32.0,33.0,34.0,40.0,39.0,56.0,78.0,59.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
31-03-2020,Bihar,30.0,30.0,30.0,29.0,31.0,29.0,29.0,29.0,27.0,27.0,27.0,27.0,27.0,26.0,25.0,19.0,18.0,22.0,29.0,25.0,23.0,30.0,36.0,45.0,41.0,35.0,32.0,33.0,34.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
31-03-2020,Bihar,30.0,30.0,30.0,29.0,31.0,29.0,29.0,29.0,27.0,27.0,27.0,27.0,27.0,26.0,25.0,19.0,18.0,22.0,29.0,25.0,23.0,30.0,36.0,45.0,41.0,35.0,32.0,33.0,34.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
31-03-2020,Bihar,30.0,30.0,30.0,29.0,31.0,29.0,29.0,29.0,27.0,27.0,27.0,27.0,27.0,26.0,25.0,19.0,18.0,22.0,29.0,25.0,23.0,30.0,36.0,45.0,41.0,35.0,32.0,33.0,34.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
31-03-2020,Bihar,30.0,30.0,30.0,29.0,31.0,29.0,29.0,29.0,27.0,27.0,27.0,27.0,27.0,26.0,25.0,19.0,18.0,22.0,29.0,25.0,23.0,30.0,36.0,45.0,41.0,35.0,32.0,33.0,34.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
03-04-2020,Bihar,30.0,33.0,30.0,30.0,30.0,30.0,29.0,31.0,29.0,29.0,29.0,27.0,27.0,27.0,27.0,13.0,19.0,16.0,19.0,18.0,22.0,29.0,25.0,23.0,30.0,36.0,45.0,41.0,35.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
07-04-2020,Bihar,33.0,31.0,30.0,31.0,30.0,33.0,30.0,30.0,30.0,30.0,29.0,31.0,29.0,29.0,29.0,12.0,15.0,12.0,12.0,13.0,19.0,16.0,19.0,18.0,22.0,29.0,25.0,23.0,30.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0
07-04-2020,Bihar,33.0,31.0,30.0,31.0,30.0,33.0,30.0,30.0,30.0,30.0,29.0,31.0,29.0,29.0,29.0,12.0,15.0,12.0,12.0,13.0,19.0,16.0,19.0,18.0,22.0,29.0,25.0,23.0,30.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0
07-04-2020,Bihar,33.0,31.0,30.0,31.0,30.0,33.0,30.0,30.0,30.0,30.0,29.0,31.0,29.0,29.0,29.0,12.0,15.0,12.0,12.0,13.0,19.0,16.0,19.0,18.0,22.0,29.0,25.0,23.0,30.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0
07-04-2020,Bihar,33.0,31.0,30.0,31.0,30.0,33.0,30.0,30.0,30.0,30.0,29.0,31.0,29.0,29.0,29.0,12.0,15.0,12.0,12.0,13.0,19.0,16.0,19.0,18.0,22.0,29.0,25.0,23.0,30.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0
