diagnosed_date,detected_state,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14,China,USA,Middle_East,Europe_Ex_Italy,Italy,South_East_Asia,newCases,Recovered,Deceased,Lockdown
19-03-2020,Chandigarh,23.0,20.0,19.0,18.0,16.0,15.0,17.0,18.0,18.0,18.0,16.0,16.0,14.0,14.0,17.0,51.0,57.0,65.0,66.0,67.0,75.0,72.0,68.0,58.0,54.0,59.0,63.0,77.0,79.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
20-03-2020,Chandigarh,22.0,23.0,20.0,19.0,18.0,16.0,15.0,17.0,18.0,18.0,18.0,16.0,16.0,14.0,14.0,47.0,51.0,57.0,65.0,66.0,67.0,75.0,72.0,68.0,58.0,54.0,59.0,63.0,77.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
20-03-2020,Chandigarh,22.0,23.0,20.0,19.0,18.0,16.0,15.0,17.0,18.0,18.0,18.0,16.0,16.0,14.0,14.0,47.0,51.0,57.0,65.0,66.0,67.0,75.0,72.0,68.0,58.0,54.0,59.0,63.0,77.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
20-03-2020,Chandigarh,22.0,23.0,20.0,19.0,18.0,16.0,15.0,17.0,18.0,18.0,18.0,16.0,16.0,14.0,14.0,47.0,51.0,57.0,65.0,66.0,67.0,75.0,72.0,68.0,58.0,54.0,59.0,63.0,77.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
20-03-2020,Chandigarh,22.0,23.0,20.0,19.0,18.0,16.0,15.0,17.0,18.0,18.0,18.0,16.0,16.0,14.0,14.0,47.0,51.0,57.0,65.0,66.0,67.0,75.0,72.0,68.0,58.0,54.0,59.0,63.0,77.0,79.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
22-03-2020,Chandigarh,23.0,23.0,22.0,23.0,20.0,19.0,18.0,16.0,15.0,17.0,18.0,18.0,18.0,16.0,16.0,48.0,47.0,47.0,51.0,57.0,65.0,66.0,67.0,75.0,72.0,68.0,58.0,54.0,59.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23-03-2020,Chandigarh,24.0,23.0,23.0,22.0,23.0,20.0,19.0,18.0,16.0,15.0,17.0,18.0,18.0,18.0,16.0,42.0,48.0,47.0,47.0,51.0,57.0,65.0,66.0,67.0,75.0,72.0,68.0,58.0,54.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27-03-2020,Chandigarh,18.0,24.0,24.0,23.0,24.0,23.0,23.0,22.0,23.0,20.0,19.0,18.0,16.0,15.0,17.0,75.0,42.0,47.0,47.0,42.0,48.0,47.0,47.0,51.0,57.0,65.0,66.0,67.0,75.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30-03-2020,Chandigarh,22.0,21.0,20.0,18.0,24.0,24.0,23.0,24.0,23.0,23.0,22.0,23.0,20.0,19.0,18.0,45.0,48.0,64.0,75.0,42.0,47.0,47.0,42.0,48.0,47.0,47.0,51.0,57.0,65.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
30-03-2020,Chandigarh,22.0,21.0,20.0,18.0,24.0,24.0,23.0,24.0,23.0,23.0,22.0,23.0,20.0,19.0,18.0,45.0,48.0,64.0,75.0,42.0,47.0,47.0,42.0,48.0,47.0,47.0,51.0,57.0,65.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
30-03-2020,Chandigarh,22.0,21.0,20.0,18.0,24.0,24.0,23.0,24.0,23.0,23.0,22.0,23.0,20.0,19.0,18.0,45.0,48.0,64.0,75.0,42.0,47.0,47.0,42.0,48.0,47.0,47.0,51.0,57.0,65.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
