diagnosed_date,detected_state,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14,China,USA,Middle_East,Europe_Ex_Italy,Italy,South_East_Asia,newCases,Recovered,Deceased,Lockdown
28-03-2020,Haryana,22.0,19.0,25.0,26.0,24.0,27.0,25.0,23.0,23.0,25.0,22.0,21.0,19.0,18.0,16.0,62.0,78.0,42.0,44.0,45.0,39.0,49.0,49.0,48.0,52.0,57.0,64.0,67.0,69.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
02-04-2020,Haryana,25.0,27.0,24.0,23.0,23.0,22.0,19.0,25.0,26.0,24.0,27.0,25.0,23.0,23.0,25.0,35.0,40.0,41.0,44.0,45.0,62.0,78.0,42.0,44.0,45.0,39.0,49.0,49.0,48.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
02-04-2020,Haryana,25.0,27.0,24.0,23.0,23.0,22.0,19.0,25.0,26.0,24.0,27.0,25.0,23.0,23.0,25.0,35.0,40.0,41.0,44.0,45.0,62.0,78.0,42.0,44.0,45.0,39.0,49.0,49.0,48.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
04-04-2020,Haryana,28.0,27.0,26.0,27.0,25.0,25.0,25.0,26.0,20.0,26.0,29.0,29.0,26.0,26.0,28.0,21.0,23.0,31.0,35.0,36.0,34.0,40.0,51.0,71.0,39.0,36.0,36.0,34.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,1.0
04-04-2020,Haryana,28.0,27.0,26.0,27.0,25.0,25.0,25.0,26.0,20.0,26.0,29.0,29.0,26.0,26.0,28.0,21.0,23.0,31.0,35.0,36.0,34.0,40.0,51.0,71.0,39.0,36.0,36.0,34.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,1.0
06-04-2020,Haryana,30.0,28.0,28.0,27.0,26.0,27.0,25.0,25.0,25.0,26.0,20.0,26.0,29.0,29.0,26.0,20.0,21.0,21.0,23.0,31.0,35.0,36.0,34.0,40.0,51.0,71.0,39.0,36.0,36.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,1.0
20-03-2020,Haryana,27.0,27.0,26.0,26.0,23.0,22.0,21.0,25.0,24.0,21.0,23.0,22.0,23.0,18.0,18.0,33.0,35.0,37.0,41.0,44.0,44.0,55.0,37.0,49.0,58.0,35.0,41.0,50.0,69.0,77.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
24-03-2020,Haryana,27.0,27.0,28.0,29.0,27.0,27.0,26.0,26.0,23.0,22.0,21.0,25.0,24.0,21.0,23.0,37.0,30.0,35.0,35.0,33.0,35.0,37.0,41.0,44.0,44.0,55.0,37.0,49.0,58.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
28-03-2020,Haryana,26.0,25.0,27.0,28.0,27.0,27.0,28.0,29.0,27.0,27.0,26.0,26.0,23.0,22.0,21.0,43.0,55.0,31.0,33.0,37.0,30.0,35.0,35.0,33.0,35.0,37.0,41.0,44.0,44.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
30-03-2020,Haryana,27.0,27.0,26.0,25.0,27.0,28.0,27.0,27.0,28.0,29.0,27.0,27.0,26.0,26.0,23.0,28.0,32.0,43.0,55.0,31.0,33.0,37.0,30.0,35.0,35.0,33.0,35.0,37.0,41.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0
