diagnosed_date,detected_state,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14,China,USA,Middle_East,Europe_Ex_Italy,Italy,South_East_Asia,newCases,Recovered,Deceased,Lockdown
31-03-2020,Odisha,34.0,33.0,33.0,33.0,32.0,31.0,31.0,30.0,29.0,28.0,27.0,29.0,30.0,30.0,30.0,41.0,44.0,45.0,40.0,41.0,49.0,56.0,55.0,61.0,61.0,55.0,46.0,55.0,55.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
03-04-2020,Odisha,34.0,34.0,34.0,34.0,33.0,33.0,33.0,32.0,31.0,31.0,30.0,29.0,28.0,27.0,29.0,51.0,46.0,47.0,41.0,44.0,45.0,40.0,41.0,49.0,56.0,55.0,61.0,61.0,55.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0
03-04-2020,Odisha,34.0,34.0,34.0,34.0,33.0,33.0,33.0,32.0,31.0,31.0,30.0,29.0,28.0,27.0,29.0,51.0,46.0,47.0,41.0,44.0,45.0,40.0,41.0,49.0,56.0,55.0,61.0,61.0,55.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0
03-04-2020,Odisha,35.0,35.0,36.0,37.0,34.0,35.0,35.0,33.0,34.0,32.0,30.0,30.0,29.0,26.0,31.0,51.0,49.0,48.0,50.0,49.0,51.0,45.0,48.0,51.0,59.0,58.0,64.0,68.0,61.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0
03-04-2020,Odisha,30.0,33.0,32.0,33.0,33.0,30.0,30.0,31.0,30.0,30.0,29.0,28.0,27.0,27.0,26.0,18.0,17.0,18.0,21.0,22.0,28.0,34.0,28.0,29.0,29.0,34.0,36.0,49.0,52.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0
04-04-2020,Odisha,34.0,36.0,36.0,36.0,34.0,34.0,33.0,32.0,34.0,33.0,32.0,31.0,30.0,29.0,27.0,32.0,29.0,28.0,27.0,28.0,33.0,33.0,34.0,32.0,36.0,39.0,43.0,48.0,53.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
06-04-2020,Odisha,33.0,33.0,33.0,34.0,34.0,34.0,34.0,33.0,33.0,33.0,32.0,31.0,31.0,30.0,29.0,66.0,69.0,70.0,71.0,69.0,68.0,69.0,65.0,67.0,65.0,66.0,68.0,72.0,72.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
16-03-2020,Odisha,28.0,28.0,30.0,30.0,29.0,27.0,28.0,27.0,26.0,23.0,26.0,27.0,27.0,27.0,27.0,47.0,53.0,44.0,49.0,48.0,39.0,41.0,51.0,68.0,69.0,60.0,60.0,66.0,57.0,56.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
19-03-2020,Odisha,28.0,28.0,28.0,28.0,28.0,30.0,30.0,29.0,27.0,28.0,27.0,26.0,23.0,26.0,27.0,47.0,49.0,43.0,47.0,53.0,44.0,49.0,48.0,39.0,41.0,51.0,68.0,69.0,60.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-03-2020,Odisha,30.0,29.0,27.0,26.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,30.0,30.0,29.0,58.0,59.0,57.0,60.0,63.0,49.0,43.0,47.0,49.0,43.0,47.0,53.0,44.0,49.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
01-04-2020,Odisha,33.0,32.0,33.0,32.0,32.0,33.0,30.0,29.0,27.0,26.0,28.0,28.0,28.0,28.0,28.0,48.0,39.0,30.0,44.0,51.0,53.0,58.0,59.0,57.0,60.0,63.0,49.0,43.0,47.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
03-04-2020,Odisha,33.0,32.0,33.0,32.0,33.0,32.0,32.0,33.0,30.0,29.0,27.0,26.0,28.0,28.0,28.0,66.0,61.0,48.0,39.0,30.0,44.0,51.0,53.0,58.0,59.0,57.0,60.0,63.0,49.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0
