diagnosed_date,detected_state,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14,China,USA,Middle_East,Europe_Ex_Italy,Italy,South_East_Asia,newCases,Recovered,Deceased,Lockdown
09-03-2020,Punjab,18.0,17.0,13.0,14.0,16.0,20.0,22.0,23.0,20.0,17.0,20.0,22.0,22.0,20.0,20.0,59.0,76.0,90.0,90.0,80.0,55.0,55.0,58.0,66.0,82.0,65.0,50.0,45.0,54.0,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22-03-2020,Punjab,23.0,24.0,24.0,24.0,23.0,22.0,20.0,18.0,16.0,15.0,18.0,15.0,20.0,18.0,17.0,55.0,61.0,56.0,55.0,53.0,53.0,62.0,66.0,75.0,79.0,77.0,68.0,52.0,59.0,76.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0
31-03-2020,Punjab,21.0,23.0,23.0,22.0,17.0,26.0,25.0,23.0,25.0,23.0,24.0,24.0,24.0,23.0,22.0,58.0,46.0,53.0,68.0,90.0,48.0,55.0,66.0,45.0,55.0,61.0,56.0,55.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
03-04-2020,Punjab,24.0,23.0,24.0,21.0,23.0,23.0,22.0,17.0,26.0,25.0,23.0,25.0,23.0,24.0,24.0,39.0,44.0,59.0,58.0,46.0,53.0,68.0,90.0,48.0,55.0,66.0,45.0,55.0,61.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
03-04-2020,Punjab,24.0,23.0,24.0,21.0,23.0,23.0,22.0,17.0,26.0,25.0,23.0,25.0,23.0,24.0,24.0,39.0,44.0,59.0,58.0,46.0,53.0,68.0,90.0,48.0,55.0,66.0,45.0,55.0,61.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
04-04-2020,Punjab,26.0,24.0,23.0,24.0,21.0,23.0,23.0,22.0,17.0,26.0,25.0,23.0,25.0,23.0,24.0,35.0,39.0,44.0,59.0,58.0,46.0,53.0,68.0,90.0,48.0,55.0,66.0,45.0,55.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0
04-04-2020,Punjab,26.0,24.0,23.0,24.0,21.0,23.0,23.0,22.0,17.0,26.0,25.0,23.0,25.0,23.0,24.0,35.0,39.0,44.0,59.0,58.0,46.0,53.0,68.0,90.0,48.0,55.0,66.0,45.0,55.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0
04-04-2020,Punjab,26.0,24.0,23.0,24.0,21.0,23.0,23.0,22.0,17.0,26.0,25.0,23.0,25.0,23.0,24.0,35.0,39.0,44.0,59.0,58.0,46.0,53.0,68.0,90.0,48.0,55.0,66.0,45.0,55.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0
06-04-2020,Punjab,28.0,26.0,26.0,24.0,23.0,24.0,21.0,23.0,23.0,22.0,17.0,26.0,25.0,23.0,25.0,34.0,34.0,35.0,39.0,44.0,59.0,58.0,46.0,53.0,68.0,90.0,48.0,55.0,66.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
07-04-2020,Punjab,25.0,28.0,26.0,26.0,24.0,23.0,24.0,21.0,23.0,23.0,22.0,17.0,26.0,25.0,23.0,48.0,34.0,34.0,35.0,39.0,44.0,59.0,58.0,46.0,53.0,68.0,90.0,48.0,55.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,1.0,1.0
