diagnosed_date,detected_state,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14,China,USA,Middle_East,Europe_Ex_Italy,Italy,South_East_Asia,newCases,Recovered,Deceased,Lockdown
29-03-2020,West Bengal,34.0,33.0,34.0,34.0,31.0,30.0,28.0,29.0,29.0,28.0,29.0,29.0,29.0,29.0,28.0,28.0,35.0,37.0,40.0,49.0,51.0,57.0,53.0,51.0,40.0,30.0,34.0,42.0,50.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
31-03-2020,West Bengal,33.0,35.0,33.0,34.0,33.0,33.0,32.0,30.0,29.0,29.0,30.0,29.0,29.0,29.0,30.0,28.0,31.0,28.0,34.0,39.0,40.0,51.0,52.0,54.0,52.0,52.0,45.0,33.0,37.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,1.0,1.0
28-03-2020,West Bengal,23.0,24.0,22.0,19.0,20.0,18.0,19.0,19.0,17.0,19.0,18.0,19.0,19.0,19.0,18.0,50.0,47.0,50.0,51.0,50.0,59.0,53.0,50.0,56.0,48.0,51.0,42.0,42.0,60.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0
17-03-2020,West Bengal,30.0,29.0,28.0,29.0,31.0,30.0,29.0,29.0,28.0,28.0,26.0,27.0,28.0,27.0,28.0,47.0,54.0,55.0,49.0,48.0,49.0,48.0,34.0,37.0,61.0,73.0,58.0,56.0,55.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20-03-2020,West Bengal,29.0,29.0,29.0,30.0,29.0,28.0,29.0,31.0,30.0,29.0,29.0,28.0,28.0,26.0,27.0,45.0,33.0,37.0,47.0,54.0,55.0,49.0,48.0,49.0,48.0,34.0,37.0,61.0,73.0,58.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21-03-2020,West Bengal,30.0,29.0,29.0,29.0,30.0,29.0,28.0,29.0,31.0,30.0,29.0,29.0,28.0,28.0,26.0,52.0,45.0,33.0,37.0,47.0,54.0,55.0,49.0,48.0,49.0,48.0,34.0,37.0,61.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
22-03-2020,West Bengal,29.0,30.0,29.0,29.0,29.0,30.0,29.0,28.0,29.0,31.0,30.0,29.0,29.0,28.0,28.0,52.0,52.0,45.0,33.0,37.0,47.0,54.0,55.0,49.0,48.0,49.0,48.0,34.0,37.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
22-03-2020,West Bengal,29.0,30.0,29.0,29.0,29.0,30.0,29.0,28.0,29.0,31.0,30.0,29.0,29.0,28.0,28.0,52.0,52.0,45.0,33.0,37.0,47.0,54.0,55.0,49.0,48.0,49.0,48.0,34.0,37.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
22-03-2020,West Bengal,29.0,30.0,29.0,29.0,29.0,30.0,29.0,28.0,29.0,31.0,30.0,29.0,29.0,28.0,28.0,52.0,52.0,45.0,33.0,37.0,47.0,54.0,55.0,49.0,48.0,49.0,48.0,34.0,37.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
24-03-2020,West Bengal,30.0,29.0,29.0,30.0,29.0,29.0,29.0,30.0,29.0,28.0,29.0,31.0,30.0,29.0,29.0,52.0,54.0,52.0,52.0,45.0,33.0,37.0,47.0,54.0,55.0,49.0,48.0,49.0,48.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
