date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,22,0.0,4.2,6,6,37,11:05 AM,11:09 PM,06:32 AM,05:54 PM,22,28,28,25,15,65,81,5.7,1014,29,10,79,10
2020-01-02,30,23,0.0,5.7,6,6,44,11:42 AM,11:55 PM,06:33 AM,05:55 PM,22,29,29,26,12,55,79,2.1,1015,30,10,93,8
2020-01-03,30,23,0.0,5.7,6,6,51,12:17 PM,No moonset,06:33 AM,05:55 PM,23,29,29,26,10,44,80,0.4,1013,30,10,137,7
2020-01-04,31,23,0.0,7.2,6,6,59,12:54 PM,12:40 AM,06:33 AM,05:56 PM,22,29,29,26,12,54,80,0.7,1011,31,9,158,9
2020-01-05,30,24,0.0,4.2,6,6,66,01:32 PM,01:27 AM,06:34 AM,05:56 PM,22,29,29,26,12,63,77,4.1,1012,30,9,106,8
2020-01-06,29,23,0.0,4.2,6,6,73,02:13 PM,02:15 AM,06:34 AM,05:57 PM,22,28,28,26,17,69,81,4.4,1014,29,10,74,12
2020-01-07,28,22,0.0,5.7,6,6,80,02:57 PM,03:06 AM,06:34 AM,05:58 PM,21,27,27,25,21,74,79,6.6,1014,28,10,73,14
2020-01-08,28,22,0.0,7.2,6,6,88,03:46 PM,04:00 AM,06:35 AM,05:58 PM,20,27,27,25,14,37,74,0.6,1014,28,10,55,11
2020-01-09,29,23,0.0,8.7,7,7,95,04:40 PM,04:57 AM,06:35 AM,05:59 PM,19,27,27,26,10,2,68,0.0,1013,29,10,78,9
2020-01-10,28,21,0.0,8.7,7,7,100,05:38 PM,05:56 AM,06:35 AM,05:59 PM,19,26,26,25,13,7,71,0.0,1013,28,10,59,11
2020-01-11,28,20,0.0,11.6,6,6,100,06:39 PM,06:55 AM,06:35 AM,06:00 PM,19,25,25,23,16,27,76,0.0,1014,28,10,46,11
2020-01-12,28,21,0.0,7.3,6,6,83,07:42 PM,07:52 AM,06:36 AM,06:00 PM,20,26,26,24,16,50,78,1.2,1013,28,10,57,11
2020-01-13,28,21,0.0,7.3,6,6,76,08:43 PM,08:46 AM,06:36 AM,06:01 PM,20,26,26,24,13,56,77,1.2,1012,28,10,57,10
2020-01-14,29,22,0.0,11.6,7,7,69,09:42 PM,09:37 AM,06:36 AM,06:01 PM,18,26,26,25,12,0,66,0.0,1012,29,10,62,9
2020-01-15,29,20,0.0,11.6,6,6,61,10:39 PM,10:24 AM,06:36 AM,06:02 PM,17,25,25,24,14,6,68,0.0,1013,29,10,70,10
2020-01-16,29,20,0.0,10.2,6,6,54,11:35 PM,11:09 AM,06:36 AM,06:02 PM,18,25,25,24,10,19,67,0.0,1013,29,10,74,8
2020-01-17,29,23,0.0,7.3,6,6,47,No moonrise,11:54 AM,06:36 AM,06:03 PM,21,28,28,25,13,53,78,2.6,1013,29,10,66,10
2020-01-18,29,23,0.0,7.3,6,6,40,12:30 AM,12:38 PM,06:37 AM,06:04 PM,21,27,27,25,18,67,80,5.8,1013,29,10,80,12
2020-01-19,30,22,0.0,11.6,7,7,32,01:26 AM,01:24 PM,06:37 AM,06:04 PM,20,27,27,25,14,36,75,0.2,1013,30,10,52,10
2020-01-20,31,22,0.0,11.6,7,7,25,02:21 AM,02:11 PM,06:37 AM,06:05 PM,19,27,27,26,14,5,69,0.0,1014,31,10,60,10
2020-01-21,29,22,0.0,11.6,7,7,18,03:18 AM,03:02 PM,06:37 AM,06:05 PM,19,27,27,25,16,13,73,0.0,1015,29,10,54,12
2020-01-22,29,21,0.0,10.2,7,7,11,04:15 AM,03:54 PM,06:37 AM,06:06 PM,20,26,26,24,18,50,78,0.0,1016,29,10,53,13
2020-01-23,30,23,0.0,11.6,7,7,3,05:10 AM,04:48 PM,06:37 AM,06:06 PM,20,27,27,25,17,31,73,0.2,1014,30,10,54,13
2020-01-24,31,22,0.0,11.6,7,7,0,06:03 AM,05:42 PM,06:37 AM,06:07 PM,18,27,27,25,14,0,66,0.0,1014,31,10,52,11
2020-01-25,31,21,0.0,11.6,7,7,0,06:53 AM,06:35 PM,06:37 AM,06:07 PM,16,26,26,25,11,0,59,0.0,1014,31,10,63,8
2020-01-26,33,21,0.0,11.6,7,7,4,07:39 AM,07:26 PM,06:37 AM,06:08 PM,18,28,28,27,9,0,61,0.0,1013,33,10,121,7
2020-01-27,33,22,0.0,11.6,7,7,11,08:22 AM,08:15 PM,06:37 AM,06:08 PM,19,28,28,27,12,0,67,0.0,1012,33,10,143,10
2020-01-28,34,21,0.0,11.6,7,7,18,09:01 AM,09:03 PM,06:37 AM,06:08 PM,20,28,28,26,13,19,72,0.0,1013,34,10,167,10
2020-01-29,33,21,0.0,11.6,7,7,26,09:39 AM,09:49 PM,06:37 AM,06:09 PM,20,28,28,26,13,2,70,0.0,1013,33,10,147,10
2020-01-30,34,23,0.0,11.6,7,7,33,10:15 AM,10:34 PM,06:37 AM,06:09 PM,20,28,28,27,13,1,68,0.0,1012,34,10,157,10
2020-01-31,32,22,0.0,11.6,7,7,37,10:51 AM,11:20 PM,06:37 AM,06:10 PM,20,28,28,26,14,9,70,0.0,1011,32,10,131,10
2020-02-01,32,21,0.0,11.6,7,7,49,11:28 AM,No moonset,06:36 AM,06:10 PM,19,28,28,26,14,27,69,0.0,1012,32,10,128,10
2020-02-02,31,22,0.0,10.2,6,6,57,12:06 PM,12:06 AM,06:36 AM,06:11 PM,19,28,28,26,12,24,69,0.2,1014,31,10,106,10
2020-02-03,31,21,0.0,11.6,7,7,64,12:48 PM,12:55 AM,06:36 AM,06:11 PM,18,26,26,25,14,11,66,0.0,1015,31,10,80,10
2020-02-04,29,21,0.0,8.7,6,6,72,01:34 PM,01:46 AM,06:36 AM,06:11 PM,19,27,27,25,14,47,73,1.1,1013,29,10,86,10
2020-02-05,31,21,0.0,11.6,7,7,79,02:24 PM,02:40 AM,06:36 AM,06:12 PM,18,27,27,26,11,6,65,0.0,1013,31,10,104,9
2020-02-06,32,21,0.0,11.6,7,7,87,03:20 PM,03:38 AM,06:36 AM,06:12 PM,18,28,28,26,14,0,63,0.0,1013,32,10,144,11
2020-02-07,31,21,0.0,11.6,7,7,95,04:19 PM,04:36 AM,06:35 AM,06:13 PM,19,27,27,25,15,6,68,0.0,1013,31,10,141,11
2020-02-08,32,21,0.0,11.6,7,7,100,05:22 PM,05:35 AM,06:35 AM,06:13 PM,18,27,27,26,16,14,66,0.0,1013,32,10,135,11
2020-02-09,29,22,0.0,7.3,6,6,100,06:25 PM,06:31 AM,06:35 AM,06:13 PM,20,27,27,25,15,59,73,2.2,1014,29,10,104,10
2020-02-10,30,22,0.0,11.6,7,7,83,07:28 PM,07:25 AM,06:34 AM,06:14 PM,19,28,28,26,18,26,70,0.2,1014,30,10,72,13
2020-02-11,30,21,0.0,10.2,6,6,75,08:27 PM,08:15 AM,06:34 AM,06:14 PM,20,28,28,25,20,45,74,1.5,1015,30,10,79,14
2020-02-12,30,22,0.0,8.8,6,6,68,09:26 PM,09:03 AM,06:34 AM,06:14 PM,20,27,27,25,21,55,76,0.5,1016,30,10,54,15
2020-02-13,31,21,0.0,11.6,7,7,60,10:23 PM,09:50 AM,06:33 AM,06:15 PM,19,27,27,26,16,2,69,0.0,1015,31,10,55,11
2020-02-14,33,22,0.0,11.6,7,7,53,11:21 PM,10:35 AM,06:33 AM,06:15 PM,18,28,28,27,12,1,64,0.0,1013,33,10,55,9
