date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,17,0.0,4.1,5,5,37,11:15 AM,11:12 PM,06:50 AM,05:48 PM,17,22,22,21,19,79,78,11.1,1015,27,9,150,12
2020-01-02,26,17,0.0,4.1,5,5,44,11:50 AM,12:00 AM,06:50 AM,05:49 PM,17,21,22,21,13,81,81,11.3,1016,26,9,126,8
2020-01-03,24,18,0.0,4.1,5,5,51,12:23 PM,No moonset,06:51 AM,05:50 PM,18,20,21,20,11,71,86,6.1,1015,24,10,52,7
2020-01-04,26,17,0.0,8.7,5,5,59,12:58 PM,12:47 AM,06:51 AM,05:50 PM,15,21,22,21,11,34,71,0.0,1014,26,9,131,7
2020-01-05,25,16,0.0,8.7,6,6,66,01:34 PM,01:37 AM,06:51 AM,05:51 PM,12,20,21,20,14,5,59,0.0,1015,25,10,47,10
2020-01-06,27,15,0.0,8.7,6,6,73,02:11 PM,02:27 AM,06:52 AM,05:51 PM,11,20,21,20,12,17,55,0.0,1017,27,10,51,7
2020-01-07,29,18,0.0,7.2,5,5,80,02:54 PM,03:21 AM,06:52 AM,05:52 PM,14,24,24,23,11,41,57,0.2,1015,29,10,208,7
2020-01-08,30,21,0.0,5.7,6,6,88,03:41 PM,04:16 AM,06:52 AM,05:53 PM,18,27,27,25,25,60,68,2.0,1012,30,10,216,16
2020-01-09,27,19,0.0,8.7,6,6,95,04:34 PM,05:15 AM,06:52 AM,05:53 PM,16,23,23,22,17,48,69,0.1,1014,27,10,27,11
2020-01-10,24,15,0.0,8.7,5,5,100,05:32 PM,06:14 AM,06:52 AM,05:54 PM,8,18,18,18,18,1,54,0.0,1016,24,10,44,12
2020-01-11,26,12,0.0,8.7,5,5,100,06:34 PM,07:13 AM,06:53 AM,05:55 PM,6,18,19,18,13,0,45,0.0,1017,26,10,30,8
2020-01-12,27,14,0.0,8.7,6,6,83,07:38 PM,08:09 AM,06:53 AM,05:55 PM,4,20,20,20,9,0,37,0.0,1015,27,10,54,6
2020-01-13,30,17,0.0,8.7,6,6,76,08:41 PM,09:01 AM,06:53 AM,05:56 PM,3,22,22,23,7,0,29,0.0,1013,30,10,150,4
2020-01-14,30,18,0.0,8.7,6,6,69,09:43 PM,09:49 AM,06:53 AM,05:57 PM,8,23,23,23,11,5,38,0.0,1012,30,10,84,6
2020-01-15,30,19,0.0,8.7,6,6,61,10:43 PM,10:34 AM,06:53 AM,05:57 PM,13,24,24,23,19,12,55,0.0,1013,30,10,150,12
2020-01-16,29,18,0.0,8.7,6,6,54,11:42 PM,11:16 AM,06:53 AM,05:58 PM,12,23,23,23,25,8,52,0.0,1013,29,10,170,15
2020-01-17,28,20,0.0,7.2,5,5,47,No moonrise,11:57 AM,06:53 AM,05:58 PM,15,25,25,24,14,38,58,0.3,1014,28,10,181,9
2020-01-18,29,21,0.0,8.7,7,7,40,12:40 AM,12:39 PM,06:53 AM,05:59 PM,14,25,25,24,11,19,55,0.0,1014,29,10,166,7
2020-01-19,29,19,0.0,10.1,6,6,32,01:38 AM,01:22 PM,06:53 AM,06:00 PM,15,25,25,24,8,31,58,0.1,1014,29,10,127,6
2020-01-20,30,18,0.0,11.5,6,6,25,02:36 AM,02:08 PM,06:53 AM,06:00 PM,14,24,24,23,14,22,56,0.0,1015,30,10,38,8
2020-01-21,30,20,0.0,11.5,7,7,18,03:35 AM,02:56 PM,06:53 AM,06:01 PM,15,26,26,25,12,25,57,0.0,1015,30,10,145,8
2020-01-22,31,20,0.0,11.5,7,7,11,04:33 AM,03:48 PM,06:53 AM,06:02 PM,15,26,26,25,16,13,53,0.0,1016,31,10,140,10
2020-01-23,32,21,0.0,11.5,7,7,3,05:29 AM,04:41 PM,06:53 AM,06:02 PM,12,27,27,26,10,7,43,0.0,1015,32,10,40,6
2020-01-24,32,18,0.0,11.5,7,7,0,06:22 AM,05:37 PM,06:53 AM,06:03 PM,11,24,24,24,12,6,43,0.0,1015,32,10,149,8
2020-01-25,31,19,0.0,11.5,7,7,0,07:11 AM,06:30 PM,06:53 AM,06:03 PM,11,26,26,26,9,4,43,0.0,1014,31,10,223,5
2020-01-26,31,20,0.0,11.5,7,7,4,07:55 AM,07:24 PM,06:52 AM,06:04 PM,9,25,25,25,12,2,39,0.0,1013,31,10,30,8
2020-01-27,33,19,0.0,11.5,7,7,11,08:35 AM,08:15 PM,06:52 AM,06:05 PM,8,26,26,26,14,13,32,0.0,1011,33,10,180,9
2020-01-28,33,24,0.0,11.5,7,7,18,09:13 AM,09:04 PM,06:52 AM,06:05 PM,9,28,28,28,21,24,33,0.0,1010,33,10,259,13
2020-01-29,31,20,0.0,11.5,7,7,26,09:48 AM,09:53 PM,06:52 AM,06:06 PM,10,26,26,25,17,11,40,0.0,1013,31,10,302,11
2020-01-30,28,18,0.0,11.5,6,6,33,10:22 AM,10:40 PM,06:52 AM,06:06 PM,9,23,23,23,14,9,44,0.0,1014,28,10,247,9
2020-01-31,30,16,0.0,11.6,6,6,37,10:56 AM,11:29 PM,06:51 AM,06:07 PM,6,22,22,22,16,4,37,0.0,1013,30,10,52,9
2020-02-01,30,18,0.0,10.1,6,6,49,11:30 AM,No moonset,06:51 AM,06:08 PM,9,23,23,23,17,42,41,0.1,1013,30,10,52,11
2020-02-02,29,18,0.0,11.6,5,5,57,12:06 PM,12:17 AM,06:51 AM,06:08 PM,12,24,24,23,15,51,50,0.2,1016,29,10,129,10
2020-02-03,29,19,0.0,5.8,5,5,64,12:46 PM,01:08 AM,06:50 AM,06:09 PM,14,24,24,23,12,55,58,1.3,1015,29,10,207,8
2020-02-04,31,19,0.0,11.6,7,7,72,01:30 PM,02:02 AM,06:50 AM,06:09 PM,15,26,26,25,15,40,56,0.0,1012,31,10,204,11
2020-02-05,30,22,0.0,10.2,6,6,79,02:18 PM,02:58 AM,06:50 AM,06:10 PM,14,27,27,26,12,44,50,0.0,1013,30,10,202,8
2020-02-06,31,21,0.0,10.2,7,7,87,03:13 PM,03:56 AM,06:49 AM,06:10 PM,14,26,26,25,12,49,50,0.0,1012,31,10,193,8
2020-02-07,31,20,0.0,11.6,7,7,95,04:13 PM,04:55 AM,06:49 AM,06:11 PM,13,25,25,25,16,39,49,0.0,1013,31,10,170,11
2020-02-08,26,18,0.0,5.8,5,5,100,05:17 PM,05:53 AM,06:49 AM,06:11 PM,16,22,22,22,26,67,69,2.0,1015,26,10,58,18
2020-02-09,27,16,0.0,11.6,6,6,100,06:22 PM,06:48 AM,06:48 AM,06:12 PM,13,22,22,21,21,31,61,0.0,1018,27,10,72,14
2020-02-10,30,18,0.0,11.6,6,6,83,07:27 PM,07:39 AM,06:48 AM,06:12 PM,12,24,24,23,14,28,49,0.0,1016,30,10,47,9
2020-02-11,30,19,0.0,11.6,7,7,75,08:30 PM,08:26 AM,06:47 AM,06:13 PM,11,25,25,25,13,22,44,0.0,1016,30,10,89,8
2020-02-12,31,21,0.0,11.6,7,7,68,09:32 PM,09:11 AM,06:47 AM,06:13 PM,11,27,27,26,9,8,43,0.0,1017,31,10,54,6
2020-02-13,32,21,0.0,11.6,7,7,60,10:32 PM,09:54 AM,06:46 AM,06:14 PM,7,26,26,27,7,1,30,0.0,1016,32,10,40,5
2020-02-14,35,22,0.0,11.6,7,7,53,11:33 PM,10:37 AM,06:46 AM,06:14 PM,6,29,29,29,8,0,26,0.0,1013,35,10,318,6
2020-02-15,34,23,0.0,11.6,7,7,45,No moonrise,11:21 AM,06:45 AM,06:15 PM,6,29,29,29,8,1,25,0.0,1013,34,10,143,6
2020-02-16,34,22,0.0,11.6,7,7,38,12:31 AM,12:06 PM,06:44 AM,06:15 PM,6,28,28,28,10,0,25,0.0,1014,34,10,52,7
2020-02-17,33,21,0.0,11.6,7,7,30,01:31 AM,12:54 PM,06:44 AM,06:16 PM,1,26,26,27,13,0,20,0.0,1015,33,10,34,8
2020-02-18,33,20,0.0,11.6,7,7,22,02:28 AM,01:44 PM,06:43 AM,06:16 PM,-2,26,26,27,11,0,16,0.0,1014,33,10,62,7
2020-02-19,36,21,0.0,11.6,7,7,15,03:25 AM,02:37 PM,06:43 AM,06:17 PM,0,28,28,28,10,0,17,0.0,1013,36,10,143,6
2020-02-20,35,20,0.0,11.6,7,7,7,04:17 AM,03:31 PM,06:42 AM,06:17 PM,12,29,29,28,24,4,41,0.0,1013,35,10,149,15
2020-02-21,34,22,0.0,11.6,7,7,0,05:07 AM,04:24 PM,06:41 AM,06:18 PM,12,30,30,28,27,11,41,0.0,1015,34,10,161,17
2020-02-22,35,21,0.0,11.6,7,7,0,05:52 AM,05:17 PM,06:41 AM,06:18 PM,11,29,29,28,19,18,38,0.0,1015,35,10,98,11
2020-02-23,36,22,0.0,11.6,8,8,0,06:33 AM,06:09 PM,06:40 AM,06:18 PM,11,29,29,29,19,12,35,0.0,1014,36,10,163,12
2020-02-24,35,23,0.0,11.6,8,8,0,07:12 AM,06:59 PM,06:39 AM,06:19 PM,10,28,28,29,18,15,31,0.0,1011,35,10,233,12
2020-02-25,33,22,0.0,11.6,7,7,8,07:48 AM,07:48 PM,06:39 AM,06:19 PM,4,27,27,27,15,5,23,0.0,1011,33,10,219,10
2020-02-26,34,19,0.0,11.6,7,7,15,08:21 AM,08:35 PM,06:38 AM,06:20 PM,4,26,26,27,18,1,25,0.0,1012,34,10,34,11
2020-02-27,33,22,0.0,11.6,7,7,23,08:55 AM,09:23 PM,06:37 AM,06:20 PM,2,26,26,26,12,1,21,0.0,1013,33,10,54,8
2020-02-28,35,21,0.0,11.6,7,7,30,09:29 AM,10:11 PM,06:37 AM,06:20 PM,5,28,28,28,12,3,25,0.0,1011,35,10,97,8
2020-02-29,35,20,0.0,11.6,7,7,38,10:04 AM,11:01 PM,06:36 AM,06:21 PM,10,29,29,28,14,10,35,0.0,1011,35,10,153,8
2020-03-01,36,23,0.0,11.6,8,8,44,10:41 AM,11:52 PM,06:35 AM,06:21 PM,10,29,29,29,15,25,34,0.5,1011,36,10,117,10
2020-03-02,34,25,0.0,11.6,8,8,51,11:23 AM,No moonset,06:34 AM,06:21 PM,11,29,29,29,11,33,34,0.2,1011,34,10,262,7
2020-03-03,37,23,0.0,11.6,8,8,58,12:08 PM,12:46 AM,06:34 AM,06:22 PM,8,30,30,30,17,10,28,0.0,1009,37,10,259,12
2020-03-04,36,23,0.0,11.6,8,8,65,12:58 PM,01:42 AM,06:33 AM,06:22 PM,3,29,29,30,13,6,19,0.0,1009,36,10,246,9
2020-03-05,35,22,0.0,11.6,7,7,73,01:55 PM,02:38 AM,06:32 AM,06:22 PM,3,28,28,29,13,6,21,0.0,1009,35,10,167,8
2020-03-06,36,21,0.0,10.2,7,7,80,02:55 PM,03:36 AM,06:31 AM,06:23 PM,10,29,29,29,19,17,38,0.4,1008,36,10,228,14
2020-03-07,34,20,0.0,11.6,7,7,87,03:59 PM,04:31 AM,06:30 AM,06:23 PM,8,28,28,28,13,19,31,0.0,1012,34,10,289,9
2020-03-08,34,22,0.0,11.6,7,7,95,05:04 PM,05:24 AM,06:30 AM,06:23 PM,15,29,29,28,12,28,46,0.0,1011,34,10,198,8
2020-03-09,33,23,0.0,10.2,6,6,100,06:09 PM,06:13 AM,06:29 AM,06:24 PM,17,28,28,27,17,39,55,1.6,1010,33,10,159,11
2020-03-10,35,25,0.0,10.2,7,7,100,07:13 PM,07:00 AM,06:28 AM,06:24 PM,15,30,30,30,17,36,41,0.1,1009,35,10,183,12
2020-03-11,34,26,0.0,10.2,7,7,84,08:16 PM,07:45 AM,06:27 AM,06:24 PM,14,29,29,29,15,45,41,0.0,1010,34,10,274,11
2020-03-12,36,25,0.0,11.6,8,8,76,09:19 PM,08:29 AM,06:26 AM,06:24 PM,11,30,30,30,15,36,32,0.0,1011,36,10,261,9
2020-03-13,36,25,0.0,11.6,8,8,69,10:20 PM,09:14 AM,06:26 AM,06:25 PM,13,30,30,30,17,30,36,0.0,1011,36,10,186,12
2020-03-14,36,25,0.0,11.6,7,7,62,11:22 PM,10:00 AM,06:25 AM,06:25 PM,12,30,30,30,15,36,33,0.1,1010,36,10,261,9
2020-03-15,36,24,0.0,11.6,8,8,55,No moonrise,10:49 AM,06:24 AM,06:25 PM,8,29,29,30,9,26,25,0.0,1011,36,10,201,6
2020-03-16,36,24,0.0,11.6,8,8,47,12:22 AM,11:40 AM,06:23 AM,06:26 PM,11,30,30,30,12,23,31,0.0,1012,36,10,163,8
2020-03-17,36,25,0.0,11.6,8,8,40,01:21 AM,12:32 PM,06:22 AM,06:26 PM,13,32,32,31,10,19,34,0.0,1012,36,10,113,7
2020-03-18,36,25,0.0,11.6,8,8,33,02:15 AM,01:27 PM,06:21 AM,06:26 PM,14,31,31,30,10,39,38,1.0,1012,36,10,77,7
2020-03-19,37,24,0.0,10.2,7,7,25,03:06 AM,02:20 PM,06:20 AM,06:26 PM,12,32,32,32,17,33,36,1.9,1010,37,10,254,11
2020-03-20,38,23,0.0,11.6,8,8,18,03:52 AM,03:13 PM,06:20 AM,06:27 PM,8,32,32,31,14,10,28,0.0,1010,38,10,240,9
2020-03-21,37,23,0.0,11.6,8,8,11,04:33 AM,04:05 PM,06:19 AM,06:27 PM,1,30,30,31,17,0,16,0.0,1010,37,10,286,11
2020-03-22,38,25,0.0,11.6,8,8,4,05:13 AM,04:55 PM,06:18 AM,06:27 PM,2,32,32,32,10,1,16,0.0,1010,38,10,40,6
2020-03-23,39,24,0.0,11.6,8,8,0,05:49 AM,05:44 PM,06:17 AM,06:28 PM,11,33,33,33,13,4,31,0.0,1010,39,10,255,7
