date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,16,1,0.1,8.7,3,3,37,11:19 AM,11:01 PM,07:06 AM,05:23 PM,-1,7,8,7,10,28,55,0.2,1025,16,10,150,6
2020-01-02,13,2,5.4,3.8,2,2,44,11:49 AM,11:53 PM,07:07 AM,05:24 PM,4,5,6,5,9,71,86,10.7,1024,13,7,56,6
2020-01-03,14,1,8.8,7.1,2,2,51,12:18 PM,No moonset,07:07 AM,05:25 PM,4,5,6,5,7,74,89,11.5,1020,14,7,161,4
2020-01-04,14,1,3.6,3.8,2,2,59,12:48 PM,12:45 AM,07:07 AM,05:25 PM,4,5,6,5,6,75,88,6.4,1018,14,8,229,4
2020-01-05,16,-2,0.0,8.7,3,3,66,01:20 PM,01:39 AM,07:07 AM,05:26 PM,-0,5,5,5,7,7,70,0.0,1019,16,10,290,4
2020-01-06,16,2,1.1,7.1,3,3,73,01:55 PM,02:33 AM,07:07 AM,05:27 PM,-0,7,8,7,9,54,60,3.4,1019,16,9,296,5
2020-01-07,11,3,10.5,3.8,2,2,80,02:33 PM,03:31 AM,07:07 AM,05:28 PM,6,6,6,6,5,91,96,24.1,1017,11,5,254,3
2020-01-08,12,3,11.1,5.5,2,2,88,03:17 PM,04:30 AM,07:08 AM,05:28 PM,5,5,6,5,10,80,93,30.6,1015,12,7,144,6
2020-01-09,11,-2,34.3,3.8,2,2,95,04:07 PM,05:31 AM,07:08 AM,05:29 PM,2,2,3,2,7,68,95,56.1,1019,11,5,138,4
2020-01-10,19,-1,0.0,8.7,4,4,100,05:05 PM,06:31 AM,07:08 AM,05:30 PM,3,7,8,7,6,1,72,0.0,1021,19,10,165,3
2020-01-11,19,1,0.0,8.7,4,4,100,06:08 PM,07:30 AM,07:08 AM,05:31 PM,0,9,9,9,5,14,58,0.0,1021,19,10,279,3
2020-01-12,22,1,0.0,8.7,4,4,83,07:15 PM,08:23 AM,07:08 AM,05:32 PM,3,10,12,10,7,8,55,0.0,1018,22,10,286,4
2020-01-13,22,7,0.0,8.7,4,4,76,08:22 PM,09:12 AM,07:08 AM,05:33 PM,6,13,13,13,6,35,68,2.3,1014,22,10,195,3
2020-01-14,18,5,0.0,3.8,3,3,69,09:30 PM,09:56 AM,07:07 AM,05:33 PM,8,10,10,10,5,76,88,8.6,1016,18,10,222,3
2020-01-15,18,4,0.0,5.5,3,3,61,10:34 PM,10:35 AM,07:07 AM,05:34 PM,6,10,10,10,6,49,78,0.4,1019,18,10,200,4
2020-01-16,16,4,1.3,3.9,3,3,54,11:39 PM,11:13 AM,07:07 AM,05:35 PM,6,9,9,9,7,73,81,4.0,1017,16,8,129,4
2020-01-17,11,3,6.8,5.5,2,2,47,No moonrise,11:49 AM,07:07 AM,05:36 PM,6,6,7,6,8,72,94,24.0,1017,11,6,93,5
2020-01-18,13,1,8.3,5.5,2,2,40,12:42 AM,12:26 PM,07:07 AM,05:37 PM,5,6,6,6,8,76,89,13.3,1018,13,8,146,5
2020-01-19,17,0,0.0,8.7,2,2,32,01:45 AM,01:05 PM,07:07 AM,05:38 PM,2,6,7,6,6,32,76,0.6,1020,17,10,176,3
2020-01-20,17,0,0.0,8.7,2,2,25,02:47 AM,01:46 PM,07:06 AM,05:38 PM,0,5,6,5,7,46,68,0.0,1019,17,10,236,4
2020-01-21,15,1,0.2,5.5,2,2,18,03:49 AM,02:32 PM,07:06 AM,05:39 PM,2,6,6,6,8,35,72,0.4,1020,15,9,112,5
2020-01-22,19,1,0.0,8.7,3,3,11,04:49 AM,03:22 PM,07:06 AM,05:40 PM,1,6,7,6,9,8,69,0.0,1022,19,10,172,4
2020-01-23,15,2,0.0,8.7,3,3,3,05:47 AM,04:15 PM,07:06 AM,05:41 PM,0,6,7,6,8,1,64,0.0,1019,15,10,273,5
2020-01-24,17,2,0.0,8.7,3,3,0,06:38 AM,05:11 PM,07:05 AM,05:42 PM,-1,8,8,8,7,0,59,0.0,1017,17,10,166,4
2020-01-25,12,2,0.0,8.7,3,3,0,07:26 AM,06:07 PM,07:05 AM,05:43 PM,2,5,6,5,6,29,78,0.0,1017,12,9,225,3
2020-01-26,14,2,0.0,8.7,2,2,4,08:07 AM,07:04 PM,07:04 AM,05:44 PM,2,6,6,6,7,16,80,0.1,1016,14,9,250,4
2020-01-27,17,2,0.0,8.7,2,2,11,08:44 AM,07:58 PM,07:04 AM,05:44 PM,1,7,7,7,7,26,67,0.0,1015,17,10,264,4
2020-01-28,12,3,8.5,5.5,2,2,18,09:18 AM,08:52 PM,07:04 AM,05:45 PM,3,4,5,4,10,63,84,19.3,1014,12,7,38,6
2020-01-29,11,1,16.0,3.9,2,2,26,09:49 AM,09:45 PM,07:03 AM,05:46 PM,4,4,5,4,9,75,94,24.4,1017,11,6,58,5
2020-01-30,16,0,0.9,7.1,2,2,33,10:18 AM,10:36 PM,07:03 AM,05:47 PM,3,6,6,6,6,41,80,2.2,1018,16,10,218,3
2020-01-31,18,1,0.0,8.7,4,4,37,10:48 AM,11:29 PM,07:02 AM,05:48 PM,3,7,7,7,6,11,78,0.0,1017,18,10,189,4
2020-02-01,15,1,0.3,7.1,2,2,49,11:19 AM,No moonset,07:02 AM,05:49 PM,0,6,6,6,5,41,70,1.3,1020,15,9,216,3
2020-02-02,19,0,0.0,8.7,4,4,57,11:51 AM,12:22 AM,07:01 AM,05:49 PM,2,7,8,7,6,3,69,0.0,1022,19,10,266,3
2020-02-03,20,2,0.0,8.7,4,4,64,12:26 PM,01:17 AM,07:00 AM,05:50 PM,2,9,9,9,6,3,66,0.0,1021,20,10,226,3
2020-02-04,18,1,0.6,7.1,3,3,72,01:07 PM,02:14 AM,07:00 AM,05:51 PM,3,7,7,7,7,40,77,1.2,1019,18,9,193,4
2020-02-05,19,1,0.0,8.7,4,4,79,01:53 PM,03:13 AM,06:59 AM,05:52 PM,2,8,8,8,6,3,69,0.0,1019,19,10,284,4
