date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,7.1,3,3,37,11:23 AM,11:06 PM,07:10 AM,05:30 PM,1,13,13,13,12,28,44,0.0,1021,19,10,136,7
2020-01-02,20,12,0.0,8.7,4,4,44,11:54 AM,11:58 PM,07:10 AM,05:30 PM,7,15,16,15,12,44,57,0.0,1021,20,9,144,7
2020-01-03,21,13,0.0,3.8,4,4,51,12:23 PM,No moonset,07:10 AM,05:31 PM,11,15,15,15,8,75,74,6.5,1018,21,10,91,5
2020-01-04,20,11,0.0,7.1,4,4,59,12:54 PM,12:50 AM,07:10 AM,05:32 PM,9,15,15,15,13,32,69,0.2,1016,20,9,262,8
2020-01-05,20,11,0.0,8.7,5,5,66,01:26 PM,01:43 AM,07:10 AM,05:33 PM,6,14,14,14,22,16,56,0.0,1016,20,10,301,13
2020-01-06,18,12,0.0,8.7,4,4,73,02:00 PM,02:37 AM,07:11 AM,05:33 PM,5,14,14,14,23,50,53,0.0,1018,18,10,312,14
2020-01-07,16,14,0.0,3.8,3,3,80,02:39 PM,03:34 AM,07:11 AM,05:34 PM,11,14,14,14,14,75,80,4.8,1017,16,7,32,9
2020-01-08,18,7,0.0,7.1,4,4,88,03:24 PM,04:33 AM,07:11 AM,05:35 PM,11,13,14,13,23,69,82,55.1,1015,18,8,127,15
2020-01-09,18,10,0.0,8.7,4,4,95,04:14 PM,05:34 AM,07:11 AM,05:36 PM,7,12,13,12,18,17,73,1.2,1018,18,8,307,13
2020-01-10,20,9,0.0,8.7,4,4,100,05:12 PM,06:35 AM,07:11 AM,05:36 PM,6,11,12,11,22,5,65,0.0,1018,20,10,292,13
2020-01-11,20,8,0.0,8.7,4,4,100,06:15 PM,07:33 AM,07:11 AM,05:37 PM,6,12,13,12,17,13,64,0.0,1018,20,10,275,10
2020-01-12,21,9,0.0,8.7,5,5,83,07:22 PM,08:27 AM,07:11 AM,05:38 PM,7,15,16,15,14,8,59,0.0,1015,21,10,285,9
2020-01-13,20,13,0.0,8.7,4,4,76,08:28 PM,09:16 AM,07:11 AM,05:39 PM,8,15,16,15,11,38,61,5.3,1012,20,10,135,7
2020-01-14,22,13,0.0,5.5,4,4,69,09:35 PM,10:00 AM,07:11 AM,05:40 PM,11,16,17,16,11,43,74,1.8,1015,22,10,161,6
2020-01-15,23,13,0.0,8.7,5,5,61,10:40 PM,10:40 AM,07:11 AM,05:40 PM,10,16,17,16,12,19,69,0.0,1015,23,10,264,8
2020-01-16,16,14,0.0,3.9,4,4,54,11:44 PM,11:18 AM,07:11 AM,05:41 PM,12,15,15,15,8,80,83,11.9,1015,16,9,208,5
2020-01-17,18,13,0.0,3.9,4,4,47,No moonrise,11:54 AM,07:11 AM,05:42 PM,13,14,15,14,19,83,87,30.7,1016,18,8,83,11
2020-01-18,19,11,0.0,3.9,4,4,40,12:46 AM,12:31 PM,07:10 AM,05:43 PM,11,14,14,14,13,74,83,6.7,1017,19,7,189,8
2020-01-19,20,11,0.0,8.7,5,5,32,01:49 AM,01:11 PM,07:10 AM,05:44 PM,10,13,14,13,19,2,76,0.0,1017,20,10,291,12
2020-01-20,20,9,0.0,8.7,4,4,25,02:51 AM,01:53 PM,07:10 AM,05:45 PM,8,13,14,13,14,17,71,0.0,1017,20,10,277,8
2020-01-21,21,11,0.0,8.7,5,5,18,03:53 AM,02:38 PM,07:10 AM,05:45 PM,7,15,15,15,6,20,61,0.0,1018,21,10,139,3
2020-01-22,22,11,0.0,8.7,5,5,11,04:53 AM,03:28 PM,07:09 AM,05:46 PM,8,14,15,14,20,5,63,0.0,1019,22,10,288,12
2020-01-23,19,9,0.0,8.7,4,4,3,05:50 AM,04:21 PM,07:09 AM,05:47 PM,5,11,13,11,34,0,62,0.0,1016,19,10,296,21
