date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,16,0.0,10.9,6,6,37,11:41 AM,11:33 PM,07:18 AM,06:05 PM,11,21,21,21,20,6,56,0.0,1014,27,10,159,12
2020-01-02,28,16,0.0,10.9,6,6,44,12:13 PM,No moonset,07:19 AM,06:05 PM,13,22,22,21,18,5,61,0.0,1016,28,10,140,11
2020-01-03,26,15,0.0,10.9,6,6,51,12:46 PM,12:22 AM,07:19 AM,06:06 PM,11,20,20,20,20,12,57,0.0,1016,26,10,24,12
2020-01-04,26,15,0.0,10.9,6,6,59,01:20 PM,01:12 AM,07:19 AM,06:07 PM,8,20,20,20,22,4,50,0.0,1015,26,10,35,13
2020-01-05,27,15,0.0,10.9,6,6,66,01:54 PM,02:01 AM,07:20 AM,06:07 PM,6,20,20,20,25,0,41,0.0,1015,27,10,83,15
2020-01-06,30,16,0.0,10.9,6,6,73,02:31 PM,02:53 AM,07:20 AM,06:08 PM,8,24,24,23,15,6,41,0.0,1015,30,10,105,9
2020-01-07,31,20,0.0,10.9,7,7,80,03:13 PM,03:48 AM,07:20 AM,06:09 PM,13,25,25,24,11,18,50,0.0,1013,31,10,211,7
2020-01-08,27,19,0.0,10.9,6,6,88,03:59 PM,04:44 AM,07:20 AM,06:09 PM,8,23,23,22,21,12,45,0.0,1013,27,10,321,13
2020-01-09,25,12,0.0,10.9,5,5,95,04:51 PM,05:44 AM,07:20 AM,06:10 PM,3,17,18,17,30,0,41,0.0,1016,25,10,43,17
2020-01-10,26,12,0.0,10.9,5,5,100,05:49 PM,06:43 AM,07:20 AM,06:11 PM,2,18,20,18,31,0,35,0.0,1016,26,10,75,19
2020-01-11,29,14,0.0,10.9,6,6,100,06:51 PM,07:42 AM,07:21 AM,06:11 PM,7,23,23,22,22,2,41,0.0,1015,29,10,80,13
2020-01-12,31,19,0.0,10.9,7,7,83,07:56 PM,08:37 AM,07:21 AM,06:12 PM,13,25,25,25,14,6,49,0.0,1013,31,10,178,8
2020-01-13,27,17,0.0,10.1,5,5,76,09:01 PM,09:29 AM,07:21 AM,06:13 PM,14,22,22,21,20,36,65,0.2,1012,27,10,282,14
2020-01-14,27,14,0.0,10.9,6,6,69,10:04 PM,10:15 AM,07:21 AM,06:14 PM,8,20,20,20,17,7,49,0.0,1013,27,10,203,10
2020-01-15,26,15,0.0,10.9,6,6,61,11:06 PM,10:59 AM,07:21 AM,06:14 PM,5,20,21,20,20,11,40,0.0,1013,26,10,204,11
2020-01-16,24,13,0.0,10.9,5,5,54,No moonrise,11:40 AM,07:21 AM,06:15 PM,6,18,20,18,20,0,50,0.0,1014,24,10,302,13
2020-01-17,27,14,0.0,11.0,6,6,47,12:06 AM,12:19 PM,07:21 AM,06:16 PM,10,21,22,21,11,0,57,0.0,1016,27,10,52,7
2020-01-18,29,14,0.0,11.0,6,6,40,01:05 AM,01:00 PM,07:21 AM,06:16 PM,7,21,22,21,18,0,44,0.0,1015,29,10,161,10
2020-01-19,28,13,0.0,11.0,6,6,32,02:04 AM,01:42 PM,07:21 AM,06:17 PM,4,19,20,19,28,2,39,0.0,1016,28,10,45,17
2020-01-20,30,14,0.0,10.1,6,6,25,03:04 AM,02:26 PM,07:21 AM,06:18 PM,4,23,23,22,23,18,33,0.0,1015,30,10,45,13
2020-01-21,31,16,0.0,11.0,6,6,18,04:04 AM,03:14 PM,07:21 AM,06:18 PM,4,23,23,23,18,0,31,0.0,1015,31,10,222,10
2020-01-22,31,15,0.0,11.0,6,6,11,05:02 AM,04:05 PM,07:20 AM,06:19 PM,5,23,23,23,22,0,33,0.0,1016,31,10,25,13
2020-01-23,30,16,0.0,11.0,6,6,3,05:58 AM,04:59 PM,07:20 AM,06:20 PM,6,22,22,22,32,0,38,0.0,1016,30,10,46,19
