date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,22,0.0,8.7,6,6,37,11:07 AM,11:14 PM,06:32 AM,06:02 PM,22,28,28,25,17,55,84,7.8,1014,29,9,81,11
2020-01-02,30,23,0.0,8.7,6,6,44,11:45 AM,11:59 PM,06:32 AM,06:02 PM,23,29,29,26,15,59,85,1.6,1015,30,9,65,10
2020-01-03,30,23,0.0,7.3,6,6,51,12:21 PM,No moonset,06:33 AM,06:03 PM,23,29,29,26,14,51,85,3.3,1013,30,8,72,9
2020-01-04,30,23,0.0,10.2,6,6,59,12:59 PM,12:43 AM,06:33 AM,06:03 PM,23,29,29,26,13,35,83,1.2,1012,30,8,87,9
2020-01-05,31,23,0.0,10.2,6,6,66,01:38 PM,01:29 AM,06:34 AM,06:04 PM,23,29,29,26,12,40,82,0.1,1012,31,9,84,8
2020-01-06,29,24,0.0,7.3,6,6,73,02:19 PM,02:16 AM,06:34 AM,06:04 PM,23,29,29,26,18,61,84,2.6,1014,29,10,70,12
2020-01-07,27,23,0.0,5.9,6,6,80,03:04 PM,03:07 AM,06:34 AM,06:05 PM,22,27,27,25,21,67,86,7.4,1013,27,9,56,13
2020-01-08,29,22,0.0,7.3,6,6,88,03:54 PM,04:00 AM,06:35 AM,06:05 PM,21,27,27,25,21,56,81,1.3,1013,29,10,43,14
2020-01-09,29,20,0.0,11.6,7,7,95,04:47 PM,04:57 AM,06:35 AM,06:06 PM,20,27,27,25,14,2,76,0.0,1013,29,10,48,11
2020-01-10,28,21,0.0,11.6,7,7,100,05:46 PM,05:55 AM,06:35 AM,06:06 PM,20,26,26,24,17,9,77,0.0,1013,28,10,46,12
2020-01-11,28,20,0.0,11.6,6,6,100,06:47 PM,06:54 AM,06:35 AM,06:07 PM,19,25,25,23,24,33,79,0.1,1014,28,10,37,16
2020-01-12,28,21,0.0,7.3,5,5,83,07:49 PM,07:52 AM,06:36 AM,06:07 PM,20,26,26,24,19,59,82,2.3,1013,28,10,54,13
2020-01-13,28,22,0.0,8.7,6,6,76,08:49 PM,08:47 AM,06:36 AM,06:08 PM,20,27,27,24,18,58,78,1.5,1012,28,10,53,12
2020-01-14,30,21,0.0,11.6,7,7,69,09:48 PM,09:39 AM,06:36 AM,06:08 PM,18,26,26,24,16,10,70,0.0,1012,30,10,46,11
2020-01-15,28,18,0.0,11.6,5,5,61,10:44 PM,10:26 AM,06:36 AM,06:09 PM,18,24,24,23,17,21,73,0.0,1013,28,10,49,12
2020-01-16,29,19,0.0,10.2,5,5,54,11:39 PM,11:13 AM,06:37 AM,06:09 PM,19,25,25,24,17,27,75,0.0,1013,29,10,54,11
2020-01-17,29,21,0.0,7.3,6,6,47,No moonrise,11:58 AM,06:37 AM,06:10 PM,22,28,28,25,19,54,83,0.9,1012,29,9,49,13
2020-01-18,29,23,0.0,5.9,6,6,40,12:33 AM,12:43 PM,06:37 AM,06:10 PM,22,28,28,25,21,73,85,10.3,1012,29,9,73,13
2020-01-19,29,23,0.0,10.2,6,6,32,01:28 AM,01:30 PM,06:37 AM,06:11 PM,22,28,28,25,21,46,80,0.7,1013,29,10,52,14
2020-01-20,30,21,0.0,11.6,7,7,25,02:23 AM,02:18 PM,06:37 AM,06:11 PM,21,27,27,25,19,27,78,0.0,1014,30,8,51,13
2020-01-21,29,20,0.0,5.9,6,6,18,03:19 AM,03:09 PM,06:37 AM,06:12 PM,20,26,26,24,22,53,80,0.4,1015,29,10,45,15
2020-01-22,27,21,0.0,7.3,6,6,11,04:15 AM,04:02 PM,06:37 AM,06:12 PM,21,27,27,24,26,76,82,1.0,1015,27,10,39,18
2020-01-23,29,20,0.0,5.9,6,6,3,05:10 AM,04:56 PM,06:38 AM,06:13 PM,21,27,27,25,24,71,79,1.9,1014,29,10,48,17
2020-01-24,29,21,0.0,7.3,6,6,0,06:03 AM,05:50 PM,06:38 AM,06:13 PM,21,27,27,25,20,64,79,0.8,1014,29,10,47,15
2020-01-25,31,19,0.0,11.6,7,7,0,06:53 AM,06:42 PM,06:38 AM,06:14 PM,18,26,26,24,18,1,72,0.0,1014,31,10,47,12
2020-01-26,32,21,0.0,11.6,7,7,4,07:40 AM,07:33 PM,06:38 AM,06:14 PM,19,27,27,25,14,0,70,0.0,1013,32,10,61,10
2020-01-27,32,22,0.0,11.6,7,7,11,08:23 AM,08:21 PM,06:38 AM,06:15 PM,20,28,28,26,13,0,71,0.0,1013,32,10,100,10
2020-01-28,33,22,0.0,11.6,7,7,18,09:03 AM,09:08 PM,06:38 AM,06:15 PM,21,28,28,26,13,3,74,0.0,1013,33,10,91,9
2020-01-29,32,21,0.0,11.6,7,7,26,09:42 AM,09:53 PM,06:38 AM,06:15 PM,21,28,28,26,13,4,74,0.0,1014,32,10,86,10
2020-01-30,34,22,0.0,11.6,7,7,33,10:18 AM,10:37 PM,06:38 AM,06:16 PM,21,29,29,27,12,2,72,0.0,1013,34,10,85,9
2020-01-31,32,21,0.0,11.6,7,7,37,10:55 AM,11:22 PM,06:37 AM,06:16 PM,21,28,28,27,13,4,73,0.0,1012,32,10,91,10
2020-02-01,32,21,0.0,10.2,6,6,49,11:33 AM,No moonset,06:37 AM,06:17 PM,20,28,28,26,15,31,72,0.2,1013,32,10,95,10
2020-02-02,31,21,0.0,10.2,6,6,57,12:12 PM,12:08 AM,06:37 AM,06:17 PM,20,28,28,26,16,24,70,0.2,1015,31,10,77,12
2020-02-03,31,20,0.0,11.6,7,7,64,12:55 PM,12:56 AM,06:37 AM,06:17 PM,19,27,27,25,20,5,70,0.0,1015,31,10,57,14
2020-02-04,29,20,0.0,5.9,6,6,72,01:41 PM,01:47 AM,06:37 AM,06:18 PM,21,27,27,25,19,53,80,2.6,1013,29,10,73,13
2020-02-05,31,22,0.0,10.2,6,6,79,02:32 PM,02:40 AM,06:37 AM,06:18 PM,20,28,28,26,19,38,72,1.9,1013,31,10,69,13
2020-02-06,32,21,0.0,11.6,7,7,87,03:28 PM,03:38 AM,06:37 AM,06:18 PM,19,27,27,26,16,3,69,0.0,1014,32,10,86,11
2020-02-07,31,22,0.0,11.6,7,7,95,04:27 PM,04:36 AM,06:37 AM,06:19 PM,20,28,28,26,15,8,71,0.0,1014,31,10,89,10
2020-02-08,32,21,0.0,11.6,7,7,100,05:30 PM,05:35 AM,06:36 AM,06:19 PM,19,28,28,26,15,15,68,0.0,1014,32,10,94,10
2020-02-09,31,22,0.0,11.6,7,7,100,06:32 PM,06:32 AM,06:36 AM,06:19 PM,19,28,28,26,17,24,69,0.1,1015,31,10,72,12
