date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,14,10,0.0,5.5,3,3,37,11:17 AM,11:04 PM,07:00 AM,05:31 PM,3,11,12,11,20,48,55,0.2,1020,14,10,99,11
2020-01-02,19,11,0.0,7.1,4,4,44,11:48 AM,11:54 PM,07:00 AM,05:31 PM,7,14,15,14,19,47,62,1.0,1019,19,10,87,11
2020-01-03,19,12,0.0,3.9,4,4,51,12:19 PM,No moonset,07:00 AM,05:32 PM,12,15,15,15,13,61,84,0.3,1017,19,10,38,8
2020-01-04,21,12,0.0,8.7,4,4,59,12:51 PM,12:45 AM,07:01 AM,05:33 PM,11,16,16,16,9,25,73,0.0,1016,21,10,300,5
2020-01-05,22,13,0.0,8.7,5,5,66,01:24 PM,01:37 AM,07:01 AM,05:34 PM,8,16,16,16,13,2,61,0.0,1017,22,10,288,8
2020-01-06,22,12,0.0,8.7,5,5,73,01:59 PM,02:30 AM,07:01 AM,05:34 PM,7,17,17,17,13,28,54,0.0,1018,22,10,307,7
2020-01-07,23,15,0.0,8.7,5,5,80,02:39 PM,03:26 AM,07:01 AM,05:35 PM,9,18,18,18,18,18,56,0.0,1016,23,10,118,10
2020-01-08,19,13,0.0,3.9,4,4,88,03:24 PM,04:24 AM,07:01 AM,05:36 PM,10,15,15,15,24,79,73,3.7,1013,19,9,103,15
2020-01-09,18,10,0.0,8.7,4,4,95,04:15 PM,05:25 AM,07:01 AM,05:36 PM,8,12,13,12,20,19,71,0.1,1017,18,9,327,13
2020-01-10,18,8,0.0,8.7,4,4,100,05:13 PM,06:24 AM,07:02 AM,05:37 PM,3,11,12,11,17,0,58,0.0,1019,18,10,289,10
2020-01-11,20,8,0.0,8.7,4,4,100,06:16 PM,07:23 AM,07:02 AM,05:38 PM,4,12,13,12,13,6,55,0.0,1019,20,10,281,8
2020-01-12,21,10,0.0,8.7,5,5,83,07:22 PM,08:17 AM,07:02 AM,05:39 PM,4,15,15,15,10,3,50,0.0,1016,21,10,272,6
2020-01-13,23,12,0.0,8.7,5,5,76,08:28 PM,09:08 AM,07:02 AM,05:40 PM,5,16,17,16,16,8,48,0.0,1012,23,10,143,9
2020-01-14,21,11,0.0,8.7,5,5,69,09:33 PM,09:53 AM,07:02 AM,05:40 PM,7,16,17,16,12,37,54,0.0,1014,21,10,146,7
2020-01-15,19,11,0.0,3.9,4,4,61,10:36 PM,10:34 AM,07:02 AM,05:41 PM,11,15,16,15,9,73,74,5.6,1015,19,10,90,5
2020-01-16,15,10,0.0,3.9,3,3,54,11:39 PM,11:13 AM,07:02 AM,05:42 PM,14,14,15,14,23,87,95,53.0,1014,15,7,99,14
2020-01-17,19,13,0.0,3.9,4,4,47,No moonrise,11:51 AM,07:01 AM,05:43 PM,13,16,16,16,8,67,85,1.0,1015,19,8,195,5
2020-01-18,21,13,0.0,8.7,5,5,40,12:40 AM,12:29 PM,07:01 AM,05:43 PM,12,16,16,16,9,10,77,0.0,1017,21,10,287,6
2020-01-19,19,12,0.0,8.7,5,5,32,01:42 AM,01:10 PM,07:01 AM,05:44 PM,9,14,15,14,16,1,70,0.0,1017,19,10,324,9
2020-01-20,18,10,0.0,8.7,4,4,25,02:43 AM,01:53 PM,07:01 AM,05:45 PM,5,13,13,13,11,18,59,0.0,1017,18,10,271,6
2020-01-21,20,12,0.0,8.7,5,5,18,03:44 AM,02:39 PM,07:01 AM,05:46 PM,7,15,15,15,9,13,60,0.0,1018,20,10,115,5
2020-01-22,21,12,0.0,8.7,5,5,11,04:43 AM,03:30 PM,07:01 AM,05:46 PM,7,15,15,15,14,0,58,0.0,1019,21,10,328,8
2020-01-23,20,10,0.0,8.7,4,4,3,05:40 AM,04:23 PM,07:00 AM,05:47 PM,6,12,13,12,26,0,63,0.0,1017,20,10,290,15
2020-01-24,20,8,0.0,8.7,4,4,0,06:32 AM,05:18 PM,07:00 AM,05:48 PM,4,12,13,12,23,0,56,0.0,1016,20,10,278,14
2020-01-25,21,10,0.0,8.7,5,5,0,07:20 AM,06:14 PM,07:00 AM,05:49 PM,5,15,15,15,12,1,53,0.0,1016,21,10,303,7
2020-01-26,22,11,0.0,8.7,5,5,4,08:02 AM,07:09 PM,07:00 AM,05:50 PM,7,16,16,16,11,4,57,0.0,1015,22,10,284,7
2020-01-27,23,13,0.0,8.7,5,5,11,08:40 AM,08:03 PM,06:59 AM,05:50 PM,9,17,18,17,10,17,59,0.0,1012,23,10,153,5
2020-01-28,24,14,0.0,8.7,5,5,18,09:15 AM,08:55 PM,06:59 AM,05:51 PM,11,18,19,18,21,32,66,0.0,1010,24,10,99,12
2020-01-29,23,14,0.0,7.2,4,4,26,09:48 AM,09:46 PM,06:58 AM,05:52 PM,12,17,18,17,19,45,73,1.7,1015,23,10,236,11
2020-01-30,20,11,0.0,8.7,5,5,33,10:19 AM,10:37 PM,06:58 AM,05:53 PM,8,14,15,14,22,0,65,0.0,1017,20,10,303,13
2020-01-31,21,10,0.0,8.7,5,5,37,10:50 AM,11:28 PM,06:58 AM,05:53 PM,7,15,15,15,14,1,61,0.0,1015,21,10,315,9
2020-02-01,21,11,0.0,8.7,5,5,49,11:22 AM,No moonset,06:57 AM,05:54 PM,7,15,15,15,13,10,61,0.0,1017,21,10,286,7
2020-02-02,20,11,0.0,8.7,5,5,57,11:55 AM,12:19 AM,06:57 AM,05:55 PM,6,14,15,14,13,0,55,0.0,1019,20,10,301,8
2020-02-03,21,9,0.0,8.7,5,5,64,12:32 PM,01:13 AM,06:56 AM,05:56 PM,5,15,15,15,10,0,52,0.0,1018,21,10,315,6
2020-02-04,22,11,0.0,8.7,5,5,72,01:14 PM,02:09 AM,06:56 AM,05:56 PM,6,15,15,15,14,5,56,0.0,1016,22,10,59,8
2020-02-05,22,11,0.0,8.7,5,5,79,02:01 PM,03:07 AM,06:55 AM,05:57 PM,7,16,16,16,13,6,57,0.0,1016,22,10,316,8
2020-02-06,23,11,0.0,8.7,5,5,87,02:55 PM,04:06 AM,06:54 AM,05:58 PM,6,15,16,15,13,6,56,0.0,1016,23,10,204,7
2020-02-07,22,11,0.0,8.7,5,5,95,03:55 PM,05:05 AM,06:54 AM,05:58 PM,7,15,15,15,17,12,59,0.0,1018,22,10,259,9
2020-02-08,21,11,0.0,8.7,5,5,100,05:00 PM,06:02 AM,06:53 AM,05:59 PM,6,15,15,15,13,1,56,0.0,1020,21,10,328,8
2020-02-09,25,11,0.0,11.5,5,5,100,06:08 PM,06:55 AM,06:53 AM,06:00 PM,8,17,19,17,8,3,59,0.0,1021,25,10,221,4
2020-02-10,23,11,0.0,11.5,5,5,83,07:16 PM,07:44 AM,06:52 AM,06:01 PM,6,16,16,16,10,15,51,0.0,1019,23,10,293,6
2020-02-11,23,12,0.0,11.5,5,5,75,08:22 PM,08:28 AM,06:51 AM,06:01 PM,6,17,18,17,8,2,50,0.0,1018,23,10,290,5
2020-02-12,24,12,0.0,11.5,5,5,68,09:28 PM,09:09 AM,06:51 AM,06:02 PM,7,18,18,18,14,0,50,0.0,1018,24,10,290,9
2020-02-13,28,14,0.0,11.5,6,6,60,10:31 PM,09:49 AM,06:50 AM,06:03 PM,9,20,20,20,28,0,51,0.0,1014,28,10,288,16
2020-02-14,27,15,0.0,11.5,6,6,53,11:35 PM,10:28 AM,06:49 AM,06:03 PM,7,19,19,19,29,1,45,0.0,1011,27,10,296,17
2020-02-15,25,13,0.0,11.6,5,5,45,No moonrise,11:09 AM,06:48 AM,06:04 PM,5,18,19,18,20,1,41,0.0,1013,25,10,304,12
2020-02-16,27,13,0.0,11.6,6,6,38,12:37 AM,11:52 AM,06:48 AM,06:05 PM,5,19,19,19,16,0,41,0.0,1015,27,10,318,10
2020-02-17,28,14,0.0,11.6,6,6,30,01:39 AM,12:37 PM,06:47 AM,06:05 PM,5,20,20,20,15,0,40,0.0,1016,28,10,307,9
2020-02-18,27,13,0.0,11.6,6,6,22,02:38 AM,01:26 PM,06:46 AM,06:06 PM,3,19,19,19,16,0,35,0.0,1014,27,10,298,10
2020-02-19,28,14,0.0,8.7,5,5,15,03:35 AM,02:18 PM,06:45 AM,06:07 PM,4,20,20,20,19,45,35,0.0,1013,28,10,111,10
2020-02-20,29,15,0.0,11.6,6,6,7,04:28 AM,03:12 PM,06:44 AM,06:07 PM,7,22,22,21,30,29,40,0.0,1012,29,10,105,17
2020-02-21,28,18,0.0,11.6,6,6,0,05:17 AM,04:07 PM,06:44 AM,06:08 PM,11,21,21,21,33,16,52,0.1,1014,28,10,111,21
