date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,12,0.0,7.1,4,4,37,11:01 AM,10:48 PM,06:44 AM,05:17 PM,5,15,15,15,11,41,54,0.0,1020,18,10,194,6
2020-01-02,23,12,0.0,8.7,5,5,44,11:33 AM,11:39 PM,06:44 AM,05:18 PM,11,17,18,17,17,37,67,0.4,1019,23,10,118,10
2020-01-03,19,15,0.0,4.0,4,4,51,12:04 PM,No moonset,06:45 AM,05:18 PM,14,16,16,16,16,82,89,9.5,1016,19,8,72,11
2020-01-04,22,13,0.0,4.0,4,4,59,12:36 PM,12:30 AM,06:45 AM,05:19 PM,13,16,17,16,12,57,78,0.7,1014,22,10,212,8
2020-01-05,21,14,0.0,8.7,5,5,66,01:09 PM,01:22 AM,06:45 AM,05:20 PM,11,17,17,17,18,1,68,0.0,1015,21,10,278,12
2020-01-06,21,13,0.0,8.7,5,5,73,01:45 PM,02:14 AM,06:45 AM,05:20 PM,8,16,17,16,15,10,60,0.0,1017,21,10,289,10
2020-01-07,22,14,0.0,8.7,5,5,80,02:24 PM,03:10 AM,06:46 AM,05:21 PM,9,17,18,17,9,23,57,0.0,1016,22,10,302,5
2020-01-08,19,13,0.0,5.6,4,4,88,03:10 PM,04:08 AM,06:46 AM,05:22 PM,10,16,16,16,18,48,69,1.6,1015,19,10,80,11
2020-01-09,18,12,0.0,4.0,4,4,95,04:01 PM,05:08 AM,06:46 AM,05:23 PM,13,15,15,15,17,60,89,1.1,1015,18,10,283,10
2020-01-10,19,11,0.0,8.7,5,5,100,04:59 PM,06:08 AM,06:46 AM,05:23 PM,10,14,14,14,20,7,74,0.0,1017,19,9,275,13
2020-01-11,20,11,0.0,8.7,5,5,100,06:01 PM,07:07 AM,06:46 AM,05:24 PM,7,14,15,14,14,2,60,0.0,1018,20,10,270,10
2020-01-12,21,11,0.0,8.7,5,5,83,07:07 PM,08:02 AM,06:46 AM,05:25 PM,8,15,15,15,13,0,62,0.0,1015,21,10,273,10
2020-01-13,24,13,0.0,8.7,5,5,76,08:13 PM,08:52 AM,06:46 AM,05:26 PM,10,18,18,18,7,1,61,0.0,1012,24,10,200,5
2020-01-14,24,13,0.0,8.7,5,5,69,09:18 PM,09:37 AM,06:46 AM,05:26 PM,10,18,18,18,8,6,60,0.0,1013,24,10,287,5
2020-01-15,23,15,0.0,8.7,5,5,61,10:21 PM,10:18 AM,06:46 AM,05:27 PM,11,18,18,18,11,24,65,0.0,1014,23,10,293,6
2020-01-16,23,14,0.0,8.7,5,5,54,11:24 PM,10:58 AM,06:46 AM,05:28 PM,12,17,18,17,19,37,72,0.0,1014,23,10,43,12
2020-01-17,23,14,0.0,5.6,4,4,47,No moonrise,11:36 AM,06:46 AM,05:29 PM,14,17,18,17,20,68,78,1.1,1015,23,10,42,13
2020-01-18,20,13,0.0,7.2,4,4,40,12:24 AM,12:14 PM,06:46 AM,05:29 PM,14,17,17,17,8,51,82,0.3,1015,20,10,323,5
2020-01-19,21,14,0.0,8.7,5,5,32,01:26 AM,12:55 PM,06:46 AM,05:30 PM,12,17,18,17,18,11,72,0.0,1015,21,10,285,11
2020-01-20,21,11,0.0,8.7,5,5,25,02:27 AM,01:38 PM,06:45 AM,05:31 PM,9,14,15,14,18,14,69,0.0,1016,21,10,283,11
2020-01-21,21,12,0.0,8.7,4,4,18,03:28 AM,02:24 PM,06:45 AM,05:32 PM,7,16,16,16,7,20,59,0.0,1017,21,10,263,4
2020-01-22,23,14,0.0,8.7,5,5,11,04:27 AM,03:15 PM,06:45 AM,05:33 PM,8,17,18,17,13,0,57,0.0,1017,23,10,294,8
2020-01-23,21,11,0.0,8.7,5,5,3,05:24 AM,04:08 PM,06:45 AM,05:33 PM,7,14,15,14,30,0,62,0.0,1014,21,10,264,17
2020-01-24,19,9,0.0,8.7,5,5,0,06:16 AM,05:04 PM,06:45 AM,05:34 PM,8,14,15,14,20,0,65,0.0,1014,19,10,301,13
2020-01-25,21,12,0.0,8.7,5,5,0,07:04 AM,06:00 PM,06:44 AM,05:35 PM,11,16,17,16,8,1,72,0.0,1014,21,10,307,6
2020-01-26,21,13,0.0,8.7,5,5,4,07:46 AM,06:55 PM,06:44 AM,05:36 PM,10,16,16,16,14,5,70,0.0,1013,21,10,282,9
2020-01-27,23,13,0.0,8.7,5,5,11,08:24 AM,07:48 PM,06:44 AM,05:36 PM,11,17,18,17,12,5,66,0.0,1012,23,10,274,8
2020-01-28,23,14,0.0,8.7,5,5,18,09:00 AM,08:40 PM,06:43 AM,05:37 PM,12,18,18,18,15,40,68,3.1,1010,23,10,100,9
2020-01-29,26,14,0.0,8.7,6,6,26,09:33 AM,09:31 PM,06:43 AM,05:38 PM,13,19,20,19,15,32,69,1.2,1012,26,10,68,9
2020-01-30,22,13,0.0,8.7,5,5,33,10:04 AM,10:21 PM,06:43 AM,05:39 PM,11,17,18,17,23,18,68,0.1,1013,22,10,289,14
2020-01-31,23,11,0.0,8.7,5,5,37,10:35 AM,11:12 PM,06:42 AM,05:39 PM,8,16,17,16,17,0,61,0.0,1013,23,10,279,11
2020-02-01,22,13,0.0,8.7,5,5,49,11:07 AM,No moonset,06:42 AM,05:40 PM,8,16,17,16,14,0,60,0.0,1016,22,10,277,9
2020-02-02,20,11,0.0,8.7,5,5,57,11:41 AM,12:04 AM,06:41 AM,05:41 PM,7,15,15,15,20,0,59,0.0,1017,20,10,277,13
2020-02-03,23,10,0.0,8.7,5,5,64,12:17 PM,12:57 AM,06:41 AM,05:42 PM,8,16,16,16,13,0,58,0.0,1017,23,10,276,8
2020-02-04,23,13,0.0,8.7,5,5,72,12:59 PM,01:53 AM,06:40 AM,05:42 PM,9,17,17,17,6,6,60,0.0,1015,23,10,69,4
2020-02-05,22,11,0.0,8.7,5,5,79,01:47 PM,02:51 AM,06:40 AM,05:43 PM,8,16,17,16,17,3,59,0.0,1014,22,10,279,11
2020-02-06,23,12,0.0,8.7,5,5,87,02:40 PM,03:50 AM,06:39 AM,05:44 PM,9,17,17,17,14,1,59,0.0,1015,23,10,302,9
2020-02-07,25,11,0.0,8.7,5,5,95,03:41 PM,04:49 AM,06:38 AM,05:45 PM,8,17,18,17,12,3,57,0.0,1016,25,10,224,7
2020-02-08,22,10,0.0,8.7,5,5,100,04:45 PM,05:46 AM,06:38 AM,05:45 PM,6,16,17,16,13,5,52,0.0,1018,22,10,288,8
2020-02-09,24,12,0.0,8.7,5,5,100,05:53 PM,06:39 AM,06:37 AM,05:46 PM,9,18,19,18,9,0,56,0.0,1019,24,10,348,6
2020-02-10,24,11,0.0,8.7,5,5,83,07:01 PM,07:28 AM,06:37 AM,05:47 PM,8,17,18,17,15,1,57,0.0,1017,24,10,290,10
2020-02-11,23,12,0.0,8.7,5,5,75,08:07 PM,08:12 AM,06:36 AM,05:47 PM,7,17,17,17,14,1,52,0.0,1017,23,10,271,9
2020-02-12,23,12,0.0,8.7,5,5,68,09:12 PM,08:54 AM,06:35 AM,05:48 PM,8,17,18,17,14,0,56,0.0,1016,23,10,279,10
2020-02-13,25,14,0.0,8.7,6,6,60,10:16 PM,09:34 AM,06:35 AM,05:49 PM,13,19,20,19,16,0,65,0.0,1012,25,10,281,11
2020-02-14,26,16,0.0,8.7,6,6,53,11:19 PM,10:13 AM,06:34 AM,05:49 PM,13,20,20,20,23,0,66,0.0,1009,26,10,282,14
