date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,20,0.0,5.8,6,6,37,11:25 AM,11:25 PM,06:55 AM,06:06 PM,16,25,25,24,21,70,63,1.8,1014,29,10,151,15
2020-01-02,29,20,0.0,8.7,6,6,44,12:00 PM,No moonset,06:55 AM,06:06 PM,16,26,26,25,18,59,60,2.0,1015,29,10,159,11
2020-01-03,30,20,0.0,11.5,7,7,51,12:35 PM,12:12 AM,06:56 AM,06:07 PM,13,25,25,25,17,18,51,0.0,1014,30,10,283,11
2020-01-04,31,19,0.0,11.5,7,7,59,01:11 PM,12:58 AM,06:56 AM,06:08 PM,11,26,26,26,16,3,45,0.0,1012,31,10,236,10
2020-01-05,28,19,0.0,10.1,6,6,66,01:48 PM,01:46 AM,06:56 AM,06:08 PM,16,24,24,23,24,27,63,0.0,1013,28,10,98,16
2020-01-06,28,19,0.0,7.2,5,5,73,02:27 PM,02:35 AM,06:57 AM,06:09 PM,17,25,25,23,25,57,68,0.2,1015,28,10,115,18
2020-01-07,29,20,0.0,8.7,6,6,80,03:11 PM,03:28 AM,06:57 AM,06:09 PM,17,25,25,24,25,54,67,1.2,1014,29,10,139,18
2020-01-08,30,20,0.0,11.5,7,7,88,03:59 PM,04:22 AM,06:57 AM,06:10 PM,16,26,26,25,12,31,62,0.0,1012,30,10,151,8
2020-01-09,31,20,0.0,11.5,6,6,95,04:52 PM,05:20 AM,06:57 AM,06:11 PM,15,27,27,26,14,31,54,0.0,1012,31,10,240,9
2020-01-10,28,20,0.0,7.2,5,5,100,05:51 PM,06:19 AM,06:58 AM,06:11 PM,16,25,25,24,24,44,61,0.2,1013,28,10,106,16
2020-01-11,28,19,0.0,8.7,5,5,100,06:52 PM,07:18 AM,06:58 AM,06:12 PM,16,24,24,23,23,39,64,0.0,1014,28,10,90,16
2020-01-12,29,19,0.0,11.5,6,6,83,07:55 PM,08:15 AM,06:58 AM,06:12 PM,14,24,24,24,18,13,58,0.0,1014,29,10,108,13
2020-01-13,32,19,0.0,11.6,7,7,76,08:57 PM,09:08 AM,06:58 AM,06:13 PM,12,27,27,26,9,4,45,0.0,1012,32,10,61,5
2020-01-14,33,19,0.0,11.6,7,7,69,09:58 PM,09:57 AM,06:58 AM,06:14 PM,11,27,27,26,14,3,44,0.0,1011,33,10,151,8
2020-01-15,30,19,0.0,11.6,7,7,61,10:56 PM,10:43 AM,06:58 AM,06:14 PM,9,25,25,24,21,2,40,0.0,1012,30,10,136,14
2020-01-16,30,17,0.0,11.6,6,6,54,11:54 PM,11:28 AM,06:59 AM,06:15 PM,12,24,24,24,14,3,50,0.0,1012,30,10,175,10
2020-01-17,30,18,0.0,11.6,7,7,47,No moonrise,12:10 PM,06:59 AM,06:15 PM,10,25,25,25,16,8,43,0.0,1012,30,10,156,10
2020-01-18,30,19,0.0,11.6,7,7,40,12:50 AM,12:53 PM,06:59 AM,06:16 PM,13,25,25,25,22,10,52,0.0,1012,30,10,127,15
2020-01-19,30,19,0.0,10.1,6,6,32,01:47 AM,01:38 PM,06:59 AM,06:17 PM,15,26,26,25,20,32,57,1.2,1013,30,10,89,13
2020-01-20,30,20,0.0,11.6,7,7,25,02:43 AM,02:25 PM,06:59 AM,06:17 PM,14,26,26,25,17,16,52,0.0,1013,30,10,112,11
2020-01-21,31,20,0.0,11.6,7,7,18,03:41 AM,03:14 PM,06:59 AM,06:18 PM,12,26,26,25,25,9,46,0.0,1014,31,10,127,17
2020-01-22,31,19,0.0,11.6,7,7,11,04:38 AM,04:06 PM,06:59 AM,06:18 PM,10,25,25,25,29,3,44,0.0,1015,31,10,112,20
2020-01-23,31,18,0.0,11.6,7,7,3,05:34 AM,05:00 PM,06:59 AM,06:19 PM,9,26,26,25,25,0,43,0.0,1015,31,10,96,16
2020-01-24,32,18,0.0,11.6,7,7,0,06:27 AM,05:55 PM,06:59 AM,06:19 PM,9,26,26,25,23,1,39,0.0,1014,32,10,85,15
2020-01-25,32,20,0.0,11.6,7,7,0,07:16 AM,06:48 PM,06:59 AM,06:20 PM,9,26,26,26,20,2,37,0.0,1014,32,10,94,12
2020-01-26,35,21,0.0,11.6,7,7,4,08:01 AM,07:40 PM,06:59 AM,06:20 PM,9,29,29,28,12,4,34,0.0,1012,35,10,83,7
2020-01-27,33,21,0.0,11.6,7,7,11,08:43 AM,08:30 PM,06:59 AM,06:21 PM,11,29,29,28,16,5,39,0.0,1011,33,10,182,11
2020-01-28,31,20,0.0,11.6,7,7,18,09:22 AM,09:19 PM,06:58 AM,06:22 PM,14,26,26,26,23,8,57,0.0,1012,31,10,227,17
2020-01-29,32,16,0.0,11.6,7,7,26,09:58 AM,10:05 PM,06:58 AM,06:22 PM,12,25,25,24,19,10,56,0.0,1013,32,10,239,12
2020-01-30,32,19,0.0,11.6,7,7,33,10:33 AM,10:52 PM,06:58 AM,06:23 PM,9,27,27,26,18,4,37,0.0,1013,32,10,210,11
2020-01-31,33,21,0.0,11.6,7,7,37,11:08 AM,11:39 PM,06:58 AM,06:23 PM,9,28,28,28,19,1,38,0.0,1011,33,10,205,12
2020-02-01,32,20,0.0,11.6,7,7,49,11:44 AM,No moonset,06:58 AM,06:24 PM,10,26,26,26,15,3,42,0.0,1011,32,10,219,9
2020-02-02,30,19,0.0,11.6,6,6,57,12:21 PM,12:26 AM,06:58 AM,06:24 PM,12,25,25,25,18,31,45,0.0,1014,30,10,145,12
