date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,3.8,3,3,37,11:28 AM,11:12 PM,07:15 AM,05:35 PM,-0,12,12,12,14,44,42,0.0,1020,19,10,110,8
2020-01-02,22,11,0.0,8.7,5,5,44,11:59 AM,No moonset,07:15 AM,05:35 PM,6,15,15,15,12,19,54,0.0,1021,22,10,119,7
2020-01-03,21,12,0.0,3.8,4,4,51,12:28 PM,12:03 AM,07:15 AM,05:36 PM,10,16,16,16,9,50,68,7.9,1018,21,10,139,5
2020-01-04,21,13,0.0,8.7,5,5,59,12:59 PM,12:55 AM,07:15 AM,05:37 PM,8,16,16,16,9,5,61,0.0,1016,21,10,295,6
2020-01-05,20,11,0.0,8.7,5,5,66,01:31 PM,01:48 AM,07:16 AM,05:37 PM,5,14,15,14,17,18,53,0.0,1017,20,10,306,10
2020-01-06,16,8,0.0,7.1,3,3,73,02:05 PM,02:43 AM,07:16 AM,05:38 PM,6,12,13,12,16,57,63,0.5,1019,16,9,110,10
2020-01-07,15,13,0.0,3.8,3,3,80,02:44 PM,03:40 AM,07:16 AM,05:39 PM,11,13,14,13,14,73,83,3.4,1017,15,9,96,9
2020-01-08,17,6,0.0,5.5,3,3,88,03:29 PM,04:38 AM,07:16 AM,05:40 PM,11,11,13,11,14,73,86,13.4,1015,17,9,35,10
2020-01-09,18,9,0.0,8.7,4,4,95,04:19 PM,05:40 AM,07:16 AM,05:41 PM,7,12,12,12,14,1,71,0.0,1019,18,10,312,11
2020-01-10,18,8,0.0,8.7,4,4,100,05:17 PM,06:40 AM,07:16 AM,05:41 PM,4,10,12,10,20,7,62,0.0,1019,18,10,309,13
2020-01-11,18,7,0.0,8.7,4,4,100,06:20 PM,07:39 AM,07:16 AM,05:42 PM,4,11,12,11,17,14,58,0.0,1018,18,10,300,10
2020-01-12,22,9,0.0,8.7,5,5,83,07:27 PM,08:32 AM,07:16 AM,05:43 PM,4,14,15,14,13,14,49,0.0,1015,22,10,285,8
2020-01-13,19,13,0.0,8.7,4,4,76,08:34 PM,09:21 AM,07:16 AM,05:44 PM,8,15,15,15,16,44,63,2.0,1012,19,8,131,10
2020-01-14,21,11,0.0,8.7,4,4,69,09:40 PM,10:05 AM,07:16 AM,05:44 PM,11,14,15,14,12,48,80,0.0,1015,21,9,288,7
2020-01-15,23,11,0.0,8.7,5,5,61,10:45 PM,10:45 AM,07:16 AM,05:45 PM,9,15,16,15,13,12,66,0.0,1015,23,10,283,8
2020-01-16,15,13,0.0,3.9,3,3,54,11:49 PM,11:23 AM,07:16 AM,05:46 PM,11,13,14,13,12,84,85,25.7,1014,15,8,75,7
2020-01-17,18,12,0.0,3.9,4,4,47,No moonrise,11:59 AM,07:16 AM,05:47 PM,12,14,14,14,12,79,85,7.9,1016,18,10,144,8
2020-01-18,19,11,0.0,8.7,5,5,40,12:51 AM,12:36 PM,07:15 AM,05:48 PM,10,14,14,14,11,15,75,0.0,1018,19,8,304,7
2020-01-19,20,11,0.0,8.7,4,4,32,01:54 AM,01:16 PM,07:15 AM,05:49 PM,9,14,14,14,13,2,72,0.0,1018,20,10,300,9
2020-01-20,19,9,0.0,8.7,4,4,25,02:56 AM,01:58 PM,07:15 AM,05:49 PM,8,13,13,13,15,17,70,0.0,1017,19,10,308,9
2020-01-21,20,11,0.0,8.7,5,5,18,03:58 AM,02:43 PM,07:15 AM,05:50 PM,7,15,15,15,6,18,60,0.0,1018,20,10,116,4
2020-01-22,21,11,0.0,8.7,5,5,11,04:58 AM,03:33 PM,07:15 AM,05:51 PM,8,14,15,14,17,3,64,0.0,1019,21,10,308,11
2020-01-23,18,9,0.0,8.7,4,4,3,05:55 AM,04:26 PM,07:14 AM,05:52 PM,4,11,12,11,29,0,60,0.0,1017,18,10,302,19
2020-01-24,20,8,0.0,8.7,4,4,0,06:47 AM,05:23 PM,07:14 AM,05:53 PM,3,12,13,12,26,0,53,0.0,1015,20,10,294,17
2020-01-25,20,10,0.0,8.7,4,4,0,07:34 AM,06:19 PM,07:14 AM,05:54 PM,5,14,14,14,11,12,55,0.0,1015,20,10,314,8
2020-01-26,21,10,0.0,8.7,5,5,4,08:16 AM,07:15 PM,07:13 AM,05:54 PM,8,15,16,15,15,7,62,0.0,1013,21,10,300,9
2020-01-27,21,10,0.0,7.1,4,4,11,08:53 AM,08:09 PM,07:13 AM,05:55 PM,9,15,16,15,12,59,65,0.2,1011,21,10,152,7
2020-01-28,17,12,0.0,7.1,4,4,18,09:27 AM,09:03 PM,07:12 AM,05:56 PM,12,14,14,14,23,53,83,4.2,1010,17,10,108,14
2020-01-29,21,11,0.0,7.1,4,4,26,09:58 AM,09:55 PM,07:12 AM,05:57 PM,10,15,16,15,12,40,74,2.5,1016,21,10,299,8
2020-01-30,19,10,0.0,8.7,4,4,33,10:28 AM,10:46 PM,07:11 AM,05:58 PM,8,13,14,13,21,1,71,0.0,1016,19,10,310,14
2020-01-31,20,9,0.0,8.7,5,5,37,10:58 AM,11:39 PM,07:11 AM,05:59 PM,7,14,14,14,14,1,66,0.0,1014,20,10,294,10
2020-02-01,19,9,0.0,8.7,5,5,49,11:29 AM,No moonset,07:10 AM,05:59 PM,7,14,14,14,13,3,64,0.0,1017,19,10,305,9
2020-02-02,20,9,0.0,10.9,4,4,57,12:02 PM,12:31 AM,07:10 AM,06:00 PM,8,14,14,14,15,0,69,0.0,1018,20,10,308,11
2020-02-03,22,9,0.0,10.9,5,5,64,12:37 PM,01:26 AM,07:09 AM,06:01 PM,7,14,15,14,13,0,64,0.0,1017,22,10,308,9
2020-02-04,21,11,0.0,10.9,5,5,72,01:18 PM,02:22 AM,07:09 AM,06:02 PM,7,15,15,15,11,18,61,0.0,1016,21,10,228,7
2020-02-05,19,11,0.0,11.0,5,5,79,02:05 PM,03:22 AM,07:08 AM,06:03 PM,6,14,15,14,18,1,59,0.0,1016,19,10,312,12
2020-02-06,21,10,0.0,11.0,5,5,87,02:58 PM,04:21 AM,07:07 AM,06:03 PM,7,14,15,14,11,0,61,0.0,1015,21,10,300,8
2020-02-07,20,10,0.0,11.0,5,5,95,03:59 PM,05:21 AM,07:07 AM,06:04 PM,6,14,15,14,11,6,59,0.0,1017,20,10,309,7
2020-02-08,22,10,0.0,11.0,5,5,100,05:05 PM,06:17 AM,07:06 AM,06:05 PM,9,15,16,15,14,0,67,0.0,1019,22,10,311,10
2020-02-09,24,10,0.0,11.0,5,5,100,06:13 PM,07:09 AM,07:05 AM,06:06 PM,8,16,17,16,12,1,62,0.0,1020,24,10,303,8
2020-02-10,23,10,0.0,11.0,5,5,83,07:22 PM,07:57 AM,07:04 AM,06:06 PM,6,16,17,16,13,6,57,0.0,1018,23,10,301,9
2020-02-11,23,9,0.0,11.0,5,5,75,08:30 PM,08:39 AM,07:04 AM,06:07 PM,8,16,16,16,12,7,59,0.0,1018,23,10,306,8
2020-02-12,25,11,0.0,11.1,5,5,68,09:37 PM,09:20 AM,07:03 AM,06:08 PM,9,17,18,17,25,3,60,0.0,1017,25,10,295,15
2020-02-13,28,15,0.0,11.1,6,6,60,10:42 PM,09:58 AM,07:02 AM,06:09 PM,10,20,20,20,32,4,53,0.0,1014,28,10,289,19
2020-02-14,24,15,0.0,11.1,5,5,53,11:47 PM,10:36 AM,07:01 AM,06:10 PM,7,18,18,18,33,0,50,0.0,1011,24,10,306,20
2020-02-15,26,11,0.0,11.1,5,5,45,No moonrise,11:15 AM,07:01 AM,06:10 PM,6,17,18,17,26,0,48,0.0,1012,26,10,305,16
2020-02-16,27,13,0.0,11.1,6,6,38,12:50 AM,11:57 AM,07:00 AM,06:11 PM,6,19,19,19,16,0,45,0.0,1015,27,10,317,10
2020-02-17,26,14,0.0,11.5,6,6,30,01:53 AM,12:41 PM,06:59 AM,06:12 PM,5,19,19,19,19,0,40,0.0,1016,26,10,306,12
