date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,23,0.0,10.5,5,5,37,10:38 AM,11:04 PM,05:49 AM,06:15 PM,23,26,26,24,15,68,93,20.5,1012,26,8,262,9
2020-01-02,29,22,0.0,7.9,6,6,44,11:22 AM,11:44 PM,05:50 AM,06:15 PM,23,29,29,25,12,79,87,16.5,1012,29,8,294,8
2020-01-03,30,24,0.0,11.9,6,6,51,12:04 PM,No moonset,05:50 AM,06:16 PM,24,30,30,27,7,56,85,18.5,1010,30,9,268,4
2020-01-04,30,24,0.0,11.9,6,6,59,12:47 PM,12:22 AM,05:51 AM,06:16 PM,24,30,30,26,11,57,86,34.3,1009,30,7,265,7
2020-01-05,30,24,0.0,9.2,6,6,66,01:32 PM,01:02 AM,05:51 AM,06:17 PM,24,29,29,26,13,75,87,30.9,1009,30,8,282,7
2020-01-06,30,23,0.0,7.9,6,6,73,02:18 PM,01:44 AM,05:52 AM,06:17 PM,23,29,29,26,14,70,86,38.9,1009,30,7,293,8
2020-01-07,30,23,0.0,9.2,6,6,80,03:08 PM,02:28 AM,05:52 AM,06:17 PM,23,29,29,26,9,66,86,26.6,1009,30,8,248,5
2020-01-08,32,23,0.0,7.9,6,6,88,04:01 PM,03:17 AM,05:53 AM,06:18 PM,23,30,30,26,12,69,84,24.4,1008,32,8,295,7
2020-01-09,30,23,0.0,10.5,6,6,95,04:58 PM,04:10 AM,05:53 AM,06:18 PM,23,30,30,26,16,67,86,43.7,1008,30,7,284,9
2020-01-10,28,23,0.0,9.2,6,6,100,05:57 PM,05:07 AM,05:54 AM,06:18 PM,23,27,27,24,8,68,91,13.0,1009,28,8,228,5
2020-01-11,28,23,0.0,10.5,6,6,100,06:56 PM,06:06 AM,05:54 AM,06:19 PM,22,28,28,25,7,58,84,7.3,1009,28,10,185,4
2020-01-12,30,23,0.0,12.6,6,6,83,07:54 PM,07:07 AM,05:55 AM,06:19 PM,23,29,29,26,6,43,82,5.7,1008,30,10,189,4
2020-01-13,30,23,0.0,7.9,6,6,76,08:49 PM,08:06 AM,05:55 AM,06:19 PM,23,29,29,26,8,74,86,36.6,1008,30,7,222,4
2020-01-14,31,23,0.0,10.5,6,6,69,09:42 PM,09:04 AM,05:56 AM,06:20 PM,23,29,29,26,9,64,86,24.6,1009,31,8,282,5
2020-01-15,32,23,0.0,12.6,6,6,61,10:31 PM,09:59 AM,05:56 AM,06:20 PM,23,30,30,27,11,63,82,4.2,1009,32,10,338,7
2020-01-16,30,24,0.0,7.9,6,6,54,11:19 PM,10:52 AM,05:56 AM,06:20 PM,24,30,30,26,7,76,86,31.5,1010,30,8,236,4
2020-01-17,31,23,0.0,7.9,6,6,47,No moonrise,11:45 AM,05:57 AM,06:21 PM,24,30,30,27,8,73,85,36.6,1010,31,7,198,4
