date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,14,0.0,8.7,6,6,37,11:35 AM,11:26 PM,07:14 AM,05:57 PM,11,19,20,19,19,24,62,0.0,1015,26,10,79,12
2020-01-02,25,15,0.0,8.7,6,6,44,12:08 PM,No moonset,07:15 AM,05:58 PM,12,20,21,20,18,22,69,0.0,1017,25,10,248,11
2020-01-03,24,14,0.0,8.7,5,5,51,12:40 PM,12:16 AM,07:15 AM,05:58 PM,9,18,19,18,15,8,59,0.0,1017,24,10,12,9
2020-01-04,24,14,0.0,8.7,5,5,59,01:13 PM,01:05 AM,07:15 AM,05:59 PM,7,18,19,18,19,8,51,0.0,1016,24,10,46,11
2020-01-05,25,13,0.0,10.9,5,5,66,01:47 PM,01:56 AM,07:15 AM,06:00 PM,4,18,18,18,24,1,42,0.0,1017,25,10,98,14
2020-01-06,28,14,0.0,10.8,6,6,73,02:24 PM,02:48 AM,07:16 AM,06:00 PM,5,20,20,20,21,5,37,0.0,1017,28,10,168,12
2020-01-07,29,16,0.0,10.9,6,6,80,03:05 PM,03:43 AM,07:16 AM,06:01 PM,9,22,22,22,15,19,45,0.0,1014,29,10,249,10
2020-01-08,26,16,0.0,10.9,6,6,88,03:51 PM,04:40 AM,07:16 AM,06:02 PM,7,21,21,21,15,23,44,0.0,1013,26,10,303,10
2020-01-09,23,10,0.0,10.9,5,5,95,04:43 PM,05:40 AM,07:16 AM,06:02 PM,2,15,17,15,26,0,42,0.0,1018,23,10,52,15
2020-01-10,23,10,0.0,10.9,5,5,100,05:41 PM,06:39 AM,07:16 AM,06:03 PM,-0,14,16,14,30,0,37,0.0,1018,23,10,82,17
2020-01-11,26,10,0.0,10.9,5,5,100,06:43 PM,07:38 AM,07:16 AM,06:04 PM,2,17,18,17,24,3,37,0.0,1017,26,10,96,13
2020-01-12,29,15,0.0,10.9,6,6,83,07:48 PM,08:33 AM,07:16 AM,06:04 PM,10,23,23,22,14,4,47,0.0,1015,29,10,224,8
2020-01-13,28,18,0.0,8.5,5,5,76,08:53 PM,09:24 AM,07:17 AM,06:05 PM,12,23,23,22,24,37,59,0.1,1012,28,10,247,16
2020-01-14,25,13,0.0,10.1,5,5,69,09:57 PM,10:10 AM,07:17 AM,06:06 PM,8,19,20,19,10,29,54,0.0,1014,25,10,243,6
2020-01-15,26,14,0.0,8.5,5,5,61,10:59 PM,10:53 AM,07:17 AM,06:06 PM,11,19,20,19,11,46,61,0.2,1013,26,10,204,7
2020-01-16,22,14,0.0,10.9,5,5,54,12:00 AM,11:34 AM,07:17 AM,06:07 PM,7,18,18,18,14,12,54,0.0,1013,22,10,245,9
2020-01-17,24,12,0.0,10.9,5,5,47,No moonrise,12:13 PM,07:17 AM,06:08 PM,8,18,18,18,11,6,57,0.0,1016,24,10,226,7
2020-01-18,26,13,0.0,10.9,5,5,40,12:59 AM,12:53 PM,07:16 AM,06:09 PM,7,18,19,18,14,2,51,0.0,1016,26,10,214,8
2020-01-19,24,12,0.0,10.9,5,5,32,01:59 AM,01:34 PM,07:16 AM,06:09 PM,4,18,18,18,22,8,43,0.0,1017,24,10,49,13
2020-01-20,26,12,0.0,7.0,4,4,25,02:59 AM,02:18 PM,07:16 AM,06:10 PM,2,19,20,19,16,70,36,0.0,1016,26,10,190,9
