date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,6,-4,0.0,5.4,1,1,37,11:45 AM,11:20 PM,07:39 AM,05:34 PM,-9,1,1,1,3,49,46,0.0,1029,6,10,213,2
2020-01-02,6,-3,0.0,3.7,1,1,44,12:12 PM,No moonset,07:39 AM,05:34 PM,-7,1,2,1,5,86,52,0.1,1031,6,10,307,3
2020-01-03,6,-4,0.2,3.7,1,1,51,12:40 PM,12:14 AM,07:39 AM,05:35 PM,-6,1,2,1,4,98,60,0.9,1026,6,9,268,2
2020-01-04,4,-3,3.6,3.7,1,1,59,01:08 PM,01:09 AM,07:39 AM,05:36 PM,-4,-0,1,-0,5,78,76,7.2,1021,4,7,299,4
2020-01-05,5,-3,2.6,8.7,1,1,66,01:38 PM,02:04 AM,07:39 AM,05:37 PM,-5,0,1,0,3,62,64,2.4,1025,5,8,201,3
2020-01-06,2,-3,11.1,3.7,1,1,73,02:09 PM,03:01 AM,07:39 AM,05:38 PM,-2,-0,0,-0,4,97,84,16.5,1021,2,4,238,3
2020-01-07,5,-3,8.1,3.7,1,1,80,02:46 PM,04:00 AM,07:40 AM,05:38 PM,0,0,2,0,4,90,91,8.9,1018,5,4,286,3
2020-01-08,5,-3,3.0,3.7,1,1,88,03:29 PM,05:02 AM,07:40 AM,05:39 PM,-3,0,0,0,3,61,76,3.3,1019,5,7,330,2
2020-01-09,7,-5,0.0,8.7,2,2,95,04:18 PM,06:04 AM,07:40 AM,05:40 PM,-10,-0,1,-0,7,5,49,0.0,1028,7,10,186,5
2020-01-10,4,-2,0.0,7.1,1,1,100,05:16 PM,07:05 AM,07:40 AM,05:41 PM,-12,-1,0,-1,5,18,38,0.0,1030,4,10,197,4
2020-01-11,5,-6,0.0,7.1,1,1,100,06:19 PM,08:03 AM,07:39 AM,05:42 PM,-12,-1,0,-1,4,66,40,0.0,1027,5,10,182,2
2020-01-12,3,-2,13.1,3.8,1,1,83,07:28 PM,08:56 AM,07:39 AM,05:43 PM,-2,0,0,0,4,89,88,16.3,1021,3,3,259,3
2020-01-13,6,-3,34.0,3.8,1,1,76,08:37 PM,09:42 AM,07:39 AM,05:44 PM,1,-1,1,-1,11,92,96,69.3,1008,6,5,159,7
2020-01-14,7,-4,3.7,7.1,1,1,69,09:47 PM,10:23 AM,07:39 AM,05:45 PM,-4,1,2,1,5,62,73,2.3,1022,7,8,209,3
2020-01-15,7,-3,0.3,3.8,1,1,61,10:55 PM,11:00 AM,07:39 AM,05:46 PM,-2,1,2,1,4,83,77,1.9,1022,7,9,245,2
2020-01-16,5,-4,2.0,7.1,1,1,54,No moonrise,11:35 AM,07:39 AM,05:46 PM,-2,0,2,0,6,46,80,3.4,1023,5,8,177,4
2020-01-17,4,-4,0.0,8.7,2,2,47,12:02 AM,12:09 PM,07:38 AM,05:47 PM,-7,-2,-1,-2,6,16,64,0.0,1024,4,10,195,3
2020-01-18,3,-6,0.0,7.1,1,1,40,01:07 AM,12:43 PM,07:38 AM,05:48 PM,-6,-2,-2,-2,5,36,74,0.2,1025,3,10,158,3
2020-01-19,1,-7,0.0,8.7,2,2,32,02:13 AM,01:20 PM,07:38 AM,05:49 PM,-8,-4,-3,-4,6,17,71,0.0,1029,1,10,144,4
2020-01-20,1,-7,0.1,7.1,1,1,25,03:18 AM,01:59 PM,07:37 AM,05:50 PM,-6,-4,-4,-4,4,77,81,0.4,1024,1,9,222,2
2020-01-21,1,-5,6.4,3.8,1,1,18,04:21 AM,02:43 PM,07:37 AM,05:51 PM,-2,-2,-2,-2,2,97,96,8.4,1022,1,2,249,2
2020-01-22,2,-5,2.4,3.8,1,1,11,05:23 AM,03:32 PM,07:37 AM,05:52 PM,-2,-1,-1,-1,3,74,92,2.1,1027,2,6,258,2
2020-01-23,1,-8,0.1,7.1,1,1,3,06:20 AM,04:25 PM,07:36 AM,05:53 PM,-7,-4,-3,-4,7,38,78,0.3,1029,1,10,218,4
2020-01-24,0,-9,0.2,7.1,1,1,0,07:12 AM,05:22 PM,07:36 AM,05:54 PM,-8,-6,-4,-6,5,46,75,0.6,1027,0,9,172,3
2020-01-25,3,-6,2.0,3.8,1,1,0,07:58 AM,06:19 PM,07:35 AM,05:55 PM,-3,-2,-1,-2,4,80,94,2.2,1019,3,6,254,2
2020-01-26,2,-5,1.0,3.8,1,1,4,08:38 AM,07:18 PM,07:35 AM,05:56 PM,-2,-1,-1,-1,3,71,93,1.2,1020,2,7,236,2
2020-01-27,2,-5,0.0,8.7,2,2,11,09:13 AM,08:14 PM,07:34 AM,05:57 PM,-4,-2,-1,-2,4,35,83,0.0,1019,2,10,228,3
2020-01-28,1,-6,7.6,3.8,1,1,18,09:45 AM,09:10 PM,07:34 AM,05:58 PM,-2,-2,-2,-2,4,89,91,12.2,1016,1,4,193,3
2020-01-29,2,-6,9.9,3.8,1,1,26,10:13 AM,10:05 PM,07:33 AM,05:59 PM,-1,-1,-1,-1,2,92,96,8.6,1020,2,5,241,2
2020-01-30,1,-7,0.0,10.7,1,1,33,10:41 AM,10:59 PM,07:32 AM,06:00 PM,-5,-3,-2,-3,4,36,85,0.1,1025,1,10,149,2
2020-01-31,-0,-8,0.0,10.7,1,1,37,11:08 AM,11:53 PM,07:32 AM,06:01 PM,-7,-4,-4,-4,4,31,82,0.0,1022,-0,10,151,2
2020-02-01,1,-9,0.0,10.7,2,2,49,11:37 AM,No moonset,07:31 AM,06:02 PM,-7,-4,-3,-4,4,27,79,0.0,1025,1,10,167,2
2020-02-02,1,-9,0.0,10.7,2,2,57,12:07 PM,12:49 AM,07:30 AM,06:03 PM,-8,-5,-4,-5,4,9,74,0.0,1029,1,10,175,3
2020-02-03,1,-8,0.0,10.8,2,2,64,12:40 PM,01:46 AM,07:29 AM,06:04 PM,-7,-4,-3,-4,3,10,76,0.0,1025,1,10,162,2
2020-02-04,2,-7,0.2,6.9,1,1,72,01:19 PM,02:45 AM,07:29 AM,06:05 PM,-6,-2,-1,-2,2,69,71,0.4,1022,2,9,184,1
2020-02-05,4,-6,0.0,10.8,2,2,79,02:04 PM,03:46 AM,07:28 AM,06:06 PM,-6,-1,-0,-1,3,27,71,0.2,1024,4,10,221,2
2020-02-06,4,-5,0.1,10.1,1,1,87,02:57 PM,04:47 AM,07:27 AM,06:07 PM,-6,-1,-1,-1,4,31,71,0.1,1020,4,10,210,2
2020-02-07,5,-5,0.0,10.8,2,2,95,03:58 PM,05:46 AM,07:26 AM,06:08 PM,-7,-1,0,-1,7,5,60,0.0,1027,5,10,320,4
2020-02-08,8,-4,0.0,10.8,2,2,100,05:05 PM,06:41 AM,07:25 AM,06:09 PM,-9,1,2,1,7,0,47,0.0,1032,8,10,202,5
2020-02-09,10,1,0.0,10.9,3,3,100,06:15 PM,07:32 AM,07:24 AM,06:10 PM,-6,4,5,4,3,0,46,0.0,1029,10,10,192,3
2020-02-10,11,3,0.0,10.9,3,3,83,07:28 PM,08:16 AM,07:24 AM,06:11 PM,-5,6,7,6,4,2,49,0.0,1025,11,10,182,3
2020-02-11,7,1,0.0,5.4,1,1,75,08:39 PM,08:56 AM,07:23 AM,06:12 PM,-3,4,4,4,3,81,64,1.7,1025,7,7,268,2
2020-02-12,10,0,0.9,5.5,2,2,68,09:49 PM,09:33 AM,07:22 AM,06:13 PM,3,5,5,5,3,76,89,6.1,1023,10,8,251,2
