date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,16,0.0,8.7,6,6,37,10:37 AM,10:29 PM,06:16 AM,05:03 PM,10,23,23,22,16,19,47,0.0,1019,28,10,235,11
2020-01-02,29,18,0.0,8.7,6,6,44,11:10 AM,11:18 PM,06:16 AM,05:03 PM,12,23,23,23,13,23,52,0.0,1019,29,10,155,9
2020-01-03,20,12,0.0,4.1,4,4,51,11:43 AM,No moonset,06:17 AM,05:04 PM,14,18,18,18,18,65,77,3.6,1017,20,10,85,13
2020-01-04,26,16,0.0,8.7,6,6,59,12:16 PM,12:07 AM,06:17 AM,05:05 PM,16,20,21,20,9,32,76,0.0,1014,26,8,99,6
2020-01-05,25,18,0.0,7.2,6,6,66,12:50 PM,12:57 AM,06:17 AM,05:05 PM,15,21,22,21,12,24,68,0.1,1015,25,10,313,9
2020-01-06,26,18,0.0,8.7,6,6,73,01:28 PM,01:49 AM,06:18 AM,05:06 PM,10,23,23,22,12,0,47,0.0,1018,26,10,350,10
2020-01-07,26,17,0.0,8.7,6,6,80,02:08 PM,02:43 AM,06:18 AM,05:07 PM,8,21,21,21,13,5,45,0.0,1016,26,10,336,10
2020-01-08,26,17,0.0,8.7,6,6,88,02:54 PM,03:40 AM,06:18 AM,05:07 PM,7,21,22,21,13,30,41,0.0,1015,26,10,123,8
2020-01-09,22,12,0.0,4.1,5,5,95,03:47 PM,04:39 AM,06:18 AM,05:08 PM,12,19,20,19,9,46,57,0.0,1015,22,10,64,7
2020-01-10,26,17,0.0,8.7,6,6,100,04:44 PM,05:39 AM,06:18 AM,05:09 PM,12,22,22,21,17,4,57,0.0,1016,26,10,322,14
2020-01-11,25,16,0.0,8.7,6,6,100,05:47 PM,06:38 AM,06:18 AM,05:09 PM,11,20,21,20,15,0,58,0.0,1016,25,10,342,13
2020-01-12,26,16,0.0,8.7,6,6,83,06:51 PM,07:34 AM,06:18 AM,05:10 PM,11,21,22,21,14,0,53,0.0,1014,26,10,331,12
2020-01-13,26,17,0.0,8.7,6,6,76,07:56 PM,08:24 AM,06:19 AM,05:11 PM,6,22,22,22,12,0,39,0.0,1013,26,10,316,10
2020-01-14,30,19,0.0,8.7,7,7,69,08:59 PM,09:12 AM,06:19 AM,05:12 PM,10,25,25,25,6,0,42,0.0,1013,30,10,337,5
2020-01-15,31,20,0.0,8.7,7,7,61,10:01 PM,09:55 AM,06:19 AM,05:12 PM,11,26,26,26,8,1,39,0.0,1014,31,10,341,7
2020-01-16,34,21,0.0,8.7,7,7,54,11:01 PM,10:35 AM,06:19 AM,05:13 PM,12,27,27,26,6,1,42,0.0,1015,34,10,50,5
2020-01-17,32,23,0.0,8.7,7,7,47,No moonrise,11:16 AM,06:19 AM,05:14 PM,12,27,27,27,5,2,42,0.0,1015,32,10,62,4
2020-01-18,32,22,0.0,8.7,7,7,40,12:01 AM,11:56 AM,06:19 AM,05:14 PM,11,27,27,26,8,3,39,0.0,1015,32,10,312,6
2020-01-19,30,20,0.0,8.7,7,7,32,01:00 AM,12:37 PM,06:18 AM,05:15 PM,11,25,25,24,11,13,45,0.0,1015,30,10,115,8
2020-01-20,26,18,0.0,7.2,5,5,25,02:00 AM,01:22 PM,06:18 AM,05:16 PM,11,22,22,22,16,32,52,0.0,1016,26,10,327,12
2020-01-21,26,16,0.0,8.7,5,5,18,02:59 AM,02:10 PM,06:18 AM,05:17 PM,9,20,21,20,11,25,43,0.0,1018,26,10,342,9
2020-01-22,30,19,0.0,8.7,7,7,11,03:58 AM,03:01 PM,06:18 AM,05:17 PM,10,25,25,24,9,1,43,0.0,1017,30,10,319,7
2020-01-23,27,18,0.0,8.7,6,6,3,04:54 AM,03:54 PM,06:18 AM,05:18 PM,12,23,23,22,10,26,52,0.0,1015,27,10,333,7
2020-01-24,27,17,0.0,8.7,6,6,0,05:47 AM,04:49 PM,06:18 AM,05:19 PM,5,22,22,22,14,3,34,0.0,1015,27,10,315,11
2020-01-25,27,16,0.0,8.7,6,6,0,06:35 AM,05:44 PM,06:18 AM,05:19 PM,6,22,22,22,8,0,36,0.0,1015,27,10,315,7
2020-01-26,27,18,0.0,8.7,6,6,4,07:19 AM,06:38 PM,06:17 AM,05:20 PM,7,23,23,23,9,0,39,0.0,1013,27,10,304,8
2020-01-27,26,17,0.0,8.7,6,6,11,07:59 AM,07:31 PM,06:17 AM,05:21 PM,8,22,22,22,11,2,42,0.0,1013,26,10,310,9
2020-01-28,29,18,0.0,8.7,6,6,18,08:35 AM,08:21 PM,06:17 AM,05:21 PM,8,23,23,22,10,11,42,0.0,1013,29,10,292,7
