date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,10,0.0,7.1,3,3,37,11:19 AM,11:03 PM,07:04 AM,05:27 PM,3,14,15,14,12,29,45,0.0,1021,20,10,120,7
2020-01-02,21,14,0.0,8.7,4,4,44,11:50 AM,11:54 PM,07:05 AM,05:28 PM,9,16,17,16,16,40,60,0.1,1020,21,10,69,10
2020-01-03,20,13,0.0,5.5,4,4,51,12:19 PM,No moonset,07:05 AM,05:29 PM,12,15,16,15,13,69,79,4.7,1017,20,10,75,9
2020-01-04,21,13,0.0,8.7,4,4,59,12:50 PM,12:46 AM,07:05 AM,05:29 PM,11,16,16,16,12,37,76,1.8,1016,21,10,210,8
2020-01-05,19,13,0.0,8.7,5,5,66,01:23 PM,01:39 AM,07:05 AM,05:30 PM,7,15,15,15,20,8,60,0.0,1016,19,10,289,13
2020-01-06,20,11,0.0,7.1,4,4,73,01:57 PM,02:33 AM,07:06 AM,05:31 PM,6,15,15,15,20,47,55,0.0,1017,20,10,292,12
2020-01-07,18,14,0.0,5.5,4,4,80,02:36 PM,03:30 AM,07:06 AM,05:31 PM,10,15,15,15,13,62,72,0.0,1017,18,10,134,8
2020-01-08,19,13,0.0,7.1,4,4,88,03:21 PM,04:28 AM,07:06 AM,05:32 PM,11,15,15,15,17,66,77,1.0,1015,19,10,113,12
2020-01-09,19,11,0.0,8.7,4,4,95,04:11 PM,05:29 AM,07:06 AM,05:33 PM,8,13,14,13,18,30,71,0.7,1017,19,10,307,13
2020-01-10,21,10,0.0,8.7,5,5,100,05:09 PM,06:29 AM,07:06 AM,05:34 PM,7,13,14,13,19,4,65,0.0,1018,21,10,283,13
2020-01-11,19,8,0.0,8.7,4,4,100,06:12 PM,07:28 AM,07:06 AM,05:35 PM,7,12,13,12,12,12,66,0.0,1018,19,10,268,9
2020-01-12,21,10,0.0,8.7,5,5,83,07:19 PM,08:22 AM,07:06 AM,05:35 PM,8,15,16,15,12,5,60,0.0,1015,21,10,277,9
2020-01-13,22,15,0.0,8.7,5,5,76,08:25 PM,09:11 AM,07:06 AM,05:36 PM,7,17,17,17,13,28,55,1.6,1012,22,10,122,8
2020-01-14,22,14,0.0,7.1,4,4,69,09:32 PM,09:55 AM,07:06 AM,05:37 PM,12,17,17,17,8,32,75,0.0,1014,22,10,122,5
2020-01-15,22,14,0.0,8.7,5,5,61,10:36 PM,10:35 AM,07:06 AM,05:38 PM,12,17,18,17,10,27,70,0.0,1015,22,10,282,6
2020-01-16,18,13,0.0,3.9,4,4,54,11:40 PM,11:14 AM,07:06 AM,05:39 PM,14,15,16,15,15,86,87,12.7,1014,18,9,119,10
2020-01-17,19,13,0.0,3.9,4,4,47,No moonrise,11:51 AM,07:06 AM,05:39 PM,13,15,15,15,17,82,88,31.4,1016,19,8,106,9
2020-01-18,19,12,0.0,7.1,4,4,40,12:42 AM,12:28 PM,07:05 AM,05:40 PM,13,15,15,15,9,65,84,4.0,1017,19,10,233,6
2020-01-19,20,12,0.0,8.7,5,5,32,01:44 AM,01:07 PM,07:05 AM,05:41 PM,10,14,15,14,18,3,75,0.0,1017,20,10,288,12
2020-01-20,20,10,0.0,8.7,4,4,25,02:46 AM,01:50 PM,07:05 AM,05:42 PM,9,14,14,14,14,19,72,0.0,1016,20,10,275,9
2020-01-21,22,13,0.0,8.7,5,5,18,03:48 AM,02:35 PM,07:05 AM,05:43 PM,7,16,16,16,5,18,57,0.0,1018,22,10,171,4
2020-01-22,22,12,0.0,8.7,5,5,11,04:47 AM,03:26 PM,07:05 AM,05:43 PM,9,16,16,16,17,2,64,0.0,1018,22,10,282,11
