date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,17,6,0.0,7.1,4,4,37,11:36 AM,11:18 PM,07:25 AM,05:38 PM,-1,10,10,10,13,64,45,0.0,1021,17,10,116,8
2020-01-02,21,9,0.0,8.7,4,4,44,12:06 PM,No moonset,07:25 AM,05:39 PM,3,13,13,13,12,14,51,0.0,1021,21,10,56,7
2020-01-03,23,10,0.0,8.7,5,5,51,12:35 PM,12:10 AM,07:25 AM,05:39 PM,6,15,15,15,11,8,58,0.0,1018,23,10,307,7
2020-01-04,21,10,0.0,8.7,5,5,59,01:05 PM,01:03 AM,07:25 AM,05:40 PM,4,14,14,14,8,9,53,0.0,1016,21,10,307,4
2020-01-05,20,10,0.0,7.1,4,4,66,01:37 PM,01:56 AM,07:25 AM,05:41 PM,4,14,14,14,15,30,52,0.0,1017,20,10,338,9
2020-01-06,13,8,0.0,3.8,3,3,73,02:10 PM,02:51 AM,07:26 AM,05:42 PM,7,10,11,10,16,87,76,5.0,1019,13,9,30,10
2020-01-07,15,11,0.0,3.8,3,3,80,02:48 PM,03:49 AM,07:26 AM,05:42 PM,12,12,12,12,9,89,95,4.1,1017,15,6,193,6
2020-01-08,17,9,0.0,8.7,4,4,88,03:33 PM,04:48 AM,07:26 AM,05:43 PM,9,11,12,11,12,57,83,0.2,1015,17,8,237,8
2020-01-09,18,8,0.0,8.7,4,4,95,04:23 PM,05:50 AM,07:26 AM,05:44 PM,5,11,12,11,13,1,65,0.0,1018,18,10,335,9
2020-01-10,17,6,0.0,8.7,4,4,100,05:21 PM,06:50 AM,07:26 AM,05:45 PM,-0,9,10,9,19,27,49,0.0,1019,17,10,323,11
2020-01-11,19,7,0.0,8.7,4,4,100,06:23 PM,07:49 AM,07:26 AM,05:46 PM,-2,10,11,10,15,29,41,0.0,1018,19,10,319,8
2020-01-12,22,10,0.0,8.7,5,5,83,07:31 PM,08:42 AM,07:26 AM,05:46 PM,3,14,15,14,15,25,46,0.0,1015,22,10,306,8
2020-01-13,14,6,0.0,5.5,3,3,76,08:38 PM,09:31 AM,07:26 AM,05:47 PM,8,11,12,11,17,52,78,2.6,1011,14,9,184,10
2020-01-14,18,8,0.0,7.1,4,4,69,09:46 PM,10:13 AM,07:26 AM,05:48 PM,9,13,13,13,10,13,79,0.0,1016,18,10,344,7
2020-01-15,20,8,0.0,8.7,4,4,61,10:51 PM,10:53 AM,07:26 AM,05:49 PM,7,13,13,13,8,0,68,0.0,1016,20,10,316,6
2020-01-16,17,7,0.0,8.7,3,3,54,11:56 PM,11:30 AM,07:25 AM,05:50 PM,7,11,12,11,10,36,76,0.5,1015,17,10,172,5
2020-01-17,17,8,0.0,3.8,3,3,47,No moonrise,12:05 PM,07:25 AM,05:51 PM,9,12,12,12,6,53,81,0.2,1017,17,8,190,4
2020-01-18,20,9,0.0,8.7,4,4,40,12:59 AM,12:42 PM,07:25 AM,05:52 PM,7,13,13,13,6,14,65,0.0,1018,20,10,215,4
2020-01-19,19,10,0.0,8.7,4,4,32,02:03 AM,01:21 PM,07:25 AM,05:52 PM,8,13,13,13,12,3,73,0.0,1018,19,10,334,8
2020-01-20,18,9,0.0,7.1,3,3,25,03:06 AM,02:02 PM,07:25 AM,05:53 PM,4,12,13,12,13,38,57,0.0,1017,18,10,344,7
2020-01-21,20,10,0.0,8.7,4,4,18,04:08 AM,02:47 PM,07:24 AM,05:54 PM,7,13,13,13,16,22,66,0.0,1019,20,10,47,9
2020-01-22,19,8,0.0,8.7,4,4,11,05:08 AM,03:37 PM,07:24 AM,05:55 PM,6,12,13,12,20,3,65,0.0,1021,19,10,327,12
2020-01-23,18,7,0.0,8.7,4,4,3,06:05 AM,04:30 PM,07:24 AM,05:56 PM,4,10,12,10,22,0,59,0.0,1018,18,10,316,13
2020-01-24,20,7,0.0,8.7,4,4,0,06:57 AM,05:26 PM,07:23 AM,05:57 PM,2,12,13,12,20,0,49,0.0,1015,20,10,314,12
2020-01-25,21,7,0.0,7.1,4,4,0,07:44 AM,06:23 PM,07:23 AM,05:58 PM,1,13,13,13,11,27,47,0.0,1015,21,10,215,6
2020-01-26,22,9,0.0,8.7,5,5,4,08:25 AM,07:19 PM,07:22 AM,05:58 PM,7,15,15,15,12,5,61,0.0,1013,22,10,331,7
2020-01-27,20,11,0.0,7.1,4,4,11,09:02 AM,08:14 PM,07:22 AM,05:59 PM,9,14,14,14,13,56,74,2.7,1011,20,10,78,7
2020-01-28,15,11,0.0,5.4,3,3,18,09:36 AM,09:09 PM,07:22 AM,06:00 PM,11,11,13,11,28,87,92,11.2,1009,15,8,124,18
2020-01-29,19,9,0.0,10.8,4,4,26,10:06 AM,10:01 PM,07:21 AM,06:01 PM,9,12,13,12,13,20,78,0.0,1016,19,7,259,7
2020-01-30,18,10,0.0,10.8,4,4,33,10:35 AM,10:53 PM,07:21 AM,06:02 PM,8,13,13,13,16,1,73,0.0,1017,18,10,317,11
2020-01-31,19,9,0.0,10.8,4,4,37,11:05 AM,11:46 PM,07:20 AM,06:03 PM,7,12,13,12,10,8,69,0.0,1014,19,10,298,7
2020-02-01,19,8,0.0,10.9,4,4,49,11:35 AM,No moonset,07:19 AM,06:04 PM,7,13,13,13,11,7,67,0.0,1017,19,10,326,7
2020-02-02,21,9,0.0,10.9,5,5,57,12:07 PM,12:39 AM,07:19 AM,06:04 PM,7,14,14,14,12,0,67,0.0,1019,21,10,325,8
2020-02-03,22,9,0.0,10.9,5,5,64,12:42 PM,01:35 AM,07:18 AM,06:05 PM,7,14,15,14,11,0,62,0.0,1017,22,10,334,7
2020-02-04,20,9,0.0,10.9,3,3,72,01:22 PM,02:32 AM,07:18 AM,06:06 PM,6,13,14,13,15,29,65,0.0,1016,20,10,220,9
2020-02-05,20,8,0.0,10.9,4,4,79,02:08 PM,03:32 AM,07:17 AM,06:07 PM,5,12,13,12,15,1,63,0.0,1017,20,10,312,10
2020-02-06,20,8,0.0,10.9,5,5,87,03:02 PM,04:32 AM,07:16 AM,06:08 PM,5,14,14,14,11,13,58,0.1,1015,20,10,296,7
2020-02-07,20,7,0.0,10.9,4,4,95,04:02 PM,05:31 AM,07:15 AM,06:09 PM,6,14,14,14,10,24,62,0.7,1018,20,10,340,6
2020-02-08,22,9,0.0,11.0,5,5,100,05:09 PM,06:27 AM,07:15 AM,06:10 PM,7,16,17,16,12,0,61,0.0,1019,22,10,330,8
2020-02-09,23,9,0.0,11.0,5,5,100,06:17 PM,07:19 AM,07:14 AM,06:10 PM,5,16,17,16,10,1,56,0.0,1020,23,10,317,6
2020-02-10,23,9,0.0,11.0,5,5,83,07:28 PM,08:05 AM,07:13 AM,06:11 PM,5,15,17,15,12,6,58,0.0,1018,23,10,326,8
2020-02-11,23,8,0.0,8.6,4,4,75,08:36 PM,08:48 AM,07:12 AM,06:12 PM,5,16,17,16,10,33,57,0.0,1019,23,10,345,7
2020-02-12,26,10,0.0,11.0,5,5,68,09:44 PM,09:27 AM,07:12 AM,06:13 PM,8,17,18,17,21,10,57,0.0,1018,26,10,323,13
2020-02-13,30,12,0.0,11.0,6,6,60,10:50 PM,10:04 AM,07:11 AM,06:14 PM,10,20,21,20,23,7,56,0.0,1015,30,10,320,13
2020-02-14,25,12,0.0,11.0,5,5,53,11:55 PM,10:42 AM,07:10 AM,06:14 PM,5,17,19,17,24,0,47,0.0,1012,25,10,310,14
2020-02-15,28,10,0.0,11.1,5,5,45,No moonrise,11:20 AM,07:09 AM,06:15 PM,1,18,19,18,21,0,34,0.0,1012,28,10,311,13
2020-02-16,30,12,0.0,11.1,6,6,38,01:00 AM,12:01 PM,07:08 AM,06:16 PM,2,20,20,20,14,5,37,0.0,1015,30,10,325,8
2020-02-17,28,12,0.0,11.1,6,6,30,02:03 AM,12:45 PM,07:07 AM,06:17 PM,1,20,20,20,17,1,35,0.0,1016,28,10,314,11
2020-02-18,29,12,0.0,11.1,6,6,22,03:04 AM,01:34 PM,07:06 AM,06:18 PM,1,20,20,20,16,5,37,0.0,1013,29,10,309,10
2020-02-19,26,13,0.0,8.6,5,5,15,04:01 AM,02:25 PM,07:05 AM,06:18 PM,3,19,20,19,35,34,35,0.0,1010,26,10,128,23
2020-02-20,28,15,0.0,11.2,6,6,7,04:54 AM,03:20 PM,07:04 AM,06:19 PM,7,22,22,21,30,13,46,0.4,1011,28,10,133,19
2020-02-21,22,13,0.0,7.1,4,4,0,05:42 AM,04:15 PM,07:03 AM,06:20 PM,12,17,18,17,23,59,75,12.3,1017,22,9,126,14
2020-02-22,27,13,0.0,11.2,6,6,0,06:24 AM,05:12 PM,07:02 AM,06:21 PM,11,19,20,19,16,13,64,0.0,1019,27,10,126,9
2020-02-23,28,15,0.0,11.2,6,6,0,07:02 AM,06:07 PM,07:01 AM,06:21 PM,10,22,22,21,12,3,55,0.0,1016,28,10,119,8
2020-02-24,28,14,0.0,11.2,6,6,0,07:36 AM,07:01 PM,07:00 AM,06:22 PM,8,20,20,20,12,6,49,0.0,1013,28,10,333,7
2020-02-25,28,14,0.0,11.6,5,5,8,08:07 AM,07:55 PM,06:59 AM,06:23 PM,8,22,22,22,11,16,49,0.0,1012,28,10,331,6
2020-02-26,30,14,0.0,11.6,6,6,15,08:37 AM,08:47 PM,06:58 AM,06:24 PM,5,23,23,22,11,7,39,0.0,1012,30,10,43,7
2020-02-27,31,15,0.0,11.6,6,6,23,09:06 AM,09:40 PM,06:57 AM,06:24 PM,8,23,23,23,13,16,44,0.0,1012,31,10,63,8
2020-02-28,30,14,0.0,10.2,5,5,30,09:35 AM,10:32 PM,06:56 AM,06:25 PM,12,23,23,22,29,37,56,0.6,1010,30,10,127,18
2020-02-29,30,14,0.0,10.2,6,6,38,10:06 AM,11:26 PM,06:55 AM,06:26 PM,13,19,19,19,32,36,70,3.2,1010,30,10,117,20
2020-03-01,28,12,0.0,11.6,6,6,44,10:39 AM,No moonset,06:54 AM,06:27 PM,11,20,20,20,15,14,63,0.0,1012,28,10,28,9
2020-03-02,30,14,0.0,11.6,5,5,51,11:17 AM,12:21 AM,06:53 AM,06:27 PM,10,23,23,22,9,18,52,0.0,1011,30,10,229,5
2020-03-03,31,16,0.0,11.6,6,6,58,11:59 AM,01:19 AM,06:52 AM,06:28 PM,9,23,23,23,10,7,48,0.0,1010,31,10,302,6
2020-03-04,29,16,0.0,11.6,5,5,65,12:47 PM,02:17 AM,06:50 AM,06:29 PM,8,23,23,23,13,17,46,0.0,1009,29,10,111,8
2020-03-05,27,13,0.0,8.8,4,4,73,01:43 PM,03:15 AM,06:49 AM,06:29 PM,12,17,18,17,25,39,72,3.2,1009,27,10,121,15
2020-03-06,16,12,0.0,5.9,3,3,80,02:45 PM,04:11 AM,06:48 AM,06:30 PM,12,13,14,13,35,84,89,12.1,1008,16,8,113,21
2020-03-07,19,13,0.0,7.3,4,4,87,03:52 PM,05:04 AM,06:47 AM,06:31 PM,13,14,15,14,23,69,87,4.3,1013,19,10,133,15
2020-03-08,25,13,0.0,11.6,6,6,95,05:02 PM,05:53 AM,06:46 AM,06:31 PM,12,18,20,18,15,4,70,0.0,1015,25,10,248,9
2020-03-09,25,12,0.0,11.6,5,5,100,06:12 PM,06:37 AM,06:45 AM,06:32 PM,8,18,19,18,20,0,56,0.0,1012,25,10,321,13
2020-03-10,28,13,0.0,11.6,6,6,100,07:22 PM,07:19 AM,06:43 AM,06:33 PM,7,21,21,21,10,4,46,0.0,1010,28,10,143,5
2020-03-11,22,13,0.0,8.8,4,4,84,08:31 PM,07:58 AM,06:42 AM,06:33 PM,10,16,17,16,27,54,70,7.1,1009,22,9,116,17
2020-03-12,25,15,0.0,11.6,6,6,76,09:40 PM,08:36 AM,06:41 AM,06:34 PM,13,19,21,19,27,33,75,0.3,1010,25,10,131,17
2020-03-13,25,13,0.0,11.6,6,6,69,10:47 PM,09:16 AM,06:40 AM,06:35 PM,10,19,20,19,23,13,67,0.0,1013,25,9,179,15
2020-03-14,23,11,0.0,10.2,4,4,62,11:53 PM,09:57 AM,06:39 AM,06:35 PM,11,15,16,15,12,47,76,5.1,1015,23,10,119,8
