date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,24,14,0.0,5.5,4,4,37,11:32 AM,11:25 PM,07:09 AM,05:58 PM,12,19,19,19,12,30,68,0.0,1014,24,10,205,8
2020-01-02,27,17,0.0,7.1,5,5,44,12:05 PM,No moonset,07:10 AM,05:59 PM,13,22,22,21,13,25,62,0.1,1015,27,10,232,9
2020-01-03,25,16,0.0,8.7,6,6,51,12:38 PM,12:14 AM,07:10 AM,05:59 PM,10,20,21,20,14,11,54,0.0,1016,25,10,247,10
2020-01-04,25,15,0.0,10.9,6,6,59,01:12 PM,01:03 AM,07:10 AM,06:00 PM,8,19,20,19,18,12,48,0.0,1015,25,10,37,11
2020-01-05,25,14,0.0,10.9,5,5,66,01:47 PM,01:53 AM,07:11 AM,06:01 PM,5,19,19,19,25,0,44,0.0,1016,25,10,73,16
2020-01-06,27,15,0.0,10.9,6,6,73,02:24 PM,02:44 AM,07:11 AM,06:01 PM,6,21,21,21,14,4,40,0.0,1016,27,10,162,9
2020-01-07,28,18,0.0,10.9,6,6,80,03:05 PM,03:39 AM,07:11 AM,06:02 PM,11,24,24,23,11,23,46,0.0,1014,28,10,244,8
2020-01-08,28,19,0.0,10.1,6,6,88,03:52 PM,04:35 AM,07:11 AM,06:03 PM,12,24,24,23,20,36,51,0.1,1012,28,10,266,14
2020-01-09,24,14,0.0,10.9,5,5,95,04:44 PM,05:35 AM,07:11 AM,06:03 PM,5,18,18,18,25,0,43,0.0,1016,24,10,51,16
2020-01-10,23,12,0.0,10.9,5,5,100,05:42 PM,06:34 AM,07:12 AM,06:04 PM,1,16,17,16,26,0,36,0.0,1017,23,10,74,16
2020-01-11,27,13,0.0,10.9,6,6,100,06:44 PM,07:33 AM,07:12 AM,06:05 PM,6,20,21,20,16,2,41,0.0,1016,27,10,156,10
2020-01-12,30,18,0.0,10.9,6,6,83,07:49 PM,08:28 AM,07:12 AM,06:05 PM,10,24,24,23,11,2,44,0.0,1015,30,10,176,7
2020-01-13,28,19,0.0,10.9,6,6,76,08:53 PM,09:20 AM,07:12 AM,06:06 PM,13,23,23,23,18,13,54,0.0,1012,28,10,246,13
2020-01-14,26,16,0.0,10.1,5,5,69,09:56 PM,10:07 AM,07:12 AM,06:07 PM,13,21,22,21,12,42,61,0.1,1013,26,10,168,8
2020-01-15,28,17,0.0,11.0,6,6,61,10:57 PM,10:50 AM,07:12 AM,06:07 PM,10,23,23,23,17,15,49,0.0,1012,28,10,190,11
2020-01-16,24,15,0.0,11.0,5,5,54,11:57 PM,11:32 AM,07:12 AM,06:08 PM,4,19,19,19,17,9,38,0.0,1013,24,10,246,12
2020-01-17,26,13,0.0,11.0,6,6,47,No moonrise,12:11 PM,07:12 AM,06:09 PM,4,20,20,20,8,0,39,0.0,1015,26,10,132,6
2020-01-18,27,15,0.0,11.0,6,6,40,12:57 AM,12:52 PM,07:12 AM,06:09 PM,5,21,22,21,12,2,39,0.0,1015,27,10,156,8
2020-01-19,26,15,0.0,11.0,6,6,32,01:56 AM,01:34 PM,07:12 AM,06:10 PM,7,20,21,20,21,3,44,0.0,1015,26,10,60,13
2020-01-20,30,14,0.0,11.0,6,6,25,02:55 AM,02:19 PM,07:12 AM,06:11 PM,8,23,23,23,16,15,45,0.0,1015,30,10,202,10
2020-01-21,30,18,0.0,11.0,7,7,18,03:55 AM,03:07 PM,07:12 AM,06:11 PM,11,25,25,25,18,14,46,0.0,1014,30,10,231,11
2020-01-22,31,19,0.0,11.0,7,7,11,04:53 AM,03:58 PM,07:12 AM,06:12 PM,9,25,25,25,15,11,38,0.0,1016,31,10,212,9
2020-01-23,28,18,0.0,11.0,6,6,3,05:49 AM,04:52 PM,07:11 AM,06:13 PM,10,22,22,22,24,7,48,0.0,1016,28,10,65,16
2020-01-24,30,16,0.0,11.0,6,6,0,06:41 AM,05:47 PM,07:11 AM,06:14 PM,7,23,23,23,14,2,37,0.0,1015,30,10,243,8
2020-01-25,30,19,0.0,11.0,6,6,0,07:30 AM,06:41 PM,07:11 AM,06:14 PM,6,24,24,24,12,3,34,0.0,1014,30,10,335,8
2020-01-26,31,18,0.0,11.0,7,7,4,08:13 AM,07:35 PM,07:11 AM,06:15 PM,6,24,24,25,10,3,30,0.0,1013,31,10,229,6
2020-01-27,32,20,0.0,11.1,7,7,11,08:53 AM,08:27 PM,07:11 AM,06:16 PM,5,27,27,26,18,2,29,0.0,1010,32,10,230,12
2020-01-28,27,16,0.0,11.1,6,6,18,09:30 AM,09:18 PM,07:10 AM,06:16 PM,10,21,21,21,24,4,53,0.0,1012,27,10,263,16
2020-01-29,25,15,0.0,11.1,6,6,26,10:04 AM,10:07 PM,07:10 AM,06:17 PM,8,20,20,20,16,5,52,0.0,1015,25,10,256,10
