date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,11,0.0,8.7,5,5,37,11:04 AM,10:50 PM,06:48 AM,05:17 PM,6,15,15,15,10,39,55,0.0,1020,21,10,164,6
2020-01-02,22,13,0.0,7.1,4,4,44,11:36 AM,11:41 PM,06:48 AM,05:18 PM,10,17,17,17,15,39,64,0.5,1019,22,10,91,9
2020-01-03,17,14,0.0,4.0,4,4,51,12:06 PM,No moonset,06:48 AM,05:19 PM,13,15,15,15,18,70,89,5.6,1017,17,9,83,11
2020-01-04,21,14,0.0,5.6,4,4,59,12:37 PM,12:32 AM,06:48 AM,05:19 PM,12,16,17,16,12,68,76,2.1,1015,21,10,188,7
2020-01-05,21,13,0.0,8.7,5,5,66,01:10 PM,01:24 AM,06:49 AM,05:20 PM,9,15,16,15,24,3,68,0.0,1015,21,10,288,15
2020-01-06,20,12,0.0,8.7,5,5,73,01:46 PM,02:17 AM,06:49 AM,05:21 PM,7,15,15,15,15,12,59,0.0,1017,20,10,293,9
2020-01-07,21,13,0.0,8.7,5,5,80,02:25 PM,03:13 AM,06:49 AM,05:21 PM,9,16,16,16,7,30,64,0.0,1016,21,10,114,4
2020-01-08,18,9,0.0,5.6,4,4,88,03:10 PM,04:11 AM,06:49 AM,05:22 PM,10,14,15,14,17,51,71,0.8,1015,18,10,77,10
2020-01-09,18,12,0.0,5.6,4,4,95,04:01 PM,05:12 AM,06:49 AM,05:23 PM,13,14,15,14,16,59,89,3.6,1015,18,8,311,10
2020-01-10,19,11,0.0,8.7,5,5,100,04:59 PM,06:12 AM,06:49 AM,05:24 PM,9,13,14,13,22,5,74,0.0,1016,19,10,276,14
2020-01-11,19,11,0.0,8.7,5,5,100,06:02 PM,07:11 AM,06:49 AM,05:24 PM,7,14,14,14,14,2,64,0.0,1017,19,10,279,9
2020-01-12,20,11,0.0,8.7,5,5,83,07:08 PM,08:05 AM,06:49 AM,05:25 PM,8,15,15,15,14,0,65,0.0,1014,20,10,280,10
2020-01-13,24,13,0.0,8.7,5,5,76,08:14 PM,08:55 AM,06:49 AM,05:26 PM,10,17,17,17,6,1,64,0.0,1012,24,10,124,4
2020-01-14,24,13,0.0,8.7,5,5,69,09:19 PM,09:40 AM,06:49 AM,05:27 PM,10,17,18,17,9,12,63,0.0,1013,24,10,265,5
2020-01-15,19,14,0.0,7.1,4,4,61,10:23 PM,10:21 AM,06:49 AM,05:28 PM,11,17,17,17,13,36,69,0.0,1014,19,10,273,7
2020-01-16,21,14,0.0,5.6,4,4,54,11:26 PM,11:00 AM,06:49 AM,05:28 PM,13,15,16,15,19,60,82,3.3,1014,21,9,54,12
2020-01-17,19,13,0.0,4.1,4,4,47,No moonrise,11:38 AM,06:49 AM,05:29 PM,14,16,16,16,24,71,88,3.7,1017,19,10,73,15
2020-01-18,23,15,0.0,8.7,5,5,40,12:27 AM,12:16 PM,06:49 AM,05:30 PM,13,17,18,17,9,31,76,0.0,1016,23,10,209,5
2020-01-19,21,13,0.0,8.7,5,5,32,01:29 AM,12:56 PM,06:49 AM,05:31 PM,11,15,16,15,20,10,77,0.0,1015,21,10,288,12
2020-01-20,20,11,0.0,8.7,5,5,25,02:30 AM,01:39 PM,06:49 AM,05:32 PM,9,14,15,14,19,10,71,0.0,1016,20,10,273,11
2020-01-21,21,11,0.0,8.7,5,5,18,03:31 AM,02:25 PM,06:49 AM,05:32 PM,8,15,16,15,9,14,63,0.0,1017,21,10,265,5
2020-01-22,22,12,0.0,8.7,5,5,11,04:30 AM,03:16 PM,06:48 AM,05:33 PM,9,16,16,16,17,0,63,0.0,1016,22,10,282,10
2020-01-23,21,10,0.0,8.7,5,5,3,05:27 AM,04:09 PM,06:48 AM,05:34 PM,7,13,14,13,32,0,65,0.0,1014,21,10,271,18
2020-01-24,19,8,0.0,8.7,4,4,0,06:19 AM,05:04 PM,06:48 AM,05:35 PM,8,13,14,13,18,0,67,0.0,1013,19,10,290,12
2020-01-25,22,12,0.0,8.7,5,5,0,07:07 AM,06:00 PM,06:47 AM,05:36 PM,11,16,16,16,6,1,72,0.0,1014,22,10,329,4
2020-01-26,21,11,0.0,8.7,5,5,4,07:50 AM,06:55 PM,06:47 AM,05:36 PM,10,15,15,15,14,9,73,0.0,1013,21,10,282,9
2020-01-27,22,13,0.0,8.7,5,5,11,08:27 AM,07:49 PM,06:47 AM,05:37 PM,11,16,17,16,13,6,70,0.0,1011,22,10,292,8
2020-01-28,23,12,0.0,8.7,4,4,18,09:02 AM,08:41 PM,06:46 AM,05:38 PM,12,17,17,17,15,44,72,0.4,1011,23,10,136,9
2020-01-29,24,14,0.0,8.7,5,5,26,09:35 AM,09:33 PM,06:46 AM,05:39 PM,13,18,18,18,16,40,76,0.8,1013,24,10,114,9
2020-01-30,22,12,0.0,8.7,5,5,33,10:06 AM,10:23 PM,06:46 AM,05:39 PM,10,15,16,15,25,9,71,0.0,1013,22,9,284,14
2020-01-31,22,10,0.0,8.7,5,5,37,10:36 AM,11:15 PM,06:45 AM,05:40 PM,8,14,15,14,20,0,64,0.0,1013,22,10,274,12
2020-02-01,22,12,0.0,8.7,5,5,49,11:08 AM,No moonset,06:45 AM,05:41 PM,9,15,16,15,17,0,65,0.0,1015,22,10,282,10
2020-02-02,20,10,0.0,8.7,5,5,57,11:42 AM,12:06 AM,06:44 AM,05:42 PM,6,13,14,13,23,0,61,0.0,1016,20,10,276,13
2020-02-03,22,10,0.0,8.7,5,5,64,12:18 PM,01:00 AM,06:44 AM,05:42 PM,8,15,16,15,16,0,63,0.0,1016,22,10,278,10
2020-02-04,25,11,0.0,8.7,5,5,72,01:00 PM,01:56 AM,06:43 AM,05:43 PM,9,17,18,17,7,0,59,0.0,1015,25,10,155,4
2020-02-05,21,12,0.0,8.7,5,5,79,01:47 PM,02:54 AM,06:43 AM,05:44 PM,8,15,16,15,21,2,60,0.0,1013,21,10,278,13
2020-02-06,22,11,0.0,8.7,5,5,87,02:40 PM,03:54 AM,06:42 AM,05:45 PM,8,15,16,15,18,1,63,0.0,1015,22,10,296,11
2020-02-07,24,11,0.0,8.7,5,5,95,03:41 PM,04:53 AM,06:41 AM,05:45 PM,7,16,17,16,15,1,55,0.0,1016,24,10,323,9
2020-02-08,22,11,0.0,8.7,5,5,100,04:46 PM,05:50 AM,06:41 AM,05:46 PM,6,15,16,15,15,1,54,0.0,1018,22,10,284,9
2020-02-09,25,12,0.0,8.7,5,5,100,05:54 PM,06:42 AM,06:40 AM,05:47 PM,9,17,19,17,12,1,58,0.0,1018,25,10,206,7
2020-02-10,23,10,0.0,8.7,5,5,83,07:02 PM,07:31 AM,06:39 AM,05:48 PM,8,16,16,16,20,1,59,0.0,1016,23,10,279,12
2020-02-11,23,11,0.0,8.7,5,5,75,08:09 PM,08:15 AM,06:39 AM,05:48 PM,6,16,16,16,17,1,54,0.0,1017,23,10,266,10
2020-02-12,23,11,0.0,8.7,5,5,68,09:14 PM,08:56 AM,06:38 AM,05:49 PM,9,16,17,16,18,0,62,0.0,1016,23,10,273,11
2020-02-13,25,14,0.0,8.7,6,6,60,10:18 PM,09:36 AM,06:37 AM,05:50 PM,13,19,20,19,15,0,70,0.0,1012,25,10,283,9
2020-02-14,26,16,0.0,8.7,6,6,53,11:22 PM,10:15 AM,06:37 AM,05:50 PM,13,19,20,19,21,0,68,0.0,1008,26,10,280,13
2020-02-15,24,13,0.0,8.7,5,5,45,No moonrise,10:55 AM,06:36 AM,05:51 PM,10,18,19,18,17,1,59,0.0,1011,24,10,273,11
2020-02-16,26,15,0.0,8.7,6,6,38,12:24 AM,11:38 AM,06:35 AM,05:52 PM,15,20,21,20,5,13,69,0.0,1014,26,10,198,3
2020-02-17,26,17,0.0,8.7,6,6,30,01:26 AM,12:23 PM,06:34 AM,05:52 PM,14,22,22,21,15,2,66,0.0,1014,26,10,277,9
2020-02-18,25,13,0.0,8.7,6,6,22,02:25 AM,01:12 PM,06:33 AM,05:53 PM,8,19,19,19,18,0,50,0.0,1012,25,10,276,11
2020-02-19,26,13,0.0,8.7,5,5,15,03:23 AM,02:04 PM,06:33 AM,05:54 PM,9,20,20,20,6,18,50,0.0,1014,26,10,119,4
2020-02-20,28,15,0.0,7.2,5,5,7,04:15 AM,02:58 PM,06:32 AM,05:54 PM,9,20,21,20,17,34,51,0.0,1014,28,10,116,10
2020-02-21,26,15,0.0,4.2,5,5,0,05:04 AM,03:53 PM,06:31 AM,05:55 PM,10,19,20,19,29,64,54,1.1,1017,26,10,76,17
2020-02-22,27,15,0.0,8.7,6,6,0,05:48 AM,04:48 PM,06:30 AM,05:56 PM,14,22,22,21,21,26,66,0.6,1017,27,10,123,13
2020-02-23,28,17,0.0,5.7,5,5,0,06:26 AM,05:43 PM,06:29 AM,05:56 PM,15,23,23,22,15,36,67,1.3,1014,28,10,133,10
2020-02-24,27,17,0.0,5.7,5,5,0,07:02 AM,06:35 PM,06:28 AM,05:57 PM,14,22,22,22,12,54,65,0.3,1012,27,10,130,8
2020-02-25,27,15,0.0,5.7,5,5,8,07:35 AM,07:27 PM,06:27 AM,05:57 PM,14,20,21,20,15,62,71,5.9,1012,27,9,176,9
2020-02-26,25,14,0.0,7.2,5,5,15,08:06 AM,08:17 PM,06:26 AM,05:58 PM,14,18,19,18,17,63,74,1.9,1013,25,9,98,10
2020-02-27,26,14,0.0,8.7,6,6,23,08:37 AM,09:08 PM,06:26 AM,05:59 PM,13,21,21,21,9,11,63,0.0,1013,26,10,226,6
2020-02-28,27,16,0.0,8.7,6,6,30,09:08 AM,10:00 PM,06:25 AM,05:59 PM,12,21,21,21,10,11,56,0.0,1013,27,10,127,6
2020-02-29,29,17,0.0,11.6,6,6,38,09:41 AM,10:52 PM,06:24 AM,06:00 PM,11,23,23,22,9,13,51,0.0,1011,29,10,184,5
2020-03-01,30,18,0.0,10.2,5,5,44,10:15 AM,11:46 PM,06:23 AM,06:00 PM,13,24,24,23,13,26,51,0.2,1011,30,10,256,8
2020-03-02,30,18,0.0,11.6,7,7,51,10:53 AM,No moonset,06:22 AM,06:01 PM,12,24,24,24,15,25,50,0.6,1010,30,10,288,9
2020-03-03,31,18,0.0,11.6,7,7,58,11:37 AM,12:41 AM,06:21 AM,06:01 PM,10,24,24,24,19,4,44,0.0,1008,31,10,286,11
2020-03-04,32,18,0.0,11.6,7,7,65,12:26 PM,01:39 AM,06:20 AM,06:02 PM,7,24,24,24,6,10,35,0.0,1009,32,10,236,4
2020-03-05,31,18,0.0,8.8,6,6,73,01:22 PM,02:36 AM,06:19 AM,06:03 PM,9,24,24,24,17,33,40,0.2,1009,31,10,94,10
2020-03-06,31,17,0.0,11.6,7,7,80,02:23 PM,03:34 AM,06:18 AM,06:03 PM,12,24,24,24,26,35,54,3.1,1009,31,10,100,16
2020-03-07,30,17,0.0,7.4,5,5,87,03:29 PM,04:27 AM,06:17 AM,06:04 PM,14,21,21,21,26,52,68,8.9,1013,30,10,82,17
2020-03-08,28,16,0.0,11.6,6,6,95,04:37 PM,05:18 AM,06:16 AM,06:04 PM,12,22,22,22,24,0,58,0.0,1011,28,10,281,14
2020-03-09,28,15,0.0,11.6,6,6,100,05:46 PM,06:04 AM,06:15 AM,06:05 PM,8,22,22,22,25,4,45,0.0,1010,28,10,272,15
2020-03-10,28,16,0.0,11.6,6,6,100,06:53 PM,06:47 AM,06:14 AM,06:05 PM,9,23,23,22,19,27,45,0.0,1010,28,10,252,11
2020-03-11,30,19,0.0,11.6,7,7,84,08:00 PM,07:28 AM,06:13 AM,06:06 PM,10,25,25,24,15,33,42,0.1,1010,30,10,192,9
2020-03-12,33,21,0.0,8.8,6,6,76,09:06 PM,08:08 AM,06:11 AM,06:06 PM,13,27,27,26,10,32,45,1.2,1011,33,10,178,6
2020-03-13,22,18,0.0,6.0,5,5,69,10:12 PM,08:50 AM,06:10 AM,06:07 PM,14,20,21,20,29,72,69,11.6,1014,22,9,60,17
2020-03-14,26,16,0.0,8.8,5,5,62,11:17 PM,09:33 AM,06:09 AM,06:07 PM,17,22,22,22,16,74,75,5.6,1013,26,10,138,10
2020-03-15,29,17,0.0,11.6,6,6,55,No moonrise,10:19 AM,06:08 AM,06:08 PM,13,24,24,23,16,6,57,0.0,1013,29,9,229,9
2020-03-16,29,18,0.0,11.6,6,6,47,12:19 AM,11:08 AM,06:07 AM,06:08 PM,9,23,23,23,17,4,42,0.0,1013,29,10,267,11
2020-03-17,30,17,0.0,11.6,7,7,40,01:19 AM,12:00 PM,06:06 AM,06:09 PM,9,24,24,24,18,4,40,0.0,1012,30,10,277,11
2020-03-18,31,19,0.0,11.6,7,7,33,02:13 AM,12:54 PM,06:05 AM,06:09 PM,8,24,24,25,23,0,35,0.0,1011,31,10,280,15
2020-03-19,32,20,0.0,11.6,7,7,25,03:03 AM,01:49 PM,06:04 AM,06:10 PM,9,25,25,26,22,4,37,0.0,1009,32,10,288,14
2020-03-20,33,22,0.0,11.6,7,7,18,03:48 AM,02:43 PM,06:03 AM,06:10 PM,9,27,27,27,12,7,33,0.0,1009,33,10,299,7
2020-03-21,33,20,0.0,11.6,6,6,11,04:27 AM,03:38 PM,06:02 AM,06:11 PM,11,27,27,26,11,40,41,2.2,1009,33,10,205,6
2020-03-22,32,19,0.0,11.6,7,7,4,05:04 AM,04:30 PM,06:01 AM,06:11 PM,12,26,26,26,14,38,45,1.7,1010,32,10,274,8
2020-03-23,32,19,0.0,12.1,7,7,0,05:37 AM,05:23 PM,06:00 AM,06:12 PM,12,27,27,26,15,3,45,0.0,1009,32,10,236,10
2020-03-24,34,21,0.0,12.5,7,7,0,06:08 AM,06:13 PM,05:59 AM,06:12 PM,10,28,28,28,8,5,34,0.0,1007,34,10,272,6
2020-03-25,36,22,0.0,12.6,8,8,3,06:39 AM,07:04 PM,05:58 AM,06:13 PM,8,28,28,29,24,8,28,0.0,1007,36,10,294,15
2020-03-26,37,22,0.0,12.6,8,8,11,07:10 AM,07:55 PM,05:56 AM,06:13 PM,6,28,28,29,30,11,24,0.0,1007,37,10,304,19
2020-03-27,37,24,0.0,12.6,8,8,18,07:42 AM,08:47 PM,05:55 AM,06:14 PM,9,30,30,30,31,27,29,0.0,1009,37,10,296,21
2020-03-28,35,21,0.0,12.6,7,7,25,08:15 AM,09:41 PM,05:54 AM,06:14 PM,10,28,28,28,31,1,34,0.0,1009,35,10,282,20
2020-03-29,35,21,0.0,12.6,7,7,32,08:52 AM,10:35 PM,05:53 AM,06:15 PM,5,28,28,28,35,0,25,0.0,1007,35,10,284,23
2020-03-30,36,21,0.0,12.6,8,8,40,09:33 AM,11:31 PM,05:52 AM,06:15 PM,0,28,28,29,35,0,18,0.0,1007,36,10,283,22
2020-03-31,37,21,0.0,12.7,8,8,44,10:18 AM,No moonset,05:51 AM,06:16 PM,1,30,30,30,26,2,18,0.0,1007,37,10,283,16
2020-04-01,38,23,0.0,12.7,8,8,56,11:10 AM,12:27 AM,05:50 AM,06:16 PM,4,31,31,31,24,6,19,0.0,1006,38,10,284,16
2020-04-02,38,24,0.0,12.7,8,8,64,12:07 PM,01:23 AM,05:49 AM,06:17 PM,4,30,30,31,26,3,19,0.0,1005,38,10,283,16
2020-04-03,35,22,0.0,12.7,8,8,71,01:10 PM,02:16 AM,05:48 AM,06:17 PM,-3,30,30,30,28,0,14,0.0,1008,35,10,285,18
2020-04-04,37,21,0.0,12.7,8,8,79,02:14 PM,03:06 AM,05:47 AM,06:18 PM,-3,29,29,29,24,0,13,0.0,1008,37,10,274,15
2020-04-05,38,22,0.0,12.7,8,8,87,03:22 PM,03:53 AM,05:46 AM,06:18 PM,-2,31,31,31,27,0,13,0.0,1007,38,10,287,17
2020-04-06,39,24,0.0,12.7,8,8,94,04:28 PM,04:36 AM,05:45 AM,06:19 PM,2,32,32,33,35,1,16,0.0,1006,39,10,297,23
2020-04-07,39,24,0.0,12.8,7,7,100,05:36 PM,05:18 AM,05:44 AM,06:19 PM,-1,33,33,33,30,11,14,0.0,1004,39,10,289,19
2020-04-08,40,24,0.0,12.8,8,8,100,06:43 PM,05:58 AM,05:43 AM,06:20 PM,2,33,33,33,25,23,16,0.0,1005,40,10,286,16
