date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,22,14,0.0,8.7,5,5,37,10:48 AM,10:37 PM,06:31 AM,05:06 PM,9,17,17,17,10,42,61,0.0,1020,22,10,288,6
2020-01-02,24,15,0.0,5.6,5,5,44,11:21 AM,11:27 PM,06:31 AM,05:07 PM,11,19,19,19,9,59,62,1.0,1020,24,10,56,6
2020-01-03,22,16,0.0,4.0,4,4,51,11:52 AM,No moonset,06:32 AM,05:08 PM,13,19,19,19,8,65,72,2.8,1017,22,10,87,5
2020-01-04,24,15,0.0,8.7,6,6,59,12:24 PM,12:17 AM,06:32 AM,05:08 PM,13,20,20,20,10,22,69,0.0,1014,24,10,272,7
2020-01-05,22,14,0.0,8.7,5,5,66,12:57 PM,01:09 AM,06:32 AM,05:09 PM,11,18,19,18,18,2,67,0.0,1015,22,10,285,13
2020-01-06,23,13,0.0,8.7,5,5,73,01:34 PM,02:02 AM,06:32 AM,05:10 PM,9,17,18,17,14,3,58,0.0,1017,23,10,291,10
2020-01-07,22,14,0.0,8.7,5,5,80,02:13 PM,02:57 AM,06:32 AM,05:11 PM,8,18,18,18,7,10,54,0.0,1016,22,10,300,5
2020-01-08,24,14,0.0,8.7,5,5,88,02:59 PM,03:55 AM,06:33 AM,05:11 PM,8,19,19,19,12,30,52,0.1,1014,24,10,59,7
2020-01-09,23,15,0.0,4.0,4,4,95,03:50 PM,04:54 AM,06:33 AM,05:12 PM,14,18,19,18,16,88,79,4.0,1015,23,9,213,11
2020-01-10,20,12,0.0,5.6,4,4,100,04:48 PM,05:55 AM,06:33 AM,05:13 PM,12,15,16,15,20,33,80,0.1,1016,20,10,280,14
2020-01-11,21,13,0.0,8.7,5,5,100,05:51 PM,06:53 AM,06:33 AM,05:13 PM,10,16,17,16,17,0,69,0.0,1017,21,10,288,13
2020-01-12,22,12,0.0,8.7,5,5,83,06:56 PM,07:48 AM,06:33 AM,05:14 PM,9,16,17,16,15,0,62,0.0,1015,22,10,278,12
2020-01-13,24,13,0.0,8.7,5,5,76,08:02 PM,08:38 AM,06:33 AM,05:15 PM,9,18,19,18,9,0,58,0.0,1013,24,10,292,7
2020-01-14,25,16,0.0,8.7,6,6,69,09:06 PM,09:24 AM,06:33 AM,05:16 PM,10,20,21,20,5,1,53,0.0,1013,25,10,272,4
2020-01-15,26,15,0.0,8.7,6,6,61,10:09 PM,10:06 AM,06:33 AM,05:16 PM,10,20,20,20,7,6,53,0.0,1014,26,10,281,4
2020-01-16,28,16,0.0,8.7,6,6,54,11:11 PM,10:45 AM,06:33 AM,05:17 PM,12,21,21,21,14,11,58,0.0,1014,28,10,65,8
2020-01-17,30,17,0.0,8.7,6,6,47,No moonrise,11:24 AM,06:33 AM,05:18 PM,12,22,22,22,20,20,56,0.0,1015,30,10,70,12
