date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,19,0.0,11.5,6,6,37,11:29 AM,11:31 PM,06:59 AM,06:11 PM,14,24,24,23,11,10,59,0.0,1013,29,10,198,8
2020-01-02,30,19,0.0,11.1,6,6,44,12:05 PM,No moonset,07:00 AM,06:12 PM,15,24,24,23,10,14,62,0.0,1015,30,10,226,7
2020-01-03,29,20,0.0,11.1,6,6,51,12:40 PM,12:17 AM,07:00 AM,06:12 PM,15,24,24,23,11,5,63,0.0,1014,29,10,222,8
2020-01-04,28,19,0.0,11.1,6,6,59,01:16 PM,01:03 AM,07:00 AM,06:13 PM,13,23,23,23,10,1,58,0.0,1012,28,10,239,7
2020-01-05,29,18,0.0,11.1,6,6,66,01:53 PM,01:51 AM,07:01 AM,06:14 PM,14,25,25,24,12,6,61,0.0,1012,29,10,124,9
2020-01-06,27,18,0.0,5.6,5,5,73,02:32 PM,02:40 AM,07:01 AM,06:14 PM,17,23,23,22,23,70,74,0.7,1014,27,10,110,16
2020-01-07,29,18,0.0,10.1,5,5,80,03:16 PM,03:32 AM,07:01 AM,06:15 PM,17,25,25,23,14,33,70,0.1,1013,29,9,139,10
2020-01-08,29,19,0.0,11.1,6,6,88,04:04 PM,04:27 AM,07:01 AM,06:15 PM,17,24,24,23,13,22,70,0.0,1012,29,10,239,9
2020-01-09,28,19,0.0,11.1,6,6,95,04:58 PM,05:25 AM,07:02 AM,06:16 PM,16,24,24,23,11,32,66,0.0,1012,28,10,93,7
2020-01-10,28,19,0.0,11.2,6,6,100,05:56 PM,06:23 AM,07:02 AM,06:17 PM,16,24,24,23,19,24,67,0.0,1012,28,10,108,13
2020-01-11,28,18,0.0,11.2,6,6,100,06:58 PM,07:23 AM,07:02 AM,06:17 PM,16,23,23,23,19,22,66,0.0,1013,28,10,87,13
2020-01-12,28,18,0.0,11.2,6,6,83,08:00 PM,08:19 AM,07:02 AM,06:18 PM,15,23,23,23,14,7,63,0.0,1013,28,10,101,10
