date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,19,0.0,7.2,5,5,37,11:19 AM,11:21 PM,06:48 AM,06:03 PM,18,25,25,24,24,75,71,1.4,1014,30,10,116,17
2020-01-02,30,20,0.0,5.8,6,6,44,11:55 AM,No moonset,06:48 AM,06:03 PM,19,26,26,25,16,74,72,2.0,1015,30,10,110,11
2020-01-03,31,22,0.0,7.2,6,6,51,12:30 PM,12:07 AM,06:49 AM,06:04 PM,18,28,28,26,10,60,64,4.6,1013,31,10,315,7
2020-01-04,32,22,0.0,11.6,7,7,59,01:06 PM,12:53 AM,06:49 AM,06:05 PM,15,28,28,27,7,11,50,0.0,1011,32,10,230,5
2020-01-05,29,22,0.0,8.7,6,6,66,01:44 PM,01:41 AM,06:49 AM,06:05 PM,18,27,27,25,15,59,63,0.9,1012,29,10,103,11
2020-01-06,28,20,0.0,8.7,5,5,73,02:23 PM,02:29 AM,06:50 AM,06:06 PM,19,25,25,24,23,60,76,0.9,1015,28,10,104,17
2020-01-07,29,22,0.0,5.8,5,5,80,03:07 PM,03:21 AM,06:50 AM,06:06 PM,19,26,26,24,23,79,73,1.3,1014,29,10,115,17
2020-01-08,29,20,0.0,8.7,6,6,88,03:56 PM,04:15 AM,06:50 AM,06:07 PM,18,25,25,24,20,39,70,0.0,1013,29,10,130,14
2020-01-09,30,20,0.0,8.7,6,6,95,04:49 PM,05:13 AM,06:51 AM,06:08 PM,17,26,26,25,16,33,65,0.1,1012,30,10,122,11
2020-01-10,29,21,0.0,11.6,7,7,100,05:48 PM,06:12 AM,06:51 AM,06:08 PM,17,26,26,24,20,34,65,0.0,1013,29,10,93,15
2020-01-11,29,19,0.0,8.7,5,5,100,06:49 PM,07:11 AM,06:51 AM,06:09 PM,17,25,25,23,20,32,68,0.0,1014,29,10,100,15
2020-01-12,29,19,0.0,11.6,6,6,83,07:52 PM,08:08 AM,06:51 AM,06:09 PM,16,25,25,24,17,16,63,0.0,1014,29,10,103,12
2020-01-13,30,19,0.0,11.6,7,7,76,08:53 PM,09:01 AM,06:51 AM,06:10 PM,14,25,25,25,12,5,56,0.0,1012,30,10,71,8
2020-01-14,30,19,0.0,11.6,7,7,69,09:53 PM,09:51 AM,06:52 AM,06:10 PM,11,26,26,25,18,3,46,0.0,1012,30,10,97,11
2020-01-15,29,19,0.0,11.6,6,6,61,10:51 PM,10:38 AM,06:52 AM,06:11 PM,11,24,24,24,22,1,51,0.0,1012,29,10,109,15
2020-01-16,29,18,0.0,11.6,6,6,54,11:48 PM,11:22 AM,06:52 AM,06:12 PM,13,24,24,23,21,4,57,0.0,1012,29,10,127,14
2020-01-17,30,18,0.0,11.6,7,7,47,No moonrise,12:05 PM,06:52 AM,06:12 PM,13,24,24,24,22,5,53,0.0,1013,30,10,129,15
2020-01-18,30,19,0.0,10.2,6,6,40,12:44 AM,12:49 PM,06:52 AM,06:13 PM,17,25,25,24,23,34,69,0.0,1013,30,10,115,17
2020-01-19,30,20,0.0,8.7,6,6,32,01:41 AM,01:34 PM,06:52 AM,06:13 PM,17,26,26,25,20,41,64,0.5,1013,30,10,109,14
2020-01-20,31,20,0.0,11.6,7,7,25,02:37 AM,02:21 PM,06:52 AM,06:14 PM,15,26,26,25,20,10,58,0.0,1014,31,10,104,14
2020-01-21,31,20,0.0,11.6,7,7,18,03:34 AM,03:11 PM,06:52 AM,06:14 PM,13,25,25,25,26,3,50,0.0,1015,31,10,111,18
2020-01-22,30,18,0.0,11.6,7,7,11,04:31 AM,04:03 PM,06:52 AM,06:15 PM,14,24,24,24,25,3,59,0.0,1016,30,10,108,18
2020-01-23,31,19,0.0,11.6,7,7,3,05:27 AM,04:57 PM,06:52 AM,06:15 PM,13,25,25,24,20,3,54,0.0,1015,31,10,106,14
2020-01-24,32,20,0.0,11.6,7,7,0,06:19 AM,05:52 PM,06:52 AM,06:16 PM,11,25,25,25,19,1,46,0.0,1014,32,10,90,13
2020-01-25,32,20,0.0,11.6,7,7,0,07:09 AM,06:45 PM,06:52 AM,06:17 PM,11,26,26,26,16,2,41,0.0,1014,32,10,96,11
2020-01-26,33,21,0.0,11.6,7,7,4,07:55 AM,07:37 PM,06:52 AM,06:17 PM,10,27,27,27,15,3,36,0.0,1012,33,10,89,9
2020-01-27,34,22,0.0,11.6,7,7,11,08:36 AM,08:26 PM,06:52 AM,06:18 PM,11,28,28,28,18,3,39,0.0,1011,34,10,138,12
2020-01-28,31,21,0.0,11.6,7,7,18,09:16 AM,09:14 PM,06:52 AM,06:18 PM,16,27,27,26,16,14,57,0.0,1012,31,10,237,11
2020-01-29,33,22,0.0,11.6,7,7,26,09:53 AM,10:01 PM,06:52 AM,06:19 PM,14,29,29,28,9,18,47,0.0,1013,33,10,272,6
2020-01-30,34,22,0.0,11.6,7,7,33,10:28 AM,10:46 PM,06:52 AM,06:19 PM,13,29,29,28,12,8,41,0.0,1012,34,10,210,7
2020-01-31,35,22,0.0,11.6,7,7,37,11:03 AM,11:33 PM,06:52 AM,06:20 PM,12,30,30,29,11,4,39,0.0,1010,35,10,200,7
2020-02-01,33,21,0.0,11.6,7,7,49,11:40 AM,No moonset,06:51 AM,06:20 PM,14,28,28,27,21,22,46,0.0,1011,33,10,156,15
2020-02-02,31,22,0.0,11.6,7,7,57,12:17 PM,12:20 AM,06:51 AM,06:20 PM,14,27,27,26,23,14,51,0.0,1014,31,10,116,16
2020-02-03,32,20,0.0,11.6,7,7,64,12:58 PM,01:10 AM,06:51 AM,06:21 PM,12,27,27,26,23,6,46,0.0,1014,32,10,111,15
2020-02-04,33,19,0.0,11.6,7,7,72,01:44 PM,02:01 AM,06:51 AM,06:21 PM,10,27,27,27,22,2,41,0.0,1012,33,10,121,15
2020-02-05,32,20,0.0,11.6,7,7,79,02:33 PM,02:56 AM,06:50 AM,06:22 PM,13,27,27,26,20,11,51,0.0,1012,32,10,107,14
2020-02-06,34,21,0.0,11.6,7,7,87,03:29 PM,03:54 AM,06:50 AM,06:22 PM,12,29,29,28,14,9,40,0.0,1012,34,10,203,9
2020-02-07,33,21,0.0,11.6,7,7,95,04:29 PM,04:53 AM,06:50 AM,06:23 PM,13,27,27,27,10,13,44,0.0,1012,33,10,247,8
