date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,14,0.0,4.1,4,4,37,11:19 AM,11:13 PM,06:57 AM,05:47 PM,13,17,18,17,26,84,76,8.7,1016,23,9,158,17
2020-01-02,22,14,0.0,4.1,4,4,44,11:53 AM,No moonset,06:57 AM,05:47 PM,15,17,18,17,22,76,81,15.6,1017,22,8,169,14
2020-01-03,22,16,0.0,7.2,4,4,51,12:26 PM,12:02 AM,06:57 AM,05:48 PM,15,18,19,18,9,60,80,3.5,1015,22,10,322,6
2020-01-04,21,14,0.0,5.6,4,4,59,12:59 PM,12:50 AM,06:58 AM,05:48 PM,11,17,17,17,12,43,72,0.3,1015,21,10,114,7
2020-01-05,22,13,0.0,8.7,5,5,66,01:34 PM,01:41 AM,06:58 AM,05:49 PM,8,17,17,17,12,0,60,0.0,1017,22,10,39,8
2020-01-06,23,14,0.0,8.7,5,5,73,02:11 PM,02:32 AM,06:58 AM,05:50 PM,7,18,18,18,15,1,48,0.0,1018,23,10,138,9
2020-01-07,26,14,0.0,8.7,6,6,80,02:53 PM,03:26 AM,06:58 AM,05:50 PM,10,19,20,19,15,28,54,0.0,1015,26,10,214,9
2020-01-08,25,18,0.0,4.1,5,5,88,03:40 PM,04:22 AM,06:59 AM,05:51 PM,16,21,21,21,21,73,73,15.7,1012,25,8,237,12
2020-01-09,21,13,0.0,8.7,5,5,95,04:32 PM,05:22 AM,06:59 AM,05:52 PM,10,16,16,16,21,5,66,0.0,1016,21,10,124,13
2020-01-10,20,11,0.0,8.7,5,5,100,05:30 PM,06:21 AM,06:59 AM,05:52 PM,5,14,14,14,11,0,53,0.0,1018,20,10,11,8
2020-01-11,24,12,0.0,8.7,5,5,100,06:32 PM,07:20 AM,06:59 AM,05:53 PM,6,17,18,17,7,0,48,0.0,1018,24,10,138,5
2020-01-12,27,15,0.0,8.7,6,6,83,07:37 PM,08:15 AM,06:59 AM,05:54 PM,7,20,20,20,6,1,44,0.0,1016,27,10,220,4
2020-01-13,27,17,0.0,8.7,6,6,76,08:41 PM,09:07 AM,06:59 AM,05:54 PM,8,21,21,21,12,1,43,0.0,1012,27,10,192,8
2020-01-14,26,17,0.0,8.7,6,6,69,09:44 PM,09:54 AM,06:59 AM,05:55 PM,8,21,21,21,9,7,43,0.0,1013,26,10,185,5
2020-01-15,25,17,0.0,8.7,6,6,61,10:45 PM,10:37 AM,06:59 AM,05:56 PM,10,20,21,20,20,21,50,0.0,1012,25,10,164,13
2020-01-16,25,18,0.0,7.2,5,5,54,11:45 PM,11:19 AM,06:59 AM,05:56 PM,12,21,21,21,27,51,56,0.4,1012,25,10,203,18
2020-01-17,24,15,0.0,8.7,5,5,47,No moonrise,11:59 AM,06:59 AM,05:57 PM,8,19,19,19,10,17,50,0.0,1014,24,10,213,6
2020-01-18,24,14,0.0,8.7,5,5,40,12:44 AM,12:40 PM,06:59 AM,05:58 PM,10,19,20,19,10,19,59,0.0,1015,24,10,208,6
2020-01-19,23,14,0.0,8.7,5,5,32,01:43 AM,01:22 PM,06:59 AM,05:59 PM,10,17,18,17,15,18,64,0.0,1016,23,10,116,10
2020-01-20,25,13,0.0,8.7,5,5,25,02:42 AM,02:07 PM,06:59 AM,05:59 PM,9,18,19,18,9,12,56,0.0,1016,25,10,297,6
2020-01-21,26,16,0.0,8.7,5,5,18,03:42 AM,02:55 PM,06:59 AM,06:00 PM,14,22,22,22,17,43,62,0.4,1015,26,10,195,11
2020-01-22,27,19,0.0,5.7,5,5,11,04:40 AM,03:46 PM,06:59 AM,06:01 PM,15,24,24,23,18,55,61,1.0,1016,27,10,219,12
2020-01-23,25,16,0.0,11.4,6,6,3,05:36 AM,04:39 PM,06:59 AM,06:01 PM,12,20,20,20,15,14,62,0.0,1017,25,10,353,9
2020-01-24,26,15,0.0,11.4,6,6,0,06:28 AM,05:35 PM,06:59 AM,06:02 PM,9,20,20,20,11,3,49,0.0,1016,26,10,325,7
2020-01-25,27,17,0.0,11.4,6,6,0,07:17 AM,06:29 PM,06:59 AM,06:03 PM,9,21,21,21,12,1,46,0.0,1015,27,10,309,8
2020-01-26,27,16,0.0,11.5,6,6,4,08:01 AM,07:23 PM,06:58 AM,06:03 PM,6,21,21,21,11,5,38,0.0,1014,27,10,233,7
2020-01-27,29,18,0.0,11.5,6,6,11,08:41 AM,08:15 PM,06:58 AM,06:04 PM,8,23,23,23,19,23,38,0.2,1011,29,10,212,12
2020-01-28,27,19,0.0,11.5,6,6,18,09:17 AM,09:05 PM,06:58 AM,06:04 PM,7,22,22,22,16,10,39,0.0,1011,27,10,265,11
2020-01-29,22,15,0.0,8.7,4,4,26,09:52 AM,09:55 PM,06:58 AM,06:05 PM,10,18,19,18,12,33,58,0.0,1015,22,10,338,8
2020-01-30,23,15,0.0,11.5,5,5,33,10:24 AM,10:43 PM,06:57 AM,06:06 PM,6,18,18,18,15,2,49,0.0,1016,23,10,116,10
2020-01-31,25,13,0.0,11.5,6,6,37,10:57 AM,11:32 PM,06:57 AM,06:06 PM,4,19,20,19,10,3,39,0.0,1014,25,10,246,7
2020-02-01,24,15,0.0,11.5,5,5,49,11:31 AM,No moonset,06:57 AM,06:07 PM,5,18,19,18,16,10,42,0.0,1015,24,10,13,10
2020-02-02,25,13,0.0,11.5,5,5,57,12:06 PM,12:22 AM,06:56 AM,06:08 PM,5,19,19,19,13,17,43,0.0,1018,25,10,78,8
2020-02-03,27,15,0.0,11.5,6,6,64,12:45 PM,01:14 AM,06:56 AM,06:08 PM,10,20,21,20,14,46,51,0.2,1016,27,10,169,9
2020-02-04,27,17,0.0,5.8,5,5,72,01:28 PM,02:08 AM,06:55 AM,06:09 PM,15,22,22,21,19,68,70,8.7,1013,27,10,242,12
2020-02-05,25,16,0.0,11.5,6,6,79,02:17 PM,03:04 AM,06:55 AM,06:09 PM,13,21,22,21,8,23,61,0.0,1014,25,10,151,6
2020-02-06,25,17,0.0,7.2,5,5,87,03:11 PM,04:03 AM,06:55 AM,06:10 PM,13,22,22,21,11,57,60,1.7,1013,25,10,199,8
2020-02-07,26,16,0.0,5.8,5,5,95,04:11 PM,05:02 AM,06:54 AM,06:11 PM,13,20,21,20,16,73,64,5.4,1014,26,9,141,10
2020-02-08,24,15,0.0,11.6,5,5,100,05:16 PM,05:59 AM,06:54 AM,06:11 PM,7,18,19,18,18,11,48,0.0,1017,24,10,30,12
2020-02-09,24,13,0.0,11.6,5,5,100,06:21 PM,06:54 AM,06:53 AM,06:12 PM,3,18,19,18,15,1,38,0.0,1019,24,10,80,11
2020-02-10,28,14,0.0,11.6,6,6,83,07:28 PM,07:44 AM,06:53 AM,06:12 PM,3,20,20,20,13,1,32,0.0,1018,28,10,120,8
2020-02-11,27,16,0.0,11.6,6,6,75,08:31 PM,08:30 AM,06:52 AM,06:13 PM,8,22,22,22,12,16,41,0.0,1017,27,10,233,8
2020-02-12,28,19,0.0,11.6,6,6,68,09:35 PM,09:15 AM,06:52 AM,06:13 PM,7,23,23,23,12,6,36,0.0,1018,28,10,222,8
2020-02-13,30,19,0.0,11.6,7,7,60,10:36 PM,09:57 AM,06:51 AM,06:14 PM,6,25,25,25,7,0,30,0.0,1016,30,10,235,5
2020-02-14,29,21,0.0,11.6,7,7,53,11:37 PM,10:38 AM,06:50 AM,06:15 PM,6,25,25,25,9,0,30,0.0,1013,29,10,319,7
2020-02-15,29,20,0.0,11.6,7,7,45,No moonrise,11:21 AM,06:50 AM,06:15 PM,5,24,24,25,11,0,29,0.0,1014,29,10,230,7
2020-02-16,31,20,0.0,11.6,7,7,38,12:37 AM,12:05 PM,06:49 AM,06:16 PM,1,25,25,25,10,0,22,0.0,1015,31,10,128,7
2020-02-17,30,19,0.0,11.6,7,7,30,01:37 AM,12:52 PM,06:48 AM,06:16 PM,-3,23,23,24,13,1,17,0.0,1016,30,10,7,8
2020-02-18,30,20,0.0,11.6,7,7,22,02:35 AM,01:43 PM,06:48 AM,06:17 PM,-5,24,24,25,9,0,14,0.0,1015,30,10,133,6
2020-02-19,31,21,0.0,11.6,7,7,15,03:32 AM,02:34 PM,06:47 AM,06:17 PM,-3,26,26,26,18,0,16,0.0,1013,31,10,180,11
2020-02-20,31,20,0.0,11.6,7,7,7,04:24 AM,03:29 PM,06:46 AM,06:18 PM,5,26,26,26,23,5,28,0.0,1012,31,10,193,15
2020-02-21,30,22,0.0,11.6,7,7,0,05:14 AM,04:23 PM,06:46 AM,06:18 PM,11,26,26,26,24,21,39,0.0,1014,30,10,189,16
2020-02-22,32,22,0.0,11.6,7,7,0,05:58 AM,05:17 PM,06:45 AM,06:19 PM,9,27,27,26,12,12,37,0.0,1015,32,10,261,8
2020-02-23,31,20,0.0,11.6,7,7,0,06:39 AM,06:08 PM,06:44 AM,06:19 PM,8,26,26,26,16,12,33,0.0,1014,31,10,251,11
