date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,17,0.0,7.2,5,5,37,11:05 AM,11:04 PM,06:38 AM,05:44 PM,18,24,24,23,17,46,78,2.6,1015,30,10,139,11
2020-01-02,29,19,0.0,4.2,5,5,44,11:41 AM,11:51 PM,06:38 AM,05:45 PM,20,25,25,23,14,70,83,8.0,1016,29,9,131,9
2020-01-03,29,20,0.0,5.7,6,6,51,12:15 PM,No moonset,06:38 AM,05:45 PM,20,26,26,24,8,70,80,7.1,1014,29,9,218,5
2020-01-04,29,21,0.0,4.2,6,6,59,12:50 PM,12:38 AM,06:39 AM,05:46 PM,20,26,26,24,5,73,81,1.3,1012,29,9,243,3
2020-01-05,29,20,0.0,4.2,5,5,66,01:27 PM,01:27 AM,06:39 AM,05:46 PM,19,25,25,24,8,67,75,1.5,1013,29,10,140,5
2020-01-06,29,18,0.0,5.7,5,5,73,02:05 PM,02:16 AM,06:39 AM,05:47 PM,18,24,24,23,9,69,73,1.3,1016,29,10,111,5
2020-01-07,30,20,0.0,7.2,5,5,80,02:48 PM,03:09 AM,06:39 AM,05:48 PM,19,25,25,23,9,61,77,0.3,1015,30,10,90,5
2020-01-08,29,18,0.0,5.7,5,5,88,03:36 PM,04:04 AM,06:40 AM,05:48 PM,19,24,24,23,16,55,77,0.1,1014,29,10,172,11
2020-01-09,30,19,0.0,8.7,6,6,95,04:29 PM,05:02 AM,06:40 AM,05:49 PM,18,25,25,24,14,36,73,0.0,1013,30,10,184,9
2020-01-10,30,20,0.0,5.7,6,6,100,05:28 PM,06:01 AM,06:40 AM,05:49 PM,18,25,25,24,5,59,74,1.8,1014,30,10,80,3
2020-01-11,30,18,0.0,5.7,5,5,100,06:29 PM,07:00 AM,06:40 AM,05:50 PM,17,25,25,23,6,44,68,1.3,1015,30,10,53,4
2020-01-12,32,20,0.0,8.7,7,7,83,07:32 PM,07:57 AM,06:40 AM,05:51 PM,15,25,25,24,5,0,59,0.0,1014,32,10,40,4
2020-01-13,32,16,0.0,8.7,7,7,76,08:35 PM,08:49 AM,06:41 AM,05:51 PM,14,24,24,24,6,2,61,0.0,1012,32,10,159,4
2020-01-14,31,16,0.0,8.7,6,6,69,09:36 PM,09:39 AM,06:41 AM,05:52 PM,16,24,24,23,10,9,70,0.0,1013,31,8,170,6
2020-01-15,30,19,0.0,8.7,6,6,61,10:35 PM,10:24 AM,06:41 AM,05:53 PM,16,24,24,23,13,0,67,0.0,1013,30,10,143,9
2020-01-16,29,16,0.0,8.7,6,6,54,11:33 PM,11:07 AM,06:41 AM,05:53 PM,16,23,23,22,15,10,73,0.0,1013,29,9,151,10
2020-01-17,30,18,0.0,8.7,6,6,47,No moonrise,11:50 AM,06:41 AM,05:54 PM,17,24,24,23,15,30,73,0.2,1014,30,8,169,9
2020-01-18,30,19,0.0,8.7,6,6,40,12:30 AM,12:32 PM,06:41 AM,05:54 PM,18,24,24,24,11,42,71,0.0,1014,30,8,129,7
2020-01-19,29,19,0.0,7.2,6,6,32,01:28 AM,01:16 PM,06:41 AM,05:55 PM,18,25,25,24,8,46,72,0.5,1014,29,9,121,5
2020-01-20,31,19,0.0,7.2,6,6,25,02:25 AM,02:02 PM,06:41 AM,05:56 PM,17,25,25,24,9,37,66,0.1,1014,31,10,220,5
2020-01-21,32,19,0.0,8.7,7,7,18,03:23 AM,02:51 PM,06:41 AM,05:56 PM,16,26,26,25,15,13,63,0.0,1016,32,10,142,9
2020-01-22,32,18,0.0,8.7,7,7,11,04:20 AM,03:44 PM,06:41 AM,05:57 PM,17,26,26,25,12,17,68,0.0,1016,32,9,111,7
2020-01-23,34,18,0.0,8.7,7,7,3,05:16 AM,04:37 PM,06:41 AM,05:57 PM,16,27,27,26,7,9,62,0.0,1015,34,8,68,4
2020-01-24,33,19,0.0,8.7,7,7,0,06:09 AM,05:32 PM,06:41 AM,05:58 PM,16,26,26,25,8,7,61,0.0,1014,33,10,34,5
2020-01-25,33,19,0.0,8.7,7,7,0,06:58 AM,06:25 PM,06:41 AM,05:58 PM,16,26,26,25,9,5,60,0.0,1013,33,10,44,6
2020-01-26,34,19,0.0,8.7,7,7,4,07:43 AM,07:18 PM,06:41 AM,05:59 PM,16,27,27,26,5,5,57,0.0,1012,34,10,179,3
2020-01-27,36,21,0.0,11.6,7,7,11,08:24 AM,08:08 PM,06:41 AM,06:00 PM,15,28,28,27,9,2,54,0.0,1011,36,10,194,5
2020-01-28,30,19,0.0,10.2,6,6,18,09:02 AM,08:57 PM,06:40 AM,06:00 PM,18,25,25,24,23,40,73,0.1,1012,30,9,182,14
2020-01-29,33,19,0.0,8.7,6,6,26,09:39 AM,09:45 PM,06:40 AM,06:01 PM,19,27,27,25,18,58,71,0.7,1013,33,8,193,12
2020-01-30,33,19,0.0,11.6,7,7,33,10:13 AM,10:31 PM,06:40 AM,06:01 PM,18,27,27,26,9,25,66,0.0,1012,33,9,267,6
2020-01-31,33,20,0.0,11.6,7,7,37,10:47 AM,11:19 PM,06:40 AM,06:02 PM,16,26,26,26,11,25,59,0.0,1011,33,10,212,7
2020-02-01,31,19,0.0,5.8,6,6,49,11:23 AM,No moonset,06:40 AM,06:02 PM,18,25,25,25,17,58,69,0.7,1013,31,9,186,11
2020-02-02,30,19,0.0,7.3,6,6,57,12:00 PM,12:07 AM,06:39 AM,06:03 PM,18,25,25,24,11,56,70,1.3,1015,30,9,164,7
2020-02-03,31,20,0.0,11.6,7,7,64,12:40 PM,12:57 AM,06:39 AM,06:03 PM,18,26,26,25,15,48,69,1.2,1015,31,10,154,10
2020-02-04,32,19,0.0,11.6,7,7,72,01:25 PM,01:50 AM,06:39 AM,06:04 PM,18,26,26,25,20,30,70,0.0,1013,32,9,168,13
2020-02-05,33,19,0.0,11.6,7,7,79,02:14 PM,02:45 AM,06:39 AM,06:04 PM,16,27,27,26,17,24,64,0.0,1013,33,9,194,11
2020-02-06,33,19,0.0,11.6,7,7,87,03:09 PM,03:43 AM,06:38 AM,06:05 PM,16,26,26,25,17,21,59,0.0,1012,33,10,180,11
2020-02-07,28,20,0.0,8.7,6,6,95,04:09 PM,04:42 AM,06:38 AM,06:05 PM,17,25,25,24,19,48,69,0.1,1013,28,10,183,12
2020-02-08,29,20,0.0,5.8,6,6,100,05:12 PM,05:40 AM,06:37 AM,06:06 PM,18,25,25,24,18,74,70,2.5,1014,29,10,159,12
2020-02-09,29,20,0.0,5.8,6,6,100,06:16 PM,06:35 AM,06:37 AM,06:06 PM,18,25,25,24,14,68,72,6.2,1016,29,10,91,9
2020-02-10,31,19,0.0,8.7,6,6,83,07:21 PM,07:28 AM,06:37 AM,06:07 PM,17,25,25,24,11,64,68,0.1,1015,31,10,129,7
2020-02-11,30,20,0.0,7.3,6,6,75,08:23 PM,08:16 AM,06:36 AM,06:07 PM,18,26,26,25,14,59,67,0.7,1016,30,10,115,9
2020-02-12,31,19,0.0,11.6,6,6,68,09:24 PM,09:02 AM,06:36 AM,06:07 PM,17,27,27,26,9,29,64,0.1,1016,31,10,117,6
2020-02-13,33,19,0.0,11.6,7,7,60,10:23 PM,09:46 AM,06:35 AM,06:08 PM,13,27,27,27,10,11,52,0.0,1015,33,9,15,7
2020-02-14,36,20,0.0,11.6,7,7,53,11:22 PM,10:30 AM,06:35 AM,06:08 PM,11,28,28,27,9,0,42,0.0,1012,36,10,22,6
2020-02-15,36,20,0.0,11.6,7,7,45,No moonrise,11:15 AM,06:34 AM,06:09 PM,11,29,29,29,9,0,40,0.0,1012,36,10,34,6
2020-02-16,37,21,0.0,11.6,8,8,38,12:20 AM,12:01 PM,06:34 AM,06:09 PM,15,31,31,30,10,2,50,0.0,1014,37,10,210,6
2020-02-17,37,21,0.0,11.6,8,8,30,01:19 AM,12:49 PM,06:33 AM,06:09 PM,14,31,31,30,7,1,47,0.0,1015,37,10,259,4
2020-02-18,37,21,0.0,11.6,8,8,22,02:16 AM,01:40 PM,06:33 AM,06:10 PM,15,30,30,29,7,1,51,0.0,1014,37,10,250,5
2020-02-19,35,21,0.0,11.6,7,7,15,03:12 AM,02:32 PM,06:32 AM,06:10 PM,17,29,29,28,15,9,60,0.0,1014,35,10,169,10
2020-02-20,34,19,0.0,11.6,7,7,7,04:05 AM,03:26 PM,06:32 AM,06:11 PM,16,28,28,27,19,9,59,0.0,1014,34,10,150,13
2020-02-21,34,19,0.0,11.6,7,7,0,04:54 AM,04:19 PM,06:31 AM,06:11 PM,15,27,27,27,19,6,56,0.0,1016,34,10,133,12
2020-02-22,35,20,0.0,11.6,7,7,0,05:40 AM,05:12 PM,06:31 AM,06:11 PM,14,28,28,27,16,7,53,0.0,1016,35,10,134,11
2020-02-23,35,19,0.0,11.6,7,7,0,06:22 AM,06:03 PM,06:30 AM,06:12 PM,14,28,28,28,16,7,53,0.0,1015,35,10,163,10
2020-02-24,36,19,0.0,11.6,7,7,0,07:01 AM,06:52 PM,06:29 AM,06:12 PM,15,27,27,27,21,9,56,0.0,1012,36,10,194,13
2020-02-25,34,19,0.0,10.2,7,7,8,07:38 AM,07:40 PM,06:29 AM,06:12 PM,17,27,27,26,18,31,62,0.0,1011,34,10,197,11
2020-02-26,34,19,0.0,10.2,6,6,15,08:12 AM,08:27 PM,06:28 AM,06:13 PM,17,28,28,27,13,49,63,0.4,1012,34,9,226,8
2020-02-27,35,20,0.0,11.6,7,7,23,08:47 AM,09:14 PM,06:28 AM,06:13 PM,11,28,28,28,15,7,48,0.0,1012,35,9,140,10
2020-02-28,37,20,0.0,11.6,7,7,30,09:22 AM,10:01 PM,06:27 AM,06:13 PM,15,29,29,29,13,14,56,0.0,1012,37,10,112,8
2020-02-29,37,20,0.0,11.6,7,7,38,09:58 AM,10:50 PM,06:26 AM,06:13 PM,15,28,28,28,15,20,53,0.0,1011,37,10,190,10
2020-03-01,36,20,0.0,10.2,6,6,44,10:35 AM,11:41 PM,06:26 AM,06:14 PM,17,29,29,27,15,30,59,0.2,1011,36,10,234,10
2020-03-02,34,20,0.0,11.6,7,7,51,11:17 AM,No moonset,06:25 AM,06:14 PM,17,28,28,27,13,25,59,0.0,1011,34,10,229,8
2020-03-03,37,20,0.0,11.6,8,8,58,12:03 PM,12:33 AM,06:24 AM,06:14 PM,16,30,30,29,17,15,53,0.0,1010,37,10,244,11
2020-03-04,35,21,0.0,10.2,6,6,65,12:54 PM,01:29 AM,06:23 AM,06:15 PM,17,31,31,29,20,29,55,0.6,1010,35,10,195,13
2020-03-05,34,21,0.0,8.8,6,6,73,01:50 PM,02:25 AM,06:23 AM,06:15 PM,19,27,27,26,17,45,70,4.6,1009,34,10,162,12
2020-03-06,32,22,0.0,6.0,6,6,80,02:50 PM,03:23 AM,06:22 AM,06:15 PM,20,29,29,27,26,80,69,6.4,1010,32,10,173,17
2020-03-07,31,22,0.0,7.4,6,6,87,03:54 PM,04:18 AM,06:21 AM,06:15 PM,21,28,28,26,24,62,75,13.6,1012,31,9,162,15
2020-03-08,33,21,0.0,8.8,6,6,95,04:58 PM,05:12 AM,06:21 AM,06:16 PM,20,30,30,27,12,60,68,4.6,1012,33,9,178,9
2020-03-09,34,22,0.0,8.8,6,6,100,06:02 PM,06:02 AM,06:20 AM,06:16 PM,19,30,30,28,13,41,62,0.2,1010,34,10,125,9
2020-03-10,35,23,0.0,10.2,7,7,100,07:05 PM,06:50 AM,06:19 AM,06:16 PM,18,31,31,29,21,26,57,0.0,1010,35,10,173,14
2020-03-11,36,22,0.0,11.6,7,7,84,08:07 PM,07:36 AM,06:18 AM,06:16 PM,17,30,30,28,22,26,55,0.0,1011,36,10,198,15
2020-03-12,36,22,0.0,11.6,8,8,76,09:08 PM,08:21 AM,06:18 AM,06:17 PM,18,31,31,29,19,35,61,0.0,1012,36,10,208,13
2020-03-13,37,22,0.0,10.2,8,8,69,10:09 PM,09:07 AM,06:17 AM,06:17 PM,18,31,31,29,20,30,58,0.0,1012,37,9,165,14
2020-03-14,38,22,0.0,11.6,8,8,62,11:10 PM,09:55 AM,06:16 AM,06:17 PM,16,32,32,30,17,5,53,0.0,1011,38,10,168,13
2020-03-15,37,22,0.0,11.6,8,8,55,No moonrise,10:44 AM,06:15 AM,06:17 PM,16,32,32,30,17,6,54,0.0,1011,37,10,152,12
2020-03-16,38,21,0.0,11.6,8,8,47,12:10 AM,11:35 AM,06:14 AM,06:17 PM,17,32,32,31,15,12,55,0.0,1012,38,10,173,10
2020-03-17,39,22,0.0,11.6,8,8,40,01:07 AM,12:28 PM,06:14 AM,06:18 PM,16,32,32,31,16,16,51,0.0,1013,39,10,172,11
2020-03-18,39,23,0.0,11.6,8,8,33,02:02 AM,01:22 PM,06:13 AM,06:18 PM,16,33,33,31,14,15,47,0.0,1012,39,10,235,9
2020-03-19,38,23,0.0,10.2,7,7,25,02:53 AM,02:15 PM,06:12 AM,06:18 PM,16,33,33,31,13,40,47,1.1,1010,38,10,240,9
2020-03-20,38,23,0.0,11.6,8,8,18,03:40 AM,03:08 PM,06:11 AM,06:18 PM,17,31,31,30,18,33,49,0.2,1010,38,10,184,13
2020-03-21,37,23,0.0,8.8,7,7,11,04:22 AM,03:59 PM,06:11 AM,06:18 PM,18,32,32,30,20,46,54,0.5,1010,37,10,186,14
2020-03-22,36,22,0.0,10.2,7,7,4,05:01 AM,04:48 PM,06:10 AM,06:19 PM,19,30,30,28,18,31,61,0.4,1011,36,10,173,12
2020-03-23,36,21,0.0,8.8,7,7,0,05:39 AM,05:37 PM,06:09 AM,06:19 PM,18,30,30,28,15,51,59,0.7,1011,36,9,185,10
2020-03-24,39,22,0.0,11.6,8,8,0,06:13 AM,06:23 PM,06:08 AM,06:19 PM,17,32,32,31,16,23,52,0.0,1009,39,10,128,11
2020-03-25,38,23,0.0,10.2,7,7,3,06:48 AM,07:11 PM,06:07 AM,06:19 PM,17,33,33,31,16,39,52,0.2,1009,38,10,153,10
2020-03-26,40,23,0.0,11.6,8,8,11,07:22 AM,07:58 PM,06:07 AM,06:19 PM,16,34,34,33,14,10,45,0.0,1010,40,10,159,9
2020-03-27,40,24,0.0,11.6,8,8,18,07:58 AM,08:46 PM,06:06 AM,06:20 PM,15,34,34,33,16,9,44,0.0,1011,40,10,165,11
2020-03-28,41,24,0.0,11.6,9,9,25,08:34 AM,09:36 PM,06:05 AM,06:20 PM,15,35,35,34,11,7,38,0.0,1009,41,10,154,7
2020-03-29,43,25,0.0,11.6,9,9,32,09:15 AM,10:28 PM,06:04 AM,06:20 PM,14,37,37,35,10,10,34,0.0,1008,43,10,108,7
2020-03-30,44,25,0.0,11.6,9,9,40,09:58 AM,11:21 PM,06:03 AM,06:20 PM,14,36,36,35,11,9,35,0.0,1009,44,10,278,7
2020-03-31,42,25,0.0,11.6,9,9,44,10:46 AM,No moonset,06:03 AM,06:20 PM,15,36,36,34,12,28,38,0.2,1010,42,10,307,8
2020-04-01,43,26,0.0,11.6,9,9,56,11:39 AM,12:16 AM,06:02 AM,06:21 PM,14,36,36,35,12,5,35,0.0,1009,43,10,198,8
2020-04-02,43,25,0.0,11.6,9,9,64,12:35 PM,01:12 AM,06:01 AM,06:21 PM,16,35,35,34,15,6,41,0.0,1008,43,10,193,10
2020-04-03,40,24,0.0,12.2,8,8,71,01:36 PM,02:06 AM,06:00 AM,06:21 PM,17,34,34,33,19,11,48,0.0,1009,40,10,168,13
2020-04-04,41,23,0.0,12.2,8,8,79,02:38 PM,02:59 AM,06:00 AM,06:21 PM,16,34,34,33,13,16,50,0.0,1011,41,9,184,9
