date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,16,0.0,8.7,6,6,37,10:43 AM,10:38 PM,06:21 AM,05:14 PM,7,20,20,20,12,13,42,0.0,1019,26,10,82,8
2020-01-02,25,17,0.0,8.7,6,6,44,11:18 AM,11:27 PM,06:21 AM,05:14 PM,11,20,21,20,17,47,58,0.0,1019,25,10,81,11
2020-01-03,20,18,0.0,4.1,4,4,51,11:51 AM,No moonset,06:21 AM,05:15 PM,15,19,19,19,18,83,78,5.1,1016,20,10,47,13
2020-01-04,22,18,0.0,7.2,5,5,59,12:24 PM,12:15 AM,06:22 AM,05:16 PM,15,19,19,19,10,52,80,0.0,1014,22,10,82,7
2020-01-05,25,17,0.0,7.2,5,5,66,12:59 PM,01:04 AM,06:22 AM,05:16 PM,16,20,21,20,10,30,73,0.5,1015,25,10,65,7
2020-01-06,26,17,0.0,8.7,6,6,73,01:37 PM,01:56 AM,06:22 AM,05:17 PM,11,20,21,20,13,0,57,0.0,1017,26,10,62,9
2020-01-07,28,17,0.0,8.7,6,6,80,02:19 PM,02:49 AM,06:22 AM,05:18 PM,9,21,21,21,8,2,48,0.0,1016,28,10,112,5
2020-01-08,26,17,0.0,8.7,6,6,88,03:06 PM,03:46 AM,06:22 AM,05:18 PM,11,21,21,21,12,14,54,0.0,1015,26,10,88,8
2020-01-09,24,18,0.0,7.2,5,5,95,03:58 PM,04:44 AM,06:23 AM,05:19 PM,14,20,21,20,8,50,67,3.9,1014,24,10,60,5
2020-01-10,24,19,0.0,5.6,5,5,100,04:56 PM,05:44 AM,06:23 AM,05:20 PM,14,21,21,21,13,63,67,0.0,1016,24,10,62,9
2020-01-11,26,16,0.0,8.7,6,6,100,05:58 PM,06:42 AM,06:23 AM,05:20 PM,8,20,20,20,12,0,48,0.0,1017,26,10,221,8
2020-01-12,26,16,0.0,8.7,6,6,83,07:02 PM,07:39 AM,06:23 AM,05:21 PM,7,21,21,21,6,0,41,0.0,1014,26,10,240,5
2020-01-13,27,17,0.0,8.7,6,6,76,08:06 PM,08:30 AM,06:23 AM,05:22 PM,7,22,22,21,8,0,43,0.0,1013,27,10,238,5
2020-01-14,30,17,0.0,8.7,6,6,69,09:09 PM,09:18 AM,06:23 AM,05:22 PM,11,23,23,22,9,0,51,0.0,1013,30,10,146,6
2020-01-15,29,15,0.0,8.7,6,6,61,10:09 PM,10:02 AM,06:23 AM,05:23 PM,10,23,23,22,11,0,47,0.0,1014,29,10,100,7
2020-01-16,29,18,0.0,8.7,6,6,54,11:09 PM,10:43 AM,06:23 AM,05:24 PM,11,24,24,23,12,0,50,0.0,1014,29,10,110,8
2020-01-17,30,19,0.0,8.7,6,6,47,No moonrise,11:24 AM,06:23 AM,05:24 PM,13,24,24,23,11,0,58,0.0,1015,30,10,142,8
2020-01-18,30,18,0.0,8.7,7,7,40,12:08 AM,12:05 PM,06:23 AM,05:25 PM,13,24,24,23,11,2,55,0.0,1014,30,10,164,7
2020-01-19,30,19,0.0,8.7,7,7,32,01:06 AM,12:47 PM,06:23 AM,05:26 PM,12,24,24,24,10,8,50,0.0,1014,30,10,179,6
2020-01-20,26,18,0.0,8.7,6,6,25,02:05 AM,01:33 PM,06:23 AM,05:26 PM,14,22,22,21,15,32,66,0.0,1015,26,10,106,10
2020-01-21,29,15,0.0,8.7,6,6,18,03:04 AM,02:20 PM,06:23 AM,05:27 PM,15,22,22,21,11,4,65,0.0,1017,29,10,86,8
2020-01-22,31,19,0.0,8.7,6,6,11,04:02 AM,03:12 PM,06:23 AM,05:28 PM,15,24,24,23,10,4,62,0.0,1017,31,10,190,7
2020-01-23,31,19,0.0,8.7,7,7,3,04:59 AM,04:05 PM,06:23 AM,05:28 PM,17,25,25,24,13,18,66,0.0,1015,31,10,209,9
2020-01-24,28,14,0.0,8.7,6,6,0,05:52 AM,05:00 PM,06:23 AM,05:29 PM,13,22,22,21,11,7,61,0.0,1015,28,10,74,8
2020-01-25,28,17,0.0,8.7,6,6,0,06:40 AM,05:55 PM,06:23 AM,05:30 PM,11,22,22,22,9,0,53,0.0,1014,28,10,138,6
2020-01-26,28,16,0.0,8.7,6,6,4,07:24 AM,06:48 PM,06:22 AM,05:30 PM,15,23,23,22,10,10,67,0.0,1013,28,10,168,7
2020-01-27,30,17,0.0,8.7,6,6,11,08:04 AM,07:40 PM,06:22 AM,05:31 PM,9,22,22,22,12,1,46,0.0,1013,30,10,160,8
2020-01-28,31,18,0.0,8.7,6,6,18,08:41 AM,08:30 PM,06:22 AM,05:32 PM,14,24,24,23,12,14,57,0.0,1013,31,10,181,8
2020-01-29,32,21,0.0,5.7,6,6,26,09:16 AM,09:19 PM,06:22 AM,05:32 PM,18,28,28,26,13,63,66,5.4,1013,32,9,245,9
2020-01-30,32,22,0.0,8.7,7,7,33,09:50 AM,10:07 PM,06:22 AM,05:33 PM,17,27,27,25,16,22,62,1.1,1012,32,10,284,10
2020-01-31,28,19,0.0,8.7,6,6,37,10:22 AM,10:56 PM,06:21 AM,05:34 PM,12,23,23,22,15,11,54,0.0,1013,28,10,147,10
2020-02-01,28,19,0.0,8.7,6,6,49,10:56 AM,11:46 PM,06:21 AM,05:34 PM,13,23,23,22,12,8,60,0.0,1015,28,10,78,9
2020-02-02,26,18,0.0,7.2,5,5,57,11:32 AM,No moonset,06:21 AM,05:35 PM,11,22,22,21,14,32,55,0.0,1017,26,10,86,10
2020-02-03,26,17,0.0,8.7,6,6,64,12:11 PM,12:37 AM,06:20 AM,05:35 PM,9,20,21,20,16,11,50,0.0,1017,26,10,88,11
2020-02-04,27,18,0.0,8.7,6,6,72,12:54 PM,01:31 AM,06:20 AM,05:36 PM,11,22,22,21,11,24,52,0.0,1015,27,10,114,8
2020-02-05,25,19,0.0,4.2,5,5,79,01:43 PM,02:27 AM,06:19 AM,05:37 PM,16,21,21,21,11,65,74,1.8,1014,25,8,201,7
2020-02-06,24,19,0.0,7.2,5,5,87,02:37 PM,03:26 AM,06:19 AM,05:37 PM,17,21,22,21,13,45,78,0.1,1015,24,10,90,9
2020-02-07,23,18,0.0,5.7,5,5,95,03:37 PM,04:24 AM,06:19 AM,05:38 PM,16,20,21,20,20,67,76,13.1,1017,23,8,28,14
2020-02-08,18,10,0.0,4.2,4,4,100,04:41 PM,05:22 AM,06:18 AM,05:38 PM,14,16,16,16,14,93,80,21.8,1018,18,7,134,10
2020-02-09,26,18,0.0,8.7,6,6,100,05:47 PM,06:17 AM,06:18 AM,05:39 PM,13,21,22,21,8,29,60,0.1,1018,26,10,30,5
2020-02-10,28,17,0.0,8.7,6,6,83,06:52 PM,07:08 AM,06:17 AM,05:39 PM,9,22,22,22,10,0,46,0.0,1017,28,10,158,7
2020-02-11,29,18,0.0,8.7,6,6,75,07:56 PM,07:55 AM,06:17 AM,05:40 PM,8,22,22,22,11,0,41,0.0,1017,29,10,161,8
2020-02-12,30,17,0.0,8.7,6,6,68,08:59 PM,08:39 AM,06:16 AM,05:40 PM,8,23,23,23,11,0,42,0.0,1017,30,10,172,7
2020-02-13,31,18,0.0,8.7,7,7,60,10:00 PM,09:21 AM,06:16 AM,05:41 PM,10,25,25,24,11,0,44,0.0,1014,31,10,246,8
2020-02-14,33,20,0.0,8.7,7,7,53,11:00 PM,10:03 AM,06:15 AM,05:41 PM,10,26,26,26,14,0,37,0.0,1010,33,10,202,9
2020-02-15,32,22,0.0,8.7,7,7,45,No moonrise,10:46 AM,06:14 AM,05:42 PM,10,26,26,26,12,0,40,0.0,1012,32,10,185,8
2020-02-16,32,21,0.0,8.7,7,7,38,12:00 AM,11:31 AM,06:14 AM,05:42 PM,13,26,26,25,9,1,53,0.0,1014,32,10,153,7
2020-02-17,34,20,0.0,8.7,7,7,30,01:00 AM,12:18 PM,06:13 AM,05:43 PM,17,27,27,26,11,2,66,0.0,1015,34,10,146,7
2020-02-18,34,20,0.0,8.7,7,7,22,01:58 AM,01:08 PM,06:13 AM,05:43 PM,16,26,26,26,12,5,63,0.0,1014,34,9,108,9
2020-02-19,33,22,0.0,8.7,7,7,15,02:54 AM,02:01 PM,06:12 AM,05:44 PM,14,27,27,26,12,0,56,0.0,1014,33,10,174,8
2020-02-20,32,21,0.0,8.7,7,7,7,03:48 AM,02:54 PM,06:11 AM,05:44 PM,16,26,26,25,14,2,61,0.0,1015,32,10,187,10
2020-02-21,32,20,0.0,8.7,7,7,0,04:36 AM,03:49 PM,06:11 AM,05:45 PM,15,26,26,25,13,9,56,0.0,1017,32,10,121,9
2020-02-22,32,20,0.0,8.7,7,7,0,05:22 AM,04:42 PM,06:10 AM,05:45 PM,12,26,26,25,14,4,49,0.0,1017,32,10,123,9
2020-02-23,32,21,0.0,8.7,7,7,0,06:03 AM,05:34 PM,06:09 AM,05:46 PM,13,26,26,25,13,4,50,0.0,1016,32,10,116,9
2020-02-24,31,20,0.0,8.7,7,7,0,06:40 AM,06:24 PM,06:09 AM,05:46 PM,14,25,25,25,14,21,53,0.0,1013,31,10,113,10
2020-02-25,23,19,0.0,4.3,5,5,8,07:16 AM,07:14 PM,06:08 AM,05:47 PM,16,21,22,21,13,63,76,11.0,1013,23,9,88,9
2020-02-26,30,18,0.0,7.2,6,6,15,07:50 AM,08:02 PM,06:07 AM,05:47 PM,15,25,25,24,12,36,62,2.3,1013,30,9,247,8
2020-02-27,31,21,0.0,8.7,7,7,23,08:22 AM,08:50 PM,06:06 AM,05:47 PM,12,26,26,25,11,4,48,0.0,1013,31,10,154,7
2020-02-28,30,20,0.0,8.7,7,7,30,08:56 AM,09:40 PM,06:06 AM,05:48 PM,15,26,26,25,11,17,58,0.0,1013,30,10,131,7
2020-02-29,31,20,0.0,8.7,7,7,38,09:30 AM,10:29 PM,06:05 AM,05:48 PM,15,26,26,25,14,12,55,0.0,1012,31,10,190,10
2020-03-01,34,21,0.0,8.7,7,7,44,10:07 AM,11:21 PM,06:04 AM,05:49 PM,16,27,27,26,15,7,57,0.0,1011,34,10,190,10
2020-03-02,34,21,0.0,8.7,6,6,51,10:47 AM,No moonset,06:03 AM,05:49 PM,17,28,28,27,14,32,57,4.3,1011,34,10,188,10
2020-03-03,34,22,0.0,8.7,7,7,58,11:33 AM,12:15 AM,06:03 AM,05:49 PM,16,28,28,27,14,24,55,0.1,1010,34,10,210,10
2020-03-04,34,14,0.0,7.2,6,6,65,12:22 PM,01:11 AM,06:02 AM,05:50 PM,18,26,26,24,16,39,67,2.9,1010,34,10,144,11
2020-03-05,32,22,0.0,5.8,6,6,73,01:19 PM,02:08 AM,06:01 AM,05:50 PM,18,27,27,26,16,59,66,3.1,1010,32,10,170,11
2020-03-06,30,22,0.0,7.2,6,6,80,02:19 PM,03:05 AM,06:00 AM,05:51 PM,19,27,27,25,20,78,71,16.9,1012,30,9,173,12
2020-03-07,30,23,0.0,7.4,6,6,87,03:24 PM,04:00 AM,05:59 AM,05:51 PM,21,28,28,25,18,67,74,23.3,1012,30,8,143,11
2020-03-08,32,23,0.0,10.2,6,6,95,04:29 PM,04:53 AM,05:59 AM,05:51 PM,20,29,29,27,13,27,66,5.1,1011,32,10,274,9
2020-03-09,34,24,0.0,11.6,7,7,100,05:35 PM,05:42 AM,05:58 AM,05:52 PM,16,28,28,27,12,2,56,0.0,1010,34,10,155,9
2020-03-10,34,24,0.0,11.6,7,7,100,06:39 PM,06:28 AM,05:57 AM,05:52 PM,19,29,29,27,11,13,65,0.0,1011,34,10,216,8
2020-03-11,33,21,0.0,10.2,6,6,84,07:43 PM,07:12 AM,05:56 AM,05:52 PM,21,29,29,27,14,47,69,5.4,1011,33,9,148,10
2020-03-12,36,18,0.0,11.6,6,6,76,08:46 PM,07:56 AM,05:55 AM,05:53 PM,21,29,29,26,17,48,74,57.2,1012,36,9,232,11
2020-03-13,34,23,0.0,11.6,6,6,69,09:49 PM,08:40 AM,05:54 AM,05:53 PM,21,31,31,28,13,44,67,1.2,1013,34,10,144,9
2020-03-14,34,24,0.0,11.6,8,8,62,10:51 PM,09:26 AM,05:53 AM,05:53 PM,18,30,30,28,18,29,56,0.2,1012,34,10,103,13
2020-03-15,32,23,0.0,11.6,7,7,55,11:52 PM,10:13 AM,05:53 AM,05:54 PM,17,28,28,27,14,13,55,0.0,1013,32,10,107,10
2020-03-16,34,24,0.0,8.8,6,6,47,No moonrise,11:04 AM,05:52 AM,05:54 PM,19,30,30,28,10,63,61,3.8,1013,34,10,143,7
2020-03-17,34,24,0.0,11.6,7,7,40,12:50 AM,11:57 AM,05:51 AM,05:54 PM,20,30,30,28,13,13,63,0.0,1013,34,10,212,9
2020-03-18,36,24,0.0,11.6,8,8,33,01:45 AM,12:50 PM,05:50 AM,05:55 PM,17,30,30,29,13,14,55,0.0,1012,36,10,129,9
2020-03-19,36,24,0.0,11.6,8,8,25,02:35 AM,01:45 PM,05:49 AM,05:55 PM,18,30,30,29,15,32,55,0.7,1011,36,10,81,10
2020-03-20,36,23,0.0,11.6,8,8,18,03:21 AM,02:38 PM,05:48 AM,05:55 PM,15,29,29,29,18,10,46,0.0,1010,36,10,266,13
2020-03-21,35,17,0.0,11.6,6,6,11,04:03 AM,03:30 PM,05:47 AM,05:55 PM,16,27,27,26,19,33,55,0.4,1011,35,10,264,14
2020-03-22,33,22,0.0,6.1,6,6,4,04:41 AM,04:20 PM,05:46 AM,05:56 PM,18,28,28,26,19,63,61,5.6,1011,33,10,168,13
2020-03-23,33,24,0.0,11.6,7,7,0,05:17 AM,05:10 PM,05:45 AM,05:56 PM,19,29,29,27,14,18,61,0.0,1011,33,10,157,10
2020-03-24,35,23,0.0,11.6,8,8,0,05:51 AM,05:59 PM,05:45 AM,05:56 PM,17,30,30,29,17,16,55,0.0,1009,35,10,191,11
2020-03-25,38,24,0.0,11.6,8,8,3,06:23 AM,06:47 PM,05:44 AM,05:57 PM,18,31,31,30,17,8,56,0.0,1008,38,10,178,11
