date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,13,0.0,5.6,4,4,37,10:45 AM,10:33 PM,06:27 AM,05:03 PM,9,18,18,18,13,67,59,0.1,1020,23,10,210,8
2020-01-02,25,15,0.0,8.7,6,6,44,11:17 AM,11:24 PM,06:27 AM,05:04 PM,12,20,20,20,11,40,61,0.1,1020,25,10,167,7
2020-01-03,24,17,0.0,5.6,5,5,51,11:49 AM,No moonset,06:28 AM,05:05 PM,13,20,21,20,11,60,65,0.4,1017,24,10,198,7
2020-01-04,24,15,0.0,7.1,5,5,59,12:20 PM,12:14 AM,06:28 AM,05:05 PM,13,19,20,19,9,54,68,0.1,1015,24,10,205,5
2020-01-05,22,14,0.0,8.7,5,5,66,12:54 PM,01:05 AM,06:28 AM,05:06 PM,10,17,18,17,23,3,65,0.0,1015,22,10,288,14
2020-01-06,22,12,0.0,8.7,5,5,73,01:30 PM,01:58 AM,06:28 AM,05:07 PM,7,16,17,16,16,2,56,0.0,1018,22,10,307,10
2020-01-07,22,13,0.0,8.7,5,5,80,02:10 PM,02:53 AM,06:29 AM,05:07 PM,7,17,17,17,10,7,52,0.0,1016,22,10,312,6
2020-01-08,24,14,0.0,8.7,5,5,88,02:56 PM,03:51 AM,06:29 AM,05:08 PM,7,19,19,19,8,26,48,0.0,1015,24,10,59,5
2020-01-09,23,15,0.0,7.2,4,4,95,03:47 PM,04:50 AM,06:29 AM,05:09 PM,13,19,19,19,14,70,73,2.3,1015,23,9,202,9
2020-01-10,22,12,0.0,8.7,4,4,100,04:45 PM,05:51 AM,06:29 AM,05:10 PM,12,15,16,15,23,34,76,0.2,1016,22,10,289,15
2020-01-11,21,11,0.0,8.7,5,5,100,05:47 PM,06:49 AM,06:29 AM,05:10 PM,9,15,15,15,23,0,69,0.0,1017,21,10,294,14
2020-01-12,21,11,0.0,8.7,5,5,83,06:52 PM,07:44 AM,06:29 AM,05:11 PM,7,14,15,14,22,0,60,0.0,1015,21,10,287,13
2020-01-13,22,11,0.0,8.7,5,5,76,07:58 PM,08:34 AM,06:29 AM,05:12 PM,7,16,17,16,14,0,55,0.0,1013,22,10,299,9
2020-01-14,25,15,0.0,8.7,6,6,69,09:03 PM,09:20 AM,06:29 AM,05:13 PM,9,19,20,19,8,0,52,0.0,1013,25,10,293,5
2020-01-15,25,15,0.0,8.7,6,6,61,10:06 PM,10:02 AM,06:29 AM,05:13 PM,9,19,19,19,10,6,51,0.0,1014,25,10,300,6
2020-01-16,27,16,0.0,8.7,6,6,54,11:07 PM,10:42 AM,06:29 AM,05:14 PM,11,21,21,21,12,9,55,0.0,1014,27,10,53,7
2020-01-17,29,17,0.0,8.7,6,6,47,No moonrise,11:21 AM,06:29 AM,05:15 PM,11,22,22,22,16,17,52,0.0,1015,29,10,109,9
2020-01-18,25,14,0.0,8.7,6,6,40,12:08 AM,12:00 PM,06:29 AM,05:16 PM,13,20,20,20,18,26,64,0.0,1014,25,10,330,10
2020-01-19,21,15,0.0,4.1,4,4,32,01:09 AM,12:40 PM,06:29 AM,05:16 PM,13,18,18,18,16,56,72,5.9,1015,21,10,272,9
2020-01-20,22,12,0.0,8.7,5,5,25,02:09 AM,01:24 PM,06:29 AM,05:17 PM,8,15,16,15,22,4,63,0.0,1016,22,10,283,13
2020-01-21,22,12,0.0,5.6,4,4,18,03:10 AM,02:10 PM,06:28 AM,05:18 PM,6,16,16,16,16,33,55,0.0,1018,22,10,292,9
2020-01-22,23,13,0.0,8.7,5,5,11,04:09 AM,03:01 PM,06:28 AM,05:19 PM,6,17,18,17,11,1,49,0.0,1017,23,10,291,7
2020-01-23,22,11,0.0,8.7,5,5,3,05:06 AM,03:55 PM,06:28 AM,05:19 PM,6,15,16,15,23,0,53,0.0,1015,22,10,277,14
2020-01-24,21,10,0.0,8.7,5,5,0,05:58 AM,04:50 PM,06:28 AM,05:20 PM,5,15,15,15,20,0,54,0.0,1015,21,10,286,12
2020-01-25,22,12,0.0,8.7,5,5,0,06:46 AM,05:46 PM,06:28 AM,05:21 PM,7,16,17,16,12,0,57,0.0,1014,22,10,307,7
