date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,8.7,4,4,37,11:26 AM,11:12 PM,07:10 AM,05:37 PM,2,12,12,12,16,16,51,0.0,1021,19,10,94,9
2020-01-02,17,10,0.0,8.7,4,4,44,11:57 AM,No moonset,07:10 AM,05:38 PM,7,13,14,13,15,35,62,0.0,1021,17,10,52,8
2020-01-03,21,11,0.0,8.7,4,4,51,12:27 PM,12:03 AM,07:10 AM,05:39 PM,11,15,15,15,14,30,78,0.1,1018,21,10,7,8
2020-01-04,21,12,0.0,8.7,5,5,59,12:59 PM,12:54 AM,07:11 AM,05:39 PM,10,16,16,16,8,7,71,0.0,1017,21,10,237,5
2020-01-05,21,11,0.0,8.7,5,5,66,01:32 PM,01:46 AM,07:11 AM,05:40 PM,7,16,16,16,10,6,58,0.0,1018,21,10,184,6
2020-01-06,22,11,0.0,7.1,5,5,73,02:07 PM,02:39 AM,07:11 AM,05:41 PM,7,16,16,16,11,46,57,0.0,1019,22,10,185,6
2020-01-07,23,13,0.0,8.7,5,5,80,02:46 PM,03:36 AM,07:11 AM,05:42 PM,9,16,17,16,20,31,64,0.0,1016,23,10,113,12
2020-01-08,20,12,0.0,8.7,5,5,88,03:31 PM,04:34 AM,07:11 AM,05:42 PM,11,14,15,14,19,46,78,2.2,1014,20,10,126,13
2020-01-09,18,8,0.0,8.7,4,4,95,04:22 PM,05:35 AM,07:11 AM,05:43 PM,6,11,12,11,20,20,72,0.0,1019,18,9,336,12
2020-01-10,18,7,0.0,8.7,4,4,100,05:20 PM,06:35 AM,07:11 AM,05:44 PM,3,11,12,11,16,0,58,0.0,1020,18,10,331,9
2020-01-11,19,6,0.0,8.7,4,4,100,06:23 PM,07:33 AM,07:11 AM,05:45 PM,2,12,12,12,11,15,49,0.0,1020,19,10,317,6
2020-01-12,23,9,0.0,8.7,5,5,83,07:29 PM,08:27 AM,07:11 AM,05:45 PM,3,15,16,15,8,3,45,0.0,1016,23,10,183,5
2020-01-13,24,12,0.0,7.1,4,4,76,08:35 PM,09:17 AM,07:11 AM,05:46 PM,6,17,17,17,14,38,52,2.0,1012,24,10,128,8
2020-01-14,22,11,0.0,8.7,5,5,69,09:41 PM,10:02 AM,07:11 AM,05:47 PM,12,15,16,15,17,26,79,0.0,1015,22,10,229,10
2020-01-15,21,11,0.0,7.1,4,4,61,10:45 PM,10:43 AM,07:11 AM,05:48 PM,11,15,15,15,15,56,77,0.1,1016,21,10,51,9
2020-01-16,16,12,0.0,3.9,4,4,54,11:48 PM,11:21 AM,07:11 AM,05:48 PM,14,14,15,14,11,97,93,15.2,1015,16,9,102,7
2020-01-17,18,11,0.0,3.9,3,3,47,No moonrise,11:59 AM,07:11 AM,05:49 PM,12,14,14,14,11,60,84,0.4,1017,18,10,302,7
2020-01-18,20,12,0.0,7.1,4,4,40,12:49 AM,12:37 PM,07:11 AM,05:50 PM,10,15,15,15,10,36,78,0.1,1018,20,10,237,6
2020-01-19,19,10,0.0,8.7,4,4,32,01:51 AM,01:17 PM,07:11 AM,05:51 PM,7,13,14,13,13,4,65,0.0,1019,19,10,218,8
2020-01-20,18,9,0.0,8.7,4,4,25,02:52 AM,02:00 PM,07:11 AM,05:52 PM,4,13,13,13,9,26,56,0.0,1018,18,10,211,5
2020-01-21,21,11,0.0,8.7,5,5,18,03:54 AM,02:46 PM,07:10 AM,05:52 PM,7,14,15,14,13,5,60,0.0,1018,21,10,115,7
2020-01-22,21,11,0.0,8.7,5,5,11,04:53 AM,03:36 PM,07:10 AM,05:53 PM,7,14,15,14,14,1,59,0.0,1020,21,10,340,8
2020-01-23,20,9,0.0,8.7,4,4,3,05:50 AM,04:29 PM,07:10 AM,05:54 PM,4,12,13,12,26,0,57,0.0,1020,20,10,319,15
2020-01-24,21,8,0.0,8.7,4,4,0,06:42 AM,05:25 PM,07:10 AM,05:55 PM,2,12,13,12,24,0,46,0.0,1017,21,10,301,14
2020-01-25,22,11,0.0,8.7,5,5,0,07:30 AM,06:21 PM,07:09 AM,05:56 PM,3,15,15,15,9,4,44,0.0,1017,22,10,218,5
2020-01-26,23,11,0.0,8.7,5,5,4,08:12 AM,07:17 PM,07:09 AM,05:56 PM,7,16,17,16,8,8,54,0.0,1015,23,10,198,5
2020-01-27,23,12,0.0,8.7,4,4,11,08:50 AM,08:10 PM,07:09 AM,05:57 PM,9,17,17,17,14,25,60,0.0,1013,23,10,111,8
2020-01-28,20,14,0.0,8.7,5,5,18,09:24 AM,09:03 PM,07:08 AM,05:58 PM,10,16,17,16,14,40,61,0.0,1011,20,10,166,8
2020-01-29,22,12,0.0,8.7,5,5,26,09:56 AM,09:55 PM,07:08 AM,05:59 PM,7,16,17,16,19,30,55,0.0,1016,22,10,324,11
2020-01-30,21,10,0.0,8.7,5,5,33,10:27 AM,10:45 PM,07:07 AM,05:59 PM,6,13,14,13,19,2,59,0.0,1018,21,10,324,11
2020-01-31,21,10,0.0,10.9,5,5,37,10:58 AM,11:37 PM,07:07 AM,06:00 PM,6,15,15,15,10,3,59,0.0,1016,21,10,188,6
2020-02-01,21,9,0.0,11.0,5,5,49,11:29 AM,No moonset,07:06 AM,06:01 PM,6,14,15,14,11,12,58,0.0,1019,21,10,273,6
2020-02-02,21,11,0.0,11.0,5,5,57,12:02 PM,12:28 AM,07:06 AM,06:02 PM,5,15,15,15,10,1,54,0.0,1021,21,10,209,7
2020-02-03,22,10,0.0,11.0,5,5,64,12:39 PM,01:23 AM,07:05 AM,06:02 PM,4,15,16,15,10,0,48,0.0,1019,22,10,292,6
2020-02-04,22,10,0.0,11.0,5,5,72,01:21 PM,02:18 AM,07:05 AM,06:03 PM,5,15,15,15,13,5,54,0.0,1017,22,10,84,8
2020-02-05,22,10,0.0,11.0,5,5,79,02:07 PM,03:17 AM,07:04 AM,06:04 PM,6,15,16,15,14,9,56,0.0,1017,22,10,216,8
2020-02-06,21,9,0.0,11.0,5,5,87,03:01 PM,04:16 AM,07:04 AM,06:05 PM,4,15,16,15,13,3,50,0.0,1017,21,10,204,7
2020-02-07,21,10,0.0,11.0,5,5,95,04:02 PM,05:16 AM,07:03 AM,06:05 PM,4,15,16,15,10,4,50,0.0,1019,21,10,169,6
2020-02-08,21,9,0.0,11.0,5,5,100,05:07 PM,06:12 AM,07:02 AM,06:06 PM,5,15,15,15,13,0,52,0.0,1021,21,10,116,8
2020-02-09,22,10,0.0,11.1,5,5,100,06:15 PM,07:05 AM,07:02 AM,06:07 PM,5,16,16,16,7,17,52,0.0,1022,22,10,242,4
2020-02-10,24,10,0.0,11.1,5,5,83,07:23 PM,07:53 AM,07:01 AM,06:08 PM,4,17,18,17,10,13,46,0.0,1019,24,10,301,6
2020-02-11,24,11,0.0,11.1,5,5,75,08:30 PM,08:37 AM,07:00 AM,06:08 PM,5,17,18,17,9,1,46,0.0,1019,24,10,172,6
2020-02-12,27,11,0.0,11.1,6,6,68,09:36 PM,09:18 AM,07:00 AM,06:09 PM,5,20,21,20,15,0,44,0.0,1018,27,10,297,9
2020-02-13,29,15,0.0,11.5,6,6,60,10:40 PM,09:57 AM,06:59 AM,06:10 PM,7,21,21,21,26,1,41,0.0,1016,29,10,313,15
2020-02-14,27,16,0.0,11.5,6,6,53,11:44 PM,10:36 AM,06:58 AM,06:10 PM,3,20,20,20,31,0,35,0.0,1014,27,10,312,18
2020-02-15,28,12,0.0,11.5,6,6,45,No moonrise,11:16 AM,06:57 AM,06:11 PM,0,19,20,19,23,0,29,0.0,1014,28,10,313,13
2020-02-16,29,13,0.0,11.6,6,6,38,12:47 AM,11:59 AM,06:57 AM,06:12 PM,-1,20,20,20,14,0,24,0.0,1017,29,10,217,8
2020-02-17,30,15,0.0,11.6,6,6,30,01:49 AM,12:44 PM,06:56 AM,06:13 PM,0,20,20,21,16,0,27,0.0,1017,30,10,321,9
2020-02-18,30,13,0.0,11.6,6,6,22,02:48 AM,01:33 PM,06:55 AM,06:13 PM,-2,21,21,21,14,4,24,0.0,1015,30,10,194,9
2020-02-19,29,14,0.0,7.3,5,5,15,03:46 AM,02:24 PM,06:54 AM,06:14 PM,1,22,22,22,20,57,29,0.0,1013,29,10,128,11
2020-02-20,30,15,0.0,11.6,6,6,7,04:38 AM,03:19 PM,06:53 AM,06:15 PM,6,22,22,22,29,26,39,0.2,1012,30,10,124,17
2020-02-21,29,15,0.0,11.6,6,6,0,05:27 AM,04:14 PM,06:52 AM,06:15 PM,10,20,21,20,24,16,55,0.1,1015,29,10,189,14
2020-02-22,26,12,0.0,10.2,5,5,0,06:10 AM,05:09 PM,06:52 AM,06:16 PM,12,19,20,19,16,32,68,0.0,1019,26,10,47,10
