date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,31,19,0.0,10.1,6,6,37,11:28 AM,11:31 PM,06:55 AM,06:14 PM,17,24,24,24,8,40,72,0.4,1013,31,9,195,5
2020-01-02,30,19,0.0,10.1,6,6,44,12:04 PM,No moonset,06:56 AM,06:15 PM,18,25,25,23,8,44,78,0.2,1014,30,7,229,6
2020-01-03,32,19,0.0,11.6,7,7,51,12:40 PM,12:17 AM,06:56 AM,06:16 PM,18,25,25,24,8,18,73,0.0,1013,32,9,198,5
2020-01-04,30,20,0.0,11.6,7,7,59,01:16 PM,01:03 AM,06:56 AM,06:16 PM,17,25,25,24,10,6,71,0.0,1012,30,9,248,7
2020-01-05,31,17,0.0,11.6,7,7,66,01:54 PM,01:50 AM,06:57 AM,06:17 PM,16,24,24,23,9,9,68,0.0,1011,31,10,162,6
2020-01-06,31,19,0.0,11.6,7,7,73,02:34 PM,02:38 AM,06:57 AM,06:17 PM,18,25,25,24,17,33,70,0.4,1013,31,10,95,11
2020-01-07,30,20,0.0,11.6,7,7,80,03:19 PM,03:29 AM,06:57 AM,06:18 PM,18,25,25,24,12,48,70,0.5,1013,30,10,99,9
2020-01-08,32,19,0.0,11.6,7,7,88,04:07 PM,04:23 AM,06:58 AM,06:18 PM,17,26,26,25,10,14,68,0.0,1012,32,10,250,7
2020-01-09,34,19,0.0,11.6,7,7,95,05:01 PM,05:21 AM,06:58 AM,06:19 PM,18,26,26,25,8,28,73,0.0,1012,34,10,219,6
2020-01-10,30,19,0.0,11.6,7,7,100,06:00 PM,06:19 AM,06:58 AM,06:20 PM,17,25,25,24,15,22,67,0.0,1012,30,9,84,10
2020-01-11,31,19,0.0,11.6,7,7,100,07:01 PM,07:19 AM,06:59 AM,06:20 PM,14,26,26,25,20,3,58,0.0,1012,31,10,81,13
2020-01-12,30,18,0.0,11.6,7,7,83,08:03 PM,08:16 AM,06:59 AM,06:21 PM,14,25,25,25,16,2,62,0.0,1013,30,10,87,11
2020-01-13,33,18,0.0,11.6,7,7,76,09:05 PM,09:10 AM,06:59 AM,06:21 PM,15,26,26,25,8,4,63,0.0,1011,33,10,114,6
2020-01-14,33,18,0.0,11.6,7,7,69,10:04 PM,10:00 AM,06:59 AM,06:22 PM,16,25,25,24,6,6,66,0.0,1011,33,10,123,4
2020-01-15,34,17,0.0,11.6,7,7,61,11:02 PM,10:47 AM,06:59 AM,06:22 PM,16,24,24,24,8,20,68,0.0,1011,34,8,211,6
2020-01-16,33,19,0.0,11.6,7,7,54,11:58 PM,11:32 AM,06:59 AM,06:23 PM,17,24,24,24,7,27,70,0.0,1012,33,9,271,5
2020-01-17,32,17,0.0,11.2,7,7,47,No moonrise,12:15 PM,07:00 AM,06:23 PM,14,24,24,24,8,7,61,0.0,1012,32,10,258,5
2020-01-18,35,17,0.0,11.2,7,7,40,12:53 AM,01:00 PM,07:00 AM,06:24 PM,14,27,27,26,10,8,59,0.0,1011,35,10,170,7
2020-01-19,31,19,0.0,10.1,6,6,32,01:49 AM,01:45 PM,07:00 AM,06:25 PM,17,27,27,26,10,27,64,0.1,1012,31,10,70,6
2020-01-20,33,19,0.0,11.3,7,7,25,02:45 AM,02:33 PM,07:00 AM,06:25 PM,16,27,27,26,12,18,60,0.0,1012,33,10,81,8
