date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,24,17,0.0,10.9,6,6,37,11:43 AM,11:37 PM,07:20 AM,06:09 PM,12,21,22,21,16,6,58,0.0,1014,24,10,52,10
2020-01-02,25,18,0.0,10.9,6,6,44,12:16 PM,No moonset,07:20 AM,06:10 PM,13,21,22,21,20,8,60,0.0,1016,25,10,22,12
2020-01-03,24,18,0.0,10.9,6,6,51,12:49 PM,12:25 AM,07:21 AM,06:11 PM,12,21,22,21,24,9,58,0.0,1016,24,10,29,16
2020-01-04,24,18,0.0,10.9,6,6,59,01:23 PM,01:15 AM,07:21 AM,06:11 PM,11,21,22,21,28,1,53,0.0,1015,24,10,31,18
2020-01-05,25,18,0.0,10.9,6,6,66,01:58 PM,02:04 AM,07:21 AM,06:12 PM,10,21,22,21,28,0,50,0.0,1014,25,10,52,17
2020-01-06,27,19,0.0,10.9,6,6,73,02:35 PM,02:56 AM,07:21 AM,06:13 PM,12,24,24,23,21,6,51,0.0,1014,27,10,127,13
2020-01-07,28,21,0.0,10.9,6,6,80,03:17 PM,03:50 AM,07:22 AM,06:13 PM,15,25,25,24,14,17,59,0.0,1013,28,10,124,8
2020-01-08,26,19,0.0,10.9,6,6,88,04:04 PM,04:46 AM,07:22 AM,06:14 PM,10,22,22,22,32,5,47,0.0,1013,26,10,345,21
2020-01-09,23,16,0.0,10.9,5,5,95,04:56 PM,05:46 AM,07:22 AM,06:15 PM,7,19,20,19,36,0,46,0.0,1015,23,10,31,23
2020-01-10,24,16,0.0,10.9,5,5,100,05:54 PM,06:45 AM,07:22 AM,06:15 PM,7,20,20,20,33,0,44,0.0,1015,24,10,41,21
2020-01-11,27,18,0.0,10.9,6,6,100,06:56 PM,07:44 AM,07:22 AM,06:16 PM,11,23,23,22,22,2,48,0.0,1014,27,10,73,13
