date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,8,0.0,8.7,4,4,37,11:36 AM,11:25 PM,07:17 AM,05:53 PM,6,12,13,12,24,11,61,0.0,1017,21,10,72,15
2020-01-02,21,9,0.0,3.9,4,4,44,12:08 PM,No moonset,07:18 AM,05:53 PM,10,13,14,13,20,65,77,0.2,1019,21,9,58,13
2020-01-03,22,11,0.0,8.7,5,5,51,12:39 PM,12:15 AM,07:18 AM,05:54 PM,8,15,16,15,14,11,63,0.0,1018,22,10,31,9
2020-01-04,22,11,0.0,8.7,5,5,59,01:11 PM,01:05 AM,07:18 AM,05:55 PM,6,16,16,16,10,7,54,0.0,1017,22,10,67,6
2020-01-05,23,12,0.0,8.7,5,5,66,01:45 PM,01:56 AM,07:18 AM,05:55 PM,6,17,18,17,11,4,49,0.0,1017,23,10,113,7
2020-01-06,25,13,0.0,8.7,5,5,73,02:21 PM,02:49 AM,07:18 AM,05:56 PM,4,18,18,18,14,13,40,0.0,1017,25,10,155,9
2020-01-07,26,14,0.0,8.7,6,6,80,03:01 PM,03:45 AM,07:19 AM,05:57 PM,5,19,19,19,15,14,41,0.0,1014,26,10,256,9
2020-01-08,22,11,0.0,8.7,5,5,88,03:47 PM,04:42 AM,07:19 AM,05:57 PM,6,15,16,15,25,13,52,0.0,1014,22,10,316,16
2020-01-09,20,9,0.0,8.7,4,4,95,04:38 PM,05:43 AM,07:19 AM,05:58 PM,2,13,13,13,17,0,48,0.0,1019,20,10,55,11
2020-01-10,20,7,0.0,8.7,4,4,100,05:36 PM,06:42 AM,07:19 AM,05:59 PM,-1,12,13,12,17,1,43,0.0,1020,20,10,70,10
2020-01-11,22,8,0.0,8.7,5,5,100,06:38 PM,07:41 AM,07:19 AM,05:59 PM,-2,14,14,14,17,6,36,0.0,1018,22,10,109,10
2020-01-12,26,13,0.0,10.8,5,5,83,07:44 PM,08:36 AM,07:19 AM,06:00 PM,5,19,19,19,13,2,42,0.0,1015,26,10,146,8
2020-01-13,25,12,0.0,10.1,5,5,76,08:50 PM,09:26 AM,07:19 AM,06:01 PM,10,18,18,18,30,30,61,0.9,1011,25,10,251,20
2020-01-14,21,9,0.0,10.8,5,5,69,09:54 PM,10:11 AM,07:19 AM,06:02 PM,7,14,15,14,14,10,63,0.0,1015,21,10,192,9
