date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,13,0.0,3.9,4,4,37,11:23 AM,11:14 PM,07:02 AM,05:46 PM,12,16,17,16,23,81,78,3.2,1016,21,10,96,14
2020-01-02,23,14,0.0,3.9,4,4,44,11:56 AM,No moonset,07:02 AM,05:47 PM,14,17,17,17,16,72,85,5.1,1016,23,8,84,9
2020-01-03,22,13,0.0,8.7,5,5,51,12:28 PM,12:04 AM,07:02 AM,05:47 PM,11,17,17,17,12,29,73,0.0,1016,22,9,219,8
2020-01-04,21,12,0.0,8.7,5,5,59,01:01 PM,12:53 AM,07:03 AM,05:48 PM,10,16,17,16,14,7,66,0.0,1016,21,10,53,9
2020-01-05,21,11,0.0,8.7,5,5,66,01:35 PM,01:44 AM,07:03 AM,05:48 PM,7,16,16,16,15,4,57,0.0,1017,21,10,71,10
2020-01-06,23,13,0.0,8.7,5,5,73,02:12 PM,02:35 AM,07:03 AM,05:49 PM,7,17,17,17,16,6,52,0.0,1017,23,10,121,10
2020-01-07,25,14,0.0,8.7,5,5,80,02:53 PM,03:30 AM,07:03 AM,05:50 PM,10,19,20,19,17,18,56,0.0,1015,25,10,205,10
2020-01-08,25,16,0.0,3.9,5,5,88,03:39 PM,04:27 AM,07:03 AM,05:50 PM,13,20,21,20,21,55,62,2.8,1012,25,10,267,13
2020-01-09,21,12,0.0,8.7,5,5,95,04:31 PM,05:27 AM,07:04 AM,05:51 PM,5,15,16,15,20,1,53,0.0,1017,21,10,128,13
2020-01-10,19,9,0.0,8.7,4,4,100,05:29 PM,06:26 AM,07:04 AM,05:52 PM,4,13,13,13,16,0,53,0.0,1019,19,10,60,11
2020-01-11,22,10,0.0,8.7,5,5,100,06:31 PM,07:25 AM,07:04 AM,05:53 PM,3,15,15,15,14,1,44,0.0,1018,22,10,72,9
2020-01-12,27,13,0.0,8.7,5,5,83,07:36 PM,08:20 AM,07:04 AM,05:53 PM,3,18,19,18,11,1,37,0.0,1016,27,10,101,7
2020-01-13,26,16,0.0,8.7,6,6,76,08:41 PM,09:11 AM,07:04 AM,05:54 PM,8,20,21,20,15,4,46,0.0,1012,26,10,206,9
2020-01-14,25,15,0.0,5.5,5,5,69,09:45 PM,09:58 AM,07:04 AM,05:55 PM,14,19,20,19,13,66,73,1.4,1013,25,10,140,8
2020-01-15,26,15,0.0,8.7,5,5,61,10:46 PM,10:40 AM,07:04 AM,05:55 PM,12,20,20,20,19,43,63,0.2,1012,26,10,158,12
2020-01-16,21,15,0.0,7.1,4,4,54,11:47 PM,11:21 AM,07:04 AM,05:56 PM,11,18,19,18,23,52,62,2.4,1012,21,10,255,14
2020-01-17,23,12,0.0,8.7,5,5,47,No moonrise,12:01 PM,07:04 AM,05:57 PM,8,16,17,16,15,7,61,0.0,1015,23,10,196,9
2020-01-18,24,12,0.0,8.7,5,5,40,12:47 AM,12:41 PM,07:04 AM,05:57 PM,9,16,17,16,17,8,65,0.0,1016,24,10,146,10
2020-01-19,21,12,0.0,8.7,5,5,32,01:47 AM,01:23 PM,07:04 AM,05:58 PM,6,15,16,15,20,4,56,0.0,1017,21,10,42,12
2020-01-20,22,11,0.0,5.5,4,4,25,02:46 AM,02:07 PM,07:04 AM,05:59 PM,4,15,16,15,16,67,49,0.0,1016,22,10,73,9
2020-01-21,26,13,0.0,11.0,6,6,18,03:46 AM,02:54 PM,07:04 AM,06:00 PM,10,19,20,19,15,42,56,0.7,1015,26,10,204,9
2020-01-22,26,16,0.0,7.0,5,5,11,04:45 AM,03:45 PM,07:04 AM,06:00 PM,14,19,20,19,20,44,70,4.5,1017,26,10,149,12
2020-01-23,23,13,0.0,11.0,5,5,3,05:41 AM,04:39 PM,07:03 AM,06:01 PM,5,17,17,17,19,3,48,0.0,1018,23,10,38,12
2020-01-24,25,12,0.0,11.0,5,5,0,06:34 AM,05:34 PM,07:03 AM,06:02 PM,5,18,19,18,14,0,42,0.0,1016,25,10,211,9
2020-01-25,26,14,0.0,11.0,6,6,0,07:22 AM,06:29 PM,07:03 AM,06:02 PM,3,20,21,20,14,1,35,0.0,1016,26,10,339,8
2020-01-26,27,14,0.0,11.0,6,6,4,08:05 AM,07:23 PM,07:03 AM,06:03 PM,5,20,20,20,9,6,36,0.0,1014,27,10,245,6
2020-01-27,28,18,0.0,11.0,6,6,11,08:45 AM,08:15 PM,07:02 AM,06:04 PM,7,22,22,22,14,5,38,0.0,1010,28,10,226,9
2020-01-28,26,17,0.0,11.0,6,6,18,09:21 AM,09:06 PM,07:02 AM,06:04 PM,7,21,21,21,19,9,42,0.0,1010,26,10,263,12
2020-01-29,24,15,0.0,11.0,5,5,26,09:55 AM,09:56 PM,07:02 AM,06:05 PM,6,18,19,18,14,17,47,0.0,1015,24,10,296,10
2020-01-30,22,12,0.0,11.0,5,5,33,10:27 AM,10:45 PM,07:02 AM,06:06 PM,4,16,17,16,19,5,45,0.0,1016,22,10,33,11
2020-01-31,25,11,0.0,11.1,5,5,37,10:59 AM,11:35 PM,07:01 AM,06:06 PM,2,18,19,18,15,1,37,0.0,1014,25,10,67,9
2020-02-01,23,13,0.0,11.1,5,5,49,11:33 AM,No moonset,07:01 AM,06:07 PM,3,17,18,17,19,3,38,0.0,1016,23,10,40,11
2020-02-02,24,11,0.0,11.1,5,5,57,12:07 PM,12:25 AM,07:00 AM,06:08 PM,2,16,16,16,24,1,38,0.0,1018,24,10,53,14
2020-02-03,25,12,0.0,11.1,5,5,64,12:45 PM,01:18 AM,07:00 AM,06:08 PM,5,17,18,17,22,19,42,0.0,1016,25,10,74,13
2020-02-04,26,14,0.0,5.5,5,5,72,01:28 PM,02:12 AM,07:00 AM,06:09 PM,9,19,20,19,18,47,50,1.2,1013,26,10,137,10
2020-02-05,27,13,0.0,11.5,6,6,79,02:16 PM,03:09 AM,06:59 AM,06:10 PM,7,19,20,19,17,3,47,0.0,1014,27,10,62,10
2020-02-06,27,13,0.0,11.5,6,6,87,03:11 PM,04:08 AM,06:59 AM,06:10 PM,6,19,20,19,22,26,44,0.0,1013,27,10,48,13
2020-02-07,25,14,0.0,11.5,6,6,95,04:11 PM,05:07 AM,06:58 AM,06:11 PM,6,19,20,19,23,4,45,0.0,1015,25,10,24,14
2020-02-08,23,12,0.0,11.5,5,5,100,05:15 PM,06:04 AM,06:58 AM,06:12 PM,4,17,18,17,28,1,45,0.0,1018,23,10,49,17
2020-02-09,24,9,0.0,11.6,5,5,100,06:21 PM,06:58 AM,06:57 AM,06:12 PM,-1,17,18,17,20,0,34,0.0,1019,24,10,75,12
2020-02-10,28,11,0.0,11.6,6,6,83,07:28 PM,07:48 AM,06:56 AM,06:13 PM,1,19,20,19,16,0,31,0.0,1017,28,10,66,9
2020-02-11,29,14,0.0,11.6,6,6,75,08:33 PM,08:34 AM,06:56 AM,06:13 PM,3,22,22,21,17,4,30,0.0,1017,29,10,250,10
2020-02-12,29,16,0.0,11.6,6,6,68,09:37 PM,09:17 AM,06:55 AM,06:14 PM,5,24,24,23,14,2,32,0.0,1017,29,10,260,8
2020-02-13,31,19,0.0,11.6,7,7,60,10:39 PM,09:58 AM,06:55 AM,06:15 PM,5,25,25,25,11,0,30,0.0,1016,31,10,325,8
2020-02-14,30,19,0.0,11.6,7,7,53,11:41 PM,10:39 AM,06:54 AM,06:15 PM,5,24,24,24,16,5,31,0.0,1013,30,10,325,10
2020-02-15,30,18,0.0,11.6,6,6,45,No moonrise,11:22 AM,06:53 AM,06:16 PM,3,23,23,23,13,25,29,0.0,1014,30,10,337,8
2020-02-16,31,18,0.0,11.6,7,7,38,12:41 AM,12:05 PM,06:53 AM,06:16 PM,-3,25,25,25,15,0,18,0.0,1015,31,10,55,9
2020-02-17,31,18,0.0,11.6,7,7,30,01:42 AM,12:52 PM,06:52 AM,06:17 PM,-3,24,24,24,15,0,17,0.0,1016,31,10,52,9
2020-02-18,33,19,0.0,11.6,7,7,22,02:40 AM,01:42 PM,06:51 AM,06:17 PM,-4,26,26,26,10,0,15,0.0,1015,33,10,335,6
2020-02-19,31,19,0.0,11.6,7,7,15,03:37 AM,02:34 PM,06:51 AM,06:18 PM,-3,26,26,26,14,9,16,0.0,1013,31,10,198,9
2020-02-20,33,20,0.0,11.6,7,7,7,04:30 AM,03:28 PM,06:50 AM,06:18 PM,2,25,25,26,20,6,22,0.0,1011,33,10,217,13
2020-02-21,32,21,0.0,11.6,7,7,0,05:19 AM,04:22 PM,06:49 AM,06:19 PM,3,26,26,26,16,7,25,0.0,1014,32,10,262,10
2020-02-22,32,17,0.0,11.6,7,7,0,06:03 AM,05:16 PM,06:48 AM,06:20 PM,3,24,24,24,20,2,29,0.0,1016,32,10,223,12
2020-02-23,31,17,0.0,11.6,6,6,0,06:43 AM,06:09 PM,06:48 AM,06:20 PM,6,24,24,24,22,2,36,0.0,1014,31,10,228,13
2020-02-24,29,17,0.0,11.6,6,6,0,07:20 AM,07:00 PM,06:47 AM,06:21 PM,6,22,22,22,20,4,37,0.0,1012,29,10,230,12
2020-02-25,28,17,0.0,11.6,6,6,8,07:55 AM,07:51 PM,06:46 AM,06:21 PM,4,22,22,22,19,4,33,0.0,1013,28,10,116,12
2020-02-26,30,19,0.0,11.6,7,7,15,08:27 AM,08:40 PM,06:45 AM,06:22 PM,4,25,25,25,10,1,28,0.0,1013,30,10,62,7
2020-02-27,31,19,0.0,11.6,7,7,23,08:59 AM,09:29 PM,06:44 AM,06:22 PM,3,26,26,26,10,5,24,0.0,1013,31,10,291,7
2020-02-28,34,20,0.0,11.6,7,7,30,09:32 AM,10:19 PM,06:44 AM,06:23 PM,4,28,28,27,12,5,25,0.0,1011,34,10,156,7
2020-02-29,33,21,0.0,11.6,7,7,38,10:05 AM,11:10 PM,06:43 AM,06:23 PM,5,25,25,26,21,16,27,0.0,1010,33,10,211,14
2020-03-01,32,20,0.0,10.2,6,6,44,10:42 AM,No moonset,06:42 AM,06:23 PM,9,26,26,25,20,42,37,0.3,1010,32,10,233,13
2020-03-02,33,20,0.0,11.6,7,7,51,11:22 AM,12:02 AM,06:41 AM,06:24 PM,5,27,27,27,16,2,31,0.0,1010,33,10,267,10
2020-03-03,32,19,0.0,11.6,7,7,58,12:06 PM,12:57 AM,06:40 AM,06:24 PM,6,26,26,25,18,2,33,0.0,1009,32,10,280,12
2020-03-04,31,20,0.0,11.6,7,7,65,12:56 PM,01:54 AM,06:39 AM,06:25 PM,3,26,26,26,16,4,27,0.0,1009,31,10,270,11
2020-03-05,31,17,0.0,11.6,7,7,73,01:52 PM,02:51 AM,06:38 AM,06:25 PM,3,25,25,25,17,4,28,0.0,1008,31,10,268,11
2020-03-06,30,17,0.0,11.6,6,6,80,02:53 PM,03:48 AM,06:37 AM,06:26 PM,6,25,25,24,27,12,34,0.0,1008,30,10,230,18
2020-03-07,30,16,0.0,11.6,6,6,87,03:58 PM,04:42 AM,06:36 AM,06:26 PM,3,23,23,23,17,2,28,0.0,1013,30,10,274,11
2020-03-08,31,16,0.0,11.6,6,6,95,05:04 PM,05:34 AM,06:36 AM,06:27 PM,1,24,24,24,23,1,25,0.0,1013,31,10,235,14
2020-03-09,30,17,0.0,11.6,6,6,100,06:11 PM,06:21 AM,06:35 AM,06:27 PM,4,24,24,24,22,23,29,0.0,1011,30,10,60,13
2020-03-10,30,21,0.0,7.4,6,6,100,07:17 PM,07:07 AM,06:34 AM,06:27 PM,9,25,25,25,17,51,36,0.6,1009,30,10,222,12
2020-03-11,31,20,0.0,11.6,7,7,84,08:21 PM,07:50 AM,06:33 AM,06:28 PM,7,25,25,25,20,20,35,0.0,1009,31,10,232,14
2020-03-12,31,17,0.0,11.6,7,7,76,09:26 PM,08:32 AM,06:32 AM,06:28 PM,6,25,25,24,23,14,33,0.0,1012,31,10,215,15
2020-03-13,29,19,0.0,8.8,5,5,69,10:29 PM,09:15 AM,06:31 AM,06:29 PM,0,23,23,23,15,25,22,0.4,1013,29,10,187,10
2020-03-14,31,17,0.0,11.6,7,7,62,11:33 PM,10:00 AM,06:30 AM,06:29 PM,-6,24,24,24,20,1,15,0.0,1013,31,10,207,12
2020-03-15,29,16,0.0,11.6,5,5,55,No moonrise,10:47 AM,06:29 AM,06:29 PM,-2,23,23,23,19,17,21,0.0,1014,29,10,130,12
2020-03-16,32,17,0.0,11.6,7,7,47,12:34 AM,11:38 AM,06:28 AM,06:30 PM,-1,26,26,26,19,22,20,0.0,1014,32,10,225,12
2020-03-17,35,19,0.0,11.6,7,7,40,01:33 AM,12:29 PM,06:27 AM,06:30 PM,2,28,28,28,20,4,21,0.0,1014,35,10,235,12
2020-03-18,36,21,0.0,11.6,7,7,33,02:27 AM,01:24 PM,06:26 AM,06:31 PM,5,27,27,28,17,10,23,0.0,1012,36,10,230,10
2020-03-19,34,23,0.0,10.2,6,6,25,03:18 AM,02:18 PM,06:25 AM,06:31 PM,7,27,27,28,17,21,28,1.8,1010,34,10,279,11
2020-03-20,34,22,0.0,11.6,7,7,18,04:03 AM,03:12 PM,06:24 AM,06:31 PM,3,27,27,28,17,26,21,0.0,1009,34,10,226,11
2020-03-21,34,20,0.0,11.6,7,7,11,04:44 AM,04:05 PM,06:23 AM,06:32 PM,2,27,27,27,20,2,21,0.0,1009,34,10,296,13
2020-03-22,36,23,0.0,11.6,8,8,4,05:21 AM,04:56 PM,06:22 AM,06:32 PM,5,30,30,30,8,7,22,0.0,1010,36,10,284,5
2020-03-23,36,25,0.0,11.6,8,8,0,05:56 AM,05:47 PM,06:21 AM,06:33 PM,7,29,29,30,12,10,24,0.0,1009,36,10,276,8
2020-03-24,36,25,0.0,11.6,8,8,0,06:29 AM,06:36 PM,06:20 AM,06:33 PM,8,31,31,31,16,28,26,0.2,1008,36,10,236,10
2020-03-25,37,24,0.0,11.6,8,8,3,07:01 AM,07:26 PM,06:19 AM,06:33 PM,9,30,30,30,15,51,30,1.6,1009,37,10,124,11
2020-03-26,32,25,0.0,11.6,7,7,11,07:33 AM,08:15 PM,06:18 AM,06:34 PM,14,28,28,27,17,35,48,1.0,1010,32,10,182,12
2020-03-27,27,23,0.0,7.5,6,6,18,08:06 AM,09:05 PM,06:17 AM,06:34 PM,16,26,26,25,16,58,56,4.5,1012,27,10,294,11
2020-03-28,34,22,0.0,11.6,7,7,25,08:41 AM,09:57 PM,06:16 AM,06:34 PM,12,28,28,28,11,12,42,0.0,1012,34,10,204,8
2020-03-29,35,22,0.0,11.6,7,7,32,09:20 AM,10:51 PM,06:15 AM,06:35 PM,7,29,29,29,17,5,26,0.0,1010,35,10,214,12
2020-03-30,37,23,0.0,11.6,8,8,40,10:01 AM,11:46 PM,06:14 AM,06:35 PM,3,29,29,31,17,3,18,0.0,1010,37,10,204,12
2020-03-31,38,24,0.0,10.2,7,7,44,10:48 AM,No moonset,06:13 AM,06:36 PM,3,31,31,32,22,22,18,0.2,1009,38,10,245,15
2020-04-01,38,25,0.0,11.6,8,8,56,11:40 AM,12:41 AM,06:12 AM,06:36 PM,2,30,30,31,21,0,16,0.0,1009,38,10,288,14
2020-04-02,36,24,0.0,11.6,8,8,64,12:37 PM,01:37 AM,06:11 AM,06:36 PM,1,30,30,30,23,1,16,0.0,1009,36,10,328,14
2020-04-03,39,23,0.0,11.6,8,8,71,01:39 PM,02:30 AM,06:11 AM,06:37 PM,-0,32,32,32,21,1,14,0.0,1010,39,10,229,13
2020-04-04,39,24,0.0,11.6,8,8,79,02:42 PM,03:22 AM,06:10 AM,06:37 PM,-2,33,33,33,17,0,12,0.0,1011,39,10,106,11
