date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,18,0.0,4.1,5,5,37,11:18 AM,11:17 PM,06:51 AM,05:56 PM,16,23,23,22,23,77,72,2.2,1014,28,10,173,16
2020-01-02,28,19,0.0,8.7,6,6,44,11:53 AM,No moonset,06:51 AM,05:56 PM,16,24,24,24,16,45,66,0.0,1015,28,10,201,12
2020-01-03,31,21,0.0,7.2,6,6,51,12:27 PM,12:04 AM,06:51 AM,05:57 PM,15,25,25,24,17,41,61,1.6,1013,31,10,251,11
2020-01-04,26,18,0.0,4.1,5,5,59,01:02 PM,12:51 AM,06:52 AM,05:57 PM,17,22,22,21,15,75,79,0.5,1013,26,9,50,10
2020-01-05,26,18,0.0,8.7,5,5,66,01:39 PM,01:40 AM,06:52 AM,05:58 PM,15,21,21,21,20,27,68,0.0,1014,26,10,64,14
2020-01-06,26,17,0.0,7.2,5,5,73,02:18 PM,02:29 AM,06:52 AM,05:59 PM,15,23,23,22,16,45,66,0.4,1016,26,10,132,12
2020-01-07,28,20,0.0,4.2,5,5,80,03:01 PM,03:22 AM,06:52 AM,05:59 PM,18,25,25,24,15,78,69,1.5,1014,28,10,158,11
2020-01-08,27,20,0.0,10.1,5,5,88,03:48 PM,04:17 AM,06:53 AM,06:00 PM,17,25,25,24,22,32,66,0.2,1013,27,10,212,16
2020-01-09,26,21,0.0,5.7,5,5,95,04:41 PM,05:16 AM,06:53 AM,06:00 PM,16,24,24,23,14,57,67,1.2,1013,26,10,238,10
2020-01-10,26,18,0.0,11.5,6,6,100,05:40 PM,06:15 AM,06:53 AM,06:01 PM,14,22,22,21,20,39,67,0.0,1015,26,10,60,15
2020-01-11,27,16,0.0,11.5,6,6,100,06:41 PM,07:14 AM,06:53 AM,06:02 PM,13,22,22,21,17,17,61,0.0,1015,27,10,68,12
2020-01-12,28,18,0.0,11.5,6,6,83,07:45 PM,08:10 AM,06:54 AM,06:02 PM,9,23,23,22,15,3,48,0.0,1014,28,10,36,10
2020-01-13,30,19,0.0,11.5,7,7,76,08:47 PM,09:03 AM,06:54 AM,06:03 PM,9,26,26,25,11,2,40,0.0,1012,30,10,307,7
2020-01-14,30,19,0.0,11.5,7,7,69,09:49 PM,09:52 AM,06:54 AM,06:03 PM,11,24,24,24,16,4,44,0.0,1012,30,10,206,10
2020-01-15,29,18,0.0,11.5,6,6,61,10:48 PM,10:37 AM,06:54 AM,06:04 PM,11,23,23,23,25,4,51,0.0,1012,29,10,149,17
2020-01-16,27,18,0.0,11.5,6,6,54,11:46 PM,11:20 AM,06:54 AM,06:05 PM,12,23,23,22,23,5,53,0.0,1012,27,10,192,16
2020-01-17,28,19,0.0,11.5,6,6,47,No moonrise,12:02 PM,06:54 AM,06:05 PM,13,23,23,23,14,18,55,0.0,1013,28,10,188,10
2020-01-18,29,20,0.0,11.5,6,6,40,12:43 AM,12:44 PM,06:54 AM,06:06 PM,14,24,24,24,17,13,58,0.0,1013,29,10,182,12
2020-01-19,29,19,0.0,8.7,6,6,32,01:41 AM,01:29 PM,06:54 AM,06:06 PM,15,25,25,24,12,34,59,0.7,1013,29,10,207,8
2020-01-20,30,20,0.0,11.5,7,7,25,02:38 AM,02:14 PM,06:54 AM,06:07 PM,15,26,26,25,14,28,55,0.0,1014,30,10,184,10
2020-01-21,30,20,0.0,11.5,7,7,18,03:36 AM,03:04 PM,06:54 AM,06:08 PM,14,26,26,25,21,14,53,0.0,1015,30,10,134,15
2020-01-22,30,20,0.0,11.5,7,7,11,04:33 AM,03:56 PM,06:54 AM,06:08 PM,13,25,25,25,22,8,53,0.0,1016,30,10,117,16
2020-01-23,30,19,0.0,11.6,7,7,3,05:30 AM,04:49 PM,06:54 AM,06:09 PM,10,26,26,25,17,3,43,0.0,1014,30,10,72,11
2020-01-24,30,20,0.0,11.6,7,7,0,06:22 AM,05:44 PM,06:54 AM,06:09 PM,11,25,25,25,15,3,42,0.0,1014,30,10,66,10
2020-01-25,32,21,0.0,11.6,7,7,0,07:12 AM,06:37 PM,06:54 AM,06:10 PM,11,27,27,26,11,5,41,0.0,1013,32,10,69,7
2020-01-26,32,22,0.0,11.6,7,7,4,07:56 AM,07:30 PM,06:54 AM,06:11 PM,10,27,27,27,12,3,36,0.0,1012,32,10,114,8
