date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,8,0.0,7.1,3,3,37,11:24 AM,11:07 PM,07:11 AM,05:30 PM,0,13,14,13,12,31,42,0.0,1021,20,10,138,8
2020-01-02,21,12,0.0,8.7,4,4,44,11:55 AM,11:59 PM,07:11 AM,05:31 PM,6,16,16,16,11,31,54,0.0,1021,21,10,139,6
2020-01-03,20,12,0.0,3.8,4,4,51,12:24 PM,No moonset,07:11 AM,05:31 PM,11,15,15,15,8,53,75,4.0,1018,20,10,249,4
2020-01-04,21,11,0.0,8.7,5,5,59,12:54 PM,12:51 AM,07:12 AM,05:32 PM,9,15,15,15,12,11,69,0.0,1017,21,10,264,7
2020-01-05,20,11,0.0,8.7,5,5,66,01:27 PM,01:44 AM,07:12 AM,05:33 PM,5,14,14,14,20,17,57,0.0,1017,20,10,305,12
2020-01-06,18,11,0.0,7.1,3,3,73,02:01 PM,02:38 AM,07:12 AM,05:34 PM,5,13,14,13,22,54,54,0.0,1018,18,10,317,14
2020-01-07,15,14,0.0,3.8,3,3,80,02:39 PM,03:36 AM,07:12 AM,05:34 PM,11,14,14,14,13,75,83,1.8,1017,15,8,44,8
2020-01-08,19,6,0.0,8.7,4,4,88,03:24 PM,04:34 AM,07:12 AM,05:35 PM,11,13,14,13,21,61,82,27.8,1015,19,9,136,14
2020-01-09,18,9,0.0,8.7,4,4,95,04:14 PM,05:36 AM,07:12 AM,05:36 PM,7,11,12,11,18,15,72,0.0,1018,18,10,307,12
2020-01-10,19,8,0.0,8.7,4,4,100,05:12 PM,06:36 AM,07:12 AM,05:37 PM,6,11,13,11,20,5,65,0.0,1018,19,10,298,13
2020-01-11,20,8,0.0,8.7,4,4,100,06:15 PM,07:35 AM,07:12 AM,05:37 PM,5,12,13,12,17,16,64,0.0,1018,20,10,286,10
2020-01-12,22,9,0.0,8.7,5,5,83,07:22 PM,08:28 AM,07:12 AM,05:38 PM,6,15,15,15,14,9,58,0.0,1015,22,10,294,9
2020-01-13,20,13,0.0,7.1,4,4,76,08:29 PM,09:17 AM,07:12 AM,05:39 PM,8,15,16,15,13,39,61,1.8,1012,20,10,134,8
2020-01-14,22,13,0.0,8.7,5,5,69,09:36 PM,10:01 AM,07:12 AM,05:40 PM,11,16,16,16,12,36,74,0.2,1015,22,10,157,7
2020-01-15,24,12,0.0,8.7,5,5,61,10:40 PM,10:41 AM,07:12 AM,05:41 PM,10,17,18,17,13,16,69,0.0,1015,24,10,237,8
2020-01-16,18,14,0.0,3.9,4,4,54,11:45 PM,11:19 AM,07:12 AM,05:42 PM,12,15,15,15,8,84,82,11.4,1015,18,9,224,5
2020-01-17,17,13,0.0,5.5,3,3,47,No moonrise,11:55 AM,07:12 AM,05:42 PM,12,14,14,14,19,69,86,7.5,1016,17,9,71,12
2020-01-18,19,11,0.0,7.1,3,3,40,12:47 AM,12:32 PM,07:12 AM,05:43 PM,11,14,14,14,13,66,82,4.1,1018,19,8,192,8
2020-01-19,20,10,0.0,8.7,5,5,32,01:50 AM,01:11 PM,07:11 AM,05:44 PM,10,13,14,13,18,3,77,0.0,1018,20,10,296,12
2020-01-20,20,9,0.0,8.7,4,4,25,02:52 AM,01:53 PM,07:11 AM,05:45 PM,8,13,14,13,14,21,71,0.0,1017,20,10,282,8
2020-01-21,20,13,0.0,7.1,5,5,18,03:54 AM,02:38 PM,07:11 AM,05:46 PM,8,15,15,15,6,22,62,0.0,1019,20,10,194,4
2020-01-22,22,11,0.0,8.7,5,5,11,04:54 AM,03:29 PM,07:11 AM,05:47 PM,8,14,15,14,20,8,64,0.0,1019,22,10,294,12
2020-01-23,19,9,0.0,8.7,4,4,3,05:51 AM,04:22 PM,07:10 AM,05:47 PM,5,11,13,11,32,0,62,0.0,1016,19,10,297,20
2020-01-24,20,8,0.0,8.7,4,4,0,06:43 AM,05:18 PM,07:10 AM,05:48 PM,5,12,13,12,26,0,57,0.0,1014,20,10,294,17
2020-01-25,19,11,0.0,7.1,4,4,0,07:30 AM,06:14 PM,07:10 AM,05:49 PM,8,14,14,14,8,18,65,0.0,1015,19,10,264,6
2020-01-26,21,10,0.0,8.7,5,5,4,08:12 AM,07:10 PM,07:09 AM,05:50 PM,9,15,16,15,16,4,68,0.0,1013,21,10,290,11
2020-01-27,21,11,0.0,8.7,4,4,11,08:49 AM,08:05 PM,07:09 AM,05:51 PM,10,16,16,16,9,36,66,0.1,1012,21,10,303,6
2020-01-28,20,11,0.0,7.1,4,4,18,09:23 AM,08:58 PM,07:08 AM,05:52 PM,10,15,15,15,19,70,74,4.4,1011,20,10,78,11
2020-01-29,22,12,0.0,3.9,4,4,26,09:54 AM,09:51 PM,07:08 AM,05:52 PM,11,15,16,15,14,53,76,4.9,1016,22,9,151,8
2020-01-30,20,10,0.0,8.7,5,5,33,10:24 AM,10:42 PM,07:07 AM,05:53 PM,8,13,14,13,24,0,71,0.0,1016,20,10,300,16
2020-01-31,20,9,0.0,8.7,5,5,37,10:54 AM,11:34 PM,07:07 AM,05:54 PM,7,13,14,13,18,1,65,0.0,1014,20,10,281,13
2020-02-01,19,10,0.0,8.7,5,5,49,11:25 AM,No moonset,07:06 AM,05:55 PM,7,14,14,14,17,1,65,0.0,1017,19,10,296,11
2020-02-02,20,9,0.0,8.7,4,4,57,11:57 AM,12:27 AM,07:06 AM,05:56 PM,8,13,14,13,20,0,70,0.0,1018,20,10,294,13
2020-02-03,22,9,0.0,8.7,5,5,64,12:33 PM,01:22 AM,07:05 AM,05:57 PM,8,14,15,14,15,0,66,0.0,1017,22,10,292,11
2020-02-04,24,12,0.0,8.7,5,5,72,01:14 PM,02:18 AM,07:05 AM,05:57 PM,7,16,16,16,10,11,59,0.0,1016,24,10,208,6
2020-02-05,20,11,0.0,8.7,5,5,79,02:00 PM,03:18 AM,07:04 AM,05:58 PM,6,14,14,14,23,1,59,0.0,1015,20,10,299,15
2020-02-06,21,9,0.0,8.7,5,5,87,02:53 PM,04:17 AM,07:03 AM,05:59 PM,7,14,15,14,13,0,61,0.0,1015,21,10,269,9
2020-02-07,20,11,0.0,11.0,5,5,95,03:54 PM,05:17 AM,07:03 AM,06:00 PM,7,14,15,14,14,6,60,0.0,1018,20,10,295,9
2020-02-08,22,11,0.0,11.0,5,5,100,05:00 PM,06:13 AM,07:02 AM,06:01 PM,9,15,16,15,15,0,67,0.0,1020,22,10,297,10
2020-02-09,25,11,0.0,11.0,5,5,100,06:08 PM,07:05 AM,07:01 AM,06:01 PM,9,17,18,17,12,0,65,0.0,1021,25,10,266,8
2020-02-10,24,11,0.0,11.0,5,5,83,07:18 PM,07:53 AM,07:01 AM,06:02 PM,7,16,17,16,16,5,60,0.0,1018,24,10,270,10
2020-02-11,23,10,0.0,11.0,5,5,75,08:26 PM,08:35 AM,07:00 AM,06:03 PM,9,16,17,16,15,7,64,0.0,1019,23,10,290,9
2020-02-12,24,12,0.0,11.5,5,5,68,09:33 PM,09:15 AM,06:59 AM,06:04 PM,10,17,18,17,21,1,65,0.0,1017,24,10,296,14
2020-02-13,28,14,0.0,11.5,6,6,60,10:38 PM,09:54 AM,06:58 AM,06:04 PM,11,20,20,20,29,3,60,0.0,1013,28,10,292,18
2020-02-14,25,15,0.0,11.5,6,6,53,11:43 PM,10:31 AM,06:57 AM,06:05 PM,8,19,19,19,37,1,51,0.0,1010,25,10,297,23
2020-02-15,26,13,0.0,11.5,5,5,45,No moonrise,11:11 AM,06:57 AM,06:06 PM,8,18,19,18,27,0,51,0.0,1011,26,10,295,17
2020-02-16,29,14,0.0,11.5,6,6,38,12:46 AM,11:52 AM,06:56 AM,06:07 PM,11,20,21,20,11,0,57,0.0,1015,29,10,252,7
2020-02-17,26,14,0.0,11.5,6,6,30,01:49 AM,12:37 PM,06:55 AM,06:07 PM,7,19,20,19,20,0,48,0.0,1016,26,10,292,13
2020-02-18,27,11,0.0,11.5,5,5,22,02:49 AM,01:25 PM,06:54 AM,06:08 PM,6,18,19,18,21,0,46,0.0,1013,27,10,296,14
2020-02-19,25,13,0.0,11.6,5,5,15,03:47 AM,02:17 PM,06:53 AM,06:09 PM,7,18,19,18,19,17,49,0.0,1014,25,10,134,12
