date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,9,0.0,8.7,4,4,37,11:43 AM,11:29 PM,07:28 AM,05:52 PM,-3,12,13,12,27,10,32,0.0,1020,19,10,55,17
2020-01-02,20,11,0.0,8.7,5,5,44,12:14 PM,No moonset,07:29 AM,05:53 PM,3,15,15,15,25,6,45,0.0,1021,20,10,55,15
2020-01-03,20,12,0.0,8.7,5,5,51,12:44 PM,12:20 AM,07:29 AM,05:54 PM,2,15,16,15,14,4,40,0.0,1019,20,10,242,9
2020-01-04,21,13,0.0,8.7,5,5,59,01:16 PM,01:11 AM,07:29 AM,05:54 PM,3,17,17,17,8,5,41,0.0,1017,21,10,198,5
2020-01-05,22,14,0.0,8.7,5,5,66,01:48 PM,02:04 AM,07:29 AM,05:55 PM,2,18,18,18,17,22,35,0.0,1017,22,10,124,10
2020-01-06,23,16,0.0,8.7,5,5,73,02:23 PM,02:58 AM,07:29 AM,05:56 PM,4,19,19,19,19,33,36,0.0,1016,23,10,218,12
2020-01-07,18,14,0.0,8.7,5,5,80,03:02 PM,03:54 AM,07:30 AM,05:56 PM,9,16,16,16,19,41,63,0.0,1016,18,10,237,13
2020-01-08,18,12,0.0,8.7,4,4,88,03:47 PM,04:53 AM,07:30 AM,05:57 PM,6,14,14,14,19,14,62,0.0,1016,18,10,342,13
2020-01-09,17,10,0.0,8.7,4,4,95,04:38 PM,05:54 AM,07:30 AM,05:58 PM,3,13,14,13,15,0,50,0.0,1020,17,10,44,9
2020-01-10,18,10,0.0,8.7,4,4,100,05:36 PM,06:54 AM,07:30 AM,05:59 PM,-3,13,13,13,17,7,34,0.0,1020,18,10,38,10
2020-01-11,20,11,0.0,8.7,5,5,100,06:38 PM,07:53 AM,07:30 AM,05:59 PM,-6,15,15,15,19,27,24,0.0,1019,20,10,76,11
2020-01-12,22,13,0.0,10.7,5,5,83,07:45 PM,08:46 AM,07:30 AM,06:00 PM,-4,17,17,17,22,13,23,0.0,1015,22,10,89,13
2020-01-13,19,11,0.0,6.9,3,3,76,08:51 PM,09:36 AM,07:30 AM,06:01 PM,7,13,14,13,27,51,63,1.6,1011,19,9,283,19
2020-01-14,19,11,0.0,10.7,4,4,69,09:58 PM,10:20 AM,07:30 AM,06:02 PM,6,14,14,14,15,0,58,0.0,1016,19,10,58,9
2020-01-15,17,11,0.0,10.7,4,4,61,11:02 PM,11:00 AM,07:30 AM,06:03 PM,3,13,14,13,22,13,49,0.1,1017,17,10,40,15
2020-01-16,18,13,0.0,10.0,4,4,54,No moonrise,11:39 AM,07:30 AM,06:03 PM,2,14,15,14,18,33,41,0.1,1016,18,10,127,13
2020-01-17,18,12,0.0,10.7,5,5,47,12:05 AM,12:16 PM,07:30 AM,06:04 PM,1,15,15,15,5,14,40,0.0,1017,18,10,280,4
2020-01-18,18,12,0.0,10.8,5,5,40,01:07 AM,12:53 PM,07:29 AM,06:05 PM,-0,15,15,15,12,0,37,0.0,1018,18,10,321,7
2020-01-19,18,11,0.0,10.8,5,5,32,02:09 AM,01:33 PM,07:29 AM,06:06 PM,1,14,15,14,12,3,40,0.0,1019,18,10,242,7
2020-01-20,19,12,0.0,10.0,5,5,25,03:11 AM,02:15 PM,07:29 AM,06:07 PM,-1,15,15,15,12,57,33,0.0,1017,19,10,102,8
2020-01-21,21,14,0.0,10.8,5,5,18,04:12 AM,03:02 PM,07:29 AM,06:07 PM,2,16,17,16,19,13,39,0.0,1017,21,10,58,12
2020-01-22,20,13,0.0,10.8,5,5,11,05:12 AM,03:52 PM,07:29 AM,06:08 PM,4,15,16,15,24,2,45,0.0,1022,20,10,30,15
2020-01-23,19,12,0.0,10.8,5,5,3,06:09 AM,04:45 PM,07:28 AM,06:09 PM,3,15,16,15,17,0,43,0.0,1021,19,10,248,11
2020-01-24,21,12,0.0,10.8,5,5,0,07:01 AM,05:41 PM,07:28 AM,06:10 PM,2,17,17,17,9,0,38,0.0,1018,21,10,319,6
2020-01-25,23,14,0.0,10.8,5,5,0,07:48 AM,06:37 PM,07:28 AM,06:11 PM,3,19,19,19,10,18,36,0.0,1016,23,10,182,5
2020-01-26,26,16,0.0,10.8,6,6,4,08:30 AM,07:33 PM,07:27 AM,06:11 PM,3,20,20,20,17,7,32,0.0,1014,26,10,187,9
2020-01-27,25,18,0.0,10.1,5,5,11,09:08 AM,08:27 PM,07:27 AM,06:12 PM,6,21,21,21,19,49,39,1.2,1010,25,10,231,13
2020-01-28,19,14,0.0,10.1,4,4,18,09:42 AM,09:20 PM,07:27 AM,06:13 PM,9,16,16,16,19,39,62,0.1,1010,19,10,290,15
2020-01-29,21,13,0.0,10.9,5,5,26,10:14 AM,10:11 PM,07:26 AM,06:14 PM,3,17,17,17,13,9,41,0.0,1016,21,10,272,8
2020-01-30,20,13,0.0,10.9,5,5,33,10:44 AM,11:03 PM,07:26 AM,06:15 PM,0,17,17,17,14,3,34,0.0,1018,20,10,294,9
2020-01-31,19,14,0.0,10.9,5,5,37,11:15 AM,11:54 PM,07:25 AM,06:15 PM,2,17,17,17,9,2,39,0.0,1015,19,10,260,6
2020-02-01,22,13,0.0,10.9,5,5,49,11:46 AM,No moonset,07:25 AM,06:16 PM,-0,17,18,17,16,2,31,0.0,1018,22,10,193,9
2020-02-02,21,13,0.0,10.9,5,5,57,12:19 PM,12:46 AM,07:24 AM,06:17 PM,0,16,17,16,17,0,34,0.0,1020,21,10,161,10
2020-02-03,24,13,0.0,10.9,5,5,64,12:55 PM,01:41 AM,07:24 AM,06:18 PM,-1,18,19,18,14,0,30,0.0,1018,24,10,198,8
2020-02-04,22,13,0.0,11.0,5,5,72,01:36 PM,02:37 AM,07:23 AM,06:19 PM,1,17,18,17,23,16,33,0.0,1016,22,10,284,15
2020-02-05,20,13,0.0,11.0,5,5,79,02:23 PM,03:36 AM,07:22 AM,06:19 PM,2,16,16,16,19,14,40,0.0,1018,20,10,245,12
2020-02-06,22,13,0.0,11.0,5,5,87,03:17 PM,04:35 AM,07:22 AM,06:20 PM,-0,17,18,17,12,0,32,0.0,1015,22,10,209,7
2020-02-07,21,14,0.0,11.0,5,5,95,04:17 PM,05:35 AM,07:21 AM,06:21 PM,-3,17,17,17,21,0,25,0.0,1019,21,10,53,12
2020-02-08,22,13,0.0,11.0,5,5,100,05:23 PM,06:31 AM,07:20 AM,06:22 PM,-2,17,17,17,17,0,28,0.0,1022,22,10,66,10
2020-02-09,22,13,0.0,8.6,4,4,100,06:31 PM,07:24 AM,07:20 AM,06:22 PM,-5,18,18,18,18,51,23,0.0,1021,22,10,100,10
2020-02-10,23,14,0.0,10.1,4,4,83,07:40 PM,08:11 AM,07:19 AM,06:23 PM,-4,18,18,18,19,41,22,0.0,1019,23,10,87,11
2020-02-11,25,15,0.0,11.1,5,5,75,08:47 PM,08:55 AM,07:18 AM,06:24 PM,-3,19,19,19,21,1,24,0.0,1019,25,10,78,12
2020-02-12,25,16,0.0,11.1,6,6,68,09:54 PM,09:36 AM,07:18 AM,06:25 PM,1,21,20,21,16,3,27,0.0,1020,25,10,37,9
2020-02-13,27,16,0.0,11.1,6,6,60,10:58 PM,10:14 AM,07:17 AM,06:25 PM,3,21,21,22,20,1,30,0.0,1018,27,10,229,12
2020-02-14,26,17,0.0,11.1,6,6,53,No moonrise,10:53 AM,07:16 AM,06:26 PM,0,21,21,21,18,0,26,0.0,1015,26,10,235,11
2020-02-15,28,16,0.0,11.1,6,6,45,12:02 AM,11:33 AM,07:15 AM,06:27 PM,-5,22,22,22,10,0,16,0.0,1015,28,10,297,6
2020-02-16,31,18,0.0,11.1,7,7,38,01:05 AM,12:14 PM,07:14 AM,06:28 PM,-7,25,25,25,12,0,12,0.0,1016,31,10,279,6
2020-02-17,30,18,0.0,11.1,6,6,30,02:07 AM,01:00 PM,07:14 AM,06:28 PM,-8,23,23,24,13,0,12,0.0,1017,30,10,247,8
2020-02-18,30,17,0.0,11.2,6,6,22,03:08 AM,01:48 PM,07:13 AM,06:29 PM,-8,23,23,24,11,10,12,0.0,1014,30,10,250,7
2020-02-19,32,21,0.0,7.1,6,6,15,04:04 AM,02:40 PM,07:12 AM,06:30 PM,-7,25,25,26,30,53,12,0.0,1010,32,10,229,18
2020-02-20,27,17,0.0,11.2,6,6,7,04:57 AM,03:35 PM,07:11 AM,06:30 PM,0,21,21,22,27,7,25,0.0,1011,27,10,323,18
2020-02-21,24,15,0.0,11.2,5,5,0,05:46 AM,04:30 PM,07:10 AM,06:31 PM,8,19,20,19,24,5,49,0.0,1016,24,10,243,17
2020-02-22,25,16,0.0,11.2,6,6,0,06:28 AM,05:26 PM,07:09 AM,06:32 PM,10,21,22,21,20,4,54,0.0,1020,25,10,49,14
2020-02-23,27,18,0.0,11.3,6,6,0,07:07 AM,06:20 PM,07:08 AM,06:33 PM,8,23,23,22,18,3,42,0.0,1017,27,10,58,11
