date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,11,0.0,4.1,4,4,37,11:02 AM,10:55 PM,06:40 AM,05:29 PM,9,15,16,15,17,70,66,3.3,1018,21,9,80,11
2020-01-02,23,14,0.0,7.2,4,4,44,11:36 AM,11:44 PM,06:40 AM,05:30 PM,11,18,18,18,19,61,67,1.5,1018,23,10,56,12
2020-01-03,22,16,0.0,4.1,4,4,51,12:08 PM,No moonset,06:41 AM,05:31 PM,15,18,18,18,12,68,84,5.0,1016,22,10,123,9
2020-01-04,24,16,0.0,4.1,4,4,59,12:42 PM,12:33 AM,06:41 AM,05:31 PM,15,19,19,19,9,78,80,1.1,1014,24,8,189,5
2020-01-05,25,14,0.0,8.7,5,5,66,01:17 PM,01:23 AM,06:41 AM,05:32 PM,9,19,19,19,16,5,57,0.0,1016,25,10,21,10
2020-01-06,27,14,0.0,8.7,6,6,73,01:54 PM,02:14 AM,06:42 AM,05:33 PM,8,19,20,19,11,1,48,0.0,1018,27,10,100,7
2020-01-07,26,16,0.0,8.7,6,6,80,02:35 PM,03:09 AM,06:42 AM,05:33 PM,7,20,20,20,7,7,43,0.0,1016,26,10,161,5
2020-01-08,20,14,0.0,4.1,4,4,88,03:22 PM,04:05 AM,06:42 AM,05:34 PM,11,17,17,17,10,60,69,10.4,1014,20,9,43,6
2020-01-09,25,15,0.0,5.6,5,5,95,04:14 PM,05:04 AM,06:42 AM,05:35 PM,13,19,20,19,9,59,71,0.8,1015,25,10,167,6
2020-01-10,24,13,0.0,8.7,5,5,100,05:12 PM,06:04 AM,06:42 AM,05:35 PM,7,17,18,17,12,1,53,0.0,1017,24,10,215,8
2020-01-11,26,12,0.0,8.7,5,5,100,06:14 PM,07:03 AM,06:42 AM,05:36 PM,6,18,19,18,9,0,47,0.0,1017,26,10,150,6
2020-01-12,27,14,0.0,8.7,6,6,83,07:19 PM,07:58 AM,06:43 AM,05:37 PM,4,20,20,20,8,0,36,0.0,1015,27,10,215,5
2020-01-13,29,16,0.0,8.7,6,6,76,08:23 PM,08:50 AM,06:43 AM,05:37 PM,6,22,22,22,6,0,36,0.0,1013,29,10,197,4
2020-01-14,30,18,0.0,8.7,6,6,69,09:26 PM,09:37 AM,06:43 AM,05:38 PM,9,23,23,23,6,0,39,0.0,1013,30,10,196,4
2020-01-15,29,18,0.0,8.7,6,6,61,10:27 PM,10:20 AM,06:43 AM,05:39 PM,10,23,23,23,8,2,43,0.0,1013,29,10,145,6
2020-01-16,29,17,0.0,8.7,6,6,54,11:27 PM,11:01 AM,06:43 AM,05:39 PM,10,22,22,22,13,5,46,0.0,1013,29,10,196,8
2020-01-17,28,16,0.0,8.7,6,6,47,No moonrise,11:42 AM,06:43 AM,05:40 PM,11,23,23,22,9,22,50,0.0,1014,28,10,169,6
2020-01-18,28,20,0.0,8.7,6,6,40,12:26 AM,12:22 PM,06:43 AM,05:41 PM,12,24,24,23,9,19,51,0.0,1014,28,10,167,6
2020-01-19,27,17,0.0,8.7,5,5,32,01:26 AM,01:04 PM,06:43 AM,05:41 PM,13,22,22,22,14,25,59,0.0,1014,27,10,221,9
2020-01-20,25,14,0.0,8.7,6,6,25,02:25 AM,01:49 PM,06:43 AM,05:42 PM,8,19,20,19,12,24,50,0.0,1016,25,10,163,7
2020-01-21,29,15,0.0,8.7,6,6,18,03:25 AM,02:37 PM,06:42 AM,05:43 PM,7,22,22,21,9,14,41,0.0,1017,29,10,168,5
2020-01-22,29,17,0.0,8.7,6,6,11,04:23 AM,03:28 PM,06:42 AM,05:43 PM,12,23,23,23,9,18,50,0.0,1016,29,10,202,6
2020-01-23,29,19,0.0,8.7,6,6,3,05:19 AM,04:21 PM,06:42 AM,05:44 PM,12,25,25,23,14,20,54,0.0,1015,29,10,310,9
2020-01-24,29,14,0.0,8.7,6,6,0,06:12 AM,05:17 PM,06:42 AM,05:45 PM,4,22,22,21,11,0,34,0.0,1015,29,10,196,7
2020-01-25,29,16,0.0,8.7,6,6,0,07:00 AM,06:11 PM,06:42 AM,05:46 PM,4,23,23,22,10,0,32,0.0,1014,29,10,198,6
