date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,10,0.0,8.7,4,4,37,10:48 AM,10:38 PM,06:28 AM,05:10 PM,8,16,17,16,11,50,61,10.5,1021,23,9,232,8
2020-01-02,24,14,0.0,5.6,4,4,44,11:21 AM,11:28 PM,06:29 AM,05:11 PM,12,18,19,18,16,67,67,0.6,1020,24,9,153,10
2020-01-03,20,14,0.0,4.1,4,4,51,11:53 AM,No moonset,06:29 AM,05:12 PM,13,16,16,16,12,71,82,11.4,1017,20,9,133,9
2020-01-04,22,14,0.0,4.1,4,4,59,12:25 PM,12:18 AM,06:29 AM,05:12 PM,13,17,18,17,7,72,78,4.4,1015,22,10,120,4
2020-01-05,22,14,0.0,8.7,5,5,66,12:59 PM,01:08 AM,06:29 AM,05:13 PM,10,18,18,18,16,12,61,0.0,1016,22,10,320,11
2020-01-06,24,14,0.0,8.7,5,5,73,01:36 PM,02:01 AM,06:30 AM,05:14 PM,8,18,19,18,11,2,51,0.0,1019,24,10,335,9
2020-01-07,24,15,0.0,8.7,5,5,80,02:17 PM,02:55 AM,06:30 AM,05:14 PM,8,19,20,19,9,6,49,0.0,1017,24,10,341,7
2020-01-08,25,16,0.0,8.7,6,6,88,03:03 PM,03:53 AM,06:30 AM,05:15 PM,9,19,19,19,9,30,53,0.8,1015,25,9,153,6
2020-01-09,25,15,0.0,5.6,4,4,95,03:55 PM,04:52 AM,06:30 AM,05:16 PM,13,18,18,18,12,67,75,5.8,1015,25,10,230,8
2020-01-10,21,12,0.0,8.7,5,5,100,04:52 PM,05:52 AM,06:30 AM,05:17 PM,9,15,15,15,18,4,67,0.0,1018,21,10,328,13
2020-01-11,22,12,0.0,8.7,5,5,100,05:55 PM,06:50 AM,06:30 AM,05:17 PM,8,16,16,16,13,0,61,0.0,1018,22,10,346,10
2020-01-12,24,12,0.0,8.7,5,5,83,06:59 PM,07:46 AM,06:30 AM,05:18 PM,5,17,17,17,12,0,49,0.0,1016,24,10,331,9
2020-01-13,25,13,0.0,8.7,5,5,76,08:04 PM,08:36 AM,06:30 AM,05:19 PM,6,19,19,19,9,0,44,0.0,1014,25,10,333,8
2020-01-14,29,16,0.0,8.7,6,6,69,09:09 PM,09:23 AM,06:30 AM,05:20 PM,5,21,21,21,7,0,37,0.0,1014,29,10,213,5
2020-01-15,28,16,0.0,8.7,6,6,61,10:11 PM,10:06 AM,06:30 AM,05:20 PM,6,22,22,22,6,4,38,0.0,1015,28,10,65,4
2020-01-16,28,17,0.0,8.7,6,6,54,11:12 PM,10:46 AM,06:30 AM,05:21 PM,9,22,22,22,12,6,46,0.0,1014,28,10,162,7
2020-01-17,29,18,0.0,8.7,6,6,47,No moonrise,11:26 AM,06:30 AM,05:22 PM,8,23,23,23,10,4,42,0.0,1015,29,10,168,6
2020-01-18,27,17,0.0,8.7,6,6,40,12:11 AM,12:05 PM,06:30 AM,05:22 PM,11,21,21,21,12,26,54,0.0,1015,27,10,124,8
2020-01-19,23,15,0.0,7.2,4,4,32,01:12 AM,12:46 PM,06:30 AM,05:23 PM,13,19,19,19,13,56,71,4.5,1016,23,10,132,9
2020-01-20,24,14,0.0,8.7,5,5,25,02:11 AM,01:31 PM,06:30 AM,05:24 PM,7,18,18,18,12,9,52,0.0,1017,24,10,311,8
2020-01-21,24,12,0.0,4.1,4,4,18,03:12 AM,02:18 PM,06:30 AM,05:25 PM,5,18,18,18,8,55,45,0.0,1019,24,10,286,5
