date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,11,0.0,8.7,4,4,37,11:20 AM,11:04 PM,07:05 AM,05:29 PM,2,14,14,14,13,16,44,0.0,1020,19,10,96,8
2020-01-02,19,13,0.0,7.1,4,4,44,11:51 AM,11:56 PM,07:05 AM,05:30 PM,9,16,16,16,15,43,62,0.1,1020,19,9,55,9
2020-01-03,19,13,0.0,5.5,4,4,51,12:21 PM,No moonset,07:05 AM,05:30 PM,12,16,16,16,14,53,79,5.3,1017,19,10,77,9
2020-01-04,21,12,0.0,8.7,5,5,59,12:52 PM,12:47 AM,07:06 AM,05:31 PM,11,16,16,16,11,21,75,0.0,1015,21,9,219,7
2020-01-05,20,13,0.0,8.7,5,5,66,01:24 PM,01:40 AM,07:06 AM,05:32 PM,7,15,15,15,20,9,58,0.0,1016,20,10,301,12
2020-01-06,21,12,0.0,8.7,4,4,73,01:59 PM,02:34 AM,07:06 AM,05:33 PM,6,15,16,15,21,44,53,0.0,1017,21,10,306,13
2020-01-07,20,14,0.0,5.5,4,4,80,02:38 PM,03:30 AM,07:06 AM,05:33 PM,10,16,16,16,15,54,70,0.2,1017,20,10,38,9
2020-01-08,19,13,0.0,7.1,4,4,88,03:23 PM,04:29 AM,07:06 AM,05:34 PM,11,15,15,15,18,57,76,0.1,1015,19,10,129,12
2020-01-09,18,10,0.0,8.7,4,4,95,04:13 PM,05:30 AM,07:06 AM,05:35 PM,8,13,13,13,19,16,71,0.2,1017,18,10,317,13
2020-01-10,20,9,0.0,8.7,4,4,100,05:11 PM,06:30 AM,07:06 AM,05:36 PM,6,12,13,12,20,4,63,0.0,1017,20,10,290,13
2020-01-11,20,7,0.0,8.7,4,4,100,06:14 PM,07:29 AM,07:07 AM,05:36 PM,6,12,13,12,14,15,63,0.0,1018,20,10,285,9
2020-01-12,21,10,0.0,8.7,5,5,83,07:20 PM,08:22 AM,07:07 AM,05:37 PM,7,15,16,15,13,5,57,0.0,1015,21,10,285,9
2020-01-13,22,15,0.0,8.7,5,5,76,08:27 PM,09:12 AM,07:07 AM,05:38 PM,8,17,18,17,14,29,53,0.6,1012,22,10,133,9
