date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,8.7,4,4,37,11:25 AM,11:09 PM,07:11 AM,05:33 PM,1,12,13,12,15,11,44,0.0,1020,19,10,101,9
2020-01-02,21,11,0.0,8.7,5,5,44,11:56 AM,No moonset,07:11 AM,05:34 PM,7,15,15,15,13,26,58,0.0,1020,21,10,91,8
2020-01-03,20,13,0.0,5.5,4,4,51,12:26 PM,12:01 AM,07:11 AM,05:35 PM,11,16,16,16,9,48,74,3.0,1017,20,10,97,6
2020-01-04,21,13,0.0,7.1,4,4,59,12:57 PM,12:52 AM,07:12 AM,05:35 PM,10,16,17,16,9,26,67,0.4,1016,21,10,290,5
2020-01-05,21,12,0.0,8.7,5,5,66,01:29 PM,01:45 AM,07:12 AM,05:36 PM,6,15,15,15,16,12,54,0.0,1017,21,10,297,10
2020-01-06,18,12,0.0,8.7,5,5,73,02:04 PM,02:39 AM,07:12 AM,05:37 PM,6,14,15,14,15,51,57,0.0,1018,18,10,339,9
2020-01-07,19,14,0.0,7.1,4,4,80,02:42 PM,03:36 AM,07:12 AM,05:38 PM,10,15,15,15,14,60,73,0.9,1017,19,9,60,9
2020-01-08,19,11,0.0,7.1,4,4,88,03:27 PM,04:35 AM,07:12 AM,05:38 PM,10,14,14,14,20,58,79,20.3,1015,19,7,145,13
2020-01-09,18,9,0.0,8.7,4,4,95,04:18 PM,05:36 AM,07:12 AM,05:39 PM,7,12,13,12,17,1,70,0.0,1018,18,10,315,12
2020-01-10,19,9,0.0,8.7,4,4,100,05:16 PM,06:36 AM,07:12 AM,05:40 PM,5,12,13,12,18,6,60,0.0,1018,19,10,305,12
2020-01-11,19,8,0.0,8.7,4,4,100,06:18 PM,07:35 AM,07:12 AM,05:41 PM,4,12,13,12,15,12,56,0.0,1018,19,10,295,9
2020-01-12,22,9,0.0,8.7,5,5,83,07:25 PM,08:28 AM,07:12 AM,05:41 PM,5,15,16,15,11,7,49,0.0,1015,22,10,272,7
2020-01-13,20,12,0.0,7.1,4,4,76,08:32 PM,09:18 AM,07:12 AM,05:42 PM,8,15,16,15,14,44,60,4.0,1012,20,10,143,9
2020-01-14,21,12,0.0,8.7,5,5,69,09:38 PM,10:02 AM,07:12 AM,05:43 PM,11,15,16,15,12,23,76,0.0,1015,21,10,163,7
2020-01-15,22,12,0.0,8.7,5,5,61,10:43 PM,10:42 AM,07:12 AM,05:44 PM,9,15,16,15,13,29,67,0.0,1015,22,10,228,7
2020-01-16,16,12,0.0,3.9,3,3,54,11:46 PM,11:20 AM,07:12 AM,05:45 PM,12,14,14,14,12,88,89,26.8,1014,16,8,90,7
2020-01-17,19,13,0.0,5.5,4,4,47,No moonrise,11:57 AM,07:12 AM,05:46 PM,13,15,15,15,10,61,85,3.9,1016,19,10,310,7
2020-01-18,19,11,0.0,5.5,4,4,40,12:48 AM,12:34 PM,07:12 AM,05:46 PM,11,14,14,14,10,59,80,0.8,1018,19,8,336,6
2020-01-19,20,12,0.0,8.7,5,5,32,01:51 AM,01:14 PM,07:12 AM,05:47 PM,7,14,14,14,14,2,65,0.0,1018,20,10,295,10
2020-01-20,20,10,0.0,8.7,4,4,25,02:53 AM,01:56 PM,07:11 AM,05:48 PM,8,13,14,13,11,17,68,0.0,1017,20,10,287,7
2020-01-21,22,12,0.0,8.7,5,5,18,03:54 AM,02:42 PM,07:11 AM,05:49 PM,7,16,16,16,7,9,57,0.0,1018,22,10,143,4
2020-01-22,22,12,0.0,8.7,5,5,11,04:54 AM,03:32 PM,07:11 AM,05:50 PM,8,15,16,15,15,1,61,0.0,1019,22,10,307,10
2020-01-23,19,10,0.0,8.7,4,4,3,05:51 AM,04:25 PM,07:11 AM,05:50 PM,5,13,14,13,27,0,57,0.0,1017,19,10,305,17
2020-01-24,20,10,0.0,8.7,4,4,0,06:43 AM,05:21 PM,07:10 AM,05:51 PM,4,14,14,14,21,0,50,0.0,1015,20,10,287,14
2020-01-25,21,12,0.0,8.7,5,5,0,07:31 AM,06:17 PM,07:10 AM,05:52 PM,5,15,15,15,10,4,52,0.0,1015,21,10,303,7
2020-01-26,22,11,0.0,8.7,5,5,4,08:12 AM,07:13 PM,07:10 AM,05:53 PM,8,16,16,16,12,6,61,0.0,1013,22,10,293,8
2020-01-27,22,12,0.0,8.7,4,4,11,08:50 AM,08:07 PM,07:09 AM,05:54 PM,10,16,17,16,9,34,67,0.3,1012,22,10,143,5
2020-01-28,19,12,0.0,5.5,4,4,18,09:24 AM,09:01 PM,07:09 AM,05:55 PM,11,15,15,15,20,68,79,4.8,1011,19,9,99,12
