date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,18,0.0,5.5,5,5,37,11:26 AM,11:21 PM,07:01 AM,05:56 PM,15,23,23,22,17,53,67,0.6,1014,30,9,237,12
2020-01-02,27,17,0.0,8.7,5,5,44,12:00 PM,No moonset,07:02 AM,05:57 PM,14,21,21,21,16,53,70,0.7,1015,27,9,133,11
2020-01-03,24,17,0.0,5.5,5,5,51,12:33 PM,12:09 AM,07:02 AM,05:57 PM,14,20,21,20,11,53,68,0.2,1015,24,10,141,7
2020-01-04,25,16,0.0,8.7,6,6,59,01:07 PM,12:57 AM,07:02 AM,05:58 PM,12,20,20,20,13,17,61,0.0,1014,25,10,38,9
2020-01-05,25,16,0.0,8.7,6,6,66,01:43 PM,01:47 AM,07:02 AM,05:58 PM,8,19,20,19,17,4,50,0.0,1016,25,10,76,11
2020-01-06,28,16,0.0,8.7,6,6,73,02:20 PM,02:38 AM,07:03 AM,05:59 PM,8,22,22,21,18,6,46,0.0,1017,28,10,155,11
2020-01-07,30,18,0.0,11.0,6,6,80,03:02 PM,03:32 AM,07:03 AM,06:00 PM,13,24,24,24,18,28,52,0.0,1014,30,10,206,12
2020-01-08,29,21,0.0,7.0,6,6,88,03:49 PM,04:27 AM,07:03 AM,06:00 PM,14,26,26,24,17,50,55,1.0,1012,29,10,260,11
2020-01-09,26,16,0.0,11.0,6,6,95,04:42 PM,05:26 AM,07:03 AM,06:01 PM,9,20,20,20,18,9,51,0.0,1015,26,10,248,12
2020-01-10,24,15,0.0,11.0,5,5,100,05:40 PM,06:26 AM,07:04 AM,06:02 PM,7,18,19,18,18,0,48,0.0,1017,24,10,65,12
2020-01-11,28,15,0.0,11.0,6,6,100,06:42 PM,07:25 AM,07:04 AM,06:02 PM,6,20,21,20,17,4,41,0.0,1017,28,10,106,10
2020-01-12,30,18,0.0,11.0,6,6,83,07:46 PM,08:20 AM,07:04 AM,06:03 PM,7,22,22,22,15,0,38,0.0,1015,30,10,72,9
2020-01-13,30,19,0.0,11.0,7,7,76,08:50 PM,09:12 AM,07:04 AM,06:04 PM,8,24,24,24,17,3,39,0.0,1012,30,10,209,10
2020-01-14,30,18,0.0,11.0,6,6,69,09:52 PM,10:00 AM,07:04 AM,06:04 PM,11,24,24,23,10,9,49,0.0,1012,30,10,33,6
2020-01-15,29,19,0.0,11.0,7,7,61,10:53 PM,10:44 AM,07:04 AM,06:05 PM,11,24,24,24,15,22,44,0.0,1011,29,10,178,11
2020-01-16,26,18,0.0,11.0,6,6,54,11:52 PM,11:26 AM,07:04 AM,06:06 PM,7,21,22,21,18,13,44,0.0,1012,26,10,251,12
2020-01-17,26,13,0.0,11.0,6,6,47,No moonrise,12:07 PM,07:04 AM,06:06 PM,3,19,21,19,13,9,35,0.0,1014,26,10,329,8
2020-01-18,29,16,0.0,11.0,6,6,40,12:50 AM,12:48 PM,07:04 AM,06:07 PM,8,22,22,22,11,8,43,0.0,1014,29,10,163,7
2020-01-19,29,18,0.0,11.0,6,6,32,01:49 AM,01:31 PM,07:04 AM,06:08 PM,11,22,22,22,13,9,51,0.0,1014,29,10,134,8
2020-01-20,30,18,0.0,11.0,6,6,25,02:47 AM,02:16 PM,07:04 AM,06:08 PM,12,25,25,24,14,9,53,0.0,1015,30,10,205,9
2020-01-21,30,20,0.0,11.1,7,7,18,03:47 AM,03:04 PM,07:04 AM,06:09 PM,14,25,25,25,20,33,53,0.0,1014,30,10,200,13
2020-01-22,30,22,0.0,11.1,7,7,11,04:44 AM,03:56 PM,07:04 AM,06:10 PM,11,26,26,26,15,21,42,0.0,1015,30,10,211,10
2020-01-23,30,19,0.0,11.1,7,7,3,05:41 AM,04:49 PM,07:04 AM,06:10 PM,11,25,25,24,13,8,47,0.0,1015,30,10,249,8
2020-01-24,32,19,0.0,11.1,7,7,0,06:33 AM,05:45 PM,07:04 AM,06:11 PM,11,24,24,24,14,4,45,0.0,1015,32,10,270,9
2020-01-25,32,21,0.0,11.1,7,7,0,07:22 AM,06:39 PM,07:03 AM,06:11 PM,9,26,26,25,13,4,37,0.0,1014,32,10,322,8
2020-01-26,32,21,0.0,11.1,7,7,4,08:06 AM,07:32 PM,07:03 AM,06:12 PM,6,25,25,25,11,4,29,0.0,1013,32,10,245,7
2020-01-27,34,21,0.0,11.1,7,7,11,08:46 AM,08:23 PM,07:03 AM,06:13 PM,8,27,27,26,21,12,33,0.0,1010,34,10,223,14
2020-01-28,30,19,0.0,11.1,6,6,18,09:23 AM,09:14 PM,07:03 AM,06:13 PM,7,23,23,23,23,7,38,0.0,1011,30,10,269,15
2020-01-29,24,16,0.0,11.1,5,5,26,09:58 AM,10:02 PM,07:03 AM,06:14 PM,12,20,21,20,14,26,61,0.0,1014,24,10,317,10
2020-01-30,26,16,0.0,11.1,6,6,33,10:31 AM,10:50 PM,07:02 AM,06:15 PM,6,21,21,21,15,2,41,0.0,1015,26,10,238,9
2020-01-31,29,16,0.0,11.1,6,6,37,11:05 AM,11:39 PM,07:02 AM,06:15 PM,5,22,22,22,18,3,36,0.0,1012,29,10,169,11
2020-02-01,28,18,0.0,11.1,5,5,49,11:39 AM,No moonset,07:02 AM,06:16 PM,9,22,22,22,17,25,43,0.0,1013,28,10,64,11
2020-02-02,29,17,0.0,11.2,6,6,57,12:15 PM,12:28 AM,07:01 AM,06:16 PM,8,22,22,22,25,30,41,0.0,1015,29,10,89,16
2020-02-03,31,18,0.0,8.6,6,6,64,12:54 PM,01:19 AM,07:01 AM,06:17 PM,12,24,24,24,18,35,50,0.1,1014,31,10,139,12
