date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,9,0.0,7.1,4,4,37,11:31 AM,11:12 PM,07:21 AM,05:32 PM,-1,12,12,12,10,36,41,0.0,1023,18,10,152,6
2020-01-02,20,10,0.0,5.4,4,4,44,12:01 PM,No moonset,07:21 AM,05:33 PM,3,14,14,14,11,54,50,1.2,1023,20,10,285,5
2020-01-03,19,11,0.0,3.8,3,3,51,12:30 PM,12:05 AM,07:21 AM,05:34 PM,7,13,13,13,10,47,65,1.7,1019,19,10,254,6
2020-01-04,18,10,0.0,3.8,3,3,59,01:00 PM,12:58 AM,07:21 AM,05:34 PM,7,12,13,12,12,43,70,2.1,1018,18,10,279,7
2020-01-05,17,10,0.0,7.1,3,3,66,01:31 PM,01:51 AM,07:21 AM,05:35 PM,3,12,13,12,18,31,54,0.0,1018,17,10,315,11
2020-01-06,15,4,0.0,3.8,3,3,73,02:05 PM,02:46 AM,07:21 AM,05:36 PM,4,10,11,10,21,66,63,7.9,1020,15,9,215,12
2020-01-07,13,11,0.0,3.8,3,3,80,02:43 PM,03:44 AM,07:22 AM,05:37 PM,10,11,12,11,18,88,90,23.2,1017,13,8,130,11
2020-01-08,10,6,0.0,3.8,2,2,88,03:27 PM,04:44 AM,07:22 AM,05:38 PM,8,8,9,8,14,68,90,57.3,1015,10,7,112,8
2020-01-09,15,6,0.0,8.7,4,4,95,04:17 PM,05:46 AM,07:22 AM,05:38 PM,5,8,9,8,15,2,72,0.0,1020,15,10,306,9
2020-01-10,16,7,0.0,8.7,4,4,100,05:14 PM,06:46 AM,07:22 AM,05:39 PM,3,9,10,9,16,4,62,0.0,1019,16,10,307,10
2020-01-11,17,7,0.0,8.7,4,4,100,06:18 PM,07:45 AM,07:22 AM,05:40 PM,2,10,11,10,13,39,56,0.0,1019,17,10,297,7
2020-01-12,20,10,0.0,8.7,5,5,83,07:25 PM,08:38 AM,07:22 AM,05:41 PM,6,14,14,14,15,29,60,0.0,1016,20,10,250,8
2020-01-13,16,8,0.0,3.8,3,3,76,08:33 PM,09:26 AM,07:22 AM,05:42 PM,9,11,13,11,27,82,80,29.4,1012,16,8,158,17
2020-01-14,17,10,0.0,7.1,3,3,69,09:40 PM,10:09 AM,07:21 AM,05:43 PM,10,13,13,13,10,66,84,0.4,1017,17,10,299,6
2020-01-15,17,9,0.0,7.1,3,3,61,10:46 PM,10:48 AM,07:21 AM,05:43 PM,10,13,13,13,9,50,81,0.5,1017,17,10,230,6
2020-01-16,17,10,0.0,5.5,3,3,54,11:51 PM,11:25 AM,07:21 AM,05:44 PM,9,12,12,12,15,59,83,22.5,1016,17,9,224,8
2020-01-17,18,9,0.0,7.1,3,3,47,No moonrise,12:00 PM,07:21 AM,05:45 PM,9,13,13,13,8,70,77,10.0,1017,18,8,276,5
2020-01-18,17,10,0.0,5.5,3,3,40,12:54 AM,12:36 PM,07:21 AM,05:46 PM,9,12,13,12,9,65,81,7.9,1018,17,10,283,5
2020-01-19,17,9,0.0,8.7,4,4,32,01:58 AM,01:15 PM,07:21 AM,05:47 PM,7,11,12,11,12,7,74,0.0,1018,17,10,302,7
2020-01-20,18,9,0.0,8.7,3,3,25,03:01 AM,01:56 PM,07:20 AM,05:48 PM,5,12,13,12,14,40,60,0.0,1017,18,10,286,8
2020-01-21,19,11,0.0,8.7,3,3,18,04:04 AM,02:41 PM,07:20 AM,05:49 PM,6,13,13,13,11,46,62,0.1,1019,19,10,217,6
2020-01-22,19,9,0.0,8.7,4,4,11,05:04 AM,03:31 PM,07:20 AM,05:49 PM,6,12,12,12,16,7,66,0.0,1021,19,10,300,10
2020-01-23,17,7,0.0,8.7,4,4,3,06:01 AM,04:24 PM,07:19 AM,05:50 PM,4,9,10,9,28,0,66,0.0,1018,17,10,311,16
2020-01-24,19,7,0.0,8.7,4,4,0,06:53 AM,05:20 PM,07:19 AM,05:51 PM,3,10,11,10,27,2,55,0.0,1015,19,10,311,16
2020-01-25,18,7,0.0,8.7,4,4,0,07:40 AM,06:17 PM,07:19 AM,05:52 PM,5,12,12,12,8,13,63,0.0,1016,18,10,250,5
2020-01-26,20,9,0.0,8.7,4,4,4,08:21 AM,07:14 PM,07:18 AM,05:53 PM,8,13,13,13,16,6,70,0.0,1014,20,10,303,10
2020-01-27,19,10,0.0,8.7,4,4,11,08:58 AM,08:09 PM,07:18 AM,05:54 PM,8,14,14,14,11,55,67,0.3,1012,19,10,118,7
2020-01-28,14,11,0.0,3.9,3,3,18,09:31 AM,09:03 PM,07:17 AM,05:55 PM,10,12,12,12,16,91,84,20.7,1010,14,8,77,9
2020-01-29,17,10,0.0,3.9,3,3,26,10:01 AM,09:56 PM,07:17 AM,05:56 PM,9,12,12,12,13,65,81,13.6,1017,17,8,237,7
2020-01-30,17,8,0.0,8.7,4,4,33,10:30 AM,10:48 PM,07:16 AM,05:56 PM,7,10,11,10,21,2,75,0.0,1018,17,10,307,13
2020-01-31,16,7,0.0,8.7,4,4,37,11:00 AM,11:41 PM,07:16 AM,05:57 PM,6,10,11,10,12,17,73,0.0,1015,16,10,268,7
2020-02-01,17,8,0.0,8.7,4,4,49,11:30 AM,No moonset,07:15 AM,05:58 PM,6,11,11,11,14,3,72,0.0,1018,17,10,300,9
2020-02-02,18,6,0.0,8.7,4,4,57,12:01 PM,12:35 AM,07:14 AM,05:59 PM,6,11,12,11,16,0,68,0.0,1019,18,10,307,10
2020-02-03,18,9,0.0,10.9,4,4,64,12:36 PM,01:31 AM,07:14 AM,06:00 PM,5,13,13,13,10,0,61,0.0,1018,18,10,291,7
2020-02-04,18,9,0.0,10.1,3,3,72,01:17 PM,02:28 AM,07:13 AM,06:01 PM,6,12,13,12,12,22,63,0.0,1018,18,10,230,7
2020-02-05,18,9,0.0,10.9,4,4,79,02:02 PM,03:27 AM,07:12 AM,06:02 PM,7,12,12,12,17,3,69,0.0,1017,18,10,299,10
2020-02-06,17,9,0.0,10.9,4,4,87,02:56 PM,04:27 AM,07:12 AM,06:02 PM,6,12,12,12,13,2,69,0.0,1016,17,10,287,8
2020-02-07,17,8,0.0,10.1,3,3,95,03:56 PM,05:27 AM,07:11 AM,06:03 PM,5,11,12,11,13,19,65,0.1,1020,17,10,290,8
2020-02-08,19,10,0.0,10.9,4,4,100,05:03 PM,06:23 AM,07:10 AM,06:04 PM,6,13,13,13,12,0,63,0.0,1022,19,10,301,7
2020-02-09,21,10,0.0,11.0,5,5,100,06:12 PM,07:15 AM,07:09 AM,06:05 PM,4,14,14,14,9,0,51,0.0,1021,21,10,259,5
2020-02-10,19,10,0.0,11.0,4,4,83,07:22 PM,08:01 AM,07:09 AM,06:06 PM,6,13,13,13,12,6,62,0.0,1019,19,10,289,8
2020-02-11,20,10,0.0,10.1,4,4,75,08:31 PM,08:43 AM,07:08 AM,06:07 PM,8,14,14,14,12,36,68,0.0,1019,20,10,298,8
2020-02-12,24,11,0.0,11.0,5,5,68,09:39 PM,09:22 AM,07:07 AM,06:07 PM,8,16,17,16,25,7,59,0.0,1019,24,10,312,15
2020-02-13,28,15,0.0,11.0,6,6,60,10:45 PM,09:59 AM,07:06 AM,06:08 PM,11,19,20,19,32,9,58,0.0,1016,28,10,315,18
2020-02-14,22,13,0.0,11.0,5,5,53,11:51 PM,10:36 AM,07:05 AM,06:09 PM,10,16,17,16,31,1,66,0.0,1013,22,10,308,19
2020-02-15,24,11,0.0,11.1,5,5,45,No moonrise,11:15 AM,07:04 AM,06:10 PM,9,16,16,16,27,0,62,0.0,1013,24,10,308,16
2020-02-16,25,13,0.0,11.1,5,5,38,12:55 AM,11:55 AM,07:03 AM,06:11 PM,7,17,18,17,16,5,50,0.0,1017,25,10,302,9
2020-02-17,24,13,0.0,11.1,5,5,30,01:58 AM,12:39 PM,07:03 AM,06:12 PM,6,17,17,17,20,2,49,0.0,1017,24,10,306,12
2020-02-18,24,11,0.0,11.1,5,5,22,02:59 AM,01:28 PM,07:02 AM,06:12 PM,6,17,17,17,18,14,50,0.0,1014,24,10,303,11
2020-02-19,23,12,0.0,8.6,4,4,15,03:57 AM,02:19 PM,07:01 AM,06:13 PM,6,17,18,17,26,47,47,0.0,1014,23,10,142,16
