date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,6,0.0,5.5,3,3,37,11:32 AM,11:16 PM,07:18 AM,05:39 PM,-2,11,11,11,14,40,40,0.0,1021,18,10,99,8
2020-01-02,21,10,0.0,8.7,5,5,44,12:02 PM,No moonset,07:18 AM,05:40 PM,4,14,14,14,14,20,51,0.0,1021,21,10,84,8
2020-01-03,22,11,0.0,8.7,5,5,51,12:32 PM,12:07 AM,07:18 AM,05:41 PM,7,16,16,16,12,8,55,0.0,1018,22,10,321,8
2020-01-04,21,12,0.0,8.7,5,5,59,01:03 PM,12:59 AM,07:18 AM,05:41 PM,4,16,16,16,10,12,46,0.0,1017,21,10,271,6
2020-01-05,21,12,0.0,8.7,5,5,66,01:35 PM,01:52 AM,07:19 AM,05:42 PM,5,16,16,16,11,22,49,0.0,1017,21,10,296,7
2020-01-06,17,13,0.0,8.7,4,4,73,02:10 PM,02:46 AM,07:19 AM,05:43 PM,7,14,14,14,16,48,61,0.0,1019,17,10,54,11
2020-01-07,17,12,0.0,3.8,4,4,80,02:49 PM,03:43 AM,07:19 AM,05:44 PM,10,14,15,14,15,65,75,1.2,1017,17,7,100,10
2020-01-08,19,11,0.0,3.8,3,3,88,03:33 PM,04:42 AM,07:19 AM,05:44 PM,10,14,14,14,11,56,83,4.9,1015,19,9,209,7
2020-01-09,18,9,0.0,8.7,4,4,95,04:24 PM,05:43 AM,07:19 AM,05:45 PM,6,13,13,13,11,3,65,0.0,1019,18,9,330,8
2020-01-10,18,8,0.0,8.7,4,4,100,05:22 PM,06:43 AM,07:19 AM,05:46 PM,1,11,12,11,17,6,47,0.0,1020,18,10,328,10
2020-01-11,20,7,0.0,8.7,4,4,100,06:25 PM,07:42 AM,07:19 AM,05:47 PM,-2,13,13,13,12,17,37,0.0,1019,20,10,328,7
2020-01-12,24,10,0.0,8.7,5,5,83,07:31 PM,08:35 AM,07:19 AM,05:47 PM,-0,16,16,16,11,12,36,0.0,1016,24,10,289,7
2020-01-13,20,7,0.0,3.9,3,3,76,08:38 PM,09:25 AM,07:19 AM,05:48 PM,7,13,14,13,20,67,66,12.5,1011,20,9,230,11
2020-01-14,20,11,0.0,8.7,5,5,69,09:45 PM,10:08 AM,07:19 AM,05:49 PM,9,14,14,14,12,1,75,0.0,1016,20,10,338,8
2020-01-15,19,11,0.0,8.7,4,4,61,10:49 PM,10:49 AM,07:19 AM,05:50 PM,6,13,14,13,12,12,63,0.0,1016,19,10,242,7
2020-01-16,17,10,0.0,3.9,3,3,54,11:53 PM,11:27 AM,07:19 AM,05:51 PM,7,13,13,13,14,71,66,1.9,1015,17,10,235,9
2020-01-17,19,10,0.0,8.7,4,4,47,No moonrise,12:03 PM,07:19 AM,05:51 PM,8,13,14,13,11,35,70,0.0,1017,19,9,236,6
2020-01-18,21,11,0.0,8.7,5,5,40,12:55 AM,12:41 PM,07:19 AM,05:52 PM,5,15,15,15,9,4,52,0.0,1018,21,10,304,6
2020-01-19,19,11,0.0,8.7,4,4,32,01:58 AM,01:20 PM,07:18 AM,05:53 PM,4,14,14,14,11,3,51,0.0,1019,19,10,305,7
2020-01-20,20,10,0.0,8.7,5,5,25,03:00 AM,02:02 PM,07:18 AM,05:54 PM,5,14,14,14,8,14,56,0.0,1018,20,10,300,5
2020-01-21,21,11,0.0,8.7,5,5,18,04:01 AM,02:48 PM,07:18 AM,05:55 PM,6,15,15,15,13,22,55,0.0,1018,21,10,104,8
2020-01-22,20,11,0.0,8.7,5,5,11,05:01 AM,03:38 PM,07:18 AM,05:55 PM,7,14,15,14,16,2,60,0.0,1020,20,10,336,10
2020-01-23,20,9,0.0,8.7,4,4,3,05:58 AM,04:31 PM,07:17 AM,05:56 PM,3,12,13,12,26,0,51,0.0,1019,20,10,312,16
2020-01-24,21,8,0.0,8.7,4,4,0,06:50 AM,05:27 PM,07:17 AM,05:57 PM,0,13,14,13,27,0,41,0.0,1017,21,10,291,16
