date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,23,0.0,4.2,6,6,37,11:04 AM,11:09 PM,06:31 AM,05:55 PM,22,28,28,26,15,73,79,4.9,1014,29,10,92,10
2020-01-02,30,23,0.0,5.7,6,6,44,11:42 AM,11:55 PM,06:32 AM,05:56 PM,22,29,29,26,14,43,79,0.8,1015,30,10,92,10
2020-01-03,30,24,0.0,5.7,6,6,51,12:18 PM,No moonset,06:32 AM,05:56 PM,23,29,29,27,12,53,80,0.6,1013,30,10,128,8
2020-01-04,30,24,0.0,8.7,6,6,59,12:54 PM,12:40 AM,06:32 AM,05:57 PM,23,29,29,27,13,32,80,0.0,1012,30,10,148,9
2020-01-05,30,24,0.0,4.2,6,6,66,01:33 PM,01:27 AM,06:33 AM,05:57 PM,22,29,29,27,15,64,76,3.5,1012,30,9,110,10
2020-01-06,29,23,0.0,4.2,6,6,73,02:13 PM,02:14 AM,06:33 AM,05:58 PM,22,28,28,26,19,77,80,4.9,1014,29,10,81,13
2020-01-07,28,22,0.0,5.7,6,6,80,02:58 PM,03:05 AM,06:33 AM,05:59 PM,21,28,28,25,24,69,78,5.9,1014,28,10,73,16
2020-01-08,28,23,0.0,7.2,7,7,88,03:47 PM,03:59 AM,06:34 AM,05:59 PM,19,27,27,25,18,41,72,0.5,1013,28,10,60,12
2020-01-09,29,22,0.0,11.6,7,7,95,04:41 PM,04:56 AM,06:34 AM,06:00 PM,18,27,27,25,13,1,66,0.0,1013,29,10,79,10
2020-01-10,28,21,0.0,11.6,7,7,100,05:40 PM,05:55 AM,06:34 AM,06:00 PM,18,26,26,24,16,10,70,0.0,1013,28,10,62,11
2020-01-11,28,21,0.0,11.6,7,7,100,06:40 PM,06:54 AM,06:35 AM,06:01 PM,18,25,25,24,19,33,73,0.0,1014,28,10,54,13
2020-01-12,28,20,0.0,8.7,6,6,83,07:43 PM,07:51 AM,06:35 AM,06:01 PM,20,26,26,24,19,55,78,1.3,1013,28,10,65,13
2020-01-13,28,21,0.0,7.3,6,6,76,08:43 PM,08:45 AM,06:35 AM,06:02 PM,20,26,26,24,17,61,75,2.3,1012,28,9,64,12
