date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,22,12,0.0,4.1,4,4,37,11:16 AM,11:09 PM,06:53 AM,05:42 PM,12,16,17,16,19,73,77,4.2,1016,22,10,159,12
2020-01-02,22,13,0.0,4.1,4,4,44,11:49 AM,11:58 PM,06:53 AM,05:43 PM,14,16,17,16,15,76,84,18.2,1017,22,9,172,9
2020-01-03,22,14,0.0,7.2,4,4,51,12:22 PM,No moonset,06:54 AM,05:43 PM,14,17,18,17,10,66,81,5.3,1015,22,10,243,7
2020-01-04,21,13,0.0,7.2,4,4,59,12:55 PM,12:46 AM,06:54 AM,05:44 PM,11,16,16,16,16,51,75,0.8,1015,21,10,128,10
2020-01-05,20,11,0.0,8.7,5,5,66,01:30 PM,01:37 AM,06:54 AM,05:45 PM,7,14,15,14,22,1,60,0.0,1016,20,10,45,13
2020-01-06,23,12,0.0,8.7,5,5,73,02:07 PM,02:28 AM,06:55 AM,05:45 PM,6,16,17,16,12,2,51,0.0,1018,23,10,104,7
2020-01-07,24,15,0.0,8.7,5,5,80,02:48 PM,03:22 AM,06:55 AM,05:46 PM,10,19,19,19,10,21,56,0.0,1015,24,10,213,7
2020-01-08,21,16,0.0,4.1,4,4,88,03:35 PM,04:18 AM,06:55 AM,05:47 PM,15,19,19,19,16,74,81,20.1,1012,21,8,201,9
2020-01-09,21,12,0.0,8.7,5,5,95,04:27 PM,05:18 AM,06:55 AM,05:47 PM,10,15,16,15,24,13,67,0.0,1015,21,10,127,15
2020-01-10,19,8,0.0,8.7,4,4,100,05:25 PM,06:17 AM,06:55 AM,05:48 PM,3,11,12,11,23,0,56,0.0,1018,19,10,24,14
2020-01-11,24,9,0.0,8.7,5,5,100,06:27 PM,07:16 AM,06:55 AM,05:49 PM,2,16,16,16,11,0,42,0.0,1018,24,10,133,6
2020-01-12,26,14,0.0,8.7,6,6,83,07:32 PM,08:12 AM,06:56 AM,05:49 PM,2,19,19,19,6,1,34,0.0,1016,26,10,157,4
2020-01-13,26,16,0.0,8.7,6,6,76,08:36 PM,09:03 AM,06:56 AM,05:50 PM,5,20,20,20,10,0,38,0.0,1012,26,10,212,7
2020-01-14,26,16,0.0,8.7,6,6,69,09:40 PM,09:50 AM,06:56 AM,05:51 PM,7,20,20,20,7,6,42,0.0,1013,26,10,201,4
2020-01-15,25,16,0.0,8.7,6,6,61,10:40 PM,10:33 AM,06:56 AM,05:51 PM,8,20,20,20,14,12,48,0.0,1013,25,10,176,9
2020-01-16,24,15,0.0,7.2,4,4,54,11:41 PM,11:15 AM,06:56 AM,05:52 PM,12,19,20,19,19,46,64,2.0,1012,24,10,191,14
2020-01-17,24,16,0.0,7.2,4,4,47,No moonrise,11:55 AM,06:56 AM,05:53 PM,12,19,19,19,12,69,67,1.1,1014,24,10,175,8
2020-01-18,23,15,0.0,4.1,4,4,40,12:40 AM,12:35 PM,06:56 AM,05:54 PM,12,18,19,18,17,62,70,2.8,1015,23,10,192,10
2020-01-19,22,13,0.0,4.1,4,4,32,01:39 AM,01:18 PM,06:56 AM,05:54 PM,11,16,17,16,21,54,70,0.8,1016,22,10,123,13
2020-01-20,24,11,0.0,8.7,5,5,25,02:38 AM,02:02 PM,06:56 AM,05:55 PM,7,17,19,17,15,13,52,0.0,1016,24,10,226,9
2020-01-21,26,15,0.0,8.7,5,5,18,03:38 AM,02:50 PM,06:55 AM,05:56 PM,12,20,21,20,12,40,60,0.4,1016,26,10,210,8
2020-01-22,27,18,0.0,4.1,5,5,11,04:36 AM,03:42 PM,06:55 AM,05:56 PM,15,22,22,22,14,58,67,1.2,1016,27,10,223,10
2020-01-23,25,15,0.0,8.7,6,6,3,05:33 AM,04:35 PM,06:55 AM,05:57 PM,11,20,21,20,20,28,59,0.2,1016,25,10,113,12
2020-01-24,26,13,0.0,8.7,6,6,0,06:25 AM,05:30 PM,06:55 AM,05:58 PM,7,19,19,19,18,2,46,0.0,1016,26,10,298,11
2020-01-25,26,15,0.0,8.7,6,6,0,07:13 AM,06:24 PM,06:55 AM,05:58 PM,7,19,20,19,17,0,45,0.0,1015,26,10,295,10
2020-01-26,27,15,0.0,8.7,6,6,4,07:57 AM,07:19 PM,06:55 AM,05:59 PM,4,20,20,20,16,6,37,0.0,1014,27,10,338,10
2020-01-27,28,17,0.0,11.5,6,6,11,08:37 AM,08:10 PM,06:54 AM,06:00 PM,6,22,22,21,14,10,38,0.0,1011,28,10,216,9
2020-01-28,27,18,0.0,11.5,6,6,18,09:14 AM,09:01 PM,06:54 AM,06:00 PM,7,22,22,21,20,14,40,0.0,1010,27,10,223,12
2020-01-29,23,15,0.0,11.5,5,5,26,09:48 AM,09:50 PM,06:54 AM,06:01 PM,9,18,19,18,18,18,54,0.0,1014,23,10,327,11
2020-01-30,23,13,0.0,11.5,5,5,33,10:20 AM,10:39 PM,06:54 AM,06:01 PM,5,16,17,16,24,1,47,0.0,1016,23,10,234,15
2020-01-31,24,11,0.0,11.5,5,5,37,10:53 AM,11:28 PM,06:53 AM,06:02 PM,2,17,18,17,17,2,37,0.0,1014,24,10,191,10
2020-02-01,23,13,0.0,11.5,4,4,49,11:27 AM,No moonset,06:53 AM,06:03 PM,3,17,18,17,20,17,40,0.0,1015,23,10,26,12
2020-02-02,23,12,0.0,11.5,5,5,57,12:02 PM,12:18 AM,06:52 AM,06:03 PM,4,17,18,17,19,16,41,0.0,1017,23,10,81,11
2020-02-03,26,14,0.0,11.5,6,6,64,12:41 PM,01:10 AM,06:52 AM,06:04 PM,7,19,19,19,15,26,49,0.0,1016,26,10,155,10
2020-02-04,23,15,0.0,5.8,4,4,72,01:24 PM,02:04 AM,06:52 AM,06:05 PM,15,19,19,19,14,71,79,14.1,1013,23,9,221,8
2020-02-05,24,16,0.0,11.5,6,6,79,02:12 PM,03:01 AM,06:51 AM,06:05 PM,13,20,21,20,9,32,63,0.0,1014,24,10,198,6
2020-02-06,24,16,0.0,5.8,4,4,87,03:07 PM,03:59 AM,06:51 AM,06:06 PM,12,19,20,19,12,58,66,6.0,1013,24,9,129,8
2020-02-07,24,15,0.0,5.8,4,4,95,04:07 PM,04:58 AM,06:50 AM,06:06 PM,14,19,20,19,16,83,74,9.8,1014,24,8,242,10
2020-02-08,22,13,0.0,11.6,5,5,100,05:11 PM,05:56 AM,06:50 AM,06:07 PM,8,16,17,16,25,13,56,0.0,1017,22,10,37,16
2020-02-09,22,11,0.0,11.6,5,5,100,06:17 PM,06:50 AM,06:49 AM,06:08 PM,2,16,17,16,22,0,39,0.0,1019,22,10,73,13
2020-02-10,26,13,0.0,11.6,6,6,83,07:23 PM,07:40 AM,06:49 AM,06:08 PM,1,19,19,19,12,0,33,0.0,1017,26,10,213,7
2020-02-11,25,14,0.0,11.6,6,6,75,08:27 PM,08:26 AM,06:48 AM,06:09 PM,5,20,20,20,13,12,38,0.0,1017,25,10,227,8
2020-02-12,27,17,0.0,11.6,6,6,68,09:31 PM,09:10 AM,06:48 AM,06:09 PM,5,21,21,21,15,4,35,0.0,1017,27,10,331,9
2020-02-13,29,18,0.0,11.6,6,6,60,10:32 PM,09:52 AM,06:47 AM,06:10 PM,5,23,23,23,15,0,31,0.0,1015,29,10,337,9
