date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,19,0.0,7.2,5,5,37,11:20 AM,11:24 PM,06:48 AM,06:07 PM,17,25,25,24,20,63,67,0.8,1014,28,10,107,14
2020-01-02,29,20,0.0,8.7,6,6,44,11:57 AM,No moonset,06:49 AM,06:07 PM,18,26,26,25,11,56,67,1.5,1015,29,10,107,9
2020-01-03,30,21,0.0,11.6,7,7,51,12:32 PM,12:09 AM,06:49 AM,06:08 PM,16,26,26,25,12,29,58,2.3,1013,30,10,259,8
2020-01-04,31,20,0.0,11.6,7,7,59,01:09 PM,12:55 AM,06:50 AM,06:08 PM,14,26,26,25,15,9,53,0.0,1012,31,10,243,9
2020-01-05,30,20,0.0,11.6,7,7,66,01:47 PM,01:42 AM,06:50 AM,06:09 PM,15,25,25,25,20,13,56,0.0,1012,30,10,105,14
2020-01-06,28,20,0.0,7.2,5,5,73,02:26 PM,02:30 AM,06:50 AM,06:09 PM,18,24,24,23,27,72,76,0.8,1014,28,10,93,20
2020-01-07,28,21,0.0,10.1,5,5,80,03:11 PM,03:22 AM,06:51 AM,06:10 PM,18,25,25,24,23,67,71,1.4,1014,28,10,110,17
2020-01-08,30,19,0.0,11.6,7,7,88,03:59 PM,04:16 AM,06:51 AM,06:11 PM,16,26,26,25,15,22,64,0.0,1013,30,10,141,10
2020-01-09,30,20,0.0,11.6,7,7,95,04:53 PM,05:14 AM,06:51 AM,06:11 PM,15,25,25,24,16,14,59,0.0,1012,30,10,99,11
2020-01-10,28,20,0.0,10.2,5,5,100,05:51 PM,06:12 AM,06:51 AM,06:12 PM,15,24,24,23,26,26,63,0.0,1013,28,10,83,19
2020-01-11,29,18,0.0,11.6,6,6,100,06:53 PM,07:12 AM,06:52 AM,06:12 PM,14,23,23,22,26,4,61,0.0,1014,29,10,85,19
2020-01-12,28,17,0.0,11.6,6,6,83,07:55 PM,08:08 AM,06:52 AM,06:13 PM,13,23,23,22,22,7,60,0.0,1014,28,10,83,15
2020-01-13,29,18,0.0,11.6,6,6,76,08:57 PM,09:02 AM,06:52 AM,06:13 PM,12,25,25,24,14,5,53,0.0,1012,29,10,56,9
2020-01-14,29,19,0.0,11.6,6,6,69,09:56 PM,09:53 AM,06:52 AM,06:14 PM,10,24,24,24,20,4,44,0.0,1012,29,10,78,13
2020-01-15,29,18,0.0,11.6,6,6,61,10:54 PM,10:39 AM,06:52 AM,06:15 PM,8,24,24,24,21,1,42,0.0,1012,29,10,94,14
2020-01-16,29,18,0.0,11.6,6,6,54,11:50 PM,11:24 AM,06:53 AM,06:15 PM,10,23,23,23,18,1,48,0.0,1012,29,10,130,12
2020-01-17,30,18,0.0,11.6,6,6,47,No moonrise,12:08 PM,06:53 AM,06:16 PM,11,24,24,24,15,5,48,0.0,1012,30,10,143,10
2020-01-18,30,19,0.0,11.6,6,6,40,12:46 AM,12:52 PM,06:53 AM,06:16 PM,15,24,24,24,22,14,59,0.0,1012,30,10,116,16
2020-01-19,29,20,0.0,8.7,6,6,32,01:42 AM,01:38 PM,06:53 AM,06:17 PM,16,25,25,24,20,47,62,0.6,1013,29,10,96,14
2020-01-20,30,19,0.0,11.6,7,7,25,02:38 AM,02:25 PM,06:53 AM,06:17 PM,14,25,25,24,23,8,55,0.0,1013,30,10,84,15
2020-01-21,30,19,0.0,11.6,7,7,18,03:35 AM,03:15 PM,06:53 AM,06:18 PM,11,25,25,24,26,4,48,0.0,1015,30,10,92,18
2020-01-22,30,18,0.0,11.6,6,6,11,04:31 AM,04:07 PM,06:53 AM,06:18 PM,12,25,25,25,26,4,53,0.0,1015,30,10,92,19
2020-01-23,30,18,0.0,11.6,6,6,3,05:27 AM,05:01 PM,06:53 AM,06:19 PM,13,24,24,24,24,6,55,0.0,1014,30,10,97,17
2020-01-24,30,19,0.0,11.6,7,7,0,06:20 AM,05:55 PM,06:53 AM,06:19 PM,9,24,24,24,24,1,43,0.0,1014,30,10,73,16
2020-01-25,30,19,0.0,11.6,7,7,0,07:10 AM,06:48 PM,06:53 AM,06:20 PM,7,24,24,24,22,0,36,0.0,1014,30,10,79,14
2020-01-26,32,19,0.0,11.6,7,7,4,07:56 AM,07:40 PM,06:53 AM,06:20 PM,7,26,26,26,17,1,31,0.0,1012,32,10,82,10
2020-01-27,33,21,0.0,11.6,7,7,11,08:38 AM,08:29 PM,06:53 AM,06:21 PM,10,27,27,27,15,3,42,0.0,1012,33,10,135,10
2020-01-28,30,19,0.0,11.6,6,6,18,09:17 AM,09:17 PM,06:53 AM,06:21 PM,16,25,25,24,18,25,65,0.0,1012,30,10,265,13
2020-01-29,32,19,0.0,11.6,7,7,26,09:54 AM,10:03 PM,06:53 AM,06:22 PM,14,27,27,26,12,8,56,0.0,1013,32,10,182,8
2020-01-30,33,19,0.0,11.6,7,7,33,10:30 AM,10:49 PM,06:53 AM,06:22 PM,13,27,27,26,13,5,49,0.0,1012,33,10,229,8
2020-01-31,34,20,0.0,11.6,7,7,37,11:06 AM,11:35 PM,06:52 AM,06:23 PM,11,28,28,27,12,4,42,0.0,1010,34,10,220,7
2020-02-01,32,21,0.0,11.6,7,7,49,11:42 AM,No moonset,06:52 AM,06:23 PM,13,27,27,26,13,19,46,0.0,1011,32,10,227,10
2020-02-02,30,21,0.0,10.2,6,6,57,12:20 PM,12:21 AM,06:52 AM,06:24 PM,13,26,26,25,20,35,49,0.2,1013,30,10,110,14
2020-02-03,30,19,0.0,11.6,7,7,64,01:02 PM,01:11 AM,06:52 AM,06:24 PM,10,25,25,24,22,7,44,0.0,1014,30,10,85,14
2020-02-04,32,19,0.0,11.6,7,7,72,01:47 PM,02:02 AM,06:52 AM,06:25 PM,9,27,27,26,18,2,40,0.0,1012,32,10,99,11
2020-02-05,31,19,0.0,11.6,7,7,79,02:37 PM,02:57 AM,06:51 AM,06:25 PM,12,26,26,26,15,9,47,0.0,1012,31,10,84,10
2020-02-06,32,20,0.0,11.6,7,7,87,03:33 PM,03:54 AM,06:51 AM,06:25 PM,12,27,27,26,14,9,47,0.0,1012,32,10,258,10
2020-02-07,32,19,0.0,11.6,7,7,95,04:33 PM,04:53 AM,06:51 AM,06:26 PM,14,26,26,25,17,20,57,0.0,1013,32,10,245,12
2020-02-08,31,19,0.0,11.6,7,7,100,05:36 PM,05:52 AM,06:51 AM,06:26 PM,10,26,26,25,18,5,49,0.0,1013,31,10,236,12
2020-02-09,31,18,0.0,11.6,7,7,100,06:39 PM,06:48 AM,06:50 AM,06:27 PM,12,26,26,25,14,22,51,0.2,1013,31,10,116,10
2020-02-10,29,19,0.0,8.7,6,6,83,07:42 PM,07:41 AM,06:50 AM,06:27 PM,14,25,25,24,29,52,55,3.3,1013,29,10,96,20
2020-02-11,30,19,0.0,11.6,7,7,75,08:42 PM,08:31 AM,06:50 AM,06:27 PM,13,24,24,24,27,11,53,0.0,1014,30,10,87,20
2020-02-12,30,19,0.0,11.6,7,7,68,09:41 PM,09:19 AM,06:49 AM,06:28 PM,12,24,24,24,25,14,51,0.0,1015,30,10,87,19
2020-02-13,30,19,0.0,11.6,7,7,60,10:39 PM,10:04 AM,06:49 AM,06:28 PM,12,25,25,25,21,4,46,0.0,1014,30,10,66,15
2020-02-14,32,20,0.0,11.6,7,7,53,11:37 PM,10:49 AM,06:49 AM,06:28 PM,10,26,26,26,16,3,39,0.0,1013,32,10,66,10
2020-02-15,33,21,0.0,11.6,7,7,45,No moonrise,11:36 AM,06:48 AM,06:29 PM,6,29,29,28,13,0,28,0.0,1012,33,10,71,8
2020-02-16,32,20,0.0,11.6,7,7,38,12:33 AM,12:23 PM,06:48 AM,06:29 PM,5,27,27,27,23,0,27,0.0,1013,32,10,85,15
2020-02-17,32,20,0.0,11.6,7,7,30,01:31 AM,01:12 PM,06:47 AM,06:29 PM,4,26,26,26,25,0,28,0.0,1014,32,10,79,16
2020-02-18,32,19,0.0,11.6,7,7,22,02:27 AM,02:03 PM,06:47 AM,06:30 PM,7,26,26,26,23,0,34,0.0,1014,32,10,78,15
2020-02-19,31,20,0.0,11.6,7,7,15,03:23 AM,02:56 PM,06:47 AM,06:30 PM,8,26,26,26,21,0,34,0.0,1013,31,10,90,13
2020-02-20,32,18,0.0,11.6,7,7,7,04:16 AM,03:50 PM,06:46 AM,06:30 PM,7,26,26,26,26,0,36,0.0,1013,32,10,84,17
2020-02-21,32,18,0.0,11.6,7,7,0,05:06 AM,04:42 PM,06:46 AM,06:30 PM,8,25,25,25,23,0,38,0.0,1015,32,10,84,16
2020-02-22,32,19,0.0,11.6,7,7,0,05:52 AM,05:34 PM,06:45 AM,06:31 PM,9,26,26,25,24,0,41,0.0,1015,32,10,76,16
2020-02-23,32,19,0.0,11.6,7,7,0,06:35 AM,06:24 PM,06:45 AM,06:31 PM,10,26,26,26,23,1,46,0.0,1014,32,10,81,16
2020-02-24,33,19,0.0,11.6,7,7,0,07:15 AM,07:12 PM,06:44 AM,06:31 PM,9,25,25,26,23,1,43,0.0,1012,33,10,91,15
2020-02-25,34,20,0.0,11.6,7,7,8,07:53 AM,07:59 PM,06:44 AM,06:31 PM,10,28,28,27,17,5,38,0.0,1010,34,10,130,11
2020-02-26,34,20,0.0,11.6,7,7,15,08:29 AM,08:44 PM,06:43 AM,06:32 PM,12,27,27,27,15,6,45,0.0,1010,34,10,106,10
2020-02-27,30,21,0.0,11.6,7,7,23,09:05 AM,09:30 PM,06:42 AM,06:32 PM,14,27,27,26,20,17,49,0.0,1011,30,10,78,14
2020-02-28,32,20,0.0,11.6,7,7,30,09:41 AM,10:16 PM,06:42 AM,06:32 PM,13,26,26,26,22,16,49,0.0,1010,32,10,78,16
2020-02-29,32,20,0.0,10.2,7,7,38,10:17 AM,11:04 PM,06:41 AM,06:32 PM,13,27,27,26,15,29,48,0.1,1010,32,10,76,11
2020-03-01,33,21,0.0,11.6,7,7,44,10:57 AM,11:54 PM,06:41 AM,06:32 PM,14,27,27,27,16,17,48,0.0,1010,33,10,89,12
2020-03-02,31,21,0.0,11.6,7,7,51,11:40 AM,No moonset,06:40 AM,06:33 PM,15,29,29,27,11,34,55,0.1,1011,31,10,90,8
2020-03-03,34,20,0.0,11.6,7,7,58,12:26 PM,12:45 AM,06:40 AM,06:33 PM,14,28,28,27,14,30,49,0.6,1011,34,10,247,10
2020-03-04,33,21,0.0,11.6,7,7,65,01:18 PM,01:40 AM,06:39 AM,06:33 PM,13,27,27,27,19,29,44,0.0,1011,33,10,309,14
2020-03-05,33,20,0.0,11.6,7,7,73,02:14 PM,02:36 AM,06:38 AM,06:33 PM,14,27,27,26,18,20,51,0.0,1010,33,10,244,13
2020-03-06,33,20,0.0,11.6,7,7,80,03:14 PM,03:34 AM,06:38 AM,06:33 PM,14,28,28,27,24,25,50,0.0,1010,33,10,243,18
2020-03-07,32,20,0.0,11.6,7,7,87,04:17 PM,04:30 AM,06:37 AM,06:33 PM,15,27,27,26,11,31,52,0.0,1012,32,10,253,8
2020-03-08,32,20,0.0,11.6,7,7,95,05:20 PM,05:25 AM,06:36 AM,06:34 PM,16,28,28,27,10,40,53,0.2,1011,32,10,213,7
2020-03-09,34,21,0.0,11.6,7,7,100,06:22 PM,06:16 AM,06:36 AM,06:34 PM,16,28,28,27,11,36,52,0.4,1010,34,10,182,8
2020-03-10,35,22,0.0,11.6,7,7,100,07:24 PM,07:06 AM,06:35 AM,06:34 PM,15,29,29,28,14,33,47,0.1,1010,35,10,202,11
2020-03-11,32,21,0.0,11.6,7,7,84,08:24 PM,07:54 AM,06:34 AM,06:34 PM,16,29,29,28,11,32,51,0.0,1011,32,10,150,8
2020-03-12,33,21,0.0,11.6,7,7,76,09:24 PM,08:40 AM,06:34 AM,06:34 PM,15,28,28,27,14,24,49,0.0,1012,33,10,219,10
2020-03-13,35,22,0.0,11.6,8,8,69,10:23 PM,09:28 AM,06:33 AM,06:34 PM,12,29,29,29,15,15,39,0.0,1012,35,10,126,11
2020-03-14,35,22,0.0,11.6,7,7,62,11:23 PM,10:16 AM,06:32 AM,06:34 PM,11,29,29,29,14,8,36,0.0,1011,35,10,137,10
2020-03-15,35,23,0.0,11.6,8,8,55,No moonrise,11:07 AM,06:32 AM,06:35 PM,11,29,29,29,18,7,33,0.0,1010,35,10,93,13
2020-03-16,35,23,0.0,11.6,8,8,47,12:21 AM,11:59 AM,06:31 AM,06:35 PM,11,30,30,29,19,6,36,0.0,1011,35,10,110,13
2020-03-17,36,23,0.0,11.6,8,8,40,01:19 AM,12:52 PM,06:30 AM,06:35 PM,12,31,31,30,17,7,39,0.0,1012,36,10,106,12
2020-03-18,36,23,0.0,11.6,8,8,33,02:13 AM,01:46 PM,06:30 AM,06:35 PM,8,31,31,31,17,5,31,0.0,1012,36,10,103,11
2020-03-19,37,22,0.0,11.6,8,8,25,03:04 AM,02:39 PM,06:29 AM,06:35 PM,13,30,30,30,12,6,42,0.0,1011,37,10,139,8
2020-03-20,36,23,0.0,11.6,8,8,18,03:51 AM,03:31 PM,06:28 AM,06:35 PM,13,31,31,30,16,12,42,0.0,1011,36,10,222,11
2020-03-21,36,21,0.0,11.6,7,7,11,04:35 AM,04:21 PM,06:28 AM,06:35 PM,7,29,29,29,17,4,33,0.0,1011,36,10,340,11
2020-03-22,37,21,0.0,11.6,8,8,4,05:15 AM,05:09 PM,06:27 AM,06:35 PM,8,31,31,30,13,2,33,0.0,1010,37,10,28,9
2020-03-23,36,20,0.0,11.6,7,7,0,05:53 AM,05:56 PM,06:26 AM,06:35 PM,14,30,30,29,16,9,45,0.0,1010,36,10,64,11
2020-03-24,36,23,0.0,11.6,8,8,0,06:29 AM,06:42 PM,06:25 AM,06:36 PM,14,29,29,29,15,18,44,0.0,1009,36,10,120,10
2020-03-25,35,23,0.0,11.6,8,8,3,07:05 AM,07:28 PM,06:25 AM,06:36 PM,12,29,29,29,15,17,40,0.0,1009,35,10,98,11
2020-03-26,36,22,0.0,11.6,8,8,11,07:41 AM,08:13 PM,06:24 AM,06:36 PM,13,29,29,29,22,9,41,0.0,1010,36,10,85,16
2020-03-27,36,22,0.0,11.6,8,8,18,08:17 AM,09:01 PM,06:23 AM,06:36 PM,7,30,30,30,23,2,30,0.0,1011,36,10,103,15
2020-03-28,37,22,0.0,11.6,8,8,25,08:56 AM,09:50 PM,06:23 AM,06:36 PM,6,31,31,31,23,0,27,0.0,1010,37,10,95,16
2020-03-29,37,21,0.0,11.6,8,8,32,09:37 AM,10:40 PM,06:22 AM,06:36 PM,9,31,31,30,22,1,39,0.0,1009,37,10,107,15
2020-03-30,37,20,0.0,11.6,8,8,40,10:21 AM,11:33 PM,06:21 AM,06:36 PM,11,30,30,30,21,15,45,0.0,1010,37,9,95,14
2020-03-31,37,22,0.0,11.6,8,8,44,11:10 AM,No moonset,06:21 AM,06:36 PM,8,31,31,31,21,0,35,0.0,1011,37,10,102,14
2020-04-01,37,23,0.0,11.6,8,8,56,12:03 PM,12:27 AM,06:20 AM,06:36 PM,9,31,31,31,22,3,34,0.0,1010,37,10,76,15
2020-04-02,37,23,0.0,11.6,8,8,64,01:00 PM,01:23 AM,06:19 AM,06:36 PM,11,29,29,30,18,5,35,0.0,1009,37,10,103,12
2020-04-03,37,23,0.0,11.6,8,8,71,01:59 PM,02:17 AM,06:18 AM,06:37 PM,12,32,32,31,17,8,39,0.0,1010,37,10,113,11
2020-04-04,37,22,0.0,11.6,8,8,79,03:00 PM,03:11 AM,06:18 AM,06:37 PM,11,32,32,31,20,6,40,0.0,1010,37,10,106,13
