date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,19,0.0,7.2,5,5,37,11:08 AM,11:13 PM,06:36 AM,05:58 PM,20,25,25,23,11,69,86,4.0,1014,27,8,91,7
2020-01-02,28,20,0.0,5.7,5,5,44,11:45 AM,11:58 PM,06:36 AM,05:58 PM,21,25,25,24,8,65,84,0.9,1015,28,7,119,6
2020-01-03,30,21,0.0,8.7,7,7,51,12:21 PM,No moonset,06:36 AM,05:59 PM,21,26,26,24,10,44,82,0.5,1013,30,9,145,7
2020-01-04,30,21,0.0,4.2,6,6,59,12:58 PM,12:44 AM,06:37 AM,05:59 PM,21,27,27,25,9,86,83,2.4,1012,30,7,158,7
2020-01-05,29,22,0.0,7.3,6,6,66,01:36 PM,01:30 AM,06:37 AM,06:00 PM,21,27,27,24,12,70,83,2.6,1012,29,7,117,9
2020-01-06,27,21,0.0,10.2,5,5,73,02:16 PM,02:18 AM,06:37 AM,06:01 PM,21,26,26,24,11,56,86,5.2,1014,27,8,79,8
2020-01-07,27,20,0.0,5.8,5,5,80,03:01 PM,03:09 AM,06:38 AM,06:01 PM,20,24,24,23,14,65,86,5.3,1014,27,9,88,10
2020-01-08,26,20,0.0,7.3,5,5,88,03:50 PM,04:03 AM,06:38 AM,06:02 PM,19,24,24,23,7,71,80,0.9,1014,26,10,86,5
2020-01-09,28,19,0.0,11.6,6,6,95,04:44 PM,05:00 AM,06:38 AM,06:02 PM,19,25,25,23,7,23,77,0.0,1013,28,8,102,6
2020-01-10,27,20,0.0,11.6,6,6,100,05:42 PM,05:59 AM,06:39 AM,06:03 PM,18,24,24,23,9,5,76,0.0,1014,27,10,81,7
2020-01-11,26,17,0.0,11.6,6,6,100,06:43 PM,06:58 AM,06:39 AM,06:03 PM,18,23,23,22,8,10,80,0.0,1015,26,10,62,7
2020-01-12,27,18,0.0,7.3,5,5,83,07:46 PM,07:56 AM,06:39 AM,06:04 PM,18,23,23,22,10,52,80,1.2,1014,27,10,77,7
2020-01-13,29,19,0.0,11.6,6,6,76,08:46 PM,08:50 AM,06:39 AM,06:04 PM,18,23,23,23,8,34,77,0.1,1012,29,9,81,6
2020-01-14,28,18,0.0,11.6,6,6,69,09:46 PM,09:41 AM,06:39 AM,06:05 PM,16,23,23,23,8,6,70,0.0,1013,28,10,95,6
2020-01-15,28,19,0.0,11.6,6,6,61,10:43 PM,10:27 AM,06:40 AM,06:06 PM,17,24,24,23,8,2,72,0.0,1013,28,10,100,6
2020-01-16,28,17,0.0,11.6,6,6,54,11:39 PM,11:13 AM,06:40 AM,06:06 PM,17,23,23,23,8,5,71,0.0,1013,28,10,111,6
2020-01-17,29,18,0.0,10.2,5,5,47,No moonrise,11:57 AM,06:40 AM,06:07 PM,18,24,24,23,10,36,78,1.3,1013,29,10,113,7
2020-01-18,28,20,0.0,5.8,5,5,40,12:34 AM,12:41 PM,06:40 AM,06:07 PM,20,24,24,23,14,84,84,3.4,1013,28,9,97,10
2020-01-19,29,20,0.0,8.7,5,5,32,01:30 AM,01:27 PM,06:40 AM,06:08 PM,19,24,24,23,9,55,79,0.3,1013,29,8,83,7
2020-01-20,30,19,0.0,11.6,7,7,25,02:25 AM,02:15 PM,06:40 AM,06:08 PM,18,25,25,23,9,12,70,0.0,1014,30,10,78,7
2020-01-21,29,19,0.0,11.6,7,7,18,03:22 AM,03:05 PM,06:40 AM,06:09 PM,17,25,25,24,11,3,71,0.0,1015,29,10,77,8
2020-01-22,28,18,0.0,11.6,6,6,11,04:18 AM,03:58 PM,06:40 AM,06:09 PM,18,23,23,22,12,38,79,0.0,1016,28,7,69,9
2020-01-23,29,20,0.0,11.6,7,7,3,05:14 AM,04:52 PM,06:40 AM,06:10 PM,18,25,25,24,10,25,74,0.1,1015,29,9,86,8
2020-01-24,30,19,0.0,11.6,7,7,0,06:07 AM,05:46 PM,06:40 AM,06:10 PM,15,25,25,24,9,1,61,0.0,1014,30,10,76,7
2020-01-25,29,20,0.0,11.6,7,7,0,06:57 AM,06:39 PM,06:40 AM,06:11 PM,13,25,25,24,8,0,52,0.0,1014,29,10,83,7
2020-01-26,31,20,0.0,11.6,7,7,4,07:43 AM,07:30 PM,06:40 AM,06:11 PM,15,26,26,26,8,0,58,0.0,1013,31,10,100,6
2020-01-27,31,22,0.0,11.6,7,7,11,08:25 AM,08:19 PM,06:40 AM,06:12 PM,17,28,28,26,9,0,63,0.0,1012,31,10,116,7
2020-01-28,31,19,0.0,11.6,7,7,18,09:05 AM,09:06 PM,06:40 AM,06:12 PM,17,25,25,25,12,4,70,0.0,1013,31,10,154,9
2020-01-29,31,19,0.0,11.6,7,7,26,09:43 AM,09:52 PM,06:40 AM,06:13 PM,17,26,26,25,10,10,68,0.0,1013,31,10,148,7
2020-01-30,32,20,0.0,11.6,7,7,33,10:19 AM,10:37 PM,06:40 AM,06:13 PM,16,26,26,25,10,5,64,0.0,1012,32,10,152,7
2020-01-31,32,19,0.0,11.6,7,7,37,10:55 AM,11:23 PM,06:40 AM,06:13 PM,17,27,27,26,12,9,66,0.0,1011,32,10,138,9
2020-02-01,30,19,0.0,11.6,7,7,49,11:32 AM,No moonset,06:40 AM,06:14 PM,18,26,26,25,14,35,70,0.0,1012,30,9,135,11
