date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,16,0.0,10.9,6,6,37,11:36 AM,11:29 PM,07:14 AM,06:01 PM,12,21,21,21,15,9,60,0.0,1014,28,10,154,9
2020-01-02,27,17,0.0,10.9,6,6,44,12:09 PM,No moonset,07:14 AM,06:02 PM,13,22,22,21,14,4,60,0.0,1016,27,10,240,9
2020-01-03,26,15,0.0,10.9,6,6,51,12:42 PM,12:18 AM,07:14 AM,06:02 PM,10,20,20,20,19,9,55,0.0,1016,26,10,17,12
2020-01-04,26,15,0.0,10.9,6,6,59,01:15 PM,01:07 AM,07:14 AM,06:03 PM,8,20,20,20,21,2,49,0.0,1015,26,10,29,12
2020-01-05,27,15,0.0,10.9,6,6,66,01:50 PM,01:57 AM,07:15 AM,06:04 PM,5,20,20,20,25,0,40,0.0,1015,27,10,99,15
2020-01-06,30,15,0.0,10.9,6,6,73,02:27 PM,02:48 AM,07:15 AM,06:04 PM,8,23,23,23,18,6,40,0.0,1016,30,10,197,10
2020-01-07,30,18,0.0,10.9,6,6,80,03:08 PM,03:43 AM,07:15 AM,06:05 PM,11,24,24,24,14,22,46,0.0,1013,30,10,237,9
2020-01-08,28,19,0.0,10.9,6,6,88,03:55 PM,04:39 AM,07:15 AM,06:06 PM,10,23,23,22,17,14,50,0.0,1013,28,10,297,11
2020-01-09,25,12,0.0,10.9,5,5,95,04:47 PM,05:39 AM,07:15 AM,06:06 PM,3,17,19,17,29,0,41,0.0,1017,25,10,43,17
2020-01-10,25,12,0.0,10.9,5,5,100,05:45 PM,06:38 AM,07:16 AM,06:07 PM,1,18,19,18,31,0,34,0.0,1017,25,10,93,18
2020-01-11,29,13,0.0,10.9,6,6,100,06:47 PM,07:37 AM,07:16 AM,06:08 PM,7,21,22,21,21,2,41,0.0,1016,29,10,91,12
2020-01-12,32,18,0.0,10.9,7,7,83,07:52 PM,08:32 AM,07:16 AM,06:08 PM,12,25,25,24,15,5,48,0.0,1014,32,10,197,9
2020-01-13,28,17,0.0,8.5,5,5,76,08:56 PM,09:24 AM,07:16 AM,06:09 PM,15,23,23,22,22,46,66,0.3,1012,28,10,264,15
2020-01-14,27,14,0.0,10.9,6,6,69,10:00 PM,10:10 AM,07:16 AM,06:10 PM,8,21,21,21,13,11,49,0.0,1013,27,10,198,8
