date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,8.7,4,4,37,11:37 AM,11:21 PM,07:22 AM,05:45 PM,-2,12,13,12,24,14,38,0.0,1021,19,10,80,14
2020-01-02,21,10,0.0,8.7,5,5,44,12:07 PM,No moonset,07:23 AM,05:46 PM,3,14,15,14,23,12,46,0.0,1021,21,10,60,13
2020-01-03,20,12,0.0,8.7,5,5,51,12:38 PM,12:13 AM,07:23 AM,05:46 PM,4,15,15,15,16,7,47,0.0,1019,20,10,339,10
2020-01-04,20,12,0.0,8.7,5,5,59,01:09 PM,01:05 AM,07:23 AM,05:47 PM,3,16,16,16,11,8,44,0.0,1017,20,10,246,6
2020-01-05,21,12,0.0,8.7,5,5,66,01:41 PM,01:57 AM,07:23 AM,05:48 PM,2,16,16,16,16,11,40,0.0,1018,21,10,159,9
2020-01-06,22,14,0.0,8.7,5,5,73,02:15 PM,02:51 AM,07:23 AM,05:49 PM,5,16,17,16,23,35,48,0.0,1018,22,10,113,16
2020-01-07,20,12,0.0,7.1,4,4,80,02:55 PM,03:48 AM,07:24 AM,05:49 PM,8,15,16,15,18,41,63,0.0,1016,20,10,169,12
2020-01-08,17,13,0.0,3.8,4,4,88,03:39 PM,04:47 AM,07:24 AM,05:50 PM,8,14,15,14,20,48,65,1.3,1015,17,10,334,14
2020-01-09,16,10,0.0,8.7,4,4,95,04:30 PM,05:48 AM,07:24 AM,05:51 PM,3,12,13,12,15,0,53,0.0,1020,16,10,230,9
2020-01-10,17,8,0.0,8.7,4,4,100,05:28 PM,06:48 AM,07:24 AM,05:52 PM,-3,12,12,12,14,4,37,0.0,1021,17,10,350,9
2020-01-11,19,8,0.0,8.7,4,4,100,06:31 PM,07:46 AM,07:24 AM,05:52 PM,-6,13,14,13,13,16,26,0.0,1020,19,10,11,7
2020-01-12,24,12,0.0,8.7,5,5,83,07:37 PM,08:40 AM,07:24 AM,05:53 PM,-5,16,17,16,18,8,23,0.0,1016,24,10,131,9
2020-01-13,17,8,0.0,3.9,4,4,76,08:44 PM,09:30 AM,07:24 AM,05:54 PM,5,13,14,13,26,42,57,3.1,1011,17,10,275,16
2020-01-14,17,9,0.0,8.7,4,4,69,09:50 PM,10:13 AM,07:24 AM,05:55 PM,5,13,13,13,15,1,61,0.0,1016,17,10,25,10
2020-01-15,18,10,0.0,8.7,4,4,61,10:55 PM,10:54 AM,07:24 AM,05:56 PM,4,13,13,13,20,21,53,0.0,1017,18,10,28,13
2020-01-16,17,12,0.0,7.1,3,3,54,11:58 PM,11:32 AM,07:24 AM,05:56 PM,2,13,14,13,16,44,44,0.1,1016,17,10,242,11
2020-01-17,18,10,0.0,8.7,4,4,47,No moonrise,12:09 PM,07:23 AM,05:57 PM,-1,14,14,14,10,11,36,0.0,1017,18,10,217,6
2020-01-18,18,11,0.0,8.7,5,5,40,01:01 AM,12:46 PM,07:23 AM,05:58 PM,-1,14,14,14,13,1,37,0.0,1018,18,10,307,8
2020-01-19,17,10,0.0,8.7,4,4,32,02:03 AM,01:26 PM,07:23 AM,05:59 PM,-0,13,13,13,11,3,40,0.0,1020,17,10,337,7
2020-01-20,19,10,0.0,10.8,4,4,25,03:05 AM,02:08 PM,07:23 AM,06:00 PM,0,14,14,14,10,22,39,0.0,1018,19,10,162,6
2020-01-21,21,13,0.0,10.8,5,5,18,04:06 AM,02:54 PM,07:23 AM,06:00 PM,2,16,16,16,18,13,40,0.0,1017,21,10,58,11
2020-01-22,20,12,0.0,10.8,5,5,11,05:06 AM,03:44 PM,07:22 AM,06:01 PM,4,14,15,14,21,2,48,0.0,1021,20,10,238,13
2020-01-23,19,11,0.0,10.8,5,5,3,06:03 AM,04:37 PM,07:22 AM,06:02 PM,1,14,14,14,21,0,42,0.0,1021,19,10,325,13
2020-01-24,20,11,0.0,10.8,5,5,0,06:55 AM,05:34 PM,07:22 AM,06:03 PM,-2,14,15,14,21,0,32,0.0,1018,20,10,306,13
2020-01-25,22,12,0.0,10.8,5,5,0,07:42 AM,06:29 PM,07:22 AM,06:04 PM,1,17,17,17,10,18,33,0.0,1016,22,10,308,6
2020-01-26,23,15,0.0,10.8,5,5,4,08:24 AM,07:25 PM,07:21 AM,06:04 PM,4,19,19,19,13,11,37,0.0,1015,23,10,308,7
2020-01-27,25,16,0.0,10.8,6,6,11,09:02 AM,08:19 PM,07:21 AM,06:05 PM,6,19,20,19,21,52,44,0.7,1011,25,9,111,14
2020-01-28,21,14,0.0,10.1,4,4,18,09:36 AM,09:13 PM,07:20 AM,06:06 PM,8,16,17,16,23,44,59,4.6,1010,21,10,237,16
2020-01-29,20,12,0.0,10.9,5,5,26,10:07 AM,10:04 PM,07:20 AM,06:07 PM,4,16,16,16,15,6,47,0.0,1017,20,10,302,9
2020-01-30,19,12,0.0,10.9,5,5,33,10:37 AM,10:56 PM,07:19 AM,06:08 PM,3,15,15,15,15,7,46,0.0,1019,19,10,234,9
2020-01-31,19,11,0.0,10.9,5,5,37,11:08 AM,11:48 PM,07:19 AM,06:08 PM,2,15,15,15,14,3,42,0.0,1016,19,10,273,9
2020-02-01,20,11,0.0,10.9,5,5,49,11:39 AM,No moonset,07:18 AM,06:09 PM,1,16,16,16,15,4,37,0.0,1019,20,10,343,9
2020-02-02,19,11,0.0,10.9,5,5,57,12:11 PM,12:40 AM,07:18 AM,06:10 PM,1,15,15,15,13,0,40,0.0,1021,19,10,328,8
2020-02-03,22,11,0.0,10.9,5,5,64,12:48 PM,01:35 AM,07:17 AM,06:11 PM,-1,15,16,15,15,0,32,0.0,1019,22,10,251,9
2020-02-04,22,12,0.0,11.0,5,5,72,01:29 PM,02:31 AM,07:17 AM,06:12 PM,2,17,17,17,21,21,37,0.0,1016,22,10,248,13
2020-02-05,20,12,0.0,11.0,5,5,79,02:15 PM,03:30 AM,07:16 AM,06:12 PM,3,15,15,15,19,4,46,0.0,1018,20,10,228,12
2020-02-06,20,11,0.0,11.0,5,5,87,03:09 PM,04:29 AM,07:16 AM,06:13 PM,-0,16,16,16,10,0,35,0.0,1016,20,10,283,6
2020-02-07,21,12,0.0,11.0,5,5,95,04:10 PM,05:29 AM,07:15 AM,06:14 PM,-1,16,16,16,18,4,33,0.0,1019,21,10,268,11
2020-02-08,21,11,0.0,11.0,5,5,100,05:16 PM,06:25 AM,07:14 AM,06:15 PM,-0,16,16,16,13,0,35,0.0,1022,21,10,340,8
2020-02-09,22,12,0.0,11.0,5,5,100,06:24 PM,07:18 AM,07:14 AM,06:16 PM,-2,17,17,17,12,28,30,0.0,1022,22,10,68,7
2020-02-10,22,12,0.0,11.0,5,5,83,07:33 PM,08:05 AM,07:13 AM,06:16 PM,-2,17,18,17,11,25,28,0.0,1019,22,10,257,7
2020-02-11,23,13,0.0,11.1,5,5,75,08:40 PM,08:48 AM,07:12 AM,06:17 PM,-1,18,18,18,15,1,29,0.0,1019,23,10,161,9
2020-02-12,25,14,0.0,11.1,6,6,68,09:47 PM,09:29 AM,07:11 AM,06:18 PM,2,20,20,20,16,5,32,0.0,1019,25,10,333,10
2020-02-13,27,16,0.0,11.1,6,6,60,10:51 PM,10:07 AM,07:11 AM,06:19 PM,3,21,21,21,20,1,33,0.0,1017,27,10,312,12
2020-02-14,26,16,0.0,11.1,6,6,53,11:56 PM,10:46 AM,07:10 AM,06:19 PM,0,20,20,20,25,0,29,0.0,1015,26,10,315,16
2020-02-15,27,15,0.0,11.1,6,6,45,No moonrise,11:26 AM,07:09 AM,06:20 PM,-6,20,20,20,21,0,19,0.0,1015,27,10,315,13
2020-02-16,28,16,0.0,11.1,6,6,38,12:59 AM,12:07 PM,07:08 AM,06:21 PM,-6,22,22,22,12,0,16,0.0,1016,28,10,327,7
2020-02-17,28,17,0.0,11.1,6,6,30,02:01 AM,12:52 PM,07:07 AM,06:21 PM,-6,22,22,22,15,0,15,0.0,1018,28,10,328,9
2020-02-18,29,15,0.0,11.2,6,6,22,03:01 AM,01:41 PM,07:06 AM,06:22 PM,-7,22,22,22,13,18,15,0.0,1015,29,10,290,8
2020-02-19,31,19,0.0,8.6,6,6,15,03:58 AM,02:32 PM,07:06 AM,06:23 PM,-7,24,24,24,30,56,12,0.0,1011,31,10,214,18
2020-02-20,30,17,0.0,11.2,6,6,7,04:51 AM,03:27 PM,07:05 AM,06:24 PM,-0,24,24,24,25,37,22,0.2,1011,30,10,217,15
2020-02-21,24,15,0.0,11.2,5,5,0,05:39 AM,04:22 PM,07:04 AM,06:24 PM,10,19,20,19,24,12,58,0.0,1016,24,10,55,18
2020-02-22,25,14,0.0,11.2,5,5,0,06:22 AM,05:18 PM,07:03 AM,06:25 PM,10,19,20,19,20,6,57,0.0,1020,25,10,43,14
2020-02-23,26,17,0.0,11.2,6,6,0,07:01 AM,06:12 PM,07:02 AM,06:26 PM,9,21,21,21,15,6,48,0.0,1017,26,10,32,9
2020-02-24,27,18,0.0,11.3,6,6,0,07:36 AM,07:06 PM,07:01 AM,06:26 PM,4,22,22,22,13,7,33,0.0,1015,27,10,321,9
2020-02-25,28,17,0.0,11.3,6,6,8,08:08 AM,07:58 PM,07:00 AM,06:27 PM,4,23,23,23,13,12,30,0.0,1013,28,10,305,8
2020-02-26,30,20,0.0,11.6,7,7,15,08:38 AM,08:50 PM,06:59 AM,06:28 PM,1,25,25,25,25,2,23,0.0,1013,30,10,289,15
2020-02-27,31,19,0.0,11.6,7,7,23,09:09 AM,09:41 PM,06:58 AM,06:28 PM,4,24,24,25,21,7,27,0.0,1013,31,10,114,12
2020-02-28,32,20,0.0,7.3,6,6,30,09:39 AM,10:33 PM,06:57 AM,06:29 PM,6,27,27,27,27,43,30,1.6,1010,32,10,150,17
2020-02-29,31,20,0.0,11.6,7,7,38,10:10 AM,11:26 PM,06:56 AM,06:30 PM,7,26,26,26,26,16,36,0.3,1010,31,10,254,18
2020-03-01,28,18,0.0,11.6,6,6,44,10:45 AM,No moonset,06:55 AM,06:30 PM,11,23,23,23,20,13,51,0.0,1012,28,10,269,14
2020-03-02,28,19,0.0,11.6,6,6,51,11:23 AM,12:20 AM,06:54 AM,06:31 PM,8,24,24,24,11,3,41,0.0,1012,28,10,298,7
2020-03-03,28,19,0.0,11.6,6,6,58,12:06 PM,01:17 AM,06:53 AM,06:31 PM,4,24,24,24,15,1,28,0.0,1011,28,10,313,9
2020-03-04,29,19,0.0,11.6,7,7,65,12:55 PM,02:14 AM,06:52 AM,06:32 PM,2,24,24,24,17,6,25,0.0,1009,29,10,259,10
2020-03-05,27,19,0.0,11.6,5,5,73,01:51 PM,03:13 AM,06:51 AM,06:33 PM,9,23,23,22,32,15,45,0.3,1007,27,10,173,22
2020-03-06,25,12,0.0,5.9,4,4,80,02:52 PM,04:09 AM,06:50 AM,06:33 PM,8,18,19,18,23,69,48,12.0,1007,25,9,200,16
2020-03-07,23,16,0.0,11.6,5,5,87,03:59 PM,05:03 AM,06:48 AM,06:34 PM,9,20,20,20,16,24,50,0.0,1012,23,10,277,12
2020-03-08,26,17,0.0,11.6,6,6,95,05:07 PM,05:52 AM,06:47 AM,06:35 PM,6,21,21,21,21,4,38,0.0,1015,26,10,191,14
2020-03-09,26,17,0.0,11.6,6,6,100,06:16 PM,06:37 AM,06:46 AM,06:35 PM,5,21,21,21,18,1,35,0.0,1014,26,10,222,12
2020-03-10,27,17,0.0,11.6,6,6,100,07:25 PM,07:20 AM,06:45 AM,06:36 PM,4,22,22,22,21,29,34,0.2,1011,27,10,62,14
2020-03-11,28,18,0.0,10.2,5,5,84,08:33 PM,08:00 AM,06:44 AM,06:36 PM,6,22,22,23,37,51,37,3.3,1007,28,9,193,26
2020-03-12,27,17,0.0,11.6,6,6,76,09:40 PM,08:40 AM,06:43 AM,06:37 PM,1,21,21,22,22,5,26,0.0,1010,27,10,176,15
2020-03-13,25,17,0.0,11.6,6,6,69,10:46 PM,09:20 AM,06:42 AM,06:38 PM,-3,20,20,20,22,4,23,0.0,1013,25,10,256,15
2020-03-14,23,15,0.0,11.6,5,5,62,11:52 PM,10:03 AM,06:41 AM,06:38 PM,6,19,19,19,17,10,45,0.0,1015,23,10,302,13
2020-03-15,23,15,0.0,11.6,5,5,55,No moonrise,10:48 AM,06:39 AM,06:39 PM,6,20,20,20,12,8,41,0.0,1016,23,10,230,9
2020-03-16,26,17,0.0,11.6,6,6,47,12:55 AM,11:37 AM,06:38 AM,06:39 PM,6,22,22,22,12,16,37,0.0,1017,26,10,30,8
2020-03-17,29,19,0.0,11.6,6,6,40,01:54 AM,12:28 PM,06:37 AM,06:40 PM,7,24,24,24,11,2,34,0.0,1016,29,10,331,8
2020-03-18,31,20,0.0,11.6,7,7,33,02:49 AM,01:23 PM,06:36 AM,06:40 PM,6,25,25,26,14,5,29,0.0,1014,31,10,336,9
2020-03-19,33,21,0.0,11.6,7,7,25,03:39 AM,02:18 PM,06:35 AM,06:41 PM,4,27,27,27,15,5,24,0.0,1010,33,10,266,11
2020-03-20,34,23,0.0,11.6,7,7,18,04:22 AM,03:13 PM,06:34 AM,06:41 PM,4,27,27,28,27,8,23,0.0,1008,34,10,263,17
2020-03-21,33,22,0.0,11.6,7,7,11,05:02 AM,04:08 PM,06:33 AM,06:42 PM,7,28,28,28,26,10,31,0.0,1009,33,10,269,17
2020-03-22,32,22,0.0,11.6,7,7,4,05:38 AM,05:01 PM,06:31 AM,06:43 PM,7,27,27,27,18,18,31,0.0,1011,32,10,260,12
2020-03-23,32,24,0.0,11.6,7,7,0,06:10 AM,05:54 PM,06:30 AM,06:43 PM,8,27,27,28,16,38,29,0.0,1011,32,10,188,11
2020-03-24,33,24,0.0,11.6,7,7,0,06:41 AM,06:45 PM,06:29 AM,06:44 PM,9,28,28,29,18,44,31,0.4,1009,33,10,232,12
2020-03-25,32,23,0.0,11.6,7,7,3,07:11 AM,07:37 PM,06:28 AM,06:44 PM,8,27,27,28,15,27,30,1.5,1010,32,10,237,10
2020-03-26,28,17,0.0,6.1,6,6,11,07:41 AM,08:28 PM,06:27 AM,06:45 PM,11,25,25,24,25,62,42,2.6,1012,28,9,188,17
2020-03-27,25,21,0.0,6.1,5,5,18,08:12 AM,09:21 PM,06:26 AM,06:45 PM,14,25,25,23,24,72,56,5.1,1013,25,10,224,18
2020-03-28,29,19,0.0,11.6,7,7,25,08:45 AM,10:15 PM,06:25 AM,06:46 PM,9,24,24,24,14,10,42,0.0,1014,29,10,238,10
2020-03-29,30,21,0.0,11.6,7,7,32,09:21 AM,11:10 PM,06:23 AM,06:46 PM,8,25,25,25,17,4,36,0.0,1013,30,10,326,12
2020-03-30,30,21,0.0,11.6,7,7,40,10:02 AM,No moonset,06:22 AM,06:47 PM,6,25,25,26,15,7,30,0.0,1012,30,10,290,10
2020-03-31,31,22,0.0,11.6,7,7,44,10:47 AM,12:07 AM,06:21 AM,06:48 PM,6,26,26,27,21,18,27,0.0,1010,31,10,157,14
2020-04-01,31,21,0.0,11.6,7,7,56,11:39 AM,01:03 AM,06:20 AM,06:48 PM,8,26,26,27,20,1,32,0.0,1011,31,10,326,14
2020-04-02,31,23,0.0,11.6,7,7,64,12:36 PM,01:59 AM,06:19 AM,06:49 PM,5,26,26,27,17,1,27,0.0,1011,31,10,308,12
2020-04-03,31,21,0.0,11.6,7,7,71,01:39 PM,02:51 AM,06:18 AM,06:49 PM,-0,25,25,26,14,0,19,0.0,1012,31,10,315,9
2020-04-04,33,22,0.0,11.6,7,7,79,02:44 PM,03:41 AM,06:17 AM,06:50 PM,2,27,27,28,14,1,19,0.0,1011,33,10,305,9
