date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,21,0.0,5.9,5,5,37,11:16 AM,11:23 PM,06:40 AM,06:10 PM,20,26,26,24,11,83,81,2.9,1014,28,10,64,8
2020-01-02,28,21,0.0,5.9,6,6,44,11:53 AM,No moonset,06:41 AM,06:11 PM,21,27,27,25,12,67,79,2.2,1015,28,10,76,9
2020-01-03,30,22,0.0,11.6,6,6,51,12:30 PM,12:07 AM,06:41 AM,06:11 PM,21,27,27,25,11,53,77,0.5,1014,30,10,74,8
2020-01-04,30,22,0.0,8.7,6,6,59,01:08 PM,12:52 AM,06:42 AM,06:12 PM,21,28,28,26,9,58,76,1.3,1012,30,10,74,6
2020-01-05,30,22,0.0,5.9,6,6,66,01:47 PM,01:38 AM,06:42 AM,06:12 PM,21,27,27,25,14,74,77,4.1,1012,30,10,79,10
2020-01-06,28,21,0.0,7.3,6,6,73,02:28 PM,02:25 AM,06:42 AM,06:13 PM,20,26,26,24,14,75,78,1.7,1013,28,10,60,11
2020-01-07,29,21,0.0,8.7,6,6,80,03:13 PM,03:16 AM,06:43 AM,06:13 PM,19,26,26,24,13,64,76,1.8,1013,29,10,62,10
2020-01-08,29,21,0.0,10.2,7,7,88,04:02 PM,04:09 AM,06:43 AM,06:14 PM,19,26,26,24,11,46,72,0.5,1013,29,10,58,8
2020-01-09,28,20,0.0,10.2,5,5,95,04:57 PM,05:05 AM,06:43 AM,06:14 PM,19,25,25,24,11,51,77,0.0,1013,28,10,66,8
2020-01-10,28,20,0.0,10.2,5,5,100,05:55 PM,06:04 AM,06:44 AM,06:15 PM,18,24,24,23,13,27,72,0.1,1013,28,10,62,10
2020-01-11,28,18,0.0,11.6,6,6,100,06:56 PM,07:03 AM,06:44 AM,06:16 PM,16,24,24,23,13,14,67,0.0,1014,28,10,48,10
2020-01-12,28,18,0.0,11.6,6,6,83,07:58 PM,08:01 AM,06:44 AM,06:16 PM,16,24,24,23,11,3,65,0.0,1013,28,10,60,8
2020-01-13,29,19,0.0,11.6,6,6,76,08:58 PM,08:56 AM,06:44 AM,06:17 PM,18,25,25,24,9,35,71,0.1,1012,29,10,65,6
2020-01-14,29,20,0.0,11.6,7,7,69,09:57 PM,09:47 AM,06:45 AM,06:17 PM,18,25,25,24,11,28,69,0.1,1012,29,10,74,8
2020-01-15,28,19,0.0,11.6,6,6,61,10:53 PM,10:35 AM,06:45 AM,06:18 PM,15,24,24,23,11,8,60,0.0,1012,28,10,66,9
2020-01-16,28,19,0.0,11.6,6,6,54,11:48 PM,11:22 AM,06:45 AM,06:18 PM,16,24,24,23,10,19,64,0.0,1013,28,10,77,8
2020-01-17,30,20,0.0,11.6,7,7,47,No moonrise,12:07 PM,06:45 AM,06:19 PM,16,25,25,25,11,17,62,0.0,1013,30,10,70,8
2020-01-18,30,21,0.0,5.9,6,6,40,12:42 AM,12:52 PM,06:45 AM,06:19 PM,20,27,27,25,16,74,76,2.3,1012,30,9,60,12
2020-01-19,30,22,0.0,7.3,6,6,32,01:36 AM,01:39 PM,06:45 AM,06:20 PM,19,27,27,25,15,68,70,0.9,1013,30,9,78,11
2020-01-20,30,21,0.0,10.2,7,7,25,02:31 AM,02:27 PM,06:46 AM,06:20 PM,18,26,26,25,14,47,66,0.0,1014,30,10,64,10
2020-01-21,31,20,0.0,11.6,7,7,18,03:28 AM,03:18 PM,06:46 AM,06:21 PM,16,26,26,25,14,19,63,0.0,1014,31,10,62,11
2020-01-22,31,20,0.0,11.6,7,7,11,04:23 AM,04:11 PM,06:46 AM,06:21 PM,18,26,26,25,15,19,69,0.0,1015,31,10,70,12
2020-01-23,29,21,0.0,11.6,6,6,3,05:19 AM,05:05 PM,06:46 AM,06:21 PM,18,26,26,25,16,33,69,0.4,1014,29,10,71,12
2020-01-24,31,20,0.0,11.6,7,7,0,06:12 AM,05:59 PM,06:46 AM,06:22 PM,16,25,25,25,14,23,62,0.0,1014,31,9,67,10
2020-01-25,31,20,0.0,11.6,7,7,0,07:02 AM,06:51 PM,06:46 AM,06:22 PM,12,25,25,25,10,1,50,0.0,1014,31,10,62,8
2020-01-26,31,19,0.0,11.6,7,7,4,07:49 AM,07:42 PM,06:46 AM,06:23 PM,13,25,25,25,9,0,49,0.0,1013,31,10,67,7
2020-01-27,32,20,0.0,11.6,7,7,11,08:31 AM,08:30 PM,06:46 AM,06:23 PM,14,27,27,26,12,2,53,0.0,1013,32,10,85,8
2020-01-28,33,21,0.0,11.6,7,7,18,09:12 AM,09:17 PM,06:46 AM,06:24 PM,16,28,28,27,9,3,56,0.0,1013,33,10,64,7
2020-01-29,32,20,0.0,11.6,7,7,26,09:50 AM,10:02 PM,06:46 AM,06:24 PM,16,27,27,26,13,12,58,0.0,1014,32,10,90,10
2020-01-30,32,21,0.0,11.6,7,7,33,10:27 AM,10:46 PM,06:46 AM,06:24 PM,14,27,27,27,11,4,50,0.0,1013,32,10,87,8
2020-01-31,32,20,0.0,11.6,7,7,37,11:04 AM,11:31 PM,06:46 AM,06:25 PM,15,27,27,26,14,8,54,0.0,1011,32,10,84,10
2020-02-01,31,20,0.0,11.6,7,7,49,11:42 AM,No moonset,06:46 AM,06:25 PM,17,26,26,25,16,26,61,0.0,1012,31,10,79,12
2020-02-02,31,20,0.0,10.2,6,6,57,12:21 PM,12:17 AM,06:46 AM,06:26 PM,15,26,26,25,15,31,58,0.3,1014,31,10,82,12
2020-02-03,30,19,0.0,10.2,6,6,64,01:04 PM,01:05 AM,06:46 AM,06:26 PM,16,25,25,24,12,28,62,0.2,1014,30,10,81,9
2020-02-04,31,19,0.0,10.2,6,6,72,01:50 PM,01:55 AM,06:45 AM,06:26 PM,16,26,26,25,13,37,62,0.3,1013,31,10,74,10
2020-02-05,31,21,0.0,5.9,6,6,79,02:41 PM,02:49 AM,06:45 AM,06:27 PM,18,27,27,25,13,63,67,2.2,1013,31,10,91,9
2020-02-06,31,20,0.0,11.6,7,7,87,03:37 PM,03:46 AM,06:45 AM,06:27 PM,17,27,27,26,11,22,59,0.0,1013,31,10,68,8
2020-02-07,31,20,0.0,11.6,7,7,95,04:36 PM,04:45 AM,06:45 AM,06:27 PM,16,28,28,26,12,26,59,0.0,1014,31,10,101,9
2020-02-08,33,20,0.0,11.6,7,7,100,05:39 PM,05:44 AM,06:45 AM,06:28 PM,17,29,29,27,9,23,61,0.0,1014,33,10,68,7
2020-02-09,31,20,0.0,10.2,6,6,100,06:41 PM,06:41 AM,06:45 AM,06:28 PM,17,26,26,25,15,48,65,0.2,1014,31,10,61,11
2020-02-10,31,20,0.0,10.2,6,6,83,07:42 PM,07:35 AM,06:44 AM,06:28 PM,17,26,26,26,15,56,64,0.4,1013,31,10,68,11
2020-02-11,31,21,0.0,11.6,7,7,75,08:41 PM,08:26 AM,06:44 AM,06:28 PM,17,26,26,25,19,42,62,0.0,1014,31,10,84,15
2020-02-12,29,19,0.0,11.6,7,7,68,09:39 PM,09:15 AM,06:44 AM,06:29 PM,18,26,26,25,17,36,67,0.1,1015,29,10,62,12
2020-02-13,32,21,0.0,10.2,6,6,60,10:35 PM,10:02 AM,06:43 AM,06:29 PM,17,28,28,26,16,45,62,0.8,1014,32,10,58,12
2020-02-14,33,20,0.0,11.6,7,7,53,11:32 PM,10:49 AM,06:43 AM,06:29 PM,15,29,29,28,12,12,55,0.0,1013,33,10,75,8
2020-02-15,34,21,0.0,11.6,7,7,45,No moonrise,11:37 AM,06:43 AM,06:29 PM,16,29,29,28,11,11,54,0.0,1013,34,10,66,8
2020-02-16,33,21,0.0,11.6,7,7,38,12:27 AM,12:25 PM,06:43 AM,06:30 PM,13,27,27,26,13,3,47,0.0,1013,33,10,71,10
2020-02-17,32,20,0.0,11.6,7,7,30,01:24 AM,01:15 PM,06:42 AM,06:30 PM,13,26,26,25,14,9,51,0.0,1014,32,10,66,10
2020-02-18,32,20,0.0,11.6,7,7,22,02:19 AM,02:07 PM,06:42 AM,06:30 PM,12,26,26,26,12,1,48,0.0,1014,32,10,66,10
2020-02-19,32,20,0.0,11.6,7,7,15,03:14 AM,03:00 PM,06:42 AM,06:30 PM,13,26,26,25,14,3,49,0.0,1013,32,10,69,10
2020-02-20,33,18,0.0,11.6,7,7,7,04:07 AM,03:53 PM,06:41 AM,06:30 PM,14,27,27,26,16,13,55,0.0,1013,33,10,73,12
2020-02-21,33,18,0.0,11.6,7,7,0,04:58 AM,04:45 PM,06:41 AM,06:31 PM,16,27,27,26,17,17,61,0.0,1014,33,9,66,13
2020-02-22,32,21,0.0,10.2,6,6,0,05:45 AM,05:37 PM,06:40 AM,06:31 PM,18,27,27,26,20,59,66,0.1,1015,32,9,82,15
2020-02-23,33,20,0.0,11.6,7,7,0,06:29 AM,06:25 PM,06:40 AM,06:31 PM,17,27,27,26,18,26,62,0.1,1014,33,9,86,13
2020-02-24,34,21,0.0,8.8,6,6,0,07:10 AM,07:12 PM,06:39 AM,06:31 PM,16,26,26,26,16,44,59,0.4,1013,34,10,80,12
2020-02-25,34,20,0.0,11.6,7,7,8,07:49 AM,07:58 PM,06:39 AM,06:31 PM,15,28,28,27,12,9,53,0.0,1011,34,10,82,9
2020-02-26,34,21,0.0,11.6,7,7,15,08:26 AM,08:42 PM,06:39 AM,06:31 PM,16,28,28,27,16,12,55,0.0,1011,34,10,85,12
2020-02-27,33,20,0.0,10.2,6,6,23,09:03 AM,09:27 PM,06:38 AM,06:32 PM,17,28,28,27,16,46,59,0.0,1012,33,10,74,12
2020-02-28,34,21,0.0,10.2,6,6,30,09:40 AM,10:12 PM,06:38 AM,06:32 PM,17,29,29,27,16,47,58,0.3,1011,34,10,66,13
2020-02-29,33,21,0.0,8.8,6,6,38,10:18 AM,10:58 PM,06:37 AM,06:32 PM,17,28,28,27,13,66,59,1.0,1011,33,10,65,10
2020-03-01,33,22,0.0,11.6,6,6,44,10:59 AM,11:47 PM,06:37 AM,06:32 PM,17,28,28,27,13,44,56,0.2,1011,33,10,68,10
2020-03-02,34,22,0.0,10.2,6,6,51,11:42 AM,No moonset,06:36 AM,06:32 PM,17,28,28,27,11,47,58,1.6,1012,34,10,125,8
2020-03-03,35,23,0.0,10.2,6,6,58,12:29 PM,12:38 AM,06:36 AM,06:32 PM,18,30,30,28,12,56,57,0.6,1012,35,10,133,10
2020-03-04,33,24,0.0,6.0,6,6,65,01:22 PM,01:32 AM,06:35 AM,06:32 PM,20,29,29,27,12,70,65,11.1,1011,33,9,253,8
2020-03-05,33,23,0.0,6.0,6,6,73,02:18 PM,02:28 AM,06:35 AM,06:32 PM,20,30,30,28,13,68,65,12.0,1011,33,9,145,9
2020-03-06,33,24,0.0,6.0,6,6,80,03:18 PM,03:26 AM,06:34 AM,06:32 PM,19,29,29,28,14,69,63,1.8,1011,33,10,221,10
2020-03-07,32,23,0.0,6.0,6,6,87,04:19 PM,04:22 AM,06:34 AM,06:32 PM,20,30,30,28,11,75,62,2.7,1012,32,9,190,8
2020-03-08,33,24,0.0,6.0,6,6,95,05:22 PM,05:18 AM,06:33 AM,06:32 PM,21,30,30,28,7,68,66,3.6,1012,33,10,87,6
2020-03-09,34,24,0.0,7.4,6,6,100,06:22 PM,06:11 AM,06:32 AM,06:32 PM,21,30,30,28,11,71,67,3.4,1011,34,10,94,9
2020-03-10,34,24,0.0,11.6,7,7,100,07:22 PM,07:02 AM,06:32 AM,06:33 PM,17,29,29,28,11,17,54,0.0,1011,34,10,94,9
