date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,24,0.0,7.2,6,6,37,11:05 AM,11:11 PM,06:30 AM,05:58 PM,22,29,29,26,19,44,81,3.4,1014,28,10,80,13
2020-01-02,28,25,0.0,7.2,6,6,44,11:42 AM,11:56 PM,06:31 AM,05:58 PM,23,29,29,26,18,54,82,2.0,1015,28,10,64,13
2020-01-03,28,26,0.0,7.2,6,6,51,12:19 PM,No moonset,06:31 AM,05:59 PM,23,30,30,27,16,30,82,0.2,1013,28,10,90,11
2020-01-04,28,25,0.0,5.7,6,6,59,12:56 PM,12:41 AM,06:32 AM,05:59 PM,23,30,30,27,14,34,81,0.1,1012,28,10,113,10
2020-01-05,28,25,0.0,10.2,7,7,66,01:35 PM,01:27 AM,06:32 AM,06:00 PM,23,30,30,27,15,46,78,2.6,1012,28,10,108,11
2020-01-06,28,25,0.0,10.2,6,6,73,02:15 PM,02:14 AM,06:32 AM,06:01 PM,23,29,29,26,25,59,80,1.5,1014,28,10,73,18
2020-01-07,27,26,0.0,5.8,6,6,80,03:00 PM,03:05 AM,06:33 AM,06:01 PM,22,29,29,26,30,69,79,4.1,1014,27,10,66,21
2020-01-08,27,24,0.0,8.7,6,6,88,03:50 PM,03:58 AM,06:33 AM,06:02 PM,20,28,28,26,28,40,73,0.8,1013,27,10,51,20
2020-01-09,27,23,0.0,11.6,6,6,95,04:44 PM,04:55 AM,06:33 AM,06:02 PM,18,26,26,25,20,0,67,0.0,1013,27,10,64,14
2020-01-10,27,22,0.0,11.6,7,7,100,05:42 PM,05:54 AM,06:34 AM,06:03 PM,19,26,26,25,24,12,71,0.0,1013,27,10,55,16
2020-01-11,27,22,0.0,11.6,6,6,100,06:43 PM,06:53 AM,06:34 AM,06:03 PM,20,26,26,24,30,31,75,0.2,1014,27,10,45,21
2020-01-12,27,22,0.0,5.9,6,6,83,07:45 PM,07:51 AM,06:34 AM,06:04 PM,21,27,27,25,26,76,78,1.1,1013,27,10,57,18
2020-01-13,27,24,0.0,8.7,6,6,76,08:45 PM,08:45 AM,06:34 AM,06:04 PM,20,27,27,25,24,50,75,1.2,1012,27,10,64,17
